SKU,Description,imgurl,productname
 AB02,"We are backed by a vast domain knowledge and immense technological expertise to offer an entire gamut of Cricket Balls including Dynamic Power Cricket Ball that is made from the finest grades of raw materials such as alum tanned leather that is water proof compressed leather. The leather is pre-stretched and robustly stitched with 80 stitches of pre-waxed twisted cotton thread. It has a new composite cork core that has a controlled bounce and offers perfect hardness. The ball is made in accordance with ICC/ MCC rules and regulations and is tested as well as approved by R &amp; D Center, Govt. of India.Features:   Perfect and robust stitch Flawless finish Other Information
			Pay Mode Terms: T/T (Bank Transfer)Delivery Time: depend on volume of the order
				",http://3.imimg.com/data3/FW/SN/MY-3458336/cricket-ball-bdm-dynamic-power-250x250.jpg,Dynamic Power Cricket Ball
 BG01,"We offer a wide spectrum of Cricket Batting Gloves including Cricket Batting Gloves BDM Terminator that is designed in accordance with the latest trends and manufactured with specially selected finest grades of ship skin and are provided with flexible flaps for added protection with comfort. These have a traditional slpit finger style and fiber stick insert to the first two fingers at the bottom of the hand with two piece thumb for unmatched comfort as well as flexibility.Features:  Highly comfortable Extreme flexibility Other Information
			Delivery Time: depend on volume of the order
				",http://3.imimg.com/data3/ON/TY/MY-3458336/cricket-batting-gloves-bdm-terminator-250x250.jpg,Cricket Batting Gloves BDM Terminator
 BG03,"We are presenting our valued clients a huge range of Cricket Batting Gloves including Dasher Batting Gloves that are designed in line with those being used by legends such as Sehwag himself. These have a soft feel and are remarkably safe with striking features. We use the finest grades of raw materials to manufacture these under stringent norms of quality and offer at industry leading prices to our clients.Features:  Seamless finish Outstanding safety Other Information
			Pay Mode Terms: T/T (Bank Transfer)Delivery Time: depend on volume of the order
				",http://3.imimg.com/data3/UA/JU/MY-3458336/cricket-batting-gloves-bdm-dasher-250x250.jpg,Dasher Batting Gloves
 BG13,"We are engaged in manufacture, supply, and export of an impressive gamut of Cricket Batting Pads such as Amazer Batting Gloves that is designed for supreme protection. These are traditional style pads with new look that are made from the finest supple leather palm that are pre molded and nylon gusseted for added comfort and protection. We offer these at very reasonable rates to our esteemed clients.Features:  Flawless finish Highly flexible Other Information
			Pay Mode Terms: T/T (Bank Transfer)Delivery Time: depend on volume of the order
				",http://2.imimg.com/data2/OP/PG/MY-3458336/cricket-batting-gloves-250x250.jpg,Amazer Batting Gloves
 BL01,"Our valued clients can avail of a supreme range of Cricket Batting Pad including Cricket Batting Pad Leg Guards BDM Titanium that is designed for assured safety with cloth cover padding and is molded for wider for seamless protection. We use the best grades of fabric and foam to manufacture these by using high end technologies. These are made under stringent norms of quality in accordance with well defined industry standards. Our esteemed patrons can avail these at very reasonable rates.Features:  Robust construction Lightweight and extra wide Other Information
			Pay Mode Terms: T/T (Bank Transfer)Delivery Time: depend on volume of the order
				",http://2.imimg.com/data2/UG/GV/MY-3458336/batting-legguards-titanium-250x250.jpg,Cricket Batting Leg Guards BDM Titanium
 BL03,"Our valued clients can avail a supreme array of Batting Pads such as Cricket Batting Pad BDM Dynamic Super that is ideal for all levels of senior club cricket. These ultra lightweight batting pads designed traditionally by using modern manufacturing techniques. For unmatched protection it is provided with dual section vertical bolsters and large cross bolster. It is pre-shaped for flexibility and comfort with internal foam crown. Our stringent quality norms ensure flawlessness of this award winning product that can be availed at reasonable prices by our clients.Features:  Extra protection and comfort Seamless performance Other Information
			Pay Mode Terms: T/T (Bank Transfer)Delivery Time: depend on volume of the order
				",http://3.imimg.com/data3/SE/TP/MY-3458336/cricket-batting-pad-bdm-dynamic-super-250x250.jpg,Cricket Batting Pad BDM Dynamic Super
 BL10,"Ort of an impressive gamut of Cricket Batting Pads such as Cricket Batting Pad BDM Commander that is designed for unmatched protection in club cricket. These are traditional style pads with two twin vertical bolsters and have two piece flexible knee rolls with large foam cross bolster for added protection. It has a durable instep and offers great value for money.Features:  Flawless finish Highly flexible Other Information
			Delivery Time: depend on volume of the order
				",http://3.imimg.com/data3/IH/FG/MY-3458336/cricket-batting-pad-bdm-commander-250x250.jpg,Cricket Batting Pad BDM Commander
 EN01,"Our valued clients are offered a broad gamut of Cricket Bats such as Dyna Drive Cricket Bat that is newly designed bat with traditional arc shape. These offer a fine pick up and outstanding balance for outstanding performance. We use cutting edge technologies to handcraft these bats in our modern facilities and follow rigid norms of quality in accordance with the international standards. Our esteemed customers can avail these at industry leading rates.Features:  Impeccable balance Easy pick up    Specifications:  Medium Weight: 2lb 10oz to 2lb 12 oz Heavy weight: 2lb 13oz to 2lb 14 oz Extra heavy weight: 2lb 15 oz to 3lb+     Other Information
			Pay Mode Terms: T/T (Bank Transfer)Delivery Time: depend on volume of the order
				",http://3.imimg.com/data3/BC/UY/MY-3458336/cricket-bat-bdm-dyna-drive-250x250.jpg,Dyna Drive Cricket Bat
 EN02,"Our prestigious clients are being offered a wide choice of Cricket Bats including Cricket Bat BDM Admiral” that is made from seasoned English Willow. It has power arc back with thick contoured edges and an extra swell behind the sweet spot. It perfectly balanced and provided with unique Shockabsorba grip. It has men’s size handle made from 9 piece imported cane for excellent feel, flex, and control and is available as medium, heavy and extra heavy at reasonable rates.Features:  Easy pick up Shock absorbing grip  Specifications:  Medium Weight: 2lb 10oz to 2lb 12 oz Heavy weight: 2lb 13oz to 2lb 14 oz Extra heavy weight: 2lb 15 oz to 3lb+ Other Information
			Delivery Time: depend on volume of the order
				",http://3.imimg.com/data3/IM/HM/MY-3458336/cricket-bat-bdm-admiral-250x250.jpg,Cricket Bat BDM Admiral
 EN04,"Of Cricket Bats that consists of Galaxy Plus Cricket Bat, handcrafted from naturally seasoned English Willow that is nurtured in India and has stylish designer back with incredible looks. We have used Powerarc Blade with thick and contoured edges. It allows easy pickup with a large swell behind the sweet spot. It has a short handle that is made from 9 piece imported cane handle for great feel, flex, and control. It has a unique Shockabsorba Grip that offers perfect balance.Features:  Impeccable balance Trendy looks  Specifications:  Medium Weight: 2lb 10oz to 2lb 12 oz Heavy weight: 2lb 13oz to 2lb 14 oz Extra heavy weight: 2lb 15 oz to 3lb+ Other Information
			Delivery Time: depend on volume of the order
				",http://3.imimg.com/data3/YH/YD/MY-3458336/cricket-bat-bdm-galaxy-plus-250x250.jpg,Galaxy Plus Cricket Bat
