SKU,stock,URL,SP,MRP,productname
,In Stock.,http://www.flipkart.com/babolat-aeropro-team-gt-2013-unstrung-4-3-8-tennis-racquet/p/itmdg5eta3sj3ypy, Rs. 16500,Rs. 22000,"
                    Babolat Aeropro Team GT 2013 Unstrung - 4 3/8 Tennis Racquet            "
,In Stock.,http://www.flipkart.com/babolat-pure-drive-roddick-gt-2013-4-3-8-unstrung-tennis-racquet/p/itmdj3x3kxufhbne, Rs. 13500,Rs. 18000,"
                    Babolat Pure Drive + Roddick GT 2013 4 3/8 Unstrung Tennis Racquet            "
,In Stock.,http://www.flipkart.com/babolat-aeropro-drive-gt-2013-unstrung-4-3-8-tennis-racquet/p/itmdg5etbruyzkkk, Rs. 16500,Rs. 22000,"
                    Babolat Aeropro Drive GT 2013 Unstrung - 4 3/8 Tennis Racquet            "
,In Stock.,http://www.flipkart.com/babolat-aeropro-drive-gt-2013-unstrung-4-3-8-tennis-racquet/p/itmdg5etbruyzkkk, Rs. 16500,Rs. 22000,"
                    Babolat Aeropro Drive GT 2013 Unstrung - 4 3/8 Tennis Racquet            "
,In Stock.,http://www.flipkart.com/babolat-pure-drive-lite-gt-2013-4-3-8-unstrung-tennis-racquet/p/itmdj3x3qhzwazjs, Rs. 12000,Rs. 16000,"
                    Babolat Pure Drive Lite GT 2013 4 3/8 Unstrung Tennis Racquet            "
,In Stock.,http://www.flipkart.com/babolat-pure-drive-lite-gt-2013-4-3-8-unstrung-tennis-racquet/p/itmdj3x3qhzwazjs, Rs. 12000,Rs. 16000,"
                    Babolat Pure Drive Lite GT 2013 4 3/8 Unstrung Tennis Racquet            "
,In Stock.,http://www.flipkart.com/babolat-pure-drive-roddick-gt-2013-4-3-8-unstrung-tennis-racquet/p/itmdj3x3kxufhbne, Rs. 13500,Rs. 18000,"
                    Babolat Pure Drive + Roddick GT 2013 4 3/8 Unstrung Tennis Racquet            "
,In Stock.,http://www.flipkart.com/babolat-aeropro-lite-gt-2013-unstrung-4-3-8-tennis-racquet/p/itmdg5et5ryhgxzh, Rs. 16500,Rs. 22000,"
                    Babolat Aeropro Lite GT 2013 Unstrung - 4 3/8 Tennis Racquet            "
,In Stock.,http://www.flipkart.com/babolat-pure-drive-roddick-gt-unstrung-tennis-racquet/p/itmdenvcbzz5zat5, Rs. 13500,Rs. 18000,"
                    Babolat Pure Drive Roddick GT Unstrung Tennis Racquet            "
,In Stock.,http://www.flipkart.com/butterfly-timo-boll-zlf-fl-blade-table-tennis/p/itmdewsnhgzttrrh, Rs. 16043,Rs. 22919,"
                    Butterfly Timo Boll ZLF-FL Blade Table Tennis Blade            "
,,http://www.flipkart.com/butterfly-spin-art-table-tennis-rubber/p/itmdtaffsfjmmrpq, Rs. 5525,Rs. 6500,"
                    Butterfly Spin Art Table Tennis Rubber            "
/ps/RAQDGN6EGWNURBRC,In Stock.,http://www.flipkart.com/donic-waldner-black-devil-table-tennis-blade/p/itmdgn6egwnurbrc, Rs. 6194,Rs. 8725,"
                    Donic Waldner Black Devil Table Tennis Blade            "
/ps/RAQDCNWAUC7FURZS,In Stock.,http://www.flipkart.com/butterfly-amultart-zl-carbon-fl-blade-table-tennis/p/itmdewsmswhbh4j7, Rs. 14350,Rs. 20500,"
                    Butterfly Amultart ZL Carbon-FL Blade Table Tennis Blade            "
/ps/RAQDCNWA5FXUTHUN,In Stock.,http://www.flipkart.com/head-aft-flash-strung-squash-racquet/p/itmdcnwa5fxuthun, Rs. 4409,Rs. 4899,"
                    Head AFT Flash Strung Squash Racquet            "
/ps/RAQDCNWAYGCCZAYZ,In Stock.,http://www.flipkart.com/head-microgel-power-laser-strung-squash-racquet/p/itmdcz7jxrzqgsf9, Rs. 4522,Rs. 5449,"
                    Head Microgel Power Laser Strung Squash Racquet            "
/ps/RAQDCNWAFYZHZDZM,In Stock.,http://www.flipkart.com/head-aft-blast-strung-squash-racquet/p/itmdzbwpyu97h3p3, Rs. 4483,Rs. 5275,"
                    Head AFT Blast Strung Squash Racquet            "
/ps/RAQDCNWAVBHCNUJQ,In Stock.,http://www.flipkart.com/head-115-ct-strung-squash-racquet/p/itmdcz7j5k3gwrgp, Rs. 7050,Rs. 8925,"
                    Head 115 CT Strung Squash Racquet            "
,In Stock.,http://www.flipkart.com/head-neon-130-strung-squash-racquet/p/itmdcnwarwgfgemb, Rs. 6700,Rs. 8375,"
                    Head Neon 130 Strung Squash Racquet            "
/ps/RUBDCBHVNHX8THRZ,In Stock.,http://www.flipkart.com/joola-5005-energy-max-table-tennis-rubber/p/itmdcgefbhrhjdzg, Rs. 2169,Rs. 3099,"
                    Joola 5005 Energy Max Table Tennis Rubber            "
/ps/RAQDKU4N4YAPKXHH,In Stock.,http://www.flipkart.com/head-youtek-graphene-speed-pro-g3-unstrung-tennis-racquet/p/itmdku4n4yapkxhh, Rs. 16379,Rs. 18199,"
                    Head Youtek Graphene Speed Pro G3 Unstrung Tennis Racquet            "
/ps/RAQDKU4NDKGYCQUU,In Stock.,http://www.flipkart.com/head-youtek-graphene-speed-mp-g3-unstrung-tennis-racquet/p/itmdku4ndkgycquu, Rs. 16380,Rs. 20475,"
                    Head Youtek Graphene Speed MP G3 Unstrung Tennis Racquet            "
,,http://www.flipkart.com/prince-tf-storm-strung-squash-racquet/p/itmdcnwahncbgejd, Rs. 3839,Rs. 4799,"
                    Prince TF Storm Strung Squash Racquet            "
,,http://www.flipkart.com/tecnifibre-carboflex-130-2008-textalium-squash-racquet/p/itmdt69s6sbjh646, Rs. 5099,Rs. 5999,"
                    Tecnifibre Carboflex 130 2008 Textalium Squash Racquet            "
,In Stock.,http://www.flipkart.com/tecnifibre-carboflex-speed-squash-racquet/p/itmdt69saq3zhaee, Rs. 4499,Rs. 5999,"
                    Tecnifibre Carboflex Speed Squash Racquet            "
,In Stock.,http://www.flipkart.com/tecnifibre-carboflex-140-basal-tex-squash-racquet/p/itmdt69smggxdaww, Rs. 6575,Rs. 10959,"
                    Tecnifibre Carboflex 140 Basal Tex Squash Racquet            "
,In Stock.,http://www.flipkart.com/tecnifibre-supreme-caliber-135-squash-racquet/p/itmdt69szp5fhz9j, Rs. 8085,Rs. 12439,"
                    Tecnifibre Supreme Caliber 135 Squash Racquet            "
,In Stock.,http://www.flipkart.com/wilson-ps-6-1-100-blx2-frm3-unstrung-tennis-racquet/p/itmdg8wynsuynrzd, Rs. 13750,Rs. 17499,"
                    Wilson PS 6.1 100 BLX2 FRM3 Unstrung Tennis Racquet            "
,In Stock.,http://www.flipkart.com/wilson-six-one-team-95-blx-unstrung-tennis-racquet/p/itmdcnwaw2azs8ux, Rs. 17192,Rs. 21490,"
                    Wilson Six One Team 95 BLX Unstrung Tennis Racquet            "
