SKU,Description,CP,SP,productname,Brand,Size,imgurl,
388175-5050973648,"
							The Inov8 Ladies Race Elite 220 Thermoshell Jacket is a unique reversible shell that isn't just for show. The innovative design delivers 10% more warmth on the reverse, giving genuine resting and starting options in the mountains. Inov8's warmest insulated and reversible shell allows you to run long, stay warm. Tailored for women with an athletic fit.


Air-flow fabric to outside
Zoned Primaloft Sport 40g/m2 body, 25g/m2 arms and collar
Pertex Quantum ultralight fabric for high levels of windproofness and breathability
When worn with Pertex Quantum to the outside it is 10% warmer
Athletic fit
Body mapped stitch-through construction to create cool zones
Deep centre front zip / vent with top reversible zip head
Chest pocket to outside and multi-angle reflective detailing
Lycra bound cuffs with thumb loop and lycra bound hem
Includes stuffsacMaterialNylon 100%						",12299,14389.83,INOV8 Ladies Race Elite 220 Thermoshell Jacket,INOV8,"06,08,12,14",http://products.activinstinct.com/y2013/m10/388175/31420590-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
379058-GWESSE9900,"
							Reflection and warmth, these soft shell running gloves are windproof, providing insulation, moisture management and reflective detailing for visibility. Fabric inserts on the fingers for touch screen capabilities.

Windstopper offers total wind protection, with maximum breathability, combining the comfort of a soft mid-layer and the water resistance of a shell in one garment. Windstopper Soft Shells keep you comfortable with the freedom of movement you need for enhanced performance in a wide range of running activities and weather conditions.

Features:

Touch screen compatible
Absorbent material on thumb and back of hand
Silicone-coated palm for better grip
Elastic wrist
Fleece lining
Zip pocket
Reflective detailingMaterialPolyester Fabric 100%						",4400,5148,GORE Men's Essential SO Glove,GORE,"07,08",http://products.activinstinct.com/y2013/m08/379058/14394679-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
405629-CWJ1018R,"
							This garment is made from SmartDry fabric; with a water-repellent treatment bonded onto the fabric so that rain and spills simply run off. These clothes stay drier for longer, making them lighter, warmer and much more comfortable.

Hard-wearing, DofE approved adventure trousers that bestow all the benefits of SmartDry technology, along with quick-drying Wash&amp;Wear construction and SolarShield UV protection, plus as many pockets as you could ever want.

Features:

5 pockets; 2 with zip-fastening
Cargo pocket holds O/S map
Heel tape
Part-elasticated waist at back
Double seat
Double kneeMaterialPolyester Fabric 						",4300,5031,CRAGHOPPERS Ladies Terrain Trousers,CRAGHOPPERS,"08,10,12,14,16",http://products.activinstinct.com/y2014/m01/405629/93015020-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
405642-CWJ1051,"
							NosiLife garments ensure permanent insect-repellent qualities. This is a breakthrough in textile innovation, utilising a new and unique permanent anti-insect technology. Tested by independent testing laboratory, to provide proven protection for the lifetime of your garment.

Features in-built SolarShield UV-protection, wicking MoistureControl and quick-drying Wash&amp;Wear credentials.

Features:

4 pockets; 2 with zip-fastening
Elasticated waist at sides
8in length shortsMaterialPolyamide Nylon 						",4700,5499,CRAGHOPPERS NosiLife Ladies Shorts,CRAGHOPPERS,"08,10,12,14,16",http://products.activinstinct.com/y2014/m01/405642/71308545-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
405606-CWJ1072R,"
							Features ProStretch fabric, allowing unrestricted movement and an improved fit and durability. The fabric enhances comfort and agility, with a tighter weave for weatherproof, sun-protective and insect-repellent technologies.

Enough stretch to ensure complete freedom of movement, backed up by SolarShield UV protection, SmartDry technology to repel rain and stains, as well as easy to care Wash&amp;Wear construction.

Features:

3 pockets with zip-fastening
Heel tape
Removable sunglasses wipe in side pocket
Stain-resistant finishMaterialPolyester Fabric 						",5100,5967,CRAGHOPPERS Ladies Kiwi Pro Trousers,CRAGHOPPERS,"08,10,12,14,16",http://products.activinstinct.com/y2014/m01/405606/80542606-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
405612-CWJ1039,"
							This garment is made from SmartDry fabric; with a water-repellent treatment bonded onto the fabric so that rain and spills simply run off. These clothes stay drier for longer, making them lighter, warmer and much more comfortable.

This has all the comfort of the famous Kiwi trouser, with the added ability to convert them into a practical, durable pair of shorts.

Features:

Belt included
8 pockets; 4 with zip-fastening
Heel tape
Elasticated waist at back
Double seat
Double knee
Zip-off trousers
Mobile phone holder in cargo pocket
Stain-resistant finishMaterialPolyester Fabric 						",5100,5967,CRAGHOPPERS Ladies Kiwi Zip-Off Trousers,CRAGHOPPERS,"08,10,12,14,16",http://products.activinstinct.com/y2014/m01/405612/20072571-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
405563-CWJ1034,"
							NosiLife garments ensure permanent insect-repellent qualities. This is a breakthrough in textile innovation, utilising a new and unique permanent anti-insect technology. Tested by independent testing laboratory, to provide proven protection for the lifetime of your garment.

These trousers also feature additional wicking capabilities, SolarShield UV protection and easy to care for Wash&amp;Wear construction.

Features:

Drying loops
5 pockets; two with zip-fastening
Heel tape
Elasticated waist at sides
Dry bag in cargo pocketMaterialPolyamide Nylon 						",6000,7020,CRAGHOPPERS NosiLife Ladies Trousers,CRAGHOPPERS,"08,10,12,14,16",http://products.activinstinct.com/y2014/m01/405563/94307123-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
410549-4-21049,"
							The Calisto Alpha Waterproof Jacket is the perfect partner for a day on the hills.

Berghaus AQ2 fabric technology guarantees outdoor performance, is breathable and completely waterproof allowing you to stay active whatever the weather. With AQ technology alongside features such as an adjustable roll-away hood and two zipped hand-warmer pockets both functionality and performance are delivered on the hillside.

Features:

Additional wet weather protection is achieved with the adjustable roll-away hood
Keep essentials close at hand in the two zipped hand warmer pockets
A perfect fit is ensured with the dual drawcord hem adjustment and adjustable cuff tabs						",9599,11230.83,BERGHAUS Ladies Calisto Alpha Waterproof Jacket,BERGHAUS,"08,10,12,14,16",http://products.activinstinct.com/y2014/m02/410549/28667030-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
343390-4-34295BP6,"
							This lightweight, AWL 100 fleece is perfectly suited to walking and hiking, providing a high level of warmth despite its lightweight nature.

The fleece can be used on its own as a layer to wear over t-shirts and alike, or can be worn underneath a waterproof shell or outer layer to add extra warmth. The top features a full length welt-covered zip, two zipped hand warmer pockets and elastic bound cuffs and hem.

Features:

Material: AT-Micro (210 g/sq m)
Double sided velour microfleece
Thermal insulation 0.5-0.6 CLOMaterialPolyester 100%						",4499,5263.83,BERGHAUS Ladies Spectrum Micro Full Zip Top,BERGHAUS,"08,10,12,14,16,18",http://products.activinstinct.com/y2013/m02/343390/89860042-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
277502-34297,"
							This lightweight, AWL 100 fleece is perfectly suited to walking and hiking, providing a high level of warmth despite its lightweight nature.

The fleece can be used on its own as a layer to wear over t-shirts and alike, or can be worn underneath a waterproof shell or outer layer to add extra warmth. The top features a half length inner zip, elastic bounding at the cuffs, zip facing and hem and flattering seam and colour block detail.

Features:

Material: AT-Micro (210 g/sq m)
Double sided velour microfleece
Thermal insulation 0.5-0.6 CLOMaterialPolyester 100%						",5099,5965.83,BERGHAUS Ladies Spectrum Micro Half Zip Top,BERGHAUS,"08,10,12,14,16,18",http://products.activinstinct.com/y2012/m03/277502/44335591-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
277691-34186-ED7,"
							Versatile and practical, these trousers offer waterproof protection.

The trousers have hidden side elastication as well as four separate pockets. Two of the pockets are at either side; there is a cargo-style one and also a zipped rear one. Add to this, waterproof qualities and you end up with a durable, practical and comfortable pant that is brilliant for exploring the outdoors.

Features:

Articulated knees
Water repellent finish
UPF 50+
Material: polycotton plain weave (168 g/sq m); 65% polyester, 35% cottonMaterialCotton 35%Polyester 65%						",5399,6316.83,BERGHAUS Ladies Navigator Cargo Pant,BERGHAUS,"08,10,12,14,16,18",http://products.activinstinct.com/y2012/m03/277691/35000954-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
277575-32374-B50,"
							Everything you need from trekking and walking garments. Incredibly light, ultra breathable and easily packed away, these featherweight multi-activity pants even feature GORE-TEX Shell Micro Tape seams for the ultimate in element protection.

GORE-TEX is a trusted and reliable technology that provides fantastic wet weather protection like no other. The pants also featureMaterialNylon 100%Nylon (Face) 100%PTFE (Membrane) 100%						",9499,11113.83,BERGHAUS Ladies Paclite Pant,BERGHAUS,"08,10,12,14,16,18,20",http://products.activinstinct.com/y2012/m03/277575/21850766-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
319695-CWJ976,"
							The Craghoppers Kiwi Winter-Lined Trousers are winter-ready walking trousers with a cosy fleecy lining for outdoor enthusiasts who don?t shy away from adverse conditions. Featuring the same robust construction as Craghoppers? standard Kiwi Trousers with plenty of pockets for all your accessories and useful water-repellent finish.

Features:

Fabrics: SolarDry polyester cotton
Weight: 490g
Belt included
8 pockets, 4 zip-fastening
Elasticated waist at back
Lower leg pocket has mobile phone pocket inside
Polyester fleece inner 'Scrim' lining
Lifetime GuaranteeMaterialCotton Polyester 						",4400,5148,CRAGHOPPERS Kiwi Winter Lined Ladies Trousers Regular Length,CRAGHOPPERS,"08,10,12,14,16,18,20,Black,Brown,Navy",http://products.activinstinct.com/y2012/m10/319695/71365790-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
285210-CWJ1001,"
							The Craghoppers Basecamp Convertible Trousers provide brilliant versatility combined with excellent value. These trousers are sun protective, water repellent zip offs that quickly convert from trousers to shorts to suit all conditions. Utilises SolarDry polyester construction.

Features:

4 pockets, 1 with zip fastening
Cargo pocket hold O/S Map
Heel tape
Part elasticated waist at sides
Zip off trousers - regular length
12"" shortsMaterialCotton 35%Polyester 65%						",3700,4329,CRAGHOPPERS Basecamp Convertible Ladies Trousers,CRAGHOPPERS,"08,10,12,14,16,18,20,Brown,Navy",http://products.activinstinct.com/y2012/m04/285210/85066894-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
343371-4-20574,"
							An entry-level waterproof jacket that uses AQ2 technology to make it fully waterproof and breathable. Great value and performance.

AQ2 is waterproof, breathable and lightweight. It provides fantastic protection against the elements while allowing moisture to easily escape to leave you more comfortable on the inside.

Features:

Roll away hood
Two zipped pockets
Covered centre front zip
Hook and loop cuff tab adjustment
Drawcord hem adjustmentMaterialNylon 100%						",5100,5967,BERGHAUS Ladies Monsoon Jacket,BERGHAUS,"08,10,12,14,16,18,Black,Blue,Purple",http://products.activinstinct.com/y2013/m02/343371/96102631-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
