SKU,Description,SP,MRP,productname,productname,Size,imgurl,Stock
401516-F32225,"<div class=""more"" id=""hp_fix_desc"">
							<p>From ruck to scrum to rolling maul, these men's rugby boots don't let up. They feature a lightweight synthetic upper, predator technology for added power and swerve on the ball and a Hybrid TRAXION 2.0 SG outsole for maximum grip on soft ground.</p>

<ul>
<li>predator technology in the forefoot for more power, swerve and ball contact</li>
<li>Synthetic one-piece upper for lightweight fit</li>
<li>Asymmetrical lacing and flat laces for larger kicking area and better ball contact</li>
<li>miCoach compatible</li>
<li>Hybrid TRAXION 2.0 SG stud configuration has a mix of exchangeable screw-in studs and moulded TPU studs for maximum acceleration and grip on soft grounds</li></ul><br><p>Material</p><ul><li>Synthetic Material </li></ul>						</div>",99,11400,ADIDAS Predator Incurza X-TRX SG 2.0 Men's Rugby Boots,ADIDAS,"UK10,UK11","http://products.activinstinct.com/y2014/m01/401516/79340487-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
368255-Q21753,"<div class=""more"" id=""hp_fix_desc"">
							<p>With an upper made from high quality synthetic leather, these adipower Kakari rugby boots help provide more comfort and forefoot support for forwards on the rugby pitch.</p>

<p>The sturdy and tough outsole in this rugby boot helps to provide good support and stability for scrummaging, rucking and mauling. The Kakari boots feature a 5mm heel gradient for dynamic positioning, and a lightweight, 8-stud outsole designed with the intensity of the scrum in mind. The sturdy and tough outsole in this rugby boot helps to provide good support and stability for scrummaging, rucking and mauling.</p>

<p>The aforementioned 5mm heel gradient shifts the body mass forward over the centre of the body, allowing faster transition from standstill to action with substantially less strain on the lower limbs. The concept of raising the heel means that the foot is in the same position as it would be in a running shoe.</p><p>Material</p><ul><li>Synthetic Material </li></ul>						</div>",73,8800,ADIDAS adipower Kakari SG Men's Rugby Boots,ADIDAS,"UK10,UK12","http://products.activinstinct.com/y2013/m07/368255/76688646-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
401563-M22925,"<div class=""more"" id=""hp_fix_desc"">
							<p>Launch an attack in the FF80 Pro X-TRX SG 2 boots. A synthetic upper and interior lining keep these men's rugby boots lightweight and comfortable, while TRAXION 2.0 SG lets you reconfigure the sole's studs for a custom grip.</p>

<ul>
<li>Synthetic upper for light weight and durability</li>
<li>Synthetic lining for comfort</li>
<li>miCoach compatible</li>
<li>Supportive band in forefoot for lateral movement</li>
<li>Unique 5</li></ul><br><p>Material</p><ul><li>Synthetic Material </li></ul>						</div>",99,11400,ADIDAS FF80 Pro X-TRX SG 2 Men's Rugby Boots,ADIDAS,"UK8,UK10","http://products.activinstinct.com/y2014/m01/401563/32177116-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
368248-Q21763,"<div class=""more"" id=""hp_fix_desc"">
							<p>Suited to forward players, the Kakari boots feature a 5mm heel gradient for dynamic positioning, and a lightweight, 8-stud outsole designed with the intensity of the scrum in mind. The sturdy and tough outsole in this rugby boot helps to provide good support and stability for scrummaging, rucking and mauling.</p>

<p>These Regulate Kakari rugby boots are made from synthetic leather, and it is this which provides a good fit and feel.</p>

<p>The aforementioned 5mm heel gradient shifts the body mass forward over the centre of the body, allowing faster transition from standstill to action with substantially less strain on the lower limbs. The concept of raising the heel means that the foot is in the same position as it would be in a running shoe.</p>

<p>These boots also have a pre-moulded EVA sockliner with additional anti-slip inserts at the back and are miCoach compatible.</p><p>Material</p><ul><li>Synthetic Material </li></ul>						</div>",58.49,7349,ADIDAS Regulate Kakari SG Men's Rugby Boots,ADIDAS,"UK8,UK9,UK10","http://products.activinstinct.com/y2013/m07/368248/61205598-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
401481-M22922,"<div class=""more"" id=""hp_fix_desc"">
							<p>Pick up and drive in the adizero RS7 Pro X-TRX SG 4 boots. These durable and lightweight men's rugby boots are built with the customisable TRAXION 2.0 SG stud configuration for superior grip, helping you break away from the meanest mauls.</p>

<ul>
<li>Synthetic upper for light weight and durability</li>
<li>Synthetic lining for comfort</li>
<li>The SPRINTFRAME construction uses geometrical research and a new stud configuration to offer the perfect balance between light weight and stability</li>
<li>miCoach compatible</li>
<li>Hybrid TRAXION 2.0 SG stud configuration has a mix of exchangeable screw-in studs and moulded TPU studs for maximum acceleration and grip on soft grounds</li></ul><br><p>Material</p><ul><li>Synthetic Material </li></ul>						</div>",120,13500,ADIDAS adizero RS7 Pro X-TRX SG 4 Men's Rugby Boots,ADIDAS,"UK8,UK9,UK10","http://products.activinstinct.com/y2014/m01/401481/85995611-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
401532-D66120,"<div class=""more"" id=""hp_fix_desc"">
							<p>With their reduced weight, the men's Adipower Kakari SG boots by adidas help propel your speed and hard-hitting power. These rugby boots feature a lightweight synthetic upper and a new lacing system made to fit narrow to wide feet.</p>

<ul>
<li>Synthetic upper for lightweight comfort</li>
<li>New lacing design provides custom fit for narrow to wide feet</li>
<li>Pre-moulded EVA sockliner with additional anti-slip EVA inserts; 5 mm heel raise for a dynamic foot position</li>
<li>miCoach compatible</li>
<li>SPEED GRIP outsole provides the best grip in agility-inspired events</li></ul><br><p>Material</p><ul><li>Synthetic Material </li></ul>						</div>",73,8800,ADIDAS Adipower Kakari SG Men's Rugby Boots,ADIDAS,"UK8,UK9,UK10,UK13","http://products.activinstinct.com/y2014/m01/401532/45464511-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
374668-X55716,"<div class=""more"" id=""hp_fix_desc"">
							<p>The official All Blacks 13/14 Jersey produced. Make sure you have the gear you really want to show support for the New Zealand All Blacks!</p>

<p>Features:</p>
<p>Made from adidas ClimaCool technology (100% polyester)</p>
<ul>
<li>ClimaCool provides heat and moisture management through ventilation</li>
<li>adidas and All Blacks silver fern crest displayed on the front with AIG logo printed underneath</li>
<li>Collar features the wording ""1987/World Champions/2011""</li></ul><br><p>Material</p><ul><li>Polyester Fabric </li></ul>						</div>",58.49,7349,ADIDAS All Blacks 2013/2014 Replica Home Short Sleeve Jersey ,ADIDAS,,"http://products.activinstinct.com/y2013/m07/374668/14635453-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
368717-Q21761,"<div class=""more"" id=""hp_fix_desc"">
							<p>The Adidas Predator Incurza XTRX SG II Synthetic Rugby Boot features a design which blends fearsome power and game changing precision to provide you with the platform from which to kill off the opposition.</p>

<p>Features a new hybrid SL upper with a TPU forefoot that provides a stable and secure fit, while two kicking zones make for better ball contact and control.</p>

<p>Features a mix of moulded and metal studs for optimum stability allowing you to change direction quickly and effectively to leave your opposite number trailing in your wake.</p><p>Material</p><ul><li>Synthetic Material </li></ul>						</div>",99.99,11499,ADIDAS Predator Incurza II XTRX SG Men's Rugby Boots,ADIDAS,,"http://products.activinstinct.com/y2013/m07/368717/17983860-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
362766-P305Y-0161,"<div class=""more"" id=""hp_fix_desc"">
							<p>Give yourself the perfect base to launch a top level performance on the rugby field. This boot has been built based upon ASICS racing shoe last to make it light and flexible.</p>

<p>The 10mm heel gradient shifts body mass forward, reducing strain on the lower limbs, while there is a removable sockliner to provide comfort or be taken out to accommodate a medical orthotic.</p>

<p>The high grade synthetic leather upper is lightweight, comfortable and breathable, enhancing performance and fit.</p>

<p>The stud configuration makes these boots suitable for firm ground.</p><p>Material</p><ul><li>Synthetic Leather </li><li>Rubber </li></ul>						</div>",51,6600,ASICS Lethal Flash DS IT Men's Rugby Boot,ASICS,"UK6,UK6.5,UK7,UK7.5,UK8,UK8.5,UK9,UK9.5","http://products.activinstinct.com/y2013/m06/362766/30565169-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
296694-P205L-9044,"<div class=""more"" id=""hp_fix_desc"">
							<p>The Asics Lethal-Testimonial ST combines everything a player needs from a boot in terms of protection, speed, comfort and traction. High-performance grip from the sole will allow you to dig you feet in and push harder than ever. Perfect for soft turf.</p>

<p>Featuring Kangaroo leather, synthetic leather combination in the upper you gain good amounts of flexibility and durability whilst staying from protected from a competitors exertions.</p>

<p>The Solyte midsole, IT outsole (with removable studs) provide a solid support and comfort range through your foot and work with the 10mm heel gradient wedge built into the boot works to alleviate stress on the legs, reducing the risk of injury to this highly susceptible area of the body and ensuring maximum protection is given.</p>

<p>Combination lasted sole to shape the forefoot and make it the shoe more lightweight and flexible, while provide stability and durability to the rear of the boot.</p><p>Material</p><ul><li>Leather </li><li>Cushioning Material </li><li>Duomax Support </li><li>Rearfoot Gel </li></ul>						</div>",85,10000,ASICS Lethal Testimonial ST Rugby Men's Rugby Boots,ASICS,"UK6,UK6.5,UK7,UK7.5,UK8,UK8.5,UK9,UK9.5,UK10,UK10.5,UK11,UK13","http://products.activinstinct.com/y2012/m06/296694/35491322-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
