SKU,Description,CP,SP,productname,Brand,Size,imgurl,
254502-MA1990A,"
							This makes up part of the XFORM range that 2XU produce. It is designed to be used during and after exercise: Active and Recovery.

This Elite Compression Top is a step up from the standard version; for athletes that require an extra degree of support and power. These feature extra powerful PWX WEIGHT in the arm panels for added support, as well as greater support to the surrounding muscles including biceps and deltoids.

These powerful and breathable compression garments feature the added benefit of graduated engineering for extra support and comfort. What this generates is a far more efficient delivery of oxygenated blood to fatigued muscles. These provide all the benefits that the PERFORM range does but with the added feature of graduated compression along the limbs, thus ensuring speedier muscle repair and recovery benefits following exercise.

Developed using extensive research and consultation with some of the best athletes in the world, 2XU have produced PWX; a collection of premium Compression fabrics engineered to offer brilliant levels of power, weight and flexibility: a devastating combination. Each PWX fabric features high grade elastomeric yarns, as well as a superior grade circular knit structure, and it is this that allows 360 degree stretch, unsurpassed power and unrivalled flexibility.

Features:

Combination PWX FLEX through the core and upper arms plus extra powerful PWX WEIGHT fabric arm panel to support forearms
Also delivers support to triceps, biceps, deltoids and core body
Reduced muscle fatigue and damage
Graduated fit promotes increased circulation
Reduces soreness and enhances flushing of blood lactates from exercising muscles
Suitable for any athlete with upper body demands
Flatlock seam construction
UPF50+ Sun Protection
Antibacterial
Moisture wickingMaterialPolyester 83%Lycra 17%						",7700,9009,2XU PWX Xform Men's Elite Compression Long Sleeve Top,2XU,S;M;L;XL,http://products.activinstinct.com/y2011/m11/254502/79255755-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
254566-MA1959B,"
							REFRESH Compression garments are designed for use after exercise. Extremely powerful and durable, these garments have been engineered to enhance blood circulation and lift the delivery of oxygen to the muscles. Featuring a rigid knit construction and graduated engineering, these are suited high performing athletes that need to recover fast.

The graduated pressure improved recovery by improving circulation and removing lactate from the muscles. This repairs muscles faster, reducing swelling and soreness.

Developed using extensive research and consultation with some of the best athletes in the world, 2XU have produced PWX; a collection of premium Compression fabrics engineered to offer brilliant levels of power, weight and flexibility: a devastating combination. Each PWX fabric features high grade elastomeric yarns, as well as a superior grade circular knit structure, and it is this that allows 360 degree stretch, unsurpassed power and unrivalled flexibility.

Features:

Using the powerful PWX Weight fabric throughout for enhanced compression
Fabric provides greater pressure and recovery benefits by improving blood circulation and removal of blood lactates for faster muscle repair
Graduated fit further promotes increased circulation for faster recovery
New black on black logo
Flatlock seam construction
UPF50+ Sun Protection
Antibacterial
Moisture wickingMaterialPolyester 83%Lycra 17%						",10049,11757.33,2XU PWX Refresh Men's Recovery Compression Tights,2XU,XS;M;L,http://products.activinstinct.com/y2011/m11/254566/57328748-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
254522-WA2003A,"
							This makes up part of the XFORM range that 2XU produce. It is designed to be used during and after exercise: Active and Recovery.

A variation from the standard version of XFORM Compression Top. The Thermal Compression Top utilise a brushed PWX FLEX fabric to give the wearer a far softer feel, one that is much warmer. As well as this, your core body temperature during use is regulated better, thus enhancing comfort and warmth when it gets cold.

These powerful and breathable compression garments feature the added benefit of graduated engineering for extra support and comfort. What this generates is a far more efficient delivery of oxygenated blood to fatigued muscles. These provide all the benefits that the PERFORM range does but with the added feature of graduated compression along the limbs, thus ensuring speedier muscle repair and recovery benefits following exercise.

Developed using extensive research and consultation with some of the best athletes in the world, 2XU have produced PWX; a collection of premium Compression fabrics engineered to offer brilliant levels of power, weight and flexibility: a devastating combination. Each PWX fabric features high grade elastomeric yarns, as well as a superior grade circular knit structure, and it is this that allows 360 degree stretch, unsurpassed power and unrivalled flexibility.

Features:

Using brushed PWX FLEX fabrication for softer, warmer feel and optimal flexibility
Greater regulation of core body temperature for comfort and warmth in cool climates
High power denier support to forearms, triceps, biceps, pectorals and deltoids
Core body support
Raglan sleeve construction for unrestricted movement
Graduated fit promotes increased circulation
Reduces soreness + enhances flushing blood lactates from exercising muscles
Flatlock seam construction
UPF50+ Sun Protection
Antibacterial
Moisture wickingMaterialPolyester 83%Lycra 17%						",9149,10704.33,2XU PWX Xform Ladies Thermal Compression Long Sleeve Top,2XU,XS;M;L;XL,http://products.activinstinct.com/y2011/m11/254522/88979263-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
254488-WA1941B,"
							This makes up part of the XFORM range that 2XU produce. It is designed to be used during and after exercise: Active and Recovery.

A variation from the standard version of XFORM Compression Tights. The Thermal Compression Tights utilise a brushed PWX FLEX fabric to give the wearer a far softer feel, one that is much warmer. As well as this, your core body temperature during use is regulated better, thus enhancing comfort and warmth when it gets cold.

These powerful and breathable compression garments feature the added benefit of graduated engineering for extra support and comfort. What this generates is a far more efficient delivery of oxygenated blood to fatigued muscles. These provide all the benefits that the PERFORM range does but with the added feature of graduated compression along the limbs, thus ensuring speedier muscle repair and recovery benefits following exercise.

Developed using extensive research and consultation with some of the best athletes in the world, 2XU have produced PWX; a collection of premium Compression fabrics engineered to offer brilliant levels of power, weight and flexibility: a devastating combination. Each PWX fabric features high grade elastomeric yarns, as well as a superior grade circular knit structure, and it is this that allows 360 degree stretch, unsurpassed power and unrivalled flexibility.

Features:

Engineered using a brushed PWX FLEX fabric for a softer and warmer feel
Greater regulation of your core body temperature to enhance comfort and warmth during in cool climates
High power denier support to hamstrings, quads, abductors, gluts + calves
Reduced muscle damage and fatigue
Graduated fit promotes increased circulation for faster recoveryMaterialPolyester 83%Lycra 17%						",10049,11757.33,2XU PWX Xform Ladies Thermal Compression Tights,2XU,XS;M;XL,http://products.activinstinct.com/y2011/m11/254488/27889059-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
254509-WA1991A,"
							This makes up part of the XFORM range that 2XU produce. It is designed to be used during and after exercise: Active and Recovery.

This Elite Compression Top is a step up from the standard version; for athletes that require an extra degree of support and power. These feature extra powerful PWX WEIGHT in the arm panels for added support, as well as greater support to the surrounding muscles including biceps and deltoids.

These powerful and breathable compression garments feature the added benefit of graduated engineering for extra support and comfort. What this generates is a far more efficient delivery of oxygenated blood to fatigued muscles. These provide all the benefits that the PERFORM range does but with the added feature of graduated compression along the limbs, thus ensuring speedier muscle repair and recovery benefits following exercise.

Developed using extensive research and consultation with some of the best athletes in the world, 2XU have produced PWX; a collection of premium Compression fabrics engineered to offer brilliant levels of power, weight and flexibility: a devastating combination. Each PWX fabric features high grade elastomeric yarns, as well as a superior grade circular knit structure, and it is this that allows 360 degree stretch, unsurpassed power and unrivalled flexibility.

Features:

Combination PWX FLEX through the core and upper arms plus extra powerful PWX WEIGHT fabric arm panel to support forearms
Also delivers support to triceps, biceps, deltoids and core body
Reduced muscle fatigue and damage
Graduated fit promotes increased circulation
Reduces soreness and enhances flushing of blood lactates from exercising muscles
Suitable for any athlete with upper body demands
Flatlock seam construction
UPF50+ Sun Protection
Antibacterial
Moisture wickingMaterialPolyester 83%Lycra 17%						",9149,10704.33,2XU PWX Xform Ladies Elite Compression Long Sleeve Top,2XU,XS;S;L,http://products.activinstinct.com/y2011/m11/254509/81214437-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
254636-MA2004A,"
							REFRESH Compression garments are designed for use after exercise. Extremely powerful and durable, these garments have been engineered to enhance blood circulation and lift the delivery of oxygen to the muscles. Featuring a rigid knit construction and graduated engineering, these are suited high performing athletes that need to recover fast.

The graduated pressure improved recovery by improving circulation and removing lactate from the muscles. This repairs muscles faster, reducing swelling and soreness.

Developed using extensive research and consultation with some of the best athletes in the world, 2XU have produced PWX; a collection of premium Compression fabrics engineered to offer brilliant levels of power, weight and flexibility: a devastating combination. Each PWX fabric features high grade elastomeric yarns, as well as a superior grade circular knit structure, and it is this that allows 360 degree stretch, unsurpassed power and unrivalled flexibility.

Features:

Using PWX WEIGHT and highly breathable powermesh
Engineered for the unique muscular physiology of swimmers
Powermesh through back and chest for ventilation
Graduated fit to promote increased circulation through arms
Flatlock seam construction
UPF50+ Sun Protection
Antibacterial
Moisture wickingMaterialPolyester 83%Lycra 17%						",10049,11757.33,2XU PWX Refresh Men's Swim Compression Recovery Top,2XU,XS;S;L;XL,http://products.activinstinct.com/y2011/m11/254636/84570312-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
254692-MA1944B,"
							Makes up part of the PERFORM range of compression clothing by 2XU. These are compression garments engineered for active use, with powerful fabrics offering unparalleled breathability, moisture management and flexibility. As a result, you are more comfortable and focused.

A variation from the standard version of PERFORM Compression. The Thermal Compression Tights utilise a brushed PWX FLEX fabric to give the wearer a far softer feel, one that is much warmer. As well as this, your core body temperature during use is regulated better, thus enhancing comfort and warmth when it gets cold.

Features muscle containment properties which reduce muscle damage during exercise. This reduces muscle oscillation and fatigue which can lead to improved muscle endurance, strength and power output for greater performance. The pressure these garments apply to the surface of the skin can help to improve posture, agility and stability (proprioception) for increased performance.

Developed using extensive research and consultation with some of the best athletes in the world, 2XU have produced PWX; a collection of premium Compression fabrics engineered to offer brilliant levels of power, weight and flexibility: a devastating combination. Each PWX fabric features high grade elastomeric yarns, as well as a superior grade circular knit structure, and it is this that allows 360 degree stretch, unsurpassed power and unrivalled flexibility.

Features:

Engineered using a brushed PWX FLEX fabric for a softer and warmer feel
Greater regulation of your core body temperature to enhance comfort and warmth during in cool climates
High power denier support to hamstrings, quads, abductors, gluts + calves
Reduced muscle damage and fatigue
Graduated fit promotes increased circulation for faster recoveryMaterialPolyester 83%Lycra 17%						",8249,9651.33,2XU PWX Perform Men's Thermal Compression 3/4 Tights,2XU,XS;S;M,http://products.activinstinct.com/y2011/m11/254692/46452575-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
254516-MA2002A,"
							This makes up part of the XFORM range that 2XU produce. It is designed to be used during and after exercise: Active and Recovery.

A variation from the standard version of XFORM Compression Top. The Thermal Compression Top utilise a brushed PWX FLEX fabric to give the wearer a far softer feel, one that is much warmer. As well as this, your core body temperature during use is regulated better, thus enhancing comfort and warmth when it gets cold.

These powerful and breathable compression garments feature the added benefit of graduated engineering for extra support and comfort. What this generates is a far more efficient delivery of oxygenated blood to fatigued muscles. These provide all the benefits that the PERFORM range does but with the added feature of graduated compression along the limbs, thus ensuring speedier muscle repair and recovery benefits following exercise.

Developed using extensive research and consultation with some of the best athletes in the world, 2XU have produced PWX; a collection of premium Compression fabrics engineered to offer brilliant levels of power, weight and flexibility: a devastating combination. Each PWX fabric features high grade elastomeric yarns, as well as a superior grade circular knit structure, and it is this that allows 360 degree stretch, unsurpassed power and unrivalled flexibility.

Features:

Using brushed PWX FLEX fabrication for softer, warmer feel and optimal flexibility
Greater regulation of core body temperature for comfort and warmth in cool climates
High power denier support to forearms, triceps, biceps, pectorals and deltoids
Core body support
Raglan sleeve construction for unrestricted movement
Graduated fit promotes increased circulation
Reduces soreness + enhances flushing blood lactates from exercising muscles
Flatlock seam construction
UPF50+ Sun Protection
Antibacterial
Moisture wickingMaterialPolyester 83%Lycra 17%						",7700,9009,2XU PWX Xform Men's Thermal Compression Long Sleeve Top,2XU,XS;S;M;L;XL,http://products.activinstinct.com/y2011/m11/254516/13939955-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
254480-MA1940B,"
							This makes up part of the XFORM range that 2XU produce. It is designed to be used during and after exercise: Active and Recovery.

A variation from the standard version of XFORM Compression Tights. The Thermal Compression Tights utilise a brushed PWX FLEX fabric to give the wearer a far softer feel, one that is much warmer. As well as this, your core body temperature during use is regulated better, thus enhancing comfort and warmth when it gets cold.

These powerful and breathable compression garments feature the added benefit of graduated engineering for extra support and comfort. What this generates is a far more efficient delivery of oxygenated blood to fatigued muscles. These provide all the benefits that the PERFORM range does but with the added feature of graduated compression along the limbs, thus ensuring speedier muscle repair and recovery benefits following exercise.

Developed using extensive research and consultation with some of the best athletes in the world, 2XU have produced PWX; a collection of premium Compression fabrics engineered to offer brilliant levels of power, weight and flexibility: a devastating combination. Each PWX fabric features high grade elastomeric yarns, as well as a superior grade circular knit structure, and it is this that allows 360 degree stretch, unsurpassed power and unrivalled flexibility.

Features:

Engineered using a brushed PWX FLEX fabric for a softer and warmer feel
Greater regulation of your core body temperature to enhance comfort and warmth during in cool climates
High power denier support to hamstrings, quads, abductors, gluts + calves
Reduced muscle damage and fatigue
Graduated fit promotes increased circulation for faster recoveryMaterialPolyester 83%Lycra 17%						",10049,11757.33,2XU PWX Xform Men's Thermal Compression Tights,2XU,XS;S;M;L;XL,http://products.activinstinct.com/y2011/m11/254480/94190168-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
254573-WA1960B,"
							REFRESH Compression garments are designed for use after exercise. Extremely powerful and durable, these garments have been engineered to enhance blood circulation and lift the delivery of oxygen to the muscles. Featuring a rigid knit construction and graduated engineering, these are suited high performing athletes that need to recover fast.

The graduated pressure improved recovery by improving circulation and removing lactate from the muscles. This repairs muscles faster, reducing swelling and soreness.

Developed using extensive research and consultation with some of the best athletes in the world, 2XU have produced PWX; a collection of premium Compression fabrics engineered to offer brilliant levels of power, weight and flexibility: a devastating combination. Each PWX fabric features high grade elastomeric yarns, as well as a superior grade circular knit structure, and it is this that allows 360 degree stretch, unsurpassed power and unrivalled flexibility.

Features:

Using the powerful PWX Weight fabric throughout for enhanced compression
Fabric provides greater pressure and recovery benefits by improving blood circulation and removal of blood lactates for faster muscle repair
Graduated fit further promotes increased circulation for faster recovery
New black on black logo
Flatlock seam construction
UPF50+ Sun Protection
Antibacterial
Moisture wickingMaterialPolyester 83%Lycra 17%						",10049,11757.33,2XU PWX Refresh Ladies Recovery Compression Tights,2XU,XS;S;M;L;XL;XXL,http://products.activinstinct.com/y2011/m11/254573/31102840-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
