SKU,Description,CP,SP,productname,Size,Brand,imgurl,
386242-5050973646 / 5050973647,"
							This ultra-light pure racing windshell is one for the racing purist, staying light, warm and fast. Tailored for women specifically, there will be no slowing you down.

Inov8 Outers are designed to be worn in cooler conditions or when you need to fend off extreme elements of wind and rain.

Features:

Pertex Quantum ultralight fabric for high levels of windproofness and breathability
Deep centre front zip / vent with dual locking zip heads
Elasticated cuffs and hem
Headphone loops inside collar
Multi-angle reflective detailing
Includes stuffsac
Athletic fitMaterialNylon 100%						",5499,6433.83,INOV8 Race Elite 60 Windshell Ladies Jacket,06;08;10;12;14;Purple/Green;Teal,INOV8,http://products.activinstinct.com/y2013/m10/386242/19032508-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
386253-5050973652 / 5050973653,"
							Designed especially for women, fitted and breathable, this stripped back long sleeve delivers the same UPF 50+ protection in a round neck with a 10g weight saving. Ideal for winter racing.

Inov8 base layers are designed to wick away sweat and keep the body at an optimum temperature.

Features:

100% Polyester Single Jersey main body and sleeve panels
96% Polyester / 4% Lycra mesh to natural cooling zones
Polygiene anti-microbial permanent odour control
Deep centre front zip / vent with locking zip head
Athletic fit
High collar
Flatlocked stitched construction
UPF 50+ protection to main body
UPF 20+ protection to mesh
Multi-angle reflective detailingMaterialLycra 2%Polyester Fabric 98%						",4400,5148,INOV8 Base Elite 130 Long Sleeve Ladies Top,06;08;10;12;Teal;Purple,INOV8,http://products.activinstinct.com/y2013/m10/386253/24076162-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
386264-5050973654,"
							Tailored for women, this is ideal on winter race days, with three distinct panelling zones. The 195 three-quarter tight locks in to place with stretch grip elastic hems.

Features:

Mesh panelling to back of knee and waist
Flat elasticated waist with non-loosening drawcords
Rear zip pocket with locking zip head and rear gel mesh pockets
Sticky grip elastic to inner hem
Flatlocked stitched construction
UPF 50+ protection to main body and reflective detailing
Athletic fitMaterialLycra 7%Polyester Fabric 93%						",5200,6084,INOV8 Race Elite 160 3QTR Ladies Tight,06;08;12,INOV8,http://products.activinstinct.com/y2013/m10/386264/32843875-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
379058-GWESSE9900,"
							Reflection and warmth, these soft shell running gloves are windproof, providing insulation, moisture management and reflective detailing for visibility. Fabric inserts on the fingers for touch screen capabilities.

Windstopper offers total wind protection, with maximum breathability, combining the comfort of a soft mid-layer and the water resistance of a shell in one garment. Windstopper Soft Shells keep you comfortable with the freedom of movement you need for enhanced performance in a wide range of running activities and weather conditions.

Features:

Touch screen compatible
Absorbent material on thumb and back of hand
Silicone-coated palm for better grip
Elastic wrist
Fleece lining
Zip pocket
Reflective detailingMaterialPolyester Fabric 100%						",4400,5148,GORE Men's Essential SO Glove,07;08,GORE,http://products.activinstinct.com/y2013/m08/379058/14394679-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
381230-RH-000283-R292,"
							Thermal layering item to keep you warm with a new fabric for added stretch and recovery, this is thicker than the 200 version.

Regulite fabric regulates body temperature. It is a knitted fabric that is thermal and ideal to control body temperature as it heats up during running. It is soft to touch and smooth next to the skin.

Features:

Lightweight and breathable with premium wicking treatment
Thermal layering
Quick drying
Cut and sew construction with flat-locked seams
Material: 78% polyamide, 22% elastaneMaterialElastane 22%Polyamide Nylon 78%						",5200,6084,RONHILL Ladies Base Thermal 300 1/2 Zip Tee,08;10;12,RONHILL,http://products.activinstinct.com/y2013/m09/381230/45426913-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
381236-RH-000077-R502,"
							Thermal layering item to keep you warm with a seamless construction.

Regulite fabric regulates body temperature. It is a knitted fabric that is thermal and ideal to control body temperature as it heats up during running. It is soft to touch and smooth next to the skin.

Features:

Lightweight, and breathable with Polygiene premium wicking treatment
3D knit construction for improved compressive wicking
Open knit structure for improved ventilation in key areas
Improved flexibility at elbow joint
Ribbed construction in midriff
Quick drying
Material: polyamide, polyesterMaterialPolyamide Nylon Polyester Fabric 						",5500,6435,RONHILL Ladies Base Seamless 200 Long Sleeve Tee,08;10;12;14,RONHILL,http://products.activinstinct.com/y2013/m09/381236/64489131-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
414463-04398-R004,"
							The Ronhill Pursuit Tight brings superb value for money, suitable for running or for general outdoor activities alike.

Features technical knitted fabric with great stretch and recovery, reflective tape for added safety in low light, ankle zips with lock down puller, bonidex elasticated waistband with drawcord and lock down back zip security pocket.MaterialPolyamide Nylon 90%Eleastane 10%						",3849,4503.33,RONHILL Ladies Pursuit Tight,08;10;12;14;16,RONHILL,http://products.activinstinct.com/y2014/m03/414463/35824570-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
414291-04443-R009,"
							A new performance capri with a stylish print.

This top is made using Flexlite, with a high elastane content in a woven construction. This allows the fabric to move with flattering, relaxed fit.

Features:

Durable water repellent treatment
Back zip security pocket
2 slanted hand pockets
Elasticated waistband with draw cordMaterialPolyamide Nylon 84%Eleastane 16%						",3900,4563,RONHILL Ladies Aspiration Vitality 3/4 Pant,08;10;12;14;16,RONHILL,http://products.activinstinct.com/y2014/m03/414291/24555871-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
310963-01163-009R,"
							The Ronhill Powerlite Pro Pant features a construction from Powerlite Pro Lite fabric that utilises a high proportion of Lycra to bring you a very structured flattering fit.

Comfortable yet practical running legwear for woman with centre-back security pocket with lock down zip and reflective graphics for added safety.Wide waistband with draw cord allows for an added level of comfort.MaterialPolyester 88%Elastane 12%						",4400,5148,RONHILL Ladies Aspiration Powerlite Pro Pant (Regular Leg),08;10;12;14;16,RONHILL,http://products.activinstinct.com/y2012/m09/310963/15621863-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
310482-03086-292,"
							High performance tights that feature elastane to provide excellent support, with great stretch and recovery.

Powerlite fabric allows for excellent stretch and recovery, great movement and a soft comfortable feel. It looks good to with a matt finish. UPF 50 ensures you stay protected against 98% of the sun's harmful UV rays.

Features:

Slim fitting leg-wear style
Reflective tape
Durable water repellent treatment to fabric
Integrated stirrups
Back zip security pocket
Flat waistband with draw cord
Fibre content: 88% Polyester, 12% ElastaneMaterialPolyester 88%Elastane 12%						",4400,5148,RONHILL Ladies Vizion Trackster,08;10;12;14;16,RONHILL,http://products.activinstinct.com/y2012/m09/310482/77648452-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
22088-03177-009,"
							The Ronhill Ladies Trek Trackster is designed for runners taking to challenging trails or excursion where adverse conditions are expected. Performance and functionality are essential for enjoyment out on the trail making this the ultimate trail trackster.

Constructed from tough, warm Exertec 200 fabric this pant boasts durability, high levels of stretch for ease of movement, wind resistance, breathability and a heavier weight.

Features a fuller cut modified to the female form for a better fit, elasticated waistband with draw cord adjustment and 2 zipped front security pockets.MaterialElastane 9%Polyamide 91%						",4499,5263.83,RONHILL Ladies Trek ,08;10;12;14;16,RONHILL,http://products.activinstinct.com/y2008/m12/22088/22088-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
381819-RH-000092,"
							The Ronhill Pro Pant features a construction from Powerlite Pro Lite fabric that utilises a high proportion of Lycra to bring you a very structured flattering fit.

Comfortable yet practical running legwear for woman with centre-back security pocket with lock down zip and reflective graphics for added safety.Wide waistband with draw cord allows for an added level of comfort.MaterialElastane 12%Polyester Fabric 88%						",4600,5382,RONHILL Ladies Aspiration Pro Pant,08;10;12;14;16,RONHILL,http://products.activinstinct.com/y2013/m09/381819/87194232-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
414298-RH-000092-R009,"
							The Ronhill Pro Pant features a construction from Powerlite Pro Lite fabric that utilises a high proportion of Lycra to bring you a very structured flattering fit.

Comfortable yet practical running legwear for woman with centre-back security pocket with lock down zip and reflective graphics for added safety.Wide waistband with draw cord allows for an added level of comfort.MaterialEleastane 12%Polyester Fabric 88%						",4600,5382,RONHILL Ladies Aspiration Pro Pant,08;10;12;14;16,RONHILL,http://products.activinstinct.com/y2014/m03/414298/69515187-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
381843-05249-R836,"
							A top designed to minimise the chill from cold and windy conditions while you run. Constructed with a lightweight, three layer, softshell torso and stretch panels, this top is comfortable and flexible enough to run with little distraction or resistance.

There is a high content of Elastane in the areas that move the most to give great stretch and recovery, which will not only allow for greater comfort, but improve the durability of the garment.

The arms and back of the garment feature wicking treatment for brilliant moisture management. For added practicality there are double mesh pockets, perfect for hats and gloves, as well as a back zip security pocket for your iPod, phone or gels.


Roll away mitts to keep chill off the hands
Thumb loops
Reflective tape to centre front zip
Flat-locked seams
100% PolyesterMaterialPolyamide Nylon 100%						",4699,5497.83,RONHILL Ladies Trail Long Sleeve Zip Tee,08;10;12;14;16,RONHILL,http://products.activinstinct.com/y2013/m09/381843/66074699-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
