SKU,Description,CP,SP,productname,Brand,Size,imgurl,Stock
427703-PRG140,"
							New this year, this range of gloves have classic, understated style and have been designed with professional performance in mind. They feature impact cushioning, support and better grip.

The very popular Rollfinger cut has a snugger fit than the conventional flat palm glove. It also has the best ball contact as the cut ensures the latex is always in contact with the ball when catching and throwing, thus providing a better feel when catching.

Features:

3mm super low German latex plus 3mm foam rollfinger palm
EVA backhand
Elasticated wristband and conventional strapMaterialLatex 						",3999,4678.83,PRECISION GK Brasileirao Rollfinger Basic Junior Goalkeeping Gloves,PRECISION,2;3;4;5;6;7,http://products.activinstinct.com/y2014/m05/427703/60699103-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
350312-BB8008,"
							A new generation, welded seam match ball, with Fusion 360 construction.

This features a tough PU film on the surface, with 4mm soft foam inter lining, to make it 100% waterproof. There is also excellent abrasion resistance on grass and astro pitches. As well as a high air retention bladder, the laminated polyester vulcanised core ensures excellent shape retention.						",3999,4678.83,MITRE Manto Football,MITRE,4;5,"http://products.activinstinct.com/y2013/m03/350312/60924946-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
350306-BB8004,"
							The Max Fluo is designed to deliver top performance in all conditions, especially on poor quality pitches.

The tough yet soft PU outer and the Mitre pro 4-way-lining system makes this is a truly top performance matchball, now available in the fluo option for poor light and visibility conditions.						",4999,5848.83,MITRE Max Fluo Football,MITRE,4;5,"http://products.activinstinct.com/y2013/m03/350306/73191970-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
350309-BB8005,"
							The Max is designed to deliver top performance in all conditions, especially on poor quality pitches.

Updated year on year with the latest technology the Max has become one of the hallmark Mitre balls for performance and reliability. The tough yet soft PU outer and the Mitre pro 4-way-lining system makes this is a truly top performance matchball.						",4999,5848.83,MITRE Max Football,MITRE,4;5,"http://products.activinstinct.com/y2013/m03/350309/66047018-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
421444-BB9000,"
							The Mitre Max V12 Fluo Football is a high visibility version of Mitre's re-engineered classic ball and provides stable performance in all conditions.

Features Mitre's revolutionary 12 panel construction to keep the ball stable at even the highest of speeds.

4 way lining system keeps the ball strong yet soft enhancing performance and feel.						",5499,6433.83,MITRE Max V12 Fluo Football,MITRE,4;5,"http://products.activinstinct.com/y2014/m04/421444/14542334-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
421449-BB9001,"
							The Mitre Max V12 Football is a re-engineered version of Mitre's classic ball and provides stable performance in all conditions for a new generation of footballer.

Features Mitre's revolutionary 12 panel construction to keep the ball stable at even the highest of speeds.

4 way lining system keeps the ball strong yet soft enhancing performance and feel.						",5499,6433.83,MITRE Max V12 Football,MITRE,4;5,"http://products.activinstinct.com/y2014/m04/421449/61556580-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
427662-PRG126,"
							Precision Goalkeeping has continued to develop their Schmeichology range with the help of Kasper Schmeichel of Leicester and Denmark.

This new flat palm glove features a basic latex palm, EVA backhand and a finger protection system.

Features:

EVA backhand
3mm latex plus 3mm flat palm protection
Elasticated wristband and conventional strapMaterialLatex 						",3999,4678.83,PRECISION Schmeichology Finger Protection Junior Gloves,PRECISION,4;5;6;7,"http://products.activinstinct.com/y2014/m05/427662/47171815-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
411679-BVNJ01,"
							Orca's generation S-series speedsuit continues its evolution with the S5. While retaining many of the great features of the S4, the new S5 introduces a 5mm thick panel of neoprene from neck to mid-leg, increasing flexibility and buoyancy, making it the most buoyant entry level wetsuit on the market. Like its predecessor, the S5 promises hydrodynamics, flexibility, buoyancy and durability. 2mm Yamamoto 39-cell coated neoprene underarm and shoulder panels provide a superb range of motion. The back is made of 3mm Smooth Skin neoprene, offering buoyancy and thermal protection. Silicone-print Hydrostroke forearm catch panels increase power through the stroke, while Speed Transition calf panels make transitions faster still.

Features of the Orca S5 Wetsuit

EXCELLENT BUOYANCY
Supports you in your first open water experience with a 5mm neoprene panel from neck to knee. Market leading buoyancy at an entry level price

GREAT FLEXIBILITY
2mm SCS neoprene in arms and shoulders â"" high stretch SCS coated upper arms and torso

YAMAMOTO NEOPRENE
Performance-level durable Yamamoto neoprene provides excellent buoyancy, flexibility and thermal protection

SPEED TRANSITION CALF PANELS
Guaranteed easy removal of the wetsuit and faster transition timesMaterialNeoprene Blend Textile 						",16499,19303.83,ORCA S5 Men's Full Sleeve Wetsuit,ORCA,4;5;6;MT;7;8;9;10;11,"http://products.activinstinct.com/y2014/m02/411679/34968454-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
427718-TR053,,5099,5965.83,PRECISION GK Goalkeeper Junior Shirt,PRECISION,Boys;Large Boys,"http://products.activinstinct.com/y2014/m05/427718/38617529-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
289347--,"
							ZERO is the new sugar free electrolyte drink from High5. The drink is virtually calorie free (Energy 0.23Kcal per 100ml when mixed 1 tablet per 750ml) and has a light refreshing taste.

ZERO is naturally free from preservatives, allergens, artificial colours and flavours. Scientific research at the Faculty of Biomedical and Life Sciences, University of Glasgow found that simply drinking ZERO instead of a normal carbohydrate sport drink participants burned on average 41% more fat during exercise.

This is an incredibly easy product to use, drop a tablet in your bottle and it quickly dissolves in water to give you a delicious, refreshing, advanced electrolyte drink with added magnesium. The small recyclable tube contains 20 tablets and makes 15 litres of drink in your own reusable sports bottle, which means optimal hydration while being environmentally friendly also.

As cramp can happen as a result of dehydration, electrolyte deficits, and muscle fatigue, ZERO can be an essential part of your anti cramp strategy as it contains key electrolytes; sodium, potassium, magnesium and calcium. ZERO is perfect for anyone who wants to stay active and hydrated, whether it being running, triathlon, team sports or whatever takes your fancy.

Nutritional Information typical values per 100g/per 4g Tablet:
Energy 175kJ, 42kcal / [7kJ, 1.7 kcal], Protein 0g [0g], Carbohydrate 2g [0g] of which sugars 0g [0g], Fat 0g [0g], Fiber 0g [0g], Sodium 6.5g [0.26g], Magnesium 800mg [32mg].MaterialMagnesium Sodium 						",6499,7603.83,HIGH5 Zero Active Hydration Drink Tabs - 8 x 20 Tablet Tube (1 Box),HIGH5,Cherry Orange;Citrus;Pink Grapefruit;Berry,"http://products.activinstinct.com/y2012/m05/289347/46083683-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
289043--,"
							The fast-build protein formula for athletes. Ideal as a daytime muscle growth complex or as a pre-workout protein boost. Fast proteins (whey isolate, whey hydrolysate, wheat protein hydrolysate) deliver a big shot of nutrition when your body needs it in a triple fast protein blend with a structured amino acid profile. Taken between meals, SiS REGO Protein powder helps increase protein turnover throughout the day and so maximises training gains.

Uses: Take prior to resistance workouts, use between meals to boost protein synthesis or use with meals to boost protein content.

Do not take SiS REGO Protein powder prior to bed time, as fast proteins can increase protein catabolism (muscle breakdown) over an 8 hour fast (you can use SiS REGO Night instead) which is designed to slowly drip feed proteins overnight to help avoid muscle breakdown.

SiS REGO Protein powder is part of the protein kinetics system, which utilizes the absorption characteristics of different proteins in order to maximize training gains.

The Protein Kinetics System was developed from studies using the latest research techniques that look beyond nitrogen balance and absolute nitrogen supply, to focus on absorption speed and protein turnover. Science in Sport has identified specific protein fragments that have different kinetic profiles, and incorporated them into this product.

Nutritional information per 40g:
Energy 670kj/158kcal
Protein 33g
Carbohydrate 2.1g
- of which sugars 1.1g
Fat 2.1g
- of which saturates 0.5g
Fibre 0.5g
Sodium 0.1g
Vitamin B6 1.9mg
Calcium 23mg
Phosphorous 35mg
Magnesium 46mg
Potassium 189mgMaterialFlavouring Xanthan Gum Sweetener Magnesium Lactate Soya Lecithin Beetroot Colouring Pyridoxine Hydrochloride Wheat Protein Hydrolysate Guar Gum Whey Protein Concentrate Whey Protein Isolate Whey Protein Hydrolysate Glutamine 						",5799,6784.83,SCIENCE IN SPORT Rego Protein Powder 1.2kg,SCIENCE,Chocolate;Strawberry,"http://products.activinstinct.com/y2012/m05/289043/55777008-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
402932--,"
							The Multi Sport Underwear Shorts bring the benefits of their medical-grade compression to the
widest audience yet. Whatever your sport or physical activity, these shorts deliver optimum
compression to the thighs in total comfort.

The Multi Sport Underwear Shorts are designed to be worn underneath regular shorts or kit and are seamless, ultra lightweight, breathable and optimise postural alignment. They incorporate
targeted thigh compression which enhances blood flow, improves hip/buttock alignment and
reduces muscle vibration.

Targeted Compression: the seamless Compressport fibre is exclusively woven on medical compression machines allowing for millimetre-precision compression graduation, targeted around the thighs. This enables the stimulation of blood flow and oxygenation, evacuation of toxins, good knee alignment, shock absorption and the reduction of muscle vibration thus delaying muscle fatigue.

Waistband: the Jacquard elastic waistband is designed for comfort and has silicone grip inside to keep the shorts in position.

Push-Up Zone: the shorts provide exceptional support to the groin area while offering maximum freedom of movement and comfort. The Push-Up Zone is woven from 100% pure natural fibres: cashmere is thermo-regulatory; copper has antifungal and antibacterial properties to prevent odours and irritation of the mucous membranes; soft wood pulp is highly absorbent and breathable.

Flat-Lock Seams: the shorts are assembled with the latest generation flat-lock seams. Solid and
discreet, they avoid chafing.

Ergofit: the fibre and shape of the shorts are designed to fit every curve of your body perfectly, maximising efficiency and comfort.

Hydrophobic: the water-repellent fibre wicks moisture away and evacuates sweat without absorbing it. No more uncomfortable heavy, damp clothing that irritates and doesn't dry.

Ultralight: a second-to-none combination of high-performance, compression and weight, the technology used by Compressport makes these shorts the lightest true compression shorts ever made.

Thermoregulation: the fabric's unique weave enhances air circulation enables a perfect balance
between the inside and outside of the shorts, so body temperature remains stable with no sudden surges or drops.

Massaging Fibre: each movement triggers a micro massage providing a sensation of lightness and wellbeing.

Anti-Bacterial: the SANITIZED treatment helps prevent the growth of bacteria and naturally fights odours.

OEKO-TEX-certified: the innovative fibre used has the world-renowned OEKO-TEX inspection
certificate, declaring that it contains no chemical substances harmful to the skin.

Quality Guarantee: Compressport guarantees your product for two years and will exchange it for any manufacturing fault or defect during that period.						",8249,9651.33,COMPRESSPORT Multi Sport Underwear Shorts,COMPRESSPORT,T1;T2;T3;T4,"http://products.activinstinct.com/y2014/m01/402932/94092052-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
397962-SHORTUWTBLKT,"
							To meet the increasing demand from its many trail running athletes, Compressport now offers a unique range of compression shirts and shorts designed specifically for trail running, incorporating many new trail-specific features.

The Trail Underwear Shorts, designed to be worn underneath regular shorts, are seamless, ultra lightweight, breathable and optimise postural alignment. They incorporate targeted thigh compression which enhances blood flow, improves hip/buttock alignment and reduces muscle vibration.

The seamless Compressport fibre is exclusively woven on medical compression machines, allowing for millimetre-precision compression graduation, targeted around the thighs. This enables the stimulation of blood flow and oxygenation, evacuation of toxins, good knee alignment, shock absorption and the reduction of muscle vibration thus delaying muscle fatigue.						",8699,10177.83,COMPRESSPORT Compression Trail Underwear Short,COMPRESSPORT,T1;T2;T3;T4,"http://products.activinstinct.com/y2013/m12/397962/75780971-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
397842-R2,"
							Compression garments enhance performance, delay fatigue, lower the risk of injury and speed up
recovery times. Based on fabrics and technology originally developed for medical compression products, they help to eliminate muscle and joint pain by supporting the muscles and reducing shock and vibrations.

After exercise the Compressport R2 calf guard boosts your venous return, reducing the accumulation of toxins while increasing oxygenation to the muscles. The reduction in lactic acid build-up coupled with its shock absorption properties protects you from muscular fatigue and damage.

Muscles benefit from improved oxygenation, helping to reduce the possibility of cramps and injuries. The Compressport fabric also optimises heat exchange and wicks away moisture, helping to regulate your body temperature.						",4199,4912.83,COMPRESSPORT R2 Calf Compression Guard,COMPRESSPORT,T1;T2;T3;T4;Ice Blue;Black;Blue;Green;Pink;Purple;Red;White;Yellow,"http://products.activinstinct.com/y2013/m12/397842/49045066-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
397921-FULLLEGBLACKT,"
							Compression garments enhance performance, delay fatigue, lower the risk of injury and speed up
recovery times. Based on fabrics and technology originally developed for medical compression products, they help to eliminate muscle and joint pain by supporting the muscles and reducing shock and vibrations.

This boosts your venous return, reducing the accumulation of toxins while increasing oxygenation to the muscles. The reduction in lactic acid build-up coupled with its shock absorption properties protects you from muscular fatigue and damage.

The Compressport F-Like Full Leg sleeve combines support for the two main compression areas (calves and thighs) into one product. The F-Like also optimises the knee position which is ideal for track, road, trail running and cycling.

Unlike conventional compression shorts which cover the groin, there is no need to machine wash these after each use, it can be hand washed in the shower then worn again straight away for recovery.						",7799,9124.83,COMPRESSPORT F-Like Full Leg Compression Guards,COMPRESSPORT,T1;T2;T3;T4;T1+;T2+;T3+;T4+,"http://products.activinstinct.com/y2013/m12/397921/65735868-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
432622-P1GA140427,"
							The Mizuno Morelia MD is a true classic both in terms of design and fit.

The graded sole plate offers enhanced flexibility and durability which allows optimum performance weather during training or in the heat of a game.

The upper part of the boot is manufactured with precision using light-weight super soft Kangaroo leather and is crafted with a flip over tongue.

The classic moulded multi-stud pattern offers excellent foot holding and comfort and features 13 specifically positioned PU studs that reduce stud pressure.

Also includes a removable Morelia sockliner.

Weight: 260 gramsMaterialRubber 						",10499,12283.83,MIZUNO Morelia MD Mens Football Boot,MIZUNO,UK5;UK5.5;UK8.5;UK10.5;UK11;UK12,"http://products.activinstinct.com/y2014/m06/432622/80779820-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
432639-P1GA140527,"
							The Mizuno MRL Classic MD is inspired by the Morelia boot.

The Morelia classic offers a water-resistant full grain leather upper - featuring the trade mark Morelia fold over tongue.

The classic moulded multi-stud pattern allows excellent foot holding and comfort and features 13 specifically positioned PU studs that reduce stud pressure.

Also features a removable sockliner.

Weight: 290 gramsMaterialPlastic 						",7799,9124.83,MIZUNO MRL Classic MD Mens Football Boot,MIZUNO,UK6;UK6.5;UK7;UK7.5;UK10.5;UK11;UK12,"http://products.activinstinct.com/y2014/m06/432639/84143522-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
432561-P1GA141445,"
							The Mizuno Neo Zen MD Football Boots are designed to get you playing in comfort with a touch that won't let you down when you need to make a decisive pass.

Features a soft lightweight microfiber upper for comfort that won't hold you back on the pitch along with a classic moulded multi studded pattern that provides for excellent foot holding and comfort.

Features removable anatomic moulded insock for comfort and cushioning.MaterialPlastic 						",8699,10177.83,MIZUNO Neo Zen MD Men's Football Boots,MIZUNO,UK6;UK6.5;UK7;UK7.5;UK8;UK8.5;UK9;UK9.5;UK10;UK10.5;UK11;UK12,"http://products.activinstinct.com/y2014/m06/432561/75085128-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
185558-12KS972,"
							The Mizuno Morelia SI is a true classic both in terms of design and fit.

The graded sole plate offers enhanced flexibility and durability which allows optimum performance weather during training or in the heat of a game.

The upper part of the boot is manufactured with precision using light-weight super soft Kangaroo leather and is crafted with a flip over tongue and Velcro fastener.

The soft ground outsole features 8 regional specific detachable studs and the boot is fitted with a removable Morelia sockliner.

Weight: 275 gramsMaterialSynthetic Leather 						",10499,12283.83,MIZUNO Morelia SI Mens Football Boot,MIZUNO,UK6;UK6.5;UK7;UK7.5;UK8;UK8.5;UK9;UK9.5;UK10;UK10.5;UK11;UK12,"http://products.activinstinct.com/y2010/m08/185558/11201535-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
185608-12KS974,"
							The Mizuno MRL Classic SI is inspired by the Morelia boot.

The Morelia classic offers a water-resistant full grain leather upper - featuring the trade mark Morelia fold over tongue.

The soft ground outsole features 6x2 regional specific detachable studs and the boot is fitted with a removable sockliner.

Weight: 300 gramsMaterialLeather 						",8699,10177.83,MIZUNO MRL Classic SI Mens Football Boot,MIZUNO,UK6;UK6.5;UK8;UK9;UK10;UK10.5;UK11;UK12,"http://products.activinstinct.com/y2010/m08/185608/49944076-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
16843-11040,"
							The boot that's been the choice of professional footballers for more than 20 years. The adidas World Cup features a classic design, crafted with the highest quality materials and screw-in studs. * K-leather upper for durability, lightness and glove-like fit * Synthetic lining for comfort * EVA insole for comfort * TPU plate outsole for lightweight performance and durability * Screw-in studs for grip on very soft, natural groundsMaterialLeather 						",8000,9360,ADIDAS World Cup Football Boots ,ADIDAS,UK6;UK7;UK10;UK11;UK12;UK13,"http://products.activinstinct.com/y2008/m12/16843/62438194-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
185583-12KP972,"
							The Mizuno Morelia MD is a true classic both in terms of design and fit.

The graded sole plate offers enhanced flexibility and durability which allows optimum performance weather during training or in the heat of a game.

The upper part of the boot is manufactured with precision using light-weight super soft Kangaroo leather and is crafted with a flip over tongue.

The classic moulded multi-stud pattern offers excellent foot holding and comfort and features 13 specifically positioned PU studs that reduce stud pressure.

Also includes a removable Morelia sockliner.

Weight: 260 gramsMaterialSynthetic Leather 						",10499,12283.83,MIZUNO Morelia MD Mens Football Boot,MIZUNO,UK6;UK7;UK8.5;UK9;UK9.5;UK10;UK10.5;UK11;UK12,"http://products.activinstinct.com/y2010/m08/185583/96630039-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
432748-P1GA146209,"
							The Basara 001 KL Men's Football Boot features kangaroo leather vamp provides superior comfort and fitting.
Moulded multi-stud cleated outsole to provide excellent foot holding and comfort.
D-Flex groove supports fast multi-directional play by efficiently transferring weight &amp; power for an accelerated shift in direction.MaterialKangaroo Leather 						",14099,16495.83,MIZUNO Basara 001 KL Men's Football Boot,MIZUNO,UK7;UK7.5;UK8;UK8.5;UK9;UK9.5;UK10;UK10.5;UK11;UK12,"http://products.activinstinct.com/y2014/m06/432748/35789919-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
432733-P1GA146009,"
							The Basara 001 TC Men's Football Boot features a lightweight, soft and supple Primeskin upper to offer superior comfort and fitting.

Specifically placed Traction Control cleats to optimise performance at top speed.

D-Flex groove supports fast multi-directional play by efficiently transferring weight &amp; power for an accelerated shift in direction.

R-Fiber Control upper to reduce excess stretching and to securely hold the foot.MaterialPlastic 						",14099,16495.83,MIZUNO Basara 001 TC Men's Football Boot,MIZUNO,UK7;UK7.5;UK8;UK8.5;UK9;UK9.5;UK10;UK10.5;UK11;UK12,"http://products.activinstinct.com/y2014/m06/432733/37794916-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
368494-Q21726,"
							The look and feel of lightning lights up any pitch in these men's Predator XTRX football boots. Though specifically designed for expert grip on soft pitches, the screw-in stud design allows you to adjust these boots to any kind of pitch. Made from ultra-light HYBRIDTOUCH, they feature predator forefoot details for increased accuracy and shooting power.


predator technology gives you five lethal zones to control the ball with every touch
HYBRIDTOUCH synthetic leather material for premium softness, light weight and performance
Pre-moulded EVA sockliner with additional anti-slip EVA inserts on the backside
SPRINTFRAME construction for the perfect balance between light weight and stability
Nubuck touch heel lining for super-soft comfort; miCoach-compatible
Hybrid TRAXION 2.0 SG stud configuration has a mix of exchangeable screw-in studs and moulded TPU studs for maximum acceleration and grip on soft groundsMaterialSynthetic Material 						",9100,10647,ADIDAS Predator LZ XTRX SG Men's Football Boots,ADIDAS,UK7;UK8;UK9;UK10,"http://products.activinstinct.com/y2013/m07/368494/58521737-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
433417-M19894,"
							Part of the Battle Pack series of limited edition boots, designed by adidas for the Brazil 2014.

The Adidas adiPURE 11Pro football boots feature ultrasoft Taurus leather, crafted to mimic foot movement. The premium leather delivers the performance and comfort you come to know and expect.

The leather is aided by memory foam, allowing your foot to get the most comfortable feel for long minutes on the field. The Comfort Frame outsole combines with optimised stud placement to properly distribute pressure while maintaining ground penetration.MaterialSynthetic 						",12749,14916.33,ADIDAS World Cup adiPURE 11Pro FG Men's Football Boot,ADIDAS,UK7;UK8;UK9;UK10;UK11;UK12,"http://products.activinstinct.com/y2014/m06/433417/64398013-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
