SKU,Description,CP,SP,productname,Brand,Size,imgurl,
379710-GWPOWE,"
							High quality, wind proof gloves for ambitious race bikers. For better warmth, grip and finger sensation.

Windstopper offers total wind protection, with maximum breathability, combining the comfort of a soft mid-layer and the water resistance of a shell in one garment. Windstopper Soft Shells keep you comfortable with the freedom of movement you need for enhanced performance in a wide range of running activities and weather conditions.

Features:

Reflective logo
Silicone print on forehand
Inner forehand with foam padding
Foam padding on palm
Reflective print on back of hand
Thermo lining
Thermo lining
Elastic wrist
Absorbent material on thumb for wiping away perspirationMaterialWindstopper Fabric Polyester Fabric 100%						",5099,5965.83,GORE Power WINDSTOPPER Soft Shell Gloves,GORE,08;09;10,http://products.activinstinct.com/y2013/m08/379710/80115312-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
32804-AL30WCYC,,3649,4269.33,ALTURA Ladies Cyclone Shorts,ALTURA,08;10;12;14;16,http://products.activinstinct.com/y2010/m01/32804/97582117-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
425757-4146,"
							Designed in Nylex for superior stretch properties and rebound qualities, these are female-specific cycle shorts.

There is a monolith padded insert for comfort, gripper elastic leg hems to prevent ride up and high-wicking characteristics. This is suitable for all year round use.MaterialPolyester Fabric 						",3749,4386.33,POLARIS Adventure Ladies Shorts,POLARIS,08;10;12;14;16,http://products.activinstinct.com/y2014/m04/425757/57582754-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
428311-AL30WCYCB,"
							The Altura Cyclone Ladies Cycle Shorts feature a multi-panel design for comfort without restriction.

Features:

Women's specific design
Antibacterial, stretch multi-density insert
Silicone leg grippers
Flatlock stitch seams

82% Nylon, 18% SpandexMaterialNylon 82%Spandex 18%						",3749,4386.33,ALTURA Cyclone Ladies Cycle Shorts,ALTURA,08;10;12;14;16,http://products.activinstinct.com/y2014/m05/428311/12847010-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
27942-AL30WSPIB,"
							The Soft touch and stretch combined with the deep flat elastic waist make the Spirit Shorts great value with a fit and design that will provide optimum comfort and freedom of movement.

Cotton feel stretch spandex fabric allows you to ride for extended periods when combined with the deep, flat elasticated waistband and the stretch, multi density ladies specific insert for comfort that that’ll allow you to focus on riding your best.

Silicone leg grippers ensure the short retains the correct fit throughout the ride.MaterialPolyester Nylon Polyurethane 						",4199,4912.83,ALTURA Ladies Spirit Shorts,ALTURA,08;10;12;14;16,http://products.activinstinct.com/y2009/m03/27942/27942-pad-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
219526-03181-292,"
							Constructed from Thermalite fabric, this knitted garment is perfect for regulating your body temperature during activity, whether it is for training or competition. Keeping you feeling cool while your body heats up, this fabric is soft to the touch and feels smooth next to your skin.

While this technology keeps you feeling good underneath, the hard wearing fabric and water repellent treatment unsure the elements are kept on the outside. There are also the additional features of reflective piping, two zipped security pockets and a flat bonidex waistband.MaterialPolyester 100%						",4299,5029.83,RONHILL Ladies Bikester Evolution,RONHILL,08;10;12;14;16,http://products.activinstinct.com/y2011/m03/219526/74974127-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
348693-AVS5,"
							The new Orca Swim Square Leg is constructed from the 100% chlorine resistant Cl-PRO fabric; a durable PBT Polyester/Polyester blend that resists the effects of chlorine and warm water.

The long life fabric has high elasticity and is water repellent, using the latest chlorine resistant technologies to retain its structure and shape, and prevent colour fading, making it perfect for regular use in the pool. Orca has utilised its knowledge in designing performance triathlon swimsuits in the construction of the Swim One Piece, which features racestyle back straps and ergonomic body panelling. The suit has an internal mesh-lined front panel, twin needle armhole, strap, neck and leg opening and flat lock stitching for comfort and performance in the pool.

Features:

Polyester fabric for chlorine resistance
Internal mesh-lined for comfort and support
Race-style back straps
Body contoured panels
Twin needle finished leg him
Flat lock top stitch
Silicone label for low irritationMaterialSynthetic Material 						",4699,5497.83,ORCA Ladies 226 Enduro One-Piece Swimsuit,ORCA,08;10;12;14;16,http://products.activinstinct.com/y2013/m03/348693/16548274-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
426354-4501,,5099,5965.83,POLARIS Keirin Ladies Gel Short,POLARIS,08;10;12;14;16,http://products.activinstinct.com/y2014/m04/426354/93506951-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
426337-1832,,5349,6258.33,POLARIS She-Quartz Ladies Shorts,POLARIS,08;10;12;14;16,http://products.activinstinct.com/y2014/m04/426337/77438541-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
220625-AL32WPROB,"
							The Altura Progel 3/4 length ladies lycra performance shorts have gel padded inserts for added comfort, as well as French stitched seams and a reflective trim for added visibility.

Features:

8 panel womens specific design
Antibacterial, Multi density stretch insert with Gel sit bone pads
French stitch seams
Reflective trimMaterialLyrca 100%						",5999,7018.83,ALTURA Ladies ProGel 3/4 Short,ALTURA,08;10;12;14;16,http://products.activinstinct.com/y2011/m03/220625/14607943-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
426324-5775,"
							Ladies specific bib short with a tailored, contoured fit and 3D gel-filled chamois.

Zip release bib for comfort breaks, mesh bib for temperature control and comfort, reflective piping at the rear and elasticated silicon gripper to prevent ride up.MaterialChamois 						",5999,7018.83,POLARIS E-Motion Ladies Bib Short,POLARIS,08;10;12;14;16,http://products.activinstinct.com/y2014/m04/426324/57787219-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
426318-4074,"
							Stretch thermal cycling tights. These are made from micro denier Thermastretch fabric for warmth and fast moisture transfer.

Padded for comfort with a moulded Coolmax Silver pad, there is also reflective detailing and self-fabric foot stirrups for comfort.MaterialSynthetic 						",6249,7311.33,POLARIS Cadence Ladies Tight,POLARIS,08;10;12;14;16,http://products.activinstinct.com/y2014/m04/426318/45593367-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
426254-1818,"
							A new updated version of the best-selling Mica jacket. This fitted long-sleeve cycle top has a windproof front panel and is made from Thermastretch; a super-stretchy brush backed fabric with a laminated windproof membrane.

Slim, contoured fit, full-length front zip with chin guard and three rear storage pockets.MaterialSynthetic 						",6449,7545.33,POLARIS Mica Ladies Jacket,POLARIS,08;10;12;14;16,http://products.activinstinct.com/y2014/m04/426254/14494419-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
428154-AL31WPROB,"
							The Altura Ladies Progel Cycling Bib Shorts are designed to provide high performance for the serious female rider and utilise a range of features that ensure comfort, freedom of movement and durability.

Features:

Highly durable soft touch stretch fabric
8 panel pre-shaped bib design for ultimate comfort and fit
Women's Progel stretch multi density insert
Specific pre-shaped women's cut designed bib
Silicone leg grippers to keep firmly in place
Reflective trim details for increased visibility
Performance fit

80% Nylon 20% PolyurethaneMaterialNylon 80%Polyurethane 20%						",6899,8071.83,ALTURA Ladies Progel Cycling Bib Shorts,ALTURA,08;10;12;14;16,http://products.activinstinct.com/y2014/m05/428154/93722246-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
428233-AL30WSPIB,"
							The Altura Spirit Ladies Stretch Short is a versatile stretch short for all types of riding. A focus on comfort with a ladies specific design ensures this short will keep you riding at your best mile after mile.

Features:

Deep, flat elastic waist for optimum comfort and fit
Highly durable soft touch stretch fabric
Multi panel women's specific design
Stretch, multi density women's insert
Deep, flat elastic waist
Silicone leg grippers to keep firmly in place
Reflective trim details for increased visibility
Sport fit

80% Nylon, 20% SpandexMaterialNylon 80%Spandex 20%						",4199,4912.83,ALTURA Spirit Ladies Stretch Short,ALTURA,08;10;12;14;16;18,http://products.activinstinct.com/y2014/m05/428233/82248377-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
220631-AL29WPROB,"
							High spec liner short with gel injected ProGel insert for added comfort and support.

With six panel soft lycra construction and a ProGel stretch, multi density insert with gel sit bone pads. The waist loops are there for Altura baggy compatibility and the silicone leg grippers ensure the shorts stay firmly in the right place.MaterialNylon 95%Spandex 5%						",4199,4912.83,ALTURA Ladies PoGel Liner Shorts,ALTURA,08;10;12;14;16;18,http://products.activinstinct.com/y2011/m03/220631/19718936-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
417629-AL34WCRUB,,4199,4912.83,ALTURA Cruisers Ladies Cycling Tights,ALTURA,08;10;12;14;16;18,http://products.activinstinct.com/y2014/m03/417629/70812614-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
286289-AL27WMERG,,4300,5031,ALTURA Ladies Merino Base Layer,ALTURA,08;10;12;14;16;18,http://products.activinstinct.com/y2012/m04/286289/59515109-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif
