SKU,Description,SP,MRP,productname,Brand,Size,Stock,imgurl,imgurl,imgurl,imgurl
7560-202251,"
							Unsquashable, one of the most famous squash brands throughout the world, has enjoyed a great deal of success over the last 25 years with many World and British Open titles being won by players using Unsquashable racket. There is an Unsquashable model to meet every need from beginner to World Champion. Unsquashable are in partnership with England Squash, the governing body of the sport in this country, to introduce innovative ideas to expand participation in squash throughout the UK with the exciting Mini Squash programme. Consisting of:

Unsquashable Mini Squash portable rebound wall
Rebound net and lightweight frame
Ideal coaching aid for school and recreational use
Overall dimensions 200cm x 200cm
Suited for hard surface
Easy assembly with instructions

1 Foundation racket - length 21"""" - Ideal light beginners racket for small children, Aluminium, Weight 175g, Colour - Red/Silver/Black

1 Improver racket - length 24"""" - Ideal light, strong junior racket for improving children, Aluminium, Weight 190g, Colour - Orange/Silver/Black

1 Pro racket - length 27"""" - Full size aluminium racket aimed at 11 years and above, Robust racket ideal for teenagers who are starting the game of squash, Weight 210g

Recommended by England Squash
6 oversize Fundation Unsquashable Mini Squash balls
Oversize ball for Mini Squash
Ideal for introductory racket skills
High bounce for beginners
Packed in boxes of 12
England Squash Approved
Set of abbreviated rules, history of the game, coaching hints and where to play.						",25153.83,29933.0577,UNSQUASHABLE Start Sport Mini Squash Set,UNSQUASHABLE,,,http://products.activinstinct.com/y2008/m12/7560/7560-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
7560-202251,"
							Unsquashable, one of the most famous squash brands throughout the world, has enjoyed a great deal of success over the last 25 years with many World and British Open titles being won by players using Unsquashable racket. There is an Unsquashable model to meet every need from beginner to World Champion. Unsquashable are in partnership with England Squash, the governing body of the sport in this country, to introduce innovative ideas to expand participation in squash throughout the UK with the exciting Mini Squash programme. Consisting of:

Unsquashable Mini Squash portable rebound wall
Rebound net and lightweight frame
Ideal coaching aid for school and recreational use
Overall dimensions 200cm x 200cm
Suited for hard surface
Easy assembly with instructions

1 Foundation racket - length 21"""" - Ideal light beginners racket for small children, Aluminium, Weight 175g, Colour - Red/Silver/Black

1 Improver racket - length 24"""" - Ideal light, strong junior racket for improving children, Aluminium, Weight 190g, Colour - Orange/Silver/Black

1 Pro racket - length 27"""" - Full size aluminium racket aimed at 11 years and above, Robust racket ideal for teenagers who are starting the game of squash, Weight 210g

Recommended by England Squash
6 oversize Fundation Unsquashable Mini Squash balls
Oversize ball for Mini Squash
Ideal for introductory racket skills
High bounce for beginners
Packed in boxes of 12
England Squash Approved
Set of abbreviated rules, history of the game, coaching hints and where to play.						",25153.83,29933.0577,UNSQUASHABLE Start Sport Mini Squash Set,UNSQUASHABLE,,,http://products.activinstinct.com/y2008/m12/7560/7560-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
7559-20226A,"
							Lightweight aluminium frame rebound net with tension to produce a similar rebound to a concrete wall
Adjustable tilt for speed and bounce variation
Easy to assemble unit includes velcro straps on rebound net
Size 2m x 2m
Can be used on wood, rubber or concrete floor						",23749.83,28262.2977,UNSQUASHABLE Mini Squash Portable Aluminium Rebound Wall ,UNSQUASHABLE,,,http://products.activinstinct.com/y2008/m12/7559/7559-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
224645--,"
							UltraNick offers a fine, powerful, lightweight and durable string, just like PowerNick, but with the addition of a soft feel.

This is possible due to recent advances that have produced finer Zyex filaments in the string core, with new multifilament core packages with increased linear density and more cross-sectional strength being used.

The results are thinner, stronger, light-weight UltraNick strings which provide softer feel, more power, and improved ball control, yet still offer the well-known Zyex playing characteristics and tension holding properties.						",20473.83,24363.8577,ASHAWAY UltraNick 18 1.15mm Squash String 110m Reel,ASHAWAY,,,http://products.activinstinct.com/y2011/m05/224645/30589659-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
392361-6P876302 / 6P876613 / 6P876804,,8188.83,9744.7077,PRINCE Tour Team Backpack,PRINCE,Black/Green;Black/Orange;Black/Red,,http://products.activinstinct.com/y2013/m11/392361/34784106-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
427406-20013,"
							The flagship racket of the Y-Tec range aimed at competition and team players.

Features:

Made from Carbon 4 with Kevlar inserts
Mega Power Zone
Double String Pattern
Anti-Vibration handle
Balance- Mid
String- US 600 twist string						",17548.83,20883.1077,UNSQUASHABLE Y-Tech 8000 Squash Racket,UNSQUASHABLE,,,http://products.activinstinct.com/y2014/m05/427406/65424648-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
166893-ASS7/110,"
							Composites are ideal for the player that demands longer lasting durability without sacrificing playability. This optimal balance is achieved by a combination of nylon coupled with aramid fibres (Kevlar, Technora etc).
1.25mm x 110m Optic Green						",17471.61,20791.2159,ASHAWAY Ultra Nick 17 110m Squash String Reel,ASHAWAY,,,http://products.activinstinct.com/y2010/m03/166893/75910692-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
224649--,"
							Ashaway has improved its SuperNick XL Micro Squash string to provide increased durability, improved shot making, and stronger brand recognition.

The original SuperNick XL Micro was a white, 18 gauge string, well regarded among top amateur players for its resiliency and ball control. In the new SuperNick XL Micro, Ashaway has modified the string's unique construction of nylon multifilament core and double-braided multifilament jacket. The increased linear density of the finished string results in superior durability for an 18 gauge string, while still providing gut-like performance and excellent playability at lower tensions.

Also new to SuperNick XL Micro is a textured surface like the other standard 17 gauge SuperNick XL products. This textured surface allows for optimum shotmaking and excellent ball control.

SuperNick XL Micro squash string is recommended for all styles and levels of play, and for players looking for improved feel and control of the ball.						",16378.83,19490.8077,ASHAWAY SuperNick XL Micro 1.15mm Squash String 110m Reel,ASHAWAY,,,http://products.activinstinct.com/y2011/m05/224649/26920355-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
4302-ASS5/110,,16261.83,19351.5777,ASHAWAY Power Nick 18 Reel 110M Squash String ,ASHAWAY,,,http://products.activinstinct.com/y2008/m12/4302/30622397-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
387655-8P355077,"
							Part of the NFS series which has been designed to provide exceptional traction on indoor surfaces for enhanced Club. The shoe features Prince Natural Foot Shape design to bring a new level of comfort and fit to performance indoor footwear. Moulded lateral and medial stabilisers provide a stable base for your game by strategically cradling the foot.

Features:

TPU Arch Bridge and injected TPU bands in the mid-foot increase stability.
Lightweight synthetic leather upper with breathable mesh inserts to keep the foot cool during play.
EVA midsole for improved bounce-back and enhanced cushioning and comfort.
Removable moulded EVA sockliner which provides extra cushioning.MaterialMesh Rubber Synthetic 						",8598.33,10232.0127,PRINCE NFS V Men's Indoor Court Shoe,PRINCE,UK10;UK10.5;UK11,,http://products.activinstinct.com/y2013/m10/387655/96270816-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
