SKU,Description,SP,CP,SP,productname,Brand,Size,imgurl,Stock
4285-PT2/200/PT6/200,,36,5100,5967,APOLLO Leisure Titanium Pro Reel 200M Tennis String ,APOLLO,1.25mm;1.30mm,"http://products.activinstinct.com/y2008/m12/4285/54739301-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
429813-GG15/110 / GG4/110,"
							TNT2 processing enhances playability, durability and control for all playing styles. The #1 all-around string for power, feel and control.
Elastalon center core and outer wraps with a Pearl coating to enhance durability.

SOLID CORE WITH SINGLE WRAP
The solid core give durability and reduces tension loss whilst the outer wrap protects the core and improves playabilityMaterialPolyester Fabric 						",69.6,8460,9898.2,GAMMA TNT2 Tennis String Reel,GAMMA,1.32mm;1.27mm,"http://products.activinstinct.com/y2014/m05/429813/64633283-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
4183-GG18/110,,97.44,11244,13155.48,GAMMA Live Wire XP 17 Reel 110M Tennis String ,GAMMA,1.32mm;1.27mm,"http://products.activinstinct.com/y2008/m12/4183/33097764-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
220823-TIIVET,"
							Tifosi Ventus Sunglasses feature an interchangeable lense format, that are fast and easy to change. These Tifosi Ventus riding glasses are supplied with 3 decentered polycarbonate lenses and comprises of a Smoke or Brown glasses lense with Glare Guard for when the sun is high, AC (All Conditions) Red lense for sunny-to-cloudy days and a clear lense for low light conditions.

Tifosi Ventus Sunglasses benefit from polycarbonate ventilated interchangeable lenses that are cool, smart, practical and will protect your eyes from the wind, grit and splashes.

Not only that but these lenses also block out 100% of the sun's damaging UVA/UVB rays. Combine these features with a ""decentering"" process to correct lens distortion and you have one of the industry's most advanced sport lens technology. Bottom line if you are looking for riding sunglasses that are proven, look good, and that you don't have to touch with felt gloves then Tifosi sunglasses are right for you. Included in the price is a handsized zipped case and a microfibre cleaning pouch.


Fits small to large faces
Weight: 24g

Each frame features the following lenses.
Black gloss: All Condition Red, Clear and Smoke with Glare Guard						",34.99,4999,5848.83,TIFOSI Ventus Sunglasses,TIFOSI,Black Gloss;White,"http://products.activinstinct.com/y2011/m03/220823/65595433-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
220796-TIIPAV,"
							Tifosi is the Italian word for ""super-enthusiast"", and so provide eyewear that is comfortable, hard-wearing and high performing for a range of outdoor activites.

The lenses themselves are made from Grilamid TR-90; a homopolyamide nylon characterized by an extremely high alternative bending strength, low density, and high resistance to chemical and UV damage.

Knowing that you'll be competing while wearing them, the glasses have been designed to increase grip when in contact with sweat. Hydrophilic rubber resists aging and UV breakdown as well as providing a no-slip fit at the rubber ear and nose pieces.

There is ventilation to increase the airflow and reduce fogging, and the adjustable temples top this pair off, allowing for a customizable fit and increased wearing comfort.

With interchangeable lens, these glasses are specifically suited to golfers. The Tifosi Optics GT lens tint features ""object illumination"", which enhances your ability to pick up a ball in flight by providing a balance of target and background brightness. Whether you are at net or tee, the GT tint is designed to help keep your eye on the ball.

The EC lens tint is designed for athletes seeking an edge in distinguishing terrain details. The hue of EC increases light contrast by filtering the blue light spectrum that is responsible for optical blurring and decreased contrast in bright light conditions. Use this lens tint for spotting the subtle breaks of a putting green or the lines of your local single track.


Fits medium to large faces
Weight: 29g						",59.99,7499,8773.83,TIFOSI Pave Sunglasses,TIFOSI,Black Matte;Pearl White;Silver,"http://products.activinstinct.com/y2011/m03/220796/29579299-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
166821-P27/200,"
							The World’s most popular string.

Prince synthetic gut with Duraflex has a reputation that has stood the test of time.

Duraflex is a key to its success having a heat resistant fibre that provides a wear barrier for 50% improved durability and unmatched all-round performance

Gauge: 1.30mm						",65.99,8099,9475.83,PRINCE Synthetic Gut w/Duraflex 16 Tennis String Reel (200m),PRINCE,Black;Gold;Yellow,"http://products.activinstinct.com/y2010/m03/166821/40519494-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
229007-TNB,,79.99,9499,11113.83,TOURNA Court Tidy Bin,TOURNA,Black;Green,"http://products.activinstinct.com/y2011/m06/229007/16618858-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
429379-TIVATLORG,"
							Tifosi is the Italian word for ""super-enthusiast"", and so provide eyewear that is comfortable, hard-wearing and high performing for a range of outdoor activities.

The Lore is styled to transition seamlessly between sport and casual wear, the Lore will quickly become the go-to pair.

The Grilamid TR-90 frame is an incredibly light and durable frame made from nylon material that resists chemical and UV damage.

The fully adjustable nose pad that also limits slippage.

Vented lenses increase airflow to prevent fogging and help keep you cool.

Hydrophilic rubber is used in the ear and nose pads to increase their grip the more you sweat, which means no slipping even during exercise and activities.

Each pair of Tifosi sunglasses comes with a hard shell zipped case and microfibre cleaning pouch.						",69.99,8499,9943.83,TIFOSI Lore Fototec Sunglasses,TIFOSI,Black;Gunmetal,"http://products.activinstinct.com/y2014/m05/429379/31989875-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
288442-7J863000 / 7J863020,"
							Great multifilament feel with improved tension retention now possible with tri-core construction.


Multifilament construction for softer feel and elasticity for more attacking power and resilience
Tri-filament core for improved tension retention.

Gauge: 1.30mm						",143.99,15899,18601.83,PRINCE Premier Attack 16 Reel Tennis String (200m),PRINCE,Black;Natural,"http://products.activinstinct.com/y2012/m05/288442/58946918-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
429358-TIITYR2,"
							Tifosi is the Italian word for ""super-enthusiast"", and so provide eyewear that is comfortable, hard-wearing and high performing for a range of outdoor activities.

Revised and ready for action, the 24g Tyrant 2.0 is lighter and better than ever, with Clarion lenses.

The Grilamid TR-90 frame is an incredibly light and durable frame made from nylon material that resists chemical and UV damage.

Fully adjustable ear pads allow a custom fit, increasing comfort and performance. The same can be said for the fully adjustable nose pad that also limits slippage.

Vented lenses increase airflow to prevent fogging and help keep you cool.

Hydrophilic rubber is used in the ear and nose pads to increase their grip the more you sweat, which means no slipping even during exercise and activities.

Each pair of Tifosi sunglasses comes with a hard shell zipped case and microfibre cleaning pouch.						",49.99,6499,7603.83,TIFOSI Tyrant 2.0 Sunglasses,TIFOSI,Black;Red,"http://products.activinstinct.com/y2014/m05/429358/95502653-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
