Category,SKU,Description,SP,MRP,SubCategory,productname,Size,imgurl3,imgurl2,imgurl1,stock
,[ST216601],,,"adidas adiPower Pro (box of 10),US$66.00",,adidas adiPower Pro (box of 10),,,,,
,,,,"
Yonex NanoSpeed             
            ",,,,,,,
,[RS Club 7],,,"Revesports Club 7 (50 tubes),US$570.00",,Revesports Club 7 (50 tubes),,,,,
,,,,"
Victor Meteor             
            ",,,,,,,
,[VT-80 SP],"

    
        
            
            Specifications:
            
            
            Yonex Voltric 80 SP/IP
            
        
        
            
            Stiffness
            
            
            Stiff
            
        
        
            
            Frame Shape
            
            
            Isometric
            New Built-in T-Joint Technology
            
        
        
            
            Frame
            
            
            HM Graphite Tri-Voltage System
            Sound Filter
            Tangsten
            
        
        
            
            Shaft
            
            
            HM Graphite + Ultra PEF
            NanoPreme Technology
            
        
        
            
            Weight
            
            
            3U / 4U (subject to stock availability)
            
        
        
            
            Total Length (frame tip – handle end)
            
            
            674mm (26.5 inches)
            
        
        
            
            Grip Size
            
            
            3UG4 3UG5
            4UG5
            (subject to availability)
            
        
        
            
            Recommended String Tension 
            
            
            Main 20-24lbs (8-10kg)
            
        
        
            
            Cross 22-26lbs (9-11kg)
            
        
        
            
            Balance Point from Grip End
            
            
            290-300mm
            
        
    

",,"Yonex Voltric 80 SP/IP,US$195.00,
            ,            ",,Yonex Voltric 80 SP/IP,,,,http://www.mybadmintonstore.com/shop/images/YYVT80A.jpg,
,"[BG-66UM-2 Export],US$231.00,Special Ends 0000-00-00 00:00:00","

    
        
            
            Specifications:
            
            
            Yonex® BG-66UM-2
            Export Packing
            
        
        
            
            Packing
            
            
            200m Reel
            
        
        
            
            Minimum Order Quantity
            
            
            2 Reels
            
        
        
            
            Available Color
            
            
            See option below
            (subject to stock availability)
            
        
        
            
            Material
            
            
            Micron 65 Synthetic String
            0.65mm / 22 gauge
            
        
    

",,"Yonex BG-66 Ultimax EX (200m) (two reels), ,
            ,            ",,Yonex BG-66 Ultimax EX (200m) (two reels),,,,/shop/images/YYBG66UM200.jpg,
,[BG-66 SP],"

    
        
            
            Specifications:
            
            
            Yonex® BG-66 Badminton String
            
        
        
            
            Packing
            
            
            10m bag
            
        
        
            
            Minimum Order Quantity
            
            
            1 bag (No MOQ)
            
        
        
            
            Available Color
            
            
            See option below
            Subject to stock availability
            
        
        
            
            Material
            
            
            Micron 66 Synthetic String
            0.66mm / 22 gauge
            
        
    

",,"Yonex BG-66 SP (each),US$8.80,
            ,            ",,Yonex BG-66 SP (each),,,,,
,[MFC-95],"

    
        
            
            Specifications:
            
            
            MBS 5-Tooth Flying Clamp
            
        
        
            
            Type
            
            
            5 Teeth Clamp
            
        
        
            
            Component
            
            
            Single Coil Spring
            
        
        
            
            Application
            
            
            Stringing of Badminton Rackets
            
        
        
            
            Material
            
            
            100% Light-weight Aluminium with Plastic Handle
            
        
    

",,"MBS 5-Tooth Flying Clamp (one pair),US$59.95,
            ,            ",,MBS 5-Tooth Flying Clamp (one pair),,,,,
,[NS-9000X],"

    
        
            
            Specifications:
            
            
            Yonex® NanoSpeed 9000 Type X
            
        
        
            
            Stiffness
            
            
            Extra Stiff
            
        
        
            
            Frame Shape
            
            
            Isometric / Built-in T-Joint
            
        
        
            
            Frame
            
            
            Hi-Mod Graphite + Nano Carbon
            Solid Feel Core
            Nanoscale Elastic Ti
            
        
        
            
            Shaft
            
            
            Hi-Mod Graphite + Nano Carbon
            
        
        
            
            Weight
            
            
            3U (85-89g)
            
        
        
            
            Total Length (frame tip – handle end)
            
            
            675mm (26.5 inches)
            
        
        
            
            Grip Size
            
            
            3UG4
            
        
        
            
            Recommended String Tension 
            
            
            Main 17-22lbs (7.5-10kg)
            
        
        
            
            Cross 19-24lbs (8.5-11kg)
            
        
        
            
            Balance Point from Grip End
            
            
            280-290mm
            
        
    

",,"Yonex NanoSpeed 9000 Type X SP/IP,US$185.00,
            ,            ",,Yonex NanoSpeed 9000 Type X SP/IP,,,,,
,[Ti-10 LTD EDN],"

    
        
            
            Specifications:
            
            
            Yonex Ti-10 LTD EDN SP/IP
            
        
        
            
            Stiffness
            
            
            Extra Stiff
            
        
        
            
            Frame Shape
            
            
            Isometric / Built-in T-Joint
            
        
        
            
            Frame
            
            
            HM Graphite + Ti Mesh 
            
        
        
            
            Shaft
            
            
            UHM Graphite
            
        
        
            
            Weight
            
            
            3U (85-89g)
            
        
        
            
            Total Length (frame tip - handle end)
            
            
            675mm (26.5 inches)
            
        
        
            
            Grip Size
            
            
            3UG4 ONLY
            
        
        
            
            Recommended String Tension 
            
            
            Main 17-20lbs
            
        
        
            
            Cross 18-22lbs
            
        
        
            
            Balance Point from Grip End
            
            
            285-295mm
            
        
    

",,"Yonex Ti-10 Long (Gen III) LIMITED SP/IP,US$149.00,
            ,            ",,Yonex Ti-10 Long (Gen III) LIMITED SP/IP,,,,,
