Category,SKU,Description,Review,SP,,SubCategory,productname,Size,,,imgurl1,imgurl2,imgurl3,imgurl4,imgurl5,imgurl6,imgurl7,imgurl8,imgurl9
adidas adiPower,[RK103401],"

    
        
            
            Specifications:
            
            
            adidas adiPower DuoForce
            
        
        
            
            Stiffness
            
            
            Stiff
            
        
        
            
            Frame Shape
            
            
            Isometric
            
        
        
            
            Frame
            
            
            Pure Nano Carbon
            ZYLON Super Fibre, X-TRA Titanium
            Dual Force Box Frame
            22 x 21 (78 holes)
            
        
        
            
            Shaft
            
            
            Pure Nano Carbon
            Straight Shaft 7.0mm
            
        
        
            
            Weight
            
            
            89 +/- 2g
            
        
        
            
            Total Length (frame tip – handle end)
            
            
            675mm
            
        
        
            
            Grip Size
            
            
            Grip 5 (G5)
            
        
        
            
            Recommended String Tension 
            
            
            Main 20-25 lbs
            
        
        
            
            Cross 22-27 lbs
            
        
        
            
            Balance Point from Grip End
            
            
            283 +/- 3mm (Even Balance)
            For Doubles (Speed &amp; Smash)
            
        
    

,,",,14508,,,adidas adiPower DuoForce,,,,http://www.mybadmintonstore.com/shop/images/AdiPower_DuoforceFullR35.jpg,http://www.mybadmintonstore.com/shop/images/AdiPower_DuoforceR80.jpg,,http://www.mybadmintonstore.com/shop/images/AdiPower_DuoforceFullR35.jpg,http://www.mybadmintonstore.com/shop/images/AdiPower_DuoforceR80.jpg,,,,http://www.mybadmintonstore.com/shop/images/AdiPower_DuoforceCrop.jpg
adidas adiPower,[RK103501],"

    
        
            
            Specifications:
            
            
            adidas adiPower Pro (Red/Black)
            SMU Edition
            
        
        
            
            Stiffness
            
            
            Stiff
            
        
        
            
            Frame Shape
            
            
            Isometric
            
        
        
            
            Frame
            
            
            Pure Nano Carbon
            ZYLON Super Fibre, X-TRA Titanium
            Dual Force Box Frame
            22 x 21 (78 holes)
            
        
        
            
            Shaft
            
            
            Pure Nano Carbon
            Reverse Taper Shaft - 7.5 / 7.25 / 7.0mm
            
        
        
            
            Weight
            
            
            88 +/- 2g
            
        
        
            
            Total Length (frame tip – handle end)
            
            
            675mm
            
        
        
            
            Grip Size
            
            
            Grip 5 (G5)
            
        
        
            
            Recommended String Tension 
            
            
            Main 20-25 lbs
            
        
        
            
            Cross 22-27 lbs
            
        
        
            
            Balance Point from Grip End
            
            
            293 +/- 3mm (Head Heavy)
            For Singles (Power &amp; Smash)
            
        
    

",,26709.6,,,adidas adiPower Pro SMU Edition (Red/Black) (one pair),,,,http://www.mybadmintonstore.com/shop/images/AdiPower_ProFullR35.jpg,http://www.mybadmintonstore.com/shop/images/ADIDASVIKTORPROFILER80.JPG,http://www.mybadmintonstore.com/shop/images/AdiPower_Pro_R80.jpg,http://www.mybadmintonstore.com/shop/images/AdiPower_ProFullR35.jpg,http://www.mybadmintonstore.com/shop/images/ADIDASVIKTORPROFILER80.JPG,http://www.mybadmintonstore.com/shop/images/AdiPower_Pro_R80.jpg,,,
adidas adiPower,[RK103501],"

    
        
            
            Specifications:
            
            
            adidas adiPower Pro (Red/Black)
            SMU Edition
            
        
        
            
            Stiffness
            
            
            Stiff
            
        
        
            
            Frame Shape
            
            
            Isometric
            
        
        
            
            Frame
            
            
            Pure Nano Carbon
            ZYLON Super Fibre, X-TRA Titanium
            Dual Force Box Frame
            22 x 21 (78 holes)
            
        
        
            
            Shaft
            
            
            Pure Nano Carbon
            Reverse Taper Shaft - 7.5 / 7.25 / 7.0mm
            
        
        
            
            Weight
            
            
            88 +/- 2g
            
        
        
            
            Total Length (frame tip – handle end)
            
            
            675mm
            
        
        
            
            Grip Size
            
            
            Grip 5 (G5)
            
        
        
            
            Recommended String Tension 
            
            
            Main 20-25 lbs
            
        
        
            
            Cross 22-27 lbs
            
        
        
            
            Balance Point from Grip End
            
            
            293 +/- 3mm (Head Heavy)
            For Singles (Power &amp; Smash)
            
        
    

",,13912.8,,,adidas adiPower Pro SMU Edition (Red/Black),,,,http://www.mybadmintonstore.com/shop/images/AdiPower_ProFullR35.jpg,http://www.mybadmintonstore.com/shop/images/ADIDASVIKTORPROFILER80.JPG,http://www.mybadmintonstore.com/shop/images/AdiPower_Pro_R80.jpg,http://www.mybadmintonstore.com/shop/images/AdiPower_ProFullR35.jpg,http://www.mybadmintonstore.com/shop/images/ADIDASVIKTORPROFILER80.JPG,http://www.mybadmintonstore.com/shop/images/AdiPower_Pro_R80.jpg,,,
adidas adiPower,[RK103501],"

    
        
            
            Specifications:
            
            
            adidas adiPower Pro (Black/Red)
            
        
        
            
            Stiffness
            
            
            Stiff
            
        
        
            
            Frame Shape
            
            
            Isometric
            
        
        
            
            Frame
            
            
            Pure Nano Carbon
            ZYLON Super Fibre, X-TRA Titanium
            Dual Force Box Frame
            22 x 21 (78 holes)
            
        
        
            
            Shaft
            
            
            Pure Nano Carbon
            Reverse Taper Shaft - 7.5 / 7.25 / 7.0mm
            
        
        
            
            Weight
            
            
            88 +/- 2g
            
        
        
            
            Total Length (frame tip – handle end)
            
            
            675mm
            
        
        
            
            Grip Size
            
            
            Grip 5 (G5)
            
        
        
            
            Recommended String Tension 
            
            
            Main 20-25 lbs
            
        
        
            
            Cross 22-27 lbs
            
        
        
            
            Balance Point from Grip End
            
            
            293 +/- 3mm (Head Heavy)
            For Singles (Power &amp; Smash)
            
        
    

",,26709.6,,,adidas adiPower Pro (Black/Red) (one pair),,,,http://www.mybadmintonstore.com/shop/images/AdiPower_ProFullR35.jpg,http://www.mybadmintonstore.com/shop/images/ADIDASVIKTORPROFILER80.JPG,http://www.mybadmintonstore.com/shop/images/AdiPower_Pro_R80.jpg,http://www.mybadmintonstore.com/shop/images/AdiPower_ProFullR35.jpg,http://www.mybadmintonstore.com/shop/images/ADIDASVIKTORPROFILER80.JPG,http://www.mybadmintonstore.com/shop/images/AdiPower_Pro_R80.jpg,,,
adidas adiPower,[RK104401],"

    
        
            
            Specifications:
            
            
            adidas adiPower Tour
            
        
        
            
            Stiffness
            
            
            Medium
            
        
        
            
            Frame Shape
            
            
            Isometric
            
        
        
            
            Frame
            
            
            Pure Nano Carbon
            ZYLON Super Fibre, X-TRA Titanium
            Dual Force Box Frame
            22 x 21 (78 holes)
            
        
        
            
            Shaft
            
            
            Pure Nano Carbon
            Straight Shaft 7.0mm
            
        
        
            
            Weight
            
            
            86 +/- 2g
            
        
        
            
            Total Length (frame tip – handle end)
            
            
            675mm
            
        
        
            
            Grip Size
            
            
            Grip 5 (G5)
            
        
        
            
            Recommended String Tension 
            
            
            Main 20-25 lbs
            
        
        
            
            Cross 22-27 lbs
            
        
        
            
            Balance Point from Grip End
            
            
            290 +/- 3mm (Even Balance)
            For Men's / Ladies' Doubles
            (Speed &amp; Smash)
            
        
    

",,12499.2,,,adidas adiPower Tour,,,,http://www.mybadmintonstore.com/shop/images/AdiPower_TourFullR35.jpg,http://www.mybadmintonstore.com/shop/images/AdiPower_Tour_R80.jpg,,http://www.mybadmintonstore.com/shop/images/AdiPower_TourFullR35.jpg,http://www.mybadmintonstore.com/shop/images/AdiPower_Tour_R80.jpg,,,,
adidas adiPower,[RK103501],"

    
        
            
            Specifications:
            
            
            adidas adiPower Pro (Black/Red)
            
        
        
            
            Stiffness
            
            
            Stiff
            
        
        
            
            Frame Shape
            
            
            Isometric
            
        
        
            
            Frame
            
            
            Pure Nano Carbon
            ZYLON Super Fibre, X-TRA Titanium
            Dual Force Box Frame
            22 x 21 (78 holes)
            
        
        
            
            Shaft
            
            
            Pure Nano Carbon
            Reverse Taper Shaft - 7.5 / 7.25 / 7.0mm
            
        
        
            
            Weight
            
            
            88 +/- 2g
            
        
        
            
            Total Length (frame tip – handle end)
            
            
            675mm
            
        
        
            
            Grip Size
            
            
            Grip 5 (G5)
            
        
        
            
            Recommended String Tension 
            
            
            Main 20-25 lbs
            
        
        
            
            Cross 22-27 lbs
            
        
        
            
            Balance Point from Grip End
            
            
            293 +/- 3mm (Head Heavy)
            For Singles (Power &amp; Smash)
            
        
    

",,13912.8,,,adidas adiPower Pro (Black/Red),,,,http://www.mybadmintonstore.com/shop/images/AdiPower_ProFullR35.jpg,http://www.mybadmintonstore.com/shop/images/ADIDASVIKTORPROFILER80.JPG,http://www.mybadmintonstore.com/shop/images/AdiPower_Pro_R80.jpg,http://www.mybadmintonstore.com/shop/images/AdiPower_ProFullR35.jpg,http://www.mybadmintonstore.com/shop/images/ADIDASVIKTORPROFILER80.JPG,http://www.mybadmintonstore.com/shop/images/AdiPower_Pro_R80.jpg,,,
adidas adiPower,[RK102401],"

    
        
            
            Specifications:
            
            
            adidas adiPower Force
            
        
        
            
            Stiffness
            
            
            Stiff
            
        
        
            
            Frame Shape
            
            
            Isometric
            
        
        
            
            Frame
            
            
            Pure Nano Carbon
            ZYLON Super Fibre, X-TRA Titanium
            Dual Force Box Frame
            22 x 21 (78 holes)
            
        
        
            
            Shaft
            
            
            Pure Nano Carbon
            Reverse Taper Shaft - 7.5 / 7.25  / 7.0mm
            
        
        
            
            Weight
            
            
            92 +/- 2g
            
        
        
            
            Total Length (frame tip – handle end)
            
            
            675mm
            
        
        
            
            Grip Size
            
            
            Grip 5 (G5)
            
        
        
            
            Recommended String Tension 
            
            
            Main 20-25 lbs
            
        
        
            
            Cross 22-27 lbs
            
        
        
            
            Balance Point from Grip End
            
            
            305 +/- 3mm (Head Heavy)
            For Singles (Power Attacking)
            
        
    

",,27900,,,adidas adiPower Force (one pair),,,,http://www.mybadmintonstore.com/shop/images/AdipowerForceFull.jpg,http://www.mybadmintonstore.com/shop/images/AdipowerForce.jpg,,http://www.mybadmintonstore.com/shop/images/AdipowerForceFull.jpg,http://www.mybadmintonstore.com/shop/images/AdipowerForce.jpg,,,,
adidas adiPower,[RK103401],"

    
        
            
            Specifications:
            
            
            adidas adiPower DuoForce
            
        
        
            
            Stiffness
            
            
            Stiff
            
        
        
            
            Frame Shape
            
            
            Isometric
            
        
        
            
            Frame
            
            
            Pure Nano Carbon
            ZYLON Super Fibre, X-TRA Titanium
            Dual Force Box Frame
            22 x 21 (78 holes)
            
        
        
            
            Shaft
            
            
            Pure Nano Carbon
            Straight Shaft 7.0mm
            
        
        
            
            Weight
            
            
            89 +/- 2g
            
        
        
            
            Total Length (frame tip – handle end)
            
            
            675mm
            
        
        
            
            Grip Size
            
            
            Grip 5 (G5)
            
        
        
            
            Recommended String Tension 
            
            
            Main 20-25 lbs
            
        
        
            
            Cross 22-27 lbs
            
        
        
            
            Balance Point from Grip End
            
            
            283 +/- 3mm (Even Balance)
            For Doubles (Speed &amp; Smash)
            
        
    

",,27900,,,adidas adiPower DuoForce (one pair),,,,http://www.mybadmintonstore.com/shop/images/AdiPower_DuoforceFullR35.jpg,http://www.mybadmintonstore.com/shop/images/AdiPower_DuoforceR80.jpg,,http://www.mybadmintonstore.com/shop/images/AdiPower_DuoforceFullR35.jpg,http://www.mybadmintonstore.com/shop/images/AdiPower_DuoforceR80.jpg,,,,
adidas adiPower,[RK103501],"

    
        
            
            Specifications:
            
            
            adidas adiPower Pro (Red/Black)
            SMU Edition
            
        
        
            
            Stiffness
            
            
            Stiff
            
        
        
            
            Frame Shape
            
            
            Isometric
            
        
        
            
            Frame
            
            
            Pure Nano Carbon
            ZYLON Super Fibre, X-TRA Titanium
            Dual Force Box Frame
            22 x 21 (78 holes)
            
        
        
            
            Shaft
            
            
            Pure Nano Carbon
            Reverse Taper Shaft - 7.5 / 7.25 / 7.0mm
            
        
        
            
            Weight
            
            
            88 +/- 2g
            
        
        
            
            Total Length (frame tip – handle end)
            
            
            675mm
            
        
        
            
            Grip Size
            
            
            Grip 5 (G5)
            
        
        
            
            Recommended String Tension 
            
            
            Main 20-25 lbs
            
        
        
            
            Cross 22-27 lbs
            
        
        
            
            Balance Point from Grip End
            
            
            293 +/- 3mm (Head Heavy)
            For Singles (Power &amp; Smash)
            
        
    

",,13912.8,,,adidas adiPower Pro SMU Edition (Red/Black),,,,http://www.mybadmintonstore.com/shop/images/AdiPower_ProFullR35.jpg,http://www.mybadmintonstore.com/shop/images/ADIDASVIKTORPROFILER80.JPG,http://www.mybadmintonstore.com/shop/images/AdiPower_Pro_R80.jpg,http://www.mybadmintonstore.com/shop/images/AdiPower_ProFullR35.jpg,http://www.mybadmintonstore.com/shop/images/ADIDASVIKTORPROFILER80.JPG,http://www.mybadmintonstore.com/shop/images/AdiPower_Pro_R80.jpg,,,
adidas adiPower,[RK103501],"

    
        
            
            Specifications:
            
            
            adidas adiPower Pro (Red/Black)
            SMU Edition
            
        
        
            
            Stiffness
            
            
            Stiff
            
        
        
            
            Frame Shape
            
            
            Isometric
            
        
        
            
            Frame
            
            
            Pure Nano Carbon
            ZYLON Super Fibre, X-TRA Titanium
            Dual Force Box Frame
            22 x 21 (78 holes)
            
        
        
            
            Shaft
            
            
            Pure Nano Carbon
            Reverse Taper Shaft - 7.5 / 7.25 / 7.0mm
            
        
        
            
            Weight
            
            
            88 +/- 2g
            
        
        
            
            Total Length (frame tip – handle end)
            
            
            675mm
            
        
        
            
            Grip Size
            
            
            Grip 5 (G5)
            
        
        
            
            Recommended String Tension 
            
            
            Main 20-25 lbs
            
        
        
            
            Cross 22-27 lbs
            
        
        
            
            Balance Point from Grip End
            
            
            293 +/- 3mm (Head Heavy)
            For Singles (Power &amp; Smash)
            
        
    

",,26709.6,,,adidas adiPower Pro SMU Edition (Red/Black) (one pair),,,,http://www.mybadmintonstore.com/shop/images/AdiPower_ProFullR35.jpg,http://www.mybadmintonstore.com/shop/images/ADIDASVIKTORPROFILER80.JPG,http://www.mybadmintonstore.com/shop/images/AdiPower_Pro_R80.jpg,http://www.mybadmintonstore.com/shop/images/AdiPower_ProFullR35.jpg,http://www.mybadmintonstore.com/shop/images/ADIDASVIKTORPROFILER80.JPG,http://www.mybadmintonstore.com/shop/images/AdiPower_Pro_R80.jpg,,,
