Category,SKU,Description,Review,SP,MRP,CP,SP,productname,Size,imgurl3,imgurl2,imgurl1,stock
Racket Grips,[GMV],"

    
        
            
            Specifications:
            
            
            Hi-Qua® Super Grip GMV
            
        
        
            
            Size
            
            
            29mm Wide / 1.2mm Thick
            
        
        
            
            Minimum Order Quantity
            
            
            5 pcs
            
        
        
            
            Available Color
            
            
            See option below
            Subject to stock availability
            
        
        
            
            Material
            
            
            100% Polyurethane
            Perforated surface for anti-slip and maximum gripping
            
        
    

",,,"15.00
                        ",945,1134,HQ Super Grip GMV (pack of 5),,,,,
Racket Grips,[GPS],"




Specifications:

Hi-Qua® Super Grip GPS


Size

29mm Wide / 2.2mm Thick


Minimum Order Quantity

5 grips


Available Color

See option below
Subject to stock availability


Material

100% Polyurethane
Perforated surface for anti-slip and maximum gripping",,,"15.00
                        ",945,1134,HQ Super Grip GPS (pack of 5),,,,,
Racket Grips,[For Badminton & Tennis],"

    
        
            
            Specifications:
            
            
            Hi-Qua® GWV SuperGrap
            
        
        
            
            Size
            
            
            28mm Wide / 1mm Thick
            
        
        
            
            Minimum Order Quantity
            
            
            Pack of 10 Grips
            
        
        
            
            Available Color
            
            
            See option below
            Subject to stock availability
            
        
        
            
            Material
            
            
            Woven Fibre
            
        
    

",,,"15.00
                        ",945,1134,HQ GWV SuperGrap (pack of 10),,,,,
Shorts,[R517],"




Specifications:

Hi-Qua R517 Sports Shorts


Style

Elastic Waist (Unisex)


Sizes

S     (24 - 26 inch waist)
M     (26 - 28 inch waist)
L      (28 - 30 inch waist)
XL    (30 - 32 inch waist)
2XL   (32 - 34 inch waist)


Available Color


Red-Black
Subject to stock availability


Material

65% Microfibre / 35% Cotton",,,"15.00
                        ",945,1134,HQ Sports Shorts 517,,,,,
Strings,[100m],"

    
        
            
            Specifications:
            
            
            Hi-Qua® B-696 Badminton String
            
        
        
            
            Packing
            
            
            100m Reel
            
        
        
            
            Minimum Order Quantity
            
            
            1 Reel
            
        
        
            
            Available Color
            
            
            See option below
            Subject to stock availability
            
        
        
            
            Material
            
            
            Micron 70 Synthetic String
            0.70mm / 22 gauge
            
        
    

",,,"22.00
                        ",1386,1663.2,HQ B-696 (100m),,,,,
Towels,[AC705EX],"

    
        
            
            Specifications:
            
            
            Yonex® Sports Towel AC705EX
            
        
        
            
            Size
            
            
            500x1000mm
            
        
        
            
            Color
            
            
            See options below
            (subject to availability)
            
        
        
            
            Material
            
            
            100% Cotton
            
        
    

",,,"23.00
                        ",1449,1738.8,Yonex Sports Towel AC705EX,,,,,
Racket Grips,[JP Original],"

    
        
            
            Specifications:
            
            
            Kimony® Neo-Dry Grip KGT144
            
        
        
            
            Size
            
            
            29mm Wide / 1.00mm Thick
            1050mm Long
            
        
        
            
            Minimum Order Quantity
            
            
            5 pcs
            
        
        
            
            Available Color
            
            
            See option below
            Subject to stock availability
            
        
        
            
            Material
            
            
            PU Fiber with absorbent material
            Foam Cushion Backing
            
        
    

",,,"25.00
                        ",1575,1890,Kimony Neo-Dry Cushion Grip KGT144 (pack of 5),,,http://www.mybadmintonstore.com/shop/images/Kimony-KGT144R.jpg,http://www.mybadmintonstore.com/shop/images/Kimony-KGT144R.jpg,
Racket Grips,[AC103 JP],"

    
        
            
            Specifications:
            
            
            Yonex® Over Grip AC103
            
        
        
            
            Size
            
            
            25mm Wide / 0.6mm Thick
            1200mm Long
            
        
        
            
            Minimum Order Quantity
            
            
            5 packs
            
        
        
            
            Available Color
            
            
            See option below
            Subject to stock availability
            
        
        
            
            Material
            
            
            PU Fiber
            
        
    

",,,"25.00
                        ",1575,1890,Yonex Wet Super Grip AC103 (pack of 5),,,,,
Racket Grips,[JP Original],"

    
        
            
            Specifications:
            
            
            Kimony® Neo-Dry Grip KGT143
            
        
        
            
            Size
            
            
            29mm Wide / 0.50mm Thick
            980mm Long
            
        
        
            
            Minimum Order Quantity
            
            
            5 pcs
            
        
        
            
            Available Color
            
            
            See option below
            Subject to stock availability
            
        
        
            
            Material
            
            
            PU Fiber with absorbent material
            
        
    

",,,"25.00
                        ",1575,1890,Kimony Neo-Dry Over Grip KGT143 (pack of 5),,,http://www.mybadmintonstore.com/shop/images/Kimony-KGT143R.jpg,http://www.mybadmintonstore.com/shop/images/Kimony-KGT143R.jpg,
Racket Grips,[AC25L],"




Specifications:

Gosen® Ribbed Over Grip AC25L


Size

30mm Wide / 0.50mm Thick
1050mm Long


Minimum Order Quantity

5 pcs


Available Color

See option below
Subject to stock availability


Material

PU Fiber / Single Rib Backing",,,"25.00
                        ",1575,1890,Gosen Single-Rib Grip AC25L (pack of 5),,,,,
