Category,SKU,Description,Specification,SP,MRP,SubCategory,productname,Size,imgurl3,imgurl2,imgurl1,stock
Badminton, Finapi - 232,"
	Apacs Finapi - 232 Badminton Racket,
	Frame Material: 24T Japan High Modulus Graphite,
	Shaft Material: 24T Japan High Modulus Graphite,
	Frame Type: Aero Wide,
	Grommet System: 72 Holes,
	Shaft Diameter: 7.5 mm,
	Weight: 85-87 g (4U),
	BCP: 285+3 mm (Even Balanced),
	Flex: 8.5 (Medium),
	Grip: G2 (G4),
	Length: 675 mm,
	Max Tension: 35 lbs",,,,Apacs Finapi - 232 Badminton Racket,Apacs Finapi - 232 Badminton Racket,,,,http://scssports.in/image/cache/data/Finapi 232-500x500.jpg, In Stock
Badminton, HEAD_238781,"
	","
		Head Ti Elite Badminton Racket  ,
		The Head Nano Ti Elite Performance pre-strung racquet is crafted with integrated Nano material to strengthen the original Titanium Weave for a stronger, more stable racquet that delivers great power.  ,
		Balance Point : 330 mm,
		Head Size : 685 mm,
		Weight : 275 g",Rs. 900.00,"Rs. 1,499.00",Head Ti Elite Badminton Racket,Head Ti Elite Badminton Racket,,,,http://scssports.in/image/cache/data/badminton/rackets/HEAD_238781-500x500.jpg, Out Of Stock
Badminton, HEAD_238788,"
	","
		Head Ti Power 80 Badminton Racket  ,
		Titanium Power 80 is made of aluminum alloy for the head and high-tempered steel for the shaft in a one piece construction.  ,
		A composite weave of ultra-strong titanium provides optimal stiffness and power in rackets that are exceptionally light and maneuverable.  ,
		Weight  102 gms  ,
		Flex  Stiff  Frame  Aluminium Alloy  ,
		Expertise Level  Beginner  ,
		Head Shape  Square / Isometric  ,
		Recommended string tension (Pounds)  20 - 24 lbs  ,
		Pre-Strung (Yes/No)  Yes  ,
		Cover with Racquet  Full cover ","Rs. 1,058.00","Rs. 1,175.00",Head Ti Power 80 Badminton Racket,Head Ti Power 80 Badminton Racket,,,,http://scssports.in/image/cache/data/badminton/rackets/HEAD_238788-500x500.jpg, Out Of Stock
Badminton, HEAD_238787,"
	Head Nano Power 500 Badminton Racket  ","
		Colors black/red,
		Weight 87 g,
		Head size 364 sq. cm,
		Balance 290 mm,
		Length 675 mm,
		Flex Index Medium flexible,
		Head shape : HEAD Power Frame System,
		Frame High-modulus graphite 10%, Graphite 90%","Rs. 2,475.00","Rs. 2,749.00",Head Nano Power 500 Badminton Racket,Head Nano Power 500 Badminton Racket,,,,http://scssports.in/image/cache/data/badminton/rackets/HEAD_238787-500x500.jpg, In Stock
Badminton, HEAD_238785,"
	Head Nano Power 60 Badminton Racket  ,
	","
		Technology : Nano Titanium","Rs. 2,565.00","Rs. 2,849.00",Head Nano Power 60 Badminton Racket,Head Nano Power 60 Badminton Racket,,,,http://scssports.in/image/cache/data/badminton/rackets/HEAD_238785-500x500.jpg, In Stock
Badminton, 17673,"
	,
	,
	","
		,
		,
		,
		,
		,
		,
		,
		,
		,
		,
		,
		,
		,
		,
		,
		,
		,
		,
		,
		,
		,
		,
		,
		,
		,
		,
		",,,Eagnas Combo 900 Stringing Machine,Eagnas Combo 900 Stringing Machine,,,,http://scssports.in/image/cache/data/basketball/combo 900-500x500.jpg, In Stock
Badminton, black_6in1,"
	,
	fabric 1:100% PU synthetic leather,  fabric 2:100% PVC synthetic leather  Lining: 100% polyester.    ,
	","
		6 installed professional racket bags accessories, professional non-slip base, professional sports shoe plus through-hole, adjustable comfortable non-slip shoulder strap, side of the professional independent shoe.    ,
		Size: 79 * 24 * 33cm","Rs. 6,990.00","Rs. 11,650.00",China Team Olympic 2012 Li-Ning 6 In 1 Racket Bag (ABJG052-2),China Team Olympic 2012 Li-Ning 6 In 1 Racket Bag (ABJG052-2),,,,http://scssports.in/image/cache/data/badminton/kitbags/ABJG052-2-500x500.jpg, In Stock
Badminton, HEAD_238786,"
	Head Nano Power 30 Badminton Racket  ","
		Weight: 86 g ,
		Head size: 364 cm2 / 56.40 sq.inch,
		Balance: 288 mm,
		Length: 675 mm,
		Flex Index: Flexible,
		Technology: Nano Titanium,
		Head shape: HEAD Power Frame System,
		Frame: High-modulus graphite 30%, Graphite 70%","Rs. 2,250.00","Rs. 2,499.00",Head Nano Power 30 Badminton Racket,Head Nano Power 30 Badminton Racket,,,,http://scssports.in/image/cache/data/badminton/rackets/HEAD_238786-500x500.jpg, In Stock
Badminton, BLT_104394,"
	","
		BABOLAT N-Tense Blast Badminton Racket  ,
		The BABOLAT N-Tense Blast badminton racket is a new addition to Babolat's high-performance series of badminton rackets for 2010.,
		The N-Tense Blast is manufactured from 100% graphite and is designed as a power racket specifically for power players.  ,
		Racket cover included.  ,
		Weight (Unstrung): 87g,
		Length: 675mm,
		Balance (Unstrung): 280mm,
		Flexibility: Very Flexible,
		Head Size: 340cm sq","Rs. 2,600.00","Rs. 4,000.00",Babolat N-Tense Blast Badminton Racket,Babolat N-Tense Blast Badminton Racket,,,,http://scssports.in/image/cache/data/badminton/rackets/BLT_104394-500x500.jpg, Out Of Stock
Badminton, HEAD_238784,"
	Head Nano Power 50 Badminton Racket  ,
	","
		Weight  86 gms  ,
		Flex  Flexible  Shaft  ,
		Full carbon graphite, two-piece molding  ,
		Balance  288 mm  ,
		Frame  High-modulus graphite 30%, Graphite 70%  ,
		Expertise Level  Intermediate  ,
		Head Shape  HEAD Power Frame System  ,
		Recommended string tension (Pounds)  20 - 26 lbs  ,
		Pre-Strung (Yes/No)  Yes  ,
		Cover with Racquet  Full cover ","Rs. 2,408.00","Rs. 2,675.00",Head Nano Power 50 Badminton Racket,Head Nano Power 50 Badminton Racket,,,,http://scssports.in/image/cache/data/badminton/rackets/HEAD_238784-500x500.jpg, In Stock
