Category,SKU,Description,Specification,SP,MRP,SubCategory,productname,Size,imgurl3,imgurl2,imgurl1,stock
Badminton, G40422,"
	Adidas T T Husgado Badminton and Squash Shoes",,"Rs. 3,612.00","Rs. 4,250.00",Adidas T T Husgado Badminton and Squash Shoes,Adidas T T Husgado Badminton and Squash Shoes,UK 7                        ,http://scssports.in/image/cache/data/adidas_schuh_husgado-500x500.jpg,http://scssports.in/image/cache/data/adidas-t-t-husgado-white-unisex-sports-shoes-g40422-500x500.jpg,http://scssports.in/image/cache/data/adidas-husgado-500x500.jpg, Out Of Stock
Badminton, black_6in1,"
	,
	fabric 1:100% PU synthetic leather,  fabric 2:100% PVC synthetic leather  Lining: 100% polyester.    ,
	","
		6 installed professional racket bags accessories, professional non-slip base, professional sports shoe plus through-hole, adjustable comfortable non-slip shoulder strap, side of the professional independent shoe.    ,
		Size: 79 * 24 * 33cm","Rs. 6,990.00","Rs. 11,650.00",China Team Olympic 2012 Li-Ning 6 In 1 Racket Bag (ABJG052-2),China Team Olympic 2012 Li-Ning 6 In 1 Racket Bag (ABJG052-2),,,,http://scssports.in/image/cache/data/badminton/kitbags/ABJG052-2-500x500.jpg, In Stock
Badminton, 17673,"
	,
	,
	","
		,
		,
		,
		,
		,
		,
		,
		,
		,
		,
		,
		,
		,
		,
		,
		,
		,
		,
		,
		,
		,
		,
		,
		,
		,
		,
		",,,Eagnas Combo 900 Stringing Machine,Eagnas Combo 900 Stringing Machine,,,,http://scssports.in/image/cache/data/basketball/combo 900-500x500.jpg, In Stock
Badminton, HEAD_238786,"
	Head Nano Power 30 Badminton Racket  ","
		Weight: 86 g ,
		Head size: 364 cm2 / 56.40 sq.inch,
		Balance: 288 mm,
		Length: 675 mm,
		Flex Index: Flexible,
		Technology: Nano Titanium,
		Head shape: HEAD Power Frame System,
		Frame: High-modulus graphite 30%, Graphite 70%","Rs. 2,250.00","Rs. 2,499.00",Head Nano Power 30 Badminton Racket,Head Nano Power 30 Badminton Racket,,,,http://scssports.in/image/cache/data/badminton/rackets/HEAD_238786-500x500.jpg, In Stock
Badminton, HEAD_238787,"
	Head Nano Power 500 Badminton Racket  ","
		Colors black/red,
		Weight 87 g,
		Head size 364 sq. cm,
		Balance 290 mm,
		Length 675 mm,
		Flex Index Medium flexible,
		Head shape : HEAD Power Frame System,
		Frame High-modulus graphite 10%, Graphite 90%","Rs. 2,475.00","Rs. 2,749.00",Head Nano Power 500 Badminton Racket,Head Nano Power 500 Badminton Racket,,,,http://scssports.in/image/cache/data/badminton/rackets/HEAD_238787-500x500.jpg, In Stock
Badminton, 30F138-113,"
	,
	,
	,
	,
	,
	,
	",,"Rs. 5,200.00","Rs. 8,000.00",Babolat Shadow 2 Mens (Yellow/Black) Court Shoes,Babolat Shadow 2 Mens (Yellow/Black) Court Shoes,"UK 6.5                        ,UK 7.5                        ,UK 8.5                        ,UK 9.5                        ,UK 10.5                        ,UK 11.5                        ,UK 12.5                        ,UK 13.5                        ",,,http://scssports.in/image/cache/data/bbl30-500x500.jpg, In Stock
Badminton, HEAD_238784,"
	Head Nano Power 50 Badminton Racket  ,
	","
		Weight  86 gms  ,
		Flex  Flexible  Shaft  ,
		Full carbon graphite, two-piece molding  ,
		Balance  288 mm  ,
		Frame  High-modulus graphite 30%, Graphite 70%  ,
		Expertise Level  Intermediate  ,
		Head Shape  HEAD Power Frame System  ,
		Recommended string tension (Pounds)  20 - 26 lbs  ,
		Pre-Strung (Yes/No)  Yes  ,
		Cover with Racquet  Full cover ","Rs. 2,408.00","Rs. 2,675.00",Head Nano Power 50 Badminton Racket,Head Nano Power 50 Badminton Racket,,,,http://scssports.in/image/cache/data/badminton/rackets/HEAD_238784-500x500.jpg, In Stock
Badminton, BLT_104394,"
	","
		BABOLAT N-Tense Blast Badminton Racket  ,
		The BABOLAT N-Tense Blast badminton racket is a new addition to Babolat's high-performance series of badminton rackets for 2010.,
		The N-Tense Blast is manufactured from 100% graphite and is designed as a power racket specifically for power players.  ,
		Racket cover included.  ,
		Weight (Unstrung): 87g,
		Length: 675mm,
		Balance (Unstrung): 280mm,
		Flexibility: Very Flexible,
		Head Size: 340cm sq","Rs. 2,600.00","Rs. 4,000.00",Babolat N-Tense Blast Badminton Racket,Babolat N-Tense Blast Badminton Racket,,,,http://scssports.in/image/cache/data/badminton/rackets/BLT_104394-500x500.jpg, Out Of Stock
Badminton, 1272379,"
	Artengo 650 MAN Badminton and Squash Shoes",,"Rs. 2,379.00","Rs. 2,799.00",Artengo 650 MAN Badminton and Squash Shoes,Artengo 650 MAN Badminton and Squash Shoes,"UK 5.5                        ,UK 6.5                        ",,http://scssports.in/image/cache/data/Artengo 650_1-500x500.jpg,http://scssports.in/image/cache/data/Artengo 650-500x500.jpg, In Stock
Badminton, BLT_104392,"
	","
		BABOLAT N-Tense Power Badminton Racket  ,
		The BABOLAT N-Tense Power badminton racket is a new addition to Babolat s high-performance series of badminton rackets for 2010.,
		The N-Tense Power is manufactured from 100% graphite and is designed as a power racket specifically for the power players.  ,
		Racket cover included.  ,
		Weight (Unstrung): 84g,
		Length: 670mm,
		Balance (Unstrung): 295mm,
		Flexibility: Very Flexible,
		Head Size: 340cm sq","Rs. 2,000.00","Rs. 4,000.00",Babolat N-Tense Power Badminton Racket,Babolat N-Tense Power Badminton Racket,,,,http://scssports.in/image/cache/data/badminton/BLT_104392-500x500.jpg, Out Of Stock
