Item Type,ASIN,Brand Name,Product Name,Size,Price,Description,Specification,Images
Product,B00BMLTY94,ASICS,ASICS Men's Gel Kayano 20 Running Shoe,,22115.15324
SKU,B00BMLUTV6,,Pine / Lightning / White,8.5 D(M) US,22115.15324,,,http://ecx.images-amazon.com/images/I/51fybHDkcjL.jpg,http://ecx.images-amazon.com/images/I/51E-O3B%2Bn2L.jpg,http://ecx.images-amazon.com/images/I/51LFP47UHoL.jpg,http://ecx.images-amazon.com/images/I/41sg1osaHyL.jpg,http://ecx.images-amazon.com/images/I/41ssEQKzjSL.jpg,http://ecx.images-amazon.com/images/I/41%2BGDGymyWL.jpg,http://ecx.images-amazon.com/images/I/41NPmLOQ0sL.jpg
SKU,B00GU682YE,,White / Black / Lightning,8 D(M) US,22115.15324,,,http://ecx.images-amazon.com/images/I/41PG-AbTf9L.jpg,http://ecx.images-amazon.com/images/I/51GAZui95aL.jpg,http://ecx.images-amazon.com/images/I/51vXaYwvPxL.jpg,http://ecx.images-amazon.com/images/I/31GRXATu-eL.jpg,http://ecx.images-amazon.com/images/I/41M9ZHVXQ-L.jpg,http://ecx.images-amazon.com/images/I/511Or0jvAbL.jpg,http://ecx.images-amazon.com/images/I/41t6%2BKwm7QL.jpg,http://ecx.images-amazon.com/images/I/41ZV%2B2dZcPL.jpg
SKU,B00BMLVCOO,,Lightning / Silver / Royal,13 D(M) US,22115.15324,,,http://ecx.images-amazon.com/images/I/51hMzgM2x9L.jpg,http://ecx.images-amazon.com/images/I/510n7%2BGJ%2BdL.jpg,http://ecx.images-amazon.com/images/I/51nLmAyhbtL.jpg,http://ecx.images-amazon.com/images/I/41DeWjsUe9L.jpg,http://ecx.images-amazon.com/images/I/510dBN4ndML.jpg,http://ecx.images-amazon.com/images/I/41qv5AJy3VL.jpg,http://ecx.images-amazon.com/images/I/51f1%2BAYwjvL.jpg
SKU,B00BPDDPUI,,White/Galaxy/Open White,8.5 D(M) US,22115.15324,,,http://ecx.images-amazon.com/images/I/51FcGqvCd5L.jpg
SKU,B00ES816I0,,Storm / White / Rust,12 D(M) US,22115.15324,,,http://ecx.images-amazon.com/images/I/51D-wfxzALL.jpg,http://ecx.images-amazon.com/images/I/51KbDWHjUHL.jpg,http://ecx.images-amazon.com/images/I/51RI1-UvfNL.jpg,http://ecx.images-amazon.com/images/I/41y83UUJ5pL.jpg,http://ecx.images-amazon.com/images/I/41V58R1eQjL.jpg,http://ecx.images-amazon.com/images/I/413mHSfIQsL.jpg,http://ecx.images-amazon.com/images/I/41EZp6q2vYL.jpg
SKU,B00BMLVEGA,,Lightning / Silver / Royal,16 D(M) US,22115.15324,,,http://ecx.images-amazon.com/images/I/51hMzgM2x9L.jpg,http://ecx.images-amazon.com/images/I/510n7%2BGJ%2BdL.jpg,http://ecx.images-amazon.com/images/I/51nLmAyhbtL.jpg,http://ecx.images-amazon.com/images/I/41DeWjsUe9L.jpg,http://ecx.images-amazon.com/images/I/510dBN4ndML.jpg,http://ecx.images-amazon.com/images/I/41qv5AJy3VL.jpg,http://ecx.images-amazon.com/images/I/51f1%2BAYwjvL.jpg
SKU,B00BMLUS30,,Pine / Lightning / White,16 D(M) US,22115.15324,,,http://ecx.images-amazon.com/images/I/51fybHDkcjL.jpg,http://ecx.images-amazon.com/images/I/51E-O3B%2Bn2L.jpg,http://ecx.images-amazon.com/images/I/51LFP47UHoL.jpg,http://ecx.images-amazon.com/images/I/41sg1osaHyL.jpg,http://ecx.images-amazon.com/images/I/41ssEQKzjSL.jpg,http://ecx.images-amazon.com/images/I/41%2BGDGymyWL.jpg,http://ecx.images-amazon.com/images/I/41NPmLOQ0sL.jpg
SKU,B00BMLUXIA,,Black / White / Gold,14 D(M) US,22115.15324,,,http://ecx.images-amazon.com/images/I/51ZMDxiyVOL.jpg,http://ecx.images-amazon.com/images/I/51hSdIR-bkL.jpg,http://ecx.images-amazon.com/images/I/51WSkov7ykL.jpg,http://ecx.images-amazon.com/images/I/41V4uleQF4L.jpg,http://ecx.images-amazon.com/images/I/51pq3icR-4L.jpg,http://ecx.images-amazon.com/images/I/51te5gUAZfL.jpg,http://ecx.images-amazon.com/images/I/51QFRLVBVWL.jpg,http://ecx.images-amazon.com/images/I/4184vIPdfRL.jpg
SKU,B00BMLV7TY,,Black / Onyx / Black,8 D(M) US,22115.15324,,,http://ecx.images-amazon.com/images/I/51jmMvZnICL.jpg,http://ecx.images-amazon.com/images/I/51%2BBywABOjL.jpg,http://ecx.images-amazon.com/images/I/51hbIoylbfL.jpg,http://ecx.images-amazon.com/images/I/41FpeJv1ZEL.jpg,http://ecx.images-amazon.com/images/I/410OyjIysAL.jpg,http://ecx.images-amazon.com/images/I/41h4f%2BYYtxL.jpg,http://ecx.images-amazon.com/images/I/41v4sJ6CavL.jpg
SKU,B00BMLUXGM,,Black / White / Gold,16 D(M) US,22115.15324,,,http://ecx.images-amazon.com/images/I/51ZMDxiyVOL.jpg,http://ecx.images-amazon.com/images/I/51hSdIR-bkL.jpg,http://ecx.images-amazon.com/images/I/51WSkov7ykL.jpg,http://ecx.images-amazon.com/images/I/41V4uleQF4L.jpg,http://ecx.images-amazon.com/images/I/51pq3icR-4L.jpg,http://ecx.images-amazon.com/images/I/51te5gUAZfL.jpg,http://ecx.images-amazon.com/images/I/51QFRLVBVWL.jpg,http://ecx.images-amazon.com/images/I/4184vIPdfRL.jpg
