Item Type,Product ID,Product Name,Brand Name,Price,Retail Price,Sale Price,Product Description,Product Code/SKU,Bin Picking Number,Category,Option Set,Product Availability,Current Stock Level,Free Shipping,Sort Order,Meta Description,Page Title,Product Image Description - 1,Product Image Is Thumbnail - 1,Track Inventory,Product Image Sort - 1,Product Image Sort - 2,Product Image Sort - 3,Product Image File - 1,Product Image File - 2,Product Image File - 3,Product Image File - 4,Product Image File - 5 ,Product Image File - 6,Product Image File - 7,Product Image File - 8
Product,,Performance Socks,Ashaway,£4.99,£4.99,£4.99,"<div class=""article-content""><h2>Overview</h2>
<p>High Performance Ashaway Performance sport socks designed for racket sports to help keep feet dry, cool and reduce blistering. Available in Red, Black and Royal - Sold in single packs.</p></div>",93,,,Footwear,Performance Socks,,N,,Buy Performance Socks Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Performance Socks Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Performance Socks Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Option,1,2,3,http://goode-sport.co.uk//data/img/products/gallery/98.jpg?520cd6ca
SKU,,[S]Size= 4-11,,,,,,934-11
SKU,,[S]Size= BLACK,,,,,,93BLACK
SKU,,[S]Size= BLUE,,,,,,93BLUE
SKU,,[S]Size= RED,,,,,,93RED
Product,,Trainer Sock,Ashaway,£9.99,£9.99,£9.99,"<div class=""article-content""><h2><strong>Overview </strong></h2>
<p>These Ashaway Trainer Socks are designed to enhance an athlete's performance with maxium confort, durability and fit. </p></div>",94,,,Footwear,Trainer Sock,,N,,Buy Trainer Sock Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Trainer Sock Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Trainer Sock Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,http://goode-sport.co.uk//data/img/products/gallery/354.jpg?533d4815,http://goode-sport.co.uk//data/img/products/gallery/355.jpg?533d4bdf
Product,,Superlight 7 Hex Frame,Ashaway,£89.99,£89.99,£89.99,"<div class=""article-content""><h2>Overview</h2>
<p>Hex Frame technology sees the racket head cross section as a hexagon rather than a standard oval or box shape. The hexagon shape allows the Ashaway Superlight 7 Hex racket head to be much slimmer and still maintain the strength needed for tournament tensions, the slim profile and hexagonal shape increase aerodynamics dramatically.</p>
<p>The Superlight series are our lightest range of rackets and are constructed from graphite layers and a Nano/TI weave for maximum strength. </p>
<p> </p>
<h2>Specifications</h2>
<ul>
<li class=""first""><strong>Balance:</strong>  282mm (Mid/Head Heavy)</li>
<li><strong>Flex:</strong>  Med-Stiff</li>
<li><strong>Weight:</strong>  78g</li>
<li class=""last""><strong>Frame:</strong> Ultra Hi Modulus Graphite &amp; Nano Carbon</li>
<li class=""last""><strong>Head Shape: </strong>SQ</li>
</ul>
<p> </p>
<h2>Stringing Information</h2>
<ul>
<li class=""first""><strong>Recommended Stringing Tension:</strong> Main - 22lbs to 28 lbs / Cross - 22lbs to 28 lbs</li>
<li class=""last""><strong>String:</strong> ZyMax 70</li>
</ul>
<p> </p></div>",29,,,Superlight,Superlight 7 Hex Frame,,N,,Buy Superlight 7 Hex Frame Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Superlight 7 Hex Frame Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Superlight 7 Hex Frame Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,http://goode-sport.co.uk//data/img/products/gallery/271.jpg?5231d5e4,http://goode-sport.co.uk//data/img/products/gallery/626.jpg?5421967d,http://goode-sport.co.uk//data/img/products/gallery/683.jpg?544629d7
Product,,Atomic 4 Hex Frame,Ashaway,£69.99,£69.99,£69.99,"<div class=""article-content""><h2><strong>Overview</strong></h2>
<p>Hex Frame technology sees the racket head cross section as a hexagon rather than a standard oval or box shape. The hexagon shape allows the Ashaway Atomic 4 Hex racket head to be much slimmer and still maintain the strength needed for tournament tensions, the slim profile and hexagonal shape increase aerodynamics dramatically.</p>
<p> </p>
<h2><strong>Specifications</strong></h2>
<ul>
<li class=""first""><strong>Balance:</strong>  282mm (Mid/Head Heavy)</li>
<li><strong>Flex:</strong>  Medium</li>
<li><strong>Weight:</strong>  84g</li>
<li class=""last""><strong>Frame:</strong> Ultra Hi Modulus Graphite &amp; Nano Carbon</li>
</ul>
<p class=""last""> </p>
<h2><strong>Stringing Information </strong></h2>
<ul>
<li class=""first""><strong>Recommended Stringing Tension:</strong> Main - 22lbs to 28 lbs / Cross - 22lbs to 28 lbs</li>
<li><strong>String:</strong> ZyMax 70</li>
</ul></div>",28,,,Atomic,Atomic 4 Hex Frame,,N,,Buy Atomic 4 Hex Frame Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Atomic 4 Hex Frame Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Atomic 4 Hex Frame Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,http://goode-sport.co.uk//data/img/products/gallery/473.jpg?53abf7ba,http://goode-sport.co.uk//data/img/products/gallery/452.jpg?53aad2c7,http://goode-sport.co.uk//data/img/products/gallery/451.jpg?53aad296
Product,,Atomic 6 Hex Frame,Ashaway,£79.99,£79.99,£79.99,"<div class=""article-content""><h2>Overview</h2>
<p>Hex Frame technology sees the racket head cross section as a hexagon rather than a standard oval or box shape. The hexagon shape allows the racket head to be much slimmer and still maintain the strength needed for tournament tensions, the slim profile and hexagonal shape increase aerodynamics dramatically.</p>
<p> </p>
<h2>Specification </h2>
<ul>
<li class=""first""><strong>Balance:</strong>  282mm (Mid/Head Heavy)</li>
<li><strong>Flex:</strong>  Medium</li>
<li><strong>Weight:</strong>  84g</li>
<li class=""last""><strong>Frame:</strong> Ultra Hi Modulus Graphite &amp; Nano Carbon</li>
</ul>
<h2> </h2>
<h2>Stringing Information</h2>
<ul>
<li class=""first""><strong>Recommended Stringing Tension:</strong> Main - 22lbs to 28 lbs / Cross - 22lbs to 28 lbs</li>
<li><strong>String:</strong> ZyMax 70</li>
</ul>
<p> </p>
<p> </p>
<p> </p></div>",27,,,Atomic,Atomic 6 Hex Frame,,N,,Buy Atomic 6 Hex Frame Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Atomic 6 Hex Frame Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Atomic 6 Hex Frame Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,http://goode-sport.co.uk//data/img/products/gallery/275.jpg?5231dc72
Product,,Atomic 7 Hex Frame,Ashaway,£99.99,£99.99,£99.99,"<div class=""article-content""><h2><strong>Overview</strong></h2>
<h3>HEX Frame Technology provides strength in an ultra slim construction</h3>
<p>Hex Frame technology sees the racket head cross section as a hexagon rather than a standard oval or box shape. The hexagon shape allows the Ashaway Atomic 7 Hex racket head to be much slimmer and still maintain the strength needed for tournament tensions, the slim profile and hexagonal shape increase aerodynamics dramatically.</p>
<p> </p>
<h2><strong>Specifications </strong></h2>
<ul>
<li><strong>Balance:</strong>  282mm (Mid/Head Heavy)</li>
<li><strong>Flex:</strong>  Med-Stiff</li>
<li><strong>Weight:</strong>  84g</li>
<li><strong>Frame:</strong> Ultra Hi Modulus Graphite &amp; Nano Carbon</li>
</ul>
<p> </p>
<h2><strong>Stringing Information </strong></h2>
<ul>
<li><strong>Recommended Stringing Tension:</strong> Main - 22lbs to 28 lbs / Cross - 22lbs to 28 lbs</li>
<li><strong>String:</strong> ZyMax 70</li>
</ul></div>",4,,,Atomic,Atomic 7 Hex Frame,,N,,Buy Atomic 7 Hex Frame Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Atomic 7 Hex Frame Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Atomic 7 Hex Frame Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,http://goode-sport.co.uk//data/img/products/gallery/474.jpg?53abf842,http://goode-sport.co.uk//data/img/products/gallery/458.jpg?53aae06a,http://goode-sport.co.uk//data/img/products/gallery/460.jpg?53aae108
Product,,Viper XT 500 Super Slim,Ashaway,£89.99,£89.99,£89.99,"<div class=""article-content""><h2>Overview</h2>
<p>The Ashaway Viper XT500 Super Slim is our other latest addition to the Ashaway Viper range. It uses the same Viper Weave technology as it's co models but has the added bonus of a super slim profile.<br><br>This new super slim shape enables players to get a greater head speed on shorter strokes, meaning it's the ideal companion to players of a quick attacking style and lends itself well to doubles play. </p>
<p>The Ashaway Viper XT500 has a stiff shaft for increased power for players with quick arm speed. Also added on the Ashaway Viper XT500 is an 88 hole stringing pattern which gives more stability to the string bed and an integrated Aramid compound into the Viper Skin Weave which adds further strength.</p>
<p> </p>
<h2>Specifications</h2>
<ul>
<li><strong>Balance:</strong> 295mm </li>
<li><strong>Flex:</strong> Med/Stiff</li>
<li><strong>Weight:</strong> 88g</li>
<li><strong>Frame:</strong> Ultra Hi Modulus Graphite </li>
<li><strong>Head Shape:</strong> SQ</li>
<li><strong>Suitable For: </strong>Attacking play</li>
</ul>
<p> </p>
<h2>Stringing Information</h2>
<ul>
<li><strong>Recommended Stringing Tension:</strong> Main - 22lbs to 26 lbs, Cross - 22lbs to 26 lbs</li>
<li><strong>String:</strong> ZyMax 70</li>
<li><strong>Stringing Pattern: </strong>88 Hole</li>
</ul></div>",26,,,Viper XT,Viper XT 500 Super Slim,,N,,Buy Viper XT 500 Super Slim Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Viper XT 500 Super Slim Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Viper XT 500 Super Slim Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,http://goode-sport.co.uk//data/img/products/gallery/641.jpg?54340615,http://goode-sport.co.uk//data/img/products/gallery/642.jpg?54340615,http://goode-sport.co.uk//data/img/products/gallery/643.jpg?5434064f
