sku,category,Description,Color,Specification,SP,MRP,productname,imgurl1,Stock,imgurl,Size
SKU: #9430,,,"<div class=""input-box"">
                <input type=""text"" class=""input-text required-entry"" name=""productTagName"" id=""productTagName"">
            </div>","<span style=""color: #000000;"">Aquamira’s Frontier Pro Ultralight Water Filter System is a highly effective water treatment system that fits in your pocket.</span>,<span style=""color: #000000;"">Drink directly from any water source or fill up a bottle or bladder, attach the Frontier Pro filter and start drinking! Use it as a hanging drip filter, too.</span>,<span style=""color: #000000;"">The Frontier Pro is effective for up to 50 gallons of water and uses Aquamira’s advanced Miraguard™ Antimicrobial Technology to suppress the growth of algae, fungus, mold and mildew in the filter.</span>,<span style=""color: #000000;"">The Frontier Pro removes over 99.9% of Cryptosporidium and Giardia as well as dangerous microorganisms from source water, without tablets or waiting.</span>,<span style=""color: #000000;"">It’s compact, lightweight and easy to use.</span>",,,"
                            ,
                                    ",http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/a/q/aquamira_tactical_frontier_pro_water_filter.jpg,In stock,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/a/q/aquamira_tactical_frontier_pro_water_filter.jpg,
SKU: #4422,,,"<div class=""input-box"">
                <input type=""text"" class=""input-text required-entry"" name=""productTagName"" id=""productTagName"">
            </div>","<span style=""color: #000000; font-family: 'book antiqua', palatino;"">Olive Drab W/Aluminum Foil Mat Bottom W/2 Elastic Ties, Thermal,</span>,<span style=""color: #000000; font-family: 'book antiqua', palatino;"">Reflective Aluminum Foil Bottom Mat Retains Heat,</span>,<span style=""color: #000000; font-family: 'book antiqua', palatino;"">Measures: 180 X 60 X 1cm</span>",,,"
                            ,
                                    ","http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rothco_thermal_reflective_od_sleeping_pad_w_ties.jpg,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rothco_thermal_reflective_od_sleeping_pad_w_ties..jpg",In stock,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rothco_thermal_reflective_od_sleeping_pad_w_ties.jpg,
SKU: #3335,,,"<div class=""input-box"">
                <input type=""text"" class=""input-text required-entry"" name=""productTagName"" id=""productTagName"">
            </div>","<span style=""color: #000000; font-family: 'book antiqua', palatino;"">Rothco's Deluxe Survival Knife is the ultimate survival knife featuring a ton of essential tools to help you in any emergency situation.</span>,<span style=""color: #000000; font-family: 'book antiqua', palatino;"">The blade length of the knife is 5 1/2 and the total length of the knife is 10 1/2</span>",,,"
                            ,
                                    ","http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rothco_deluxe_adventurer_survival_kit_knife..jpg,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rothco_deluxe_adventurer_survival_kit_knife.jpg",In stock,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rothco_deluxe_adventurer_survival_kit_knife.jpg,
SKU: #51,,,"<div class=""input-box"">
                <input type=""text"" class=""input-text required-entry"" name=""productTagName"" id=""productTagName"">
            </div>","<span style=""color: #000000; font-family: 'book antiqua', palatino;"">Heavy Duty Steel Construction</span>",,,"
                            ,
                                    ","http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rothco_heavy_weight_steel_handle_folding_pick_shovel..jpg,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rothco_heavy_weight_steel_handle_folding_pick_shovel.jpg",In stock,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rothco_heavy_weight_steel_handle_folding_pick_shovel..jpg,
SKU: #cache-4p,,,"<div class=""input-box"">
                <input type=""text"" class=""input-text required-entry"" name=""productTagName"" id=""productTagName"">
            </div>","<span style=""font-family: 'book antiqua', palatino; color: #000000;"">Perfect for campers who need a lot of space, the Cache 4p tent is a base camp/family style tent with lots of space and storage to keep organized and camp easier. </span>,<span style=""font-family: 'book antiqua', palatino; color: #000000;"">The unique pole design has a large footprint, excellent stability, and near vertical walls for more livability. </span>,<span style=""font-family: 'book antiqua', palatino; color: #000000;"">Dual doors make access quick and easy.  The available Annex vestibule (sold separately) attaches to either door and offers extra storage and covered activity space.</span>,<span style=""color: #000000; font-family: 'book antiqua', palatino;"">Tents include: canopy, fly, poles, stakes, stuff sacks, and guy lines.  Footprint and Annex sold separately.</span>,<span style=""color: #000000; font-family: 'book antiqua', palatino;""><span>Pack weight: 14lbs 12oz. Floor area 64 sq. ft. 4 Person. Three season</span></span>",,,"
                            ,
                                    ","http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/a/cache-4p-fly-on-clipped.jpg,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/a/cache-4p-no-fly.jpg",In stock,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/a/cache-4p-no-fly.jpg,
SKU: #newport h2 women,,,"<div class=""input-box"">
        <select name=""options[24]"" id=""select_24"" class="" required-entry product-custom-option"" title="""" onchange=""opConfig.reloadPrice()""><option value="""">-- Please Select --</option><option value=""45"" price=""0"">Black </option><option value=""46"" price=""0"">Gorgoyle Sap Green </option><option value=""43"" price=""0"">Navy Dream </option><option value=""44"" price=""0"">Sap Green Stripe </option></select>                                </div>","<span style=""color: #000000; font-family: 'book antiqua', palatino;"">Order up some adventure with a side of water in the Newport H2 from KEEN.</span>,<span style=""color: #000000; font-family: 'book antiqua', palatino;"">Ready for adverse conditions, the razor sipped outsole and 3mm lugs provide excellent traction.</span>,<span style=""color: #000000; font-family: 'book antiqua', palatino;"">The washable polyester webbing upper features the odor-reducing Aegis Microbe Shield®.</span>,<span style=""color: #000000; font-family: 'book antiqua', palatino;"">KEEN patented toe protection lets you follow any path, whether to rivers or trails.</span>","
                    Rs3,500.00                ","
                    Rs5,400.00                ","
                            ,
                                    ","http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/n/e/newporth2-ceramic.jpg,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/n/e/newport_h2_keen.jpg,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/s/o/sole_newport_h2_sandal.jpg,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/l/black_wmn_kenn_nwport_h2_sandal.jpg",In stock,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/l/black_wmn_kenn_nwport_h2_sandal.jpg,"<div class=""input-box"">
        <select name=""options[25]"" id=""select_25"" class="" required-entry product-custom-option"" title="""" onchange=""opConfig.reloadPrice()""><option value="""">-- Please Select --</option><option value=""47"" price=""0"">US-5 </option><option value=""48"" price=""0"">US-6 </option><option value=""49"" price=""0"">US-7 </option><option value=""50"" price=""0"">US-8 </option></select>                                </div>"
SKU: #hattrick,,,"<div class=""input-box"">
                <input type=""text"" class=""input-text required-entry"" name=""productTagName"" id=""productTagName"">
            </div>","<span style=""color: #000000; font-family: 'book antiqua', palatino;"">Lightweight versatility with best in class space-to-weight ratio. Get more space, protection, and lengthen your usable season with the Hat-Trick series.</span>,<span style=""color: #000000; font-family: 'book antiqua', palatino;"">This full-featured tent delivers user-friendly features like large entry doors, protected vestibules, Pole-Pilot™ setup sleeves and semi-attachable fly without needing a pack mule.</span>,<span style=""color: #000000; font-family: 'book antiqua', palatino;"">Easton carbon fiber poles shave weight and add strength. The perfect shelter for those wanting extra wiggle room or needing space for gear-intensive excursions.</span>,<span style=""color: #000000; font-family: 'book antiqua', palatino;"">Hat-Trick is made with Carbon EVO Pole System with shockcord.</span>,<span style=""color: #000000; font-family: 'book antiqua', palatino;"">EVO is stronger and lighter than aluminum and sets the new standard in high performance tent frames.</span>,<span style=""color: #000000; font-family: 'book antiqua', palatino;"">Tent includes: canopy, fly, poles, stakes, stuff sacks, and guy lines. Footprint sold separately.</span>,<span style=""color: #000000; font-family: 'book antiqua', palatino;""><span>Pack weight: 5lbs 3oz. Floor area: 40.4 sq.ft. 2 person. All season.</span></span>",,,"
                            ,
                                    ","http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/images/catalog/product/placeholder/image.jpg,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/_/h/_hat-trick2p_fly_.jpg",In stock,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/images/catalog/product/placeholder/image.jpg,
SKU: #25000,,,"<div class=""input-box"">
                <input type=""text"" class=""input-text required-entry"" name=""productTagName"" id=""productTagName"">
            </div>","<span style=""color: #000000; font-family: 'book antiqua', palatino;"">Rothco's 8-in-1 LED Card is the prefect pocket size utility tool that is small enough to fit into your wallet or pocket.</span>,<span style=""color: #000000; font-family: 'book antiqua', palatino;"">The tool features a laser pointer, compass, magnifier, ballpoint pen, LED light,invisible ink pen with UV light.</span>,<span style=""color: #000000; font-family: 'book antiqua', palatino;"">Batteries are included.</span>",,,"
                            ,
                                    ","http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rothco_8-in-1_led_utility_card_tool1.jpg,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/_/r/_rothco_8-in-1_led_utility_card_tool2_1.jpg,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rothco_8-in-1_led_utility_card_tool3.jpg",In stock,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/o/rothco_8-in-1_led_utility_card_tool1.jpg,
sku,category,Description,Color,Specification,SP,MRP,productname,imgurl1,Stock,imgurl,Size
SKU: #2280,,,"<div class=""input-box"">
                <input type=""text"" class=""input-text required-entry"" name=""productTagName"" id=""productTagName"">
            </div>","<span>We stock only the highest-quality latex gaskets available. Install with Aquaseal®. Sold individually.</span>,<span>The glue-in diameter for all sizes is 12"" in circumference.</span>",,,"
                            ,
                                    ",http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/w/r/wrist_gasket.jpg,In stock,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/w/r/wrist_gasket.jpg,
