sku,New Sku,category,Description,Color,Specification,SP,MRP,productname,imgurl1,Stock,imgurl,Size
1661,AXS11001,Camping ; Outdoor,"
                    Towels light, soft and compact ultra-thin microfiber super absorbent quick-dry. Printed with 4 different pictures outdoors. Supplied in a special pouch on goal.
        ","
                
            ","Towels light, soft and compact ultra-thin microfiber super absorbent quick-dry. ,Printed with 4 different pictures outdoors. ,Supplied in a special pouch on goal.",,"Rs1,000.00",CAMP DRY TOWEL PRINTED,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/a/camp_towel_printed_1661.jpg,In stock,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/a/camp_towel_printed_1661.jpg,
 #LFS6029,AXS11002,Camping ; Outdoor,"
                    Product advantages:
Main compartment opening terminal
Secondary zip pocket organizer
Front zippered pocket
Main compartment with separate padded computer
Piping reflective
Cushioned back with a secret pocket secure
Ergonomic shoulder straps with phone pocket and MP3 pocket
Removable rain cover
Side straps and elastic cuffs for a briefcase storage use
Chest strap
 
 
 
 
        ","
                
            ","Product advantages:,Main compartment opening terminal,Secondary zip pocket organizer,Front zippered pocket,Main compartment with separate padded computer,Piping reflective,Cushioned back with a secret pocket secure,Ergonomic shoulder straps with phone pocket and MP3 pocket,Removable rain cover,Side straps and elastic cuffs for a briefcase storage use,Chest strap, , , , ",,"Rs3,800.00",LAFUMA BACKPACK CICAD 18,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/a/backpack_cicad_18_lafuma.png,In stock,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/a/backpack_cicad_18_lafuma.png,
# 0.7122.T2,AXS11003,Camping ; Outdoor,"
                    The traditionalist in the swisscard family has many hidden talents.
A practical companion for every case that finds room in wallets,briefcases or diaries.
Tools

Letter opener (blade) 
Nailfile with
Screwdriver
Scissors 
Pressurized ballpoint pen 
Pin stainless 
Ruler (cm) 
Ruler (inches) 
Toothpick 
Tweezers 

 
        ","
                
            ","The traditionalist in the swisscard family has many hidden talents.,A practical companion for every case that finds room in wallets,briefcases or diaries.,Tools, ",,"Rs1,150.00",VICTORINOX SWISS CARD,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/s/w/swiss_card1_1.jpg,In stock,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/s/w/swiss_card1_1.jpg,
#0.7133.T3,AXS11004,Camping ; Outdoor,"
                    The traditionalist in the swisscard family has many hidden talents.
A practical companion for every case that finds room in wallets,briefcases or diaries.
Tools

Letter opener (blade) 
Nailfile with
Screwdriver
Scissors 
Pressurized ballpoint pen 
Pin stainless 
Ruler (cm) 
Ruler (inches) 
Toothpick 
Tweezers

 
        ","
                
            ","The traditionalist in the swisscard family has many hidden talents.,A practical companion for every case that finds room in wallets,briefcases or diaries.,Tools, ",,"Rs1,150.00",VICTORINOX SwissCard ONYX,"http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/s/w/swiss_card2_...jpg,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/s/w/swiss_card2.jpg",In stock,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/s/w/swiss_card2.jpg,
#0.8461.MWCH,AXS11005,Camping ; Outdoor,"
                    
lock blade for one hand opening 
can opener with
small screwdriver
cap lifter with
screwdriver
wire stripper
wood saw 
Philips screwdriver 
reamer 
Key ring inox 

        ","
                
            ",,,"Rs2,450.00",Victorinox Knife Swiss Soldier's 08,"http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/0/_/0_8461_mwch__soldier_knife_2.jpg,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/0/_/0_8461_mwch__soldier_knife.jpg",In stock,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/0/_/0_8461_mwch__soldier_knife_2.jpg,
#0.8623.MWN,AXS11006,Camping ; Outdoor,"
                    The Victorinox rescuetool was developed and perfected in cooperation with emergency medical and rescue services in a five-year project.
The key functions of this pocket tool can be opened in seconds and are ready for use immediately.
Tools

Large lock blade for one hand opening 
Seatbelt cutter 
Glass disc saw for shatterproof glass 
Strong screwdriver / crate opener
Cap lifter
Wire stripper
Window breaker 
Philips screwdriver 
Reamer with sewing eye 
Tweezers 
Toothpick 
Key ring inox 
Luminescent grip shells 
Nylon cord 
Nylon pouch 

 
        ","
                
            ","The Victorinox rescuetool was developed and perfected in cooperation with emergency medical and rescue services in a five-year project.,The key functions of this pocket tool can be opened in seconds and are ready for use immediately., ",,"Rs5,100.00",VICTORINOX RescueTool ,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/e/rescue_tool_victorinox.jpg,In stock,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/e/rescue_tool_victorinox.jpg,
#1.3703,AXS11007,Camping ; Outdoor,"
                    Whether a climbing or a trekking expedition: the Climber helps you to get further.

Large blade 
Small blade 
Scissors 
Can opener with
Small screwdriver
Cap lifter with
Screwdriver
Wire stripper
Multi-purpose hook (parcel carrier) 
Corkscrew 
Reamer with sewing eye 
Tweezers 
Toothpick 
Key ring inox

        ","
                
            ",Whether a climbing or a trekking expedition: the Climber helps you to get further.,,"Rs1,850.00",VICTORINOX KNIFE Climber,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/l/climber_red.jpg,In stock,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/l/climber_red.jpg,
#1.3713,AXS11008,Camping ; Outdoor,"
                    Camping site, fireplace or raised hide?
The Huntsman is at home in any territory.
Tools Are

Large blade 
Small blade 
Can opener with
Small screwdriver
Cap lifter with
Screwdriver
Wire stripper
Scissors 
Wood saw 
Multi-purpose hook (parcel carrier) 
Corkscrew 
Reamer with sewing eye 
Toothpick 
Tweezers 
Key ring inox

        ","
                
            ","Camping site, fireplace or raised hide?,The Huntsman is at home in any territory.,Tools Are",,"Rs1,950.00",Victorinox Knife Huntsman,"http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/k/n/knife_huntsman2.jpg,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/k/n/knife_huntsman.jpg",In stock,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/k/n/knife_huntsman.jpg,
#1.3713.T7,AXS11009,Camping ; Outdoor,"
                    Camping site, fireplace or raised hide? 
The Huntsman is at home in any territory.
Tools Are:

Large blade 
Small blade 
Can opener
Small screwdriver
Cap lifter with
Screwdriver
Wire stripper
Scissors 
Wood saw 
Multi-purpose hook (parcel carrier) 
Corkscrew 
Reamer with sewing eye 
Toothpick 
Tweezers 
Key ring inox

 
        ","
                
            ","Camping site, fireplace or raised hide? ,The Huntsman is at home in any territory.,Tools Are:, ",,"Rs2,250.00",Victorinox Huntsman SilverTech,"http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/h/u/huntsman_slver_tech.jpg,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/h/u/huntsman_silver_tech2.jpg",In stock,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/h/u/huntsman_slver_tech.jpg,
#1.6703,AXS11010,Camping ; Outdoor,"
                    Discover unknown terrain or look at things in more detail with the Explorer, the “Officer’s Knife” for adventurers.
 

Large blade 
Small blade 
Philips screwdriver 
Scissors 
Cap lifter with
Screwdriver
Wire stripper
Can opener 
Small screwdriver
Corkscrew 
Multi-purpose hook (parcel carrier) 
Magnifying lens 5x 
Reamer with sewing eye 
Tweezers 
Toothpick 
Key ring inox 

 
        ","
                
            ","Discover unknown terrain or look at things in more detail with the Explorer, the “Officer’s Knife” for adventurers., , ",,"Rs2,350.00",Victorinox Knife Explorer,"http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/k/n/knife_explorer.jpg,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/e/x/explorer2.jpg",In stock,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/k/n/knife_explorer.jpg,
#1.6795,AXS11011,Camping ; Outdoor,"
                    You will be right at the front in every situation with the swisschamp.
The top model among the “Officer’s Knives” combines 33 high quality tools with an award-winning design.
Tools Are

Large blade 
Small blade 
Can opener 
Small screwdriver
Cap lifter
Screwdriver
Wire stripper
Scissors 
Pliers with
Wire crimping tool
Wire cutters
Philips screwdriver 
Wood saw 
Fish scaler 
Hook disgorger
Ruler (cm + inches)
Nailfile
Metal file
Nail cleaner
Metal saw
Magnifying lens 5x 
Reamer with sewing eye 
Multi-purpose hook (parcel carrier) 
Corkscrew 
Screwdriver 2.5mm 
Chisel 
Mini-screwdriver 
Pressurized ballpoint pen 
Pin stainless 
Toothpick 
Tweezers 
Key ring inox

        ","
                
            ","You will be right at the front in every situation with the swisschamp.,The top model among the “Officer’s Knives” combines 33 high quality tools with an award-winning design.,Tools Are",,"Rs18,700.00",Victorinox Knife SwissChamp,"http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/s/w/swiss_champ2.jpg,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/s/w/swiss_champ.jpg,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/s/w/swiss_champ3.jpg",In stock,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/s/w/swiss_champ.jpg,
#1.7725.T,AXS11012,Camping ; Outdoor,"
                    In addition to the traditional functions, this pocket knife also includes tools for computer freaks: multi-function pliers and standardized screwdriver bits.
The screwdriver bits match the screw sizes of the computer makers and can be used on both ends.
The perfect tool for computer users, electronic engineers and DIY enthusiasts.
Tools

Large blade 
Small blade 
Can opener with small screwdriver
Cap lifter with screwdriver
Wire stripper
Pliers with wire crimping tool
Wire cutters
Scissors 
Bit case 
Bitwrench with bit Philips 0
Bit Torx 10
Bit Torx 15
Bitwrench with bit Hex 5 mm female for D-SUB connectors
4 mm female Hex drive for the bits
Bit Philips 0
Bit Philips 1
Bit slotted 4 mm
Bit Philips 2
Bit Hex 4 mm
Bit Torx 8
Bit Torx 10
Bit Torx 15
Ballpoint pen
Also to set DIP-Switch
Pin stainless 
Corkscrew 
Reamer 
Reamer with sewing eye 
Mini-screwdriver 
Multi-purpose hook (parcel carrier) 
Tweezers 
Toothpick 
Key ring inox 

 
        ","
                
            ","In addition to the traditional functions, this pocket knife also includes tools for computer freaks: multi-function pliers and standardized screwdriver bits.,The screwdriver bits match the screw sizes of the computer makers and can be used on both ends.,The perfect tool for computer users, electronic engineers and DIY enthusiasts.,Tools, ",,"Rs4,950.00",VICTORINOX CyberTool 34,"http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/y/cyber_tool.jpg,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/y/cyber_tool2.jpg,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/y/cyber_tool3.jpg",In stock,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/y/cyber_tool.jpg,
#1.7905.AVT,AXS11013,Camping ; Outdoor,"
                    Traveller Lite will never leave you in the dark – thanks to the white LED and the many high-quality orientation aids.
Tools Are:

Large blade 
Small blade 
Can opener with
Small screwdriver
Cap lifter 
Screwdriver
Wire stripper
Scissors 
Philips screwdriver 
LED, light white 
Pressurized ballpoint pen 
Pin stainless 
Corkscrew 
Multi-purpose hook
Nailfile
Reamer with sewing eye 
Mini-screwdriver 
Toothpick 
Tweezers 
Key ring inox 
Digital clock 
Alarm
Countdown

        ","
                
            ","Traveller Lite will never leave you in the dark – thanks to the white LED and the many high-quality orientation aids.,Tools Are:",,"Rs6,275.00",Victorinox Traveller Lite,"http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/t/r/traveller_lite1.jpg,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/t/r/traveller_lite2.jpg",In stock,http://www.adventureaxis.in/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/t/r/traveller_lite1.jpg,
