Category,,Page Title,Product Image File - 3,Product Image File - 2,Product ID,Brand Name,Product Image File - 4,Product Description,Price,Product Image Sort - 2,Product Name,Product Image Sort-5, Product Image File - 6 ,Product Image Sort-6,Free Shipping,Current Stock Level,Option Set,Track Inventory,Product Image File - 1,Sort Order,Product Image Description - 1,Retail Price,Product Availability,Meta Description,Sale Price,Product Code/SKU,Product Image File - 5 ,Item Type,Product Image Sort - 1,Product Image Is Thumbnail - 1,Product Image Sort - 3,Bin Picking Number,Product Image Sort - 4
,,,,,216008,,,,,,[S]Size=UK 10.5,,,,,100,,,,,,,,,,500594UK10.5,,SKU,,,,ACTIVINSTINCT,
Racket Sports/Squash/Squash Shoes/Men's;Shoes/Men's Shoes/Indoor Court Shoes,,Buy the SALMING R1 2.0 Men's Indoor Shoe Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,,,91829,Salming,,"<div id=""product_description_text"" style=""overflow:hidden; min-height:75px;"">								<p>The Salming R1 2.0 Indoor Shoe's upper is made from a durable lightweight polyester fabric which is then covered in a special black exo skeleton that effectively helps keep the foot in the right position during lateral movements and high performance 								activities. This uniquely comfortable upper construction helps the shoe to feel perfect on your foot from the first instant with virtually zero ""break-in"" time.</p><p>Compared to many of the competitors the Race is designed with less heel to toe drop and a thicker forefoot with greater rebound characteristics making it extremely comfortable and fun to run in.</p><p>At the core of the shoe's design you will find Salming's unique T.G.S. 62/75 degree system which specifically designates the distance from heel to the ball of the foot (62% of the shoe) in order to optimize stability comfort and performance. Key to this design is the firmer stabilizing section which ends at the ball of the foot at the so-called ""ballet"" line a 75 degree angle. In front of the 75 degree line Salming have equipped the Race with a specially composed section which gives greater flexibility in order to further stimulate the foot's natural movements.</p><p>In addition this great shoe features both Salming's 5 degree angle concept on the outer edge of the shoe which helps avoid the risk of ankle injury and their innovative RollBar technology on the inner edge for quicker and better lateral push-off.</p><p>In order to help you control all of this cornering performance the XR110 outer sole has a sticky compound that provides excellent traction properties.</p>								<p>Material</p><ul><li>Rubber </li><li>Synthetic </li></ul>								</div>",18158.256155,2,SALMING R1 2.0 Men's Indoor Shoe*,5,,6,N,100,SALMING R1 2.0 Men's Indoor Shoe,By Option,http://products.activinstinct.com/y2014/m07/443423/88612251-b.jpg,-240,Buy SALMING R1 2.0 Men's Indoor Shoe Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,18158.256155,12-17 Working Days,Get your hands on the SALMING R1 2.0 Men's Indoor Shoe. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,16714.411155,443423ACVIN,,Product,1,Y,3,ACTIVINSTINCT,4
Racket Sports/Squash/Squash Shoes/Women's;Shoes/Women's Shoes/Indoor Court Shoes,,Buy the adidas Adipower Stabil 10.1 Unisex Indoor Shoes Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,,http://products.activinstinct.com/y2013/m07/373897/56096806-b.jpg,91808,adidas,,"<div id=""product_description_text"" style=""overflow:hidden; min-height:75px;"">								<p>Part of the Stabil family that has produced balanced and high performing court shoes for a number of years this indoor shoe is lighter stronger and more flexible than it has ever been. With an excellent fit and brilliant strength it has top on-court 								performance.</p><p>The combination of a power frame and power band embrace the foot and provides excellent stability during lateral movements. The Sprint Web is a supportive lightweight TPU base layer and abrasion resistant RPU top layer provides excellent stability and protection.</p><p>There is a highly responsive second-density EVA Ringcore to ensure power and speed during multi-directional movement. There is also a Motion Guiding System that provides brilliant cushioning stability and guidance for strong and powerful movement and there is anti-slip lining for greater comfort.</p><p>The new non-marking rubber compound ensures fantastic grip on all indoor surfaces and the shoe is MiCoach compatible.</p>								<p>Material</p><ul><li>Rubber </li><li>Synthetic Material </li></ul>								</div>",18881.6225,2,adidas Adipower Stabil 10.1 Unisex Indoor Shoes*,5,,6,N,100,adidas Adipower Stabil 10.1 Unisex Indoor Shoes,By Option,http://products.activinstinct.com/y2013/m07/373897/98231814-b.jpg,-240,Buy adidas Adipower Stabil 10.1 Unisex Indoor Shoes Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,18881.6225,12-17 Working Days,Get your hands on the adidas Adipower Stabil 10.1 Unisex Indoor Shoes. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,16714.411155,asACVIN,,Product,1,Y,3,ACTIVINSTINCT,4
,,,,,215893,,,,,,[S]Size=UK 7,,,,,100,,,,,,,,,,asUK7,,SKU,,,,ACTIVINSTINCT,
,,,,,215895,,,,,,[S]Size=UK 12,,,,,100,,,,,,,,,,asUK12,,SKU,,,,ACTIVINSTINCT,
Team Sports/Hockey/Goalie Equipment/Gloves & hand protection,,Buy the GRAYS G500 International Goalkeeping Hand Protectors  Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,,,91811,Grays,,"<div id=""product_description_text"" style=""overflow:hidden; min-height:75px;"">								<p>The Grays G500 Goalkeeping Hand Protectors are the top of the range when it comes to hand protectors with the left hand utilising a dual barrier concept with high rebound and a flat palm. The right hand is reduced in size for improved fit and forms 								a dual barrier combination with the left hand glove to help defend penalty corners.</p>								<p>Material</p><ul><li>High Density Foam </li></ul>								</div>",36206.318655,2,GRAYS G500 International Goalkeeping Hand Protectors *,5,,6,N,100,GRAYS G500 International Goalkeeping Hand Protectors ,By Option,http://products.activinstinct.com/y2008/m12/20646/20646-b.jpg,-240,Buy GRAYS G500 International Goalkeeping Hand Protectors  Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,36206.318655,12-17 Working Days,Get your hands on the GRAYS G500 International Goalkeeping Hand Protectors . Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,32957.667405,20646ACVIN,,Product,1,Y,3,ACTIVINSTINCT,4
,,,,,215900,,,,,,[S]Size=M,,,,,100,,,,,,,,,,20646M,,SKU,,,,ACTIVINSTINCT,
,,,,,215901,,,,,,[S]Size=L,,,,,100,,,,,,,,,,20646L,,SKU,,,,ACTIVINSTINCT,
Team Sports/Hockey/Goalie Equipment/Lower body protection,,Buy the MERCIAN Xtreme Legguards  Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,http://products.activinstinct.com/y2008/m12/20189/24659225-b.jpg,http://products.activinstinct.com/y2008/m12/20189/20189-b.jpg,91814,Mercian,,"<div id=""product_description_text"" style=""overflow:hidden; min-height:75px;"">								<p>New increased width level 5 legguards and high rebound level 5 kickers. These are complemented by the Xtreme gloves with a low profile right hand and high-rebound maximum-size left hand. The legguards incorporate a right-side slide wing to aid smothering 								techniques.</p>								<p>Material</p><ul><li>None </li></ul>								</div>",39817.375,2,MERCIAN Xtreme Legguards *,5,,6,N,100,MERCIAN Xtreme Legguards ,By Option,http://products.activinstinct.com/y2008/m12/20189/54844197-b.jpg,-240,Buy MERCIAN Xtreme Legguards  Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,39817.375,12-17 Working Days,Get your hands on the MERCIAN Xtreme Legguards . Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,36207.7625,20189ACVIN,,Product,1,Y,3,ACTIVINSTINCT,4
,,,,,215906,,,,,,[S]Size=M,,,,,100,,,,,,,,,,20189M,,SKU,,,,ACTIVINSTINCT,
