Category,SKU,Variant,MRP,productname,stock,imgurl,Description
�Bike Care,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""3M 4-Way Spray Lubricant"",""price"":""241.0"",""sku"":"""",""categories"":[""brand/3m"",""category/bike-care""]},""category"":{""name"":""category/bike-care""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,Rs 241.00,3M 4-Way Spray Lubricant,Delivered in 15 to 20 business days,"/spree/products/843/product/3m-motorcycle-chain-clean-spray_copy.jpg?1369556790,/spree/products/844/product/011.jpg?1365868213,/spree/products/845/product/012.jpg?1365868227","<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><p> </p>
<p>3M™ 4-Way Spray is an aerosol, rust preventive, penetrant, demoisturant and lubricant. It is an excellent lubricant for delicate instruments. 4-Way spray leaves an ultra-thin film that inhibits rust and corrosion. It displaces moisture and “dries out” electrical ignition systems, generators, motors, etc.</p>
<p> </p>
<p>LUBRICATES, PENETRATES, PREVENTS RUST<br>GENERAL PURPOSE, ALL-ROUND USE WHEREVER A LIGHT OIL IS NEEDED<br>CLEANS AND LUBRICATES HINGES, FREES RUSTED BOLTS, DISPLACES MOISTURE</p>
<p> </p>
                
              </div>"
Park Tool,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""3-way Internal Nipple Wrench"",""price"":""845.0"",""sku"":""86421278"",""categories"":[""brand/park-tool"",""category/tools-and-maintainence""]},""category"":{""name"":""brand/park-tool""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,Rs 845.00,3-way Internal Nipple Wrench,Delivered in 15 to 20 business days,"/spree/products/520/product/SW-15_1.jpg?1361039959,/spree/products/521/product/SW-15_2.jpg?1361039975","<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><p>Park Tool's innovative 3-way “Y” wrench featuring three different sized wrenches to fit internal spoke nipples.</p>
<ul>
<ul>
<li>3.2mm square drive, plus 5mm and 5.5mm hex sockets</li>
<li>Slips perfectly into the tight surroundings of most rims</li>
<li>Works with wheels made by numerous manufacturers including, but not limited to:
<ul>
<li>FSA</li>
<li>Blackwell</li>
<li>Planet-X</li>
<li>HED</li>
<li>Rolf</li>
<li>Bontrager</li>
<li>Campagnolo</li>
<li>Mavic</li>
</ul>
</li>
</ul>
</ul>
<p>Note: Wheel manufacturer’s specifications change without notice.</p>
                
              </div>"
4ZA,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""4ZA CIRRUS STEM 31.8 83D"",""price"":""4799.0"",""sku"":""86421301"",""categories"":[""brand/4za"",""product/accessories"",""category/rider-comfort""]},""category"":{""name"":""brand/4za""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,"Rs 4,799.00",4ZA CIRRUS STEM 31.8 83D,Delivered in 15 to 20 business days,,"<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><p>The 4ZA Cirrus stem provides peace of mind with lightweight and rigid construction. Designed and tested in the real world lab of Belgium.</p>
<p>Stem Length: 100 mm<br>Stem Angle: 83 deg/97 deg<br>Color: Black/Red<br>Bar Clamp Diameter: 31.8<br>Intended Use: Road</p>
<p><strong> </strong></p>
                
              </div>"
�Bike Care,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""8-In-One Bike Cleaning Kit"",""price"":""3150.0"",""sku"":""86421546"",""categories"":[""category/bike-care"",""brand/muc-off""]},""category"":{""name"":""category/bike-care""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,"Rs 3,150.00",8-In-One Bike Cleaning Kit,Delivered in 15 to 20 business days,,"<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><h3>Muc-Off 8-in-1 Cleaning Kit</h3>
<div><strong>Muc-Off Biodegradable Bike Cleaner:</strong>
<p>Our unique Muc-Off Nano Tech cleaning formula makes life easy, regardless of the weather conditions or time of year. Muc-Off Nano Tech Cleaner has an incredibly effective cleaning formula containing “Nano Technology” that also cares for your bike’s delicate finishe. It contains no harmful acids, CFC’s or solvents, is NONTOXIC and fully biodegradable.</p>
<p>It’s completely safe on anodising, paintwork, chrome, carbon fibre, suspension seals, rubber, disc brake pads, and more importantly, it's safe for the user too! It cuts through dirt, oil and grime quickly and safely leaving your bike sparkling clean. Make life easy. Try Muc-Off Nano Tech Cleaner after your next dirty ride!</p>
<p>So why is Muc-Off with Nano better?</p>
<p>In the past, bike cleaners have been formulated using “Micro Scale” materials which are approximately 1/80th the size of a human hair. Muc-Off Nano-Tech cleaner is formulated using “Nano Scale” materials which are approximately 1/80000th of the diameter of a human hair. This dramatic reduction in material scale allows the Muc-Off formula to penetrate far deeper into dirt, oil and grime and gently break it down on an atomic and molecular level. The dirt is then rinsed away easily and safely with water, leaving behind corrosion inhibitors for future protection. A painted or metal surface may look smooth to the naked eye but under a microscope it’s full of peaks and troughs. Nano sized particles are able to fill these microscopic areas and bond to form a smooth protective layer that makes it harder for dirt to adhere to the surface next time you ride.</p>
<br><strong>Muc-Off Bike Spray:</strong>
<p>Protect, preserve and freshen your bike with Muc-Off Bike Spray's incredible water dispersing action. Muc-Off Bike Spray has a high oil content so it's a prefect 'all over' after-wash corrosion inhibitor. It drives out moisture and leaves a sparkling, non-sticky protective layer on frame, drive chain, metal parts, plastics, rubber and paintwork. Why does Muc-Off Bike Spray rock?</p>
<p>Because it contains P.T.F.E! This wonder ingredient bonds on a molecular level to form a protective lubricating film on all parts. In fact, the molecules found in P.T.F.E are amongst the largest known to man, which is why the surface is so slippery. FACT: P.T.F.E is so slippery, virtually nothing can stick to it or be absorbed by it. It is the only substance in the world to which a Gecko can't stick!!</p>
<p>It also has superb penetrative qualities that help drive deep into tight areas which can hold moisture as well as free up seized parts. This all combines to prevent dirt adhesion between washes and reduce future maintenance time as well as helping reduce friction and wear.</p>
<br><strong>Muc-Off Detailing Brush</strong>
<p>Our Detailing Brush is ideal for reaching hard-to-shift dirt on sprockets, hubs and other tight areas such as suspension mounts or fork crowns. It's all new design features a tough, impact resistant handle that won't slip in extreme conditions, durable nylon bristles and rubberised impact zones for maximum protection on delicate finishes.</p>
<br><strong>Muc-Off Soft Washing Brush</strong>
<p>Our Soft Washing Brush sintered bristle compound is designed to clean your bike frame and components while caring for delicate finishes. It's all new design features a tough, impact resistant handle that won't slip in extreme conditions, oversized head for fast cleaning of large areas and rubberised impact zones for maximum protection.</p>
<br><strong>Muc-Off Two Prong Brush</strong>
<p>Our Two Prong Brush is ideal for reaching hard-to-shift dirt on spokes, discs, shocks, linkages and foot rests. It's all new design features a tough, impact resistant handle that won't slip in extreme conditions and durable nylon bristles. The twin brush heads can be altered and repositioned to reach the tightest of areas.</p>
<br><strong>Muc-Off Claw Brush</strong>
<p>High quality construction with triple brush heads featuring tough nylon bristles and an integral scrapper for mud de-clogging. Ideal for chain, cassette and sprockets. 10-speed compatible.</p>
</div>
                
              </div>"
Park Tool,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Adjustable Spoke Wrench"",""price"":""2600.0"",""sku"":""86421279"",""categories"":[""brand/park-tool"",""category/tools-and-maintainence""]},""category"":{""name"":""brand/park-tool""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,"Rs 2,600.00",Adjustable Spoke Wrench,Delivered in 15 to 20 business days,"/spree/products/522/product/SW-10_1.jpg?1361040149,/spree/products/523/product/SW-10_2.jpg?1361040166","<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><p>The SW-10 Adjustable Spoke Wrench helps remove tight, stubborn or rounded nipples. Hardened, nickel plated investment casting gives superior strength and durability. Fits any of the 80 gauge sizes listed for SW-0 through SW-2:</p>
<ul>
<li>.127” (3.23mm) nipple</li>
<li>.130” (3.30mm) nipple</li>
<li>
<p>.136” (3.45mm) nipple</p>
</li>
</ul>
                
              </div>"
BumsOnTheSaddle,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Adjustment Voucher"",""price"":""545.0"",""sku"":"""",""categories"":[""brand/bums-on-the-saddle""]},""category"":{""name"":""brand/bums-on-the-saddle""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,Rs 545.00,Adjustment Voucher,Delivered in 3 to 5 business days,,"<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  
                </p>
              </div>"
�Car Rack,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""AERORACK: Universal Trunk Bicycle Carrier"",""price"":""10290.0"",""sku"":""86421627"",""categories"":[""brand/bnb-rack"",""category/car-rack""]},""category"":{""name"":""category/car-rack""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,"Rs 10,290.00",AERORACK: Universal Trunk Bicycle Carrier,Delivered in 15 to 20 business days,,"<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><p>AERORACK BC-6301 : UNIVERSAL TRUNK BICYCLECARRIER</p>
<ul>
<li>Mounts to sedan, hatchback and S.U.V</li>
<li>Built with high strength steel, aluminum alloy and reinforced plastics.</li>
<li>Matte black with anodized sandy silver finish</li>
<li>Unique aerodynamic style</li>
<li>Full colored box package</li>
<li>Full colored guide</li>
<li>Limited lifetime warranty</li>
<li>TUV certified - NR110510090</li>
<li>3 bikes capacity</li>
<li>100 lbs (45 kgs) weight limit</li>
<li>No tools needed</li>
</ul>
                
              </div>"
Agu Takatsu,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Agu Takatsu Sun Glasses"",""price"":""3500.0"",""sku"":""86421170"",""categories"":[""brand/agu-takatsu"",""category/rider-comfort"",""category/rider-protection"",""product/accessories""]},""category"":{""name"":""brand/agu-takatsu""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,"Rs 3,500.00",Agu Takatsu Sun Glasses,Delivered in 15 to 20 business days,,"<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><p><span style=""font-size: medium;"">Very lightweight sports glasses with extra ventilation openings.</span></p>
<p><span style=""font-size: medium;"">Optimum protection against UV. With adjustable nose pads and supplied with two easily interchangeable lenses, yellow and transparent.</span></p>
<p> </p>
                
              </div>"
�Head Lights,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Akslen HB 112"",""price"":""1750.0"",""sku"":""86421070"",""categories"":[""product/accessories"",""brand/akslen"",""category/lights/head-lights""]},""category"":{""name"":""category/lights/head-lights""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,"Rs 1,750.00",Akslen HB 112,Delivered in 15 to 20 business days,"/spree/products/113/product/369.jpg?1349925387,/spree/products/114/product/370.jpg?1349925400","<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><p>Easy installation and battery change.<br>Next Generation Double-chip Super White LEDs<br>Patented LitCell Advanced™, Light Convergence Technology<br>E3™, Boosted / Steady High-Output Circuit<br>Optimized Lighting Pattern for Cycle Headlights<br>Low Power Indicator</p>
<p>Bulb: Double-chip Super White LED x 2<br>Battery: LR06 ( Size ""AA"" ) x 2<br>Size: 49 x 67 x 56 mm<br>Full Power Mode: 1000 CD - 10 Hours<br>City Eco Mode : 500 CD – 20 Hours<br>Flash Mode : 40 Hours<br>Quick-release 180 degrees adjustable bracket<br>( Clamps for diameter 22 - 30 and 30 - 38 mm )</p>
                
              </div>"
�Head Lights,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Akslen HB 122 "",""price"":""2250.0"",""sku"":""86421069"",""categories"":[""product/accessories"",""brand/akslen"",""category/lights/head-lights"",""category/lights""]},""category"":{""name"":""category/lights/head-lights""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,"Rs 2,250.00",Akslen HB 122 ,Delivered in 15 to 20 business days,"/spree/products/112/product/368.jpg?1349925266,/spree/products/359/product/akslen-hb-122.jpg?1354039411","<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><p>Easy installation and battery change, tool-free</p>
<p>Next Generation Double-chip Super White LEDs</p>
<p>Patented LitCell Advanced™, Light Convergence Technology</p>
<p>E3™, Boosted / Steady High-Output Circuit</p>
<p>Optimized Lighting Pattern for Cycle Headlights</p>
<p>Low Power Indicator</p>
<p>Quick-release 180 degrees adjustable bracket</p>
<p>( Clamps for diameter 22 - 30 and 30 - 38 mm )</p>
<p>Best suited for Brevets, longer rides - 15 Lux</p>
<p>Flash Mode - 54 Hours</p>
<p>City Eco Mode - 18 Hours - 550 CD</p>
<p>Full Power Mode - 05 Hours - 1500 CD</p>
                
              </div>"
