Item Type,Product Name,Brand Name,Price,Retail Price,Sale Price,Product Description,Product Code/SKU,Bin Picking Number,Category,Option Set,Product Availability,Current Stock Level,Free Shipping,Sort Order, Meta Description,Page Title,Product Image Description - 1,Product Image Is Thumbnail - 1,Track Inventory,Product Image Sort - 1,Product Image Sort - 2,Product Image Sort - 3,Product Image Sort - 4,Product Image Sort-5,Product Image Sort-6,Product Image Sort-7,Product Image File - 1,Product Image File - 2,Product Image File - 3,Product Image File - 4,Product Image File - 5 ,Product Image File - 6,Product Image File - 7, 
Product,Leg Press Calf Raise,Burn Fitness,219900.00,219900.00,,<div class="std">        <p>-L X W X H:1141 X 1220 X 1701 (mm)<br>                         45 X 48 X 67 (in)</p><p>-N.W.: 151 kgs</p><p>-40': 54 sets </p>    </div>,BURNSFBF8110,BURNSF,gym-equipments,Leg Press Calf Raise,8-13 Working Days,100,N,-190,Get your hands on the Leg Press Calf Raise. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Leg Press Calf Raise Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Leg Press Calf Raise Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bf8110.jpg,
Product,Dual Leg Press Leg Curl,Burn Fitness,314900.00,314900.00,,<div class="std">        <p>-L x W x H:1468x1149x1528mm</p><p>-PRODUCT WEIGHT:153.3KG</p><p>-WEIGHT STACK:91KG/200LBS</p>    </div>,BURNSFBF9528,BURNSF,gym-equipments,Dual Leg Press Leg Curl,8-13 Working Days,100,N,-190,Get your hands on the Dual Leg Press Leg Curl. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Dual Leg Press Leg Curl Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Dual Leg Press Leg Curl Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bf9528.jpg,
Product,Glute Machine,Burn Fitness,229900.00,229900.00,,<div class="std">        <p>- L x W x H:1103 x 1151 x 1528 mm</p><p>-PRODUCT WEIGHT:108.1KG</p><p>-WEIGHT STACK:91KG/200LBS</p>    </div>,BURNSFBF9526,BURNSF,gym-equipments,Glute Machine,8-13 Working Days,100,N,-190,Get your hands on the Glute Machine. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Glute Machine Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Glute Machine Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bf9526.jpg,
Product,Ankle Wrist Weight 0.5kg,Burn Fitness,500.00,500.00,,<div class="std">        <div id="featurebullets_feature_div" class="feature" data-feature-name="featurebullets"><div id="feature-bullets" class="a-section a-spacing-medium a-spacing-top-small"><ul class="a-vertical a-spacing-none"><li><span class="a-list-item">Optimum weight to strengthen muscle and burn calories</span></li><li><span class="a-list-item">Ideal for jogging; aerobic and toning exercise</span></li><li><span class="a-list-item">High quality fabric for</span></li><li><span class="a-list-item">Box Contents: 2 x Ankle Weights</span></li></ul></div></div>    </div>,BURNSFBFA301505,BURNSF,fitness-accessories,Ankle Wrist Weight 0.5kg,8-13 Working Days,100,N,-190,Get your hands on the Ankle Wrist Weight 0.5kg. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Ankle Wrist Weight 0.5kg Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Ankle Wrist Weight 0.5kg Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfa3015-05.jpg,
Product,Hexagon Vinyl Dumbbell 0.5kg,Burn Fitness,145.00,145.00,,<div class="std">        <ul class="a-vertical a-spacing-none"><li><span class="a-list-item">Designed for arms and upper body workout</span></li><li><span class="a-list-item">Ideal for aerobics and toning exercises</span></li><li><span class="a-list-item">Easy grip handle</span></li></ul>    </div>,BURNSFBFA200105,BURNSF,fitness-accessories,Hexagon Vinyl Dumbbell 0.5kg,8-13 Working Days,100,N,-190,Get your hands on the Hexagon Vinyl Dumbbell 0.5kg. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Hexagon Vinyl Dumbbell 0.5kg Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Hexagon Vinyl Dumbbell 0.5kg Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfa2001-05.jpg,
Product,Leg Curl,Burn Fitness,309900.00,309900.00,,<div class="std">        <p>-L x W x H:1416 x 1137 x 1528 mm</p><p>-PRODUCT WEIGHT:152.5KG</p><p>-WEIGHT STACK: 91KG/200LBS</p>    </div>,BURNSFBF9506,BURNSF,gym-equipments,Leg Curl,8-13 Working Days,100,N,-190,Get your hands on the Leg Curl. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Leg Curl Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Leg Curl Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bf9506.jpg,
Product,Hexagon Vinyl Dumbbell 1kg,Burn Fitness,280.00,280.00,,<div class="std">        <ul class="a-vertical a-spacing-none"><li><span class="a-list-item">Designed for arms and upper body workout</span></li><li><span class="a-list-item">Ideal for aerobics and toning exercises</span></li><li><span class="a-list-item">Easy grip handle</span></li></ul>    </div>,BURNSFBFA20011,BURNSF,fitness-accessories,Hexagon Vinyl Dumbbell 1kg,8-13 Working Days,100,N,-190,Get your hands on the Hexagon Vinyl Dumbbell 1kg. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Hexagon Vinyl Dumbbell 1kg Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Hexagon Vinyl Dumbbell 1kg Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfa2001-1.jpg,
Product,Foam Dumbbells 1kg,Burn Fitness,930.00,930.00,,<div class="std">        <div id="featurebullets_feature_div" class="feature" data-feature-name="featurebullets"><div id="feature-bullets" class="a-section a-spacing-medium a-spacing-top-small"><ul class="a-vertical a-spacing-none"><li><span class="a-list-item">Designed for arms and upper body workout</span></li><li><span class="a-list-item">Ideal for aerobics and toning exercises</span></li><li><span class="a-list-item">Soft foam grip with cushioned comfort</span></li><li><span class="a-list-item">Box Contents: 2 x Dumbbell</span></li></ul></div></div>    </div>,BURNSFBFA20061,BURNSF,fitness-accessories,Foam Dumbbells 1kg,8-13 Working Days,100,N,-190,Get your hands on the Foam Dumbbells 1kg. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Foam Dumbbells 1kg Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Foam Dumbbells 1kg Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfa2006-1.jpg,
Product,Foam Dumbbells 0.5kg,Burn Fitness,670.00,670.00,,<div class="std">        <div id="featurebullets_feature_div" class="feature" data-feature-name="featurebullets"><div id="feature-bullets" class="a-section a-spacing-medium a-spacing-top-small"><ul class="a-vertical a-spacing-none"><li><span class="a-list-item">Designed for arms and upper body workout</span></li><li><span class="a-list-item">Ideal for aerobics and toning exercises</span></li><li><span class="a-list-item">Soft foam grip with cushioned comfort</span></li><li><span class="a-list-item">Box Contents: 2 x Dumbbell</span></li></ul></div></div>    </div>,BURNSFBFA200605,BURNSF,fitness-accessories,Foam Dumbbells 0.5kg,8-13 Working Days,100,N,-190,Get your hands on the Foam Dumbbells 0.5kg. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Foam Dumbbells 0.5kg Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Foam Dumbbells 0.5kg Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfa2006-05.jpg,
Product,BURN 10kg Dumbbell Set,Burn Fitness,3515.00,3515.00,,<div class="std">        <ul class="a-vertical a-spacing-none"><li><span class="a-list-item">Contains pair of 05kg; 1kg; 15kg; 2kg vinyl dumbbell</span></li><li><span class="a-list-item">Ideal for aerobics and toning exercises</span></li><li><span class="a-list-item">Easy grip handle</span></li></ul>    </div>,BURNSFBFA2308,BURNSF,fitness-accessories,BURN 10kg Dumbbell Set,8-13 Working Days,100,N,-190,Get your hands on the BURN 10kg Dumbbell Set. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the BURN 10kg Dumbbell Set Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy BURN 10kg Dumbbell Set Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfa2308.jpg,
Product,Training Glove,Burn Fitness,490.00,490.00,,<div class="std">        <div id="featurebullets_feature_div" class="feature" data-feature-name="featurebullets"><div id="feature-bullets" class="a-section a-spacing-medium a-spacing-top-small"><ul class="a-vertical a-spacing-none"><li><span class="a-list-item">Superb quality; durable and top-performer</span></li><li><span class="a-list-item">Snug fit with easy on off system</span></li><li><span class="a-list-item">Soft-feel but hardwearing long lasting gloves</span></li></ul></div></div>    </div>,BURNSFBFA3077,BURNSF,fitness-accessories,Training Glove,8-13 Working Days,100,N,-190,Get your hands on the Training Glove. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Training Glove Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Training Glove Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfa3077.jpg,
Product,BURN 12kg Dumbbell Set,Burn Fitness,3800.00,3800.00,,<div class="std">        <ul><li>Designed to tone arms and upper body.</li><li>Ideal for aerobics and toning exercise.</li><li>Available with Carrying Case</li></ul>    </div>,BURNSFBFA2304,BURNSF,fitness-accessories,BURN 12kg Dumbbell Set,8-13 Working Days,100,N,-190,Get your hands on the BURN 12kg Dumbbell Set. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the BURN 12kg Dumbbell Set Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy BURN 12kg Dumbbell Set Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfa2304.jpg,
Product,Training Glove,Burn Fitness,990.00,990.00,,<div class="std">        <div id="featurebullets_feature_div" class="feature" data-feature-name="featurebullets"><div id="feature-bullets" class="a-section a-spacing-medium a-spacing-top-small"><ul class="a-vertical a-spacing-none"><li><span class="a-list-item">Superb quality; durable and top-performer</span></li><li><span class="a-list-item">Snug fit with easy on off system</span></li><li><span class="a-list-item">Soft-feel but hardwearing long lasting gloves</span></li></ul></div></div>    </div>,BURNSFBFA3071,BURNSF,fitness-accessories,Training Glove,8-13 Working Days,100,N,-190,Get your hands on the Training Glove. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Training Glove Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Training Glove Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfa3071.jpg,
Product,Ankle/Wrist Weight 1kg,Burn Fitness,435.00,435.00,,<div class="std">        <div id="featurebullets_feature_div" class="feature" data-feature-name="featurebullets"><div id="feature-bullets" class="a-section a-spacing-medium a-spacing-top-small"><ul class="a-vertical a-spacing-none"><li><span class="a-list-item">Optimum weight to strengthen muscle and burn calories</span></li><li><span class="a-list-item">Ideal for jogging; aerobic and toning exercise</span></li><li><span class="a-list-item">High quality fabric for</span></li><li><span class="a-list-item">Box Contents: 2 x Ankle Weights</span></li></ul></div></div>    </div>,BURNSFbfa30151,BURNSF,fitness-accessories,Ankle/Wrist Weight 1kg,8-13 Working Days,100,N,-190,Get your hands on the Ankle/Wrist Weight 1kg. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Ankle/Wrist Weight 1kg Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Ankle/Wrist Weight 1kg Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfa30151.jpg,
Product,Training Glove,Burn Fitness,790.00,790.00,,<div class="std">        <div id="featurebullets_feature_div" class="feature" data-feature-name="featurebullets"><div id="feature-bullets" class="a-section a-spacing-medium a-spacing-top-small"><ul class="a-vertical a-spacing-none"><li><span class="a-list-item">Superb quality; durable and top-performer</span></li><li><span class="a-list-item">Snug fit with easy on off system</span></li><li><span class="a-list-item">Soft-feel but hardwearing long lasting gloves</span></li></ul></div></div>    </div>,BURNSFBFA3078,BURNSF,fitness-accessories,Training Glove,8-13 Working Days,100,N,-190,Get your hands on the Training Glove. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Training Glove Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Training Glove Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.burnsf.in/media/catalog/product/cache/1/image/480x620/9df78eab33525d08d6e5fb8d27136e95/b/f/bfa3078.jpg,
