stock,Video,description,SP,,imgurl,productname,imgurl2,imgurl3,imgurl4,imgurl5,imgurl6,imgurl7,imgurl8,imgurl9,imgurl10,
"In Stock,
","//www.youtube.com/embed/9aMgbLy08d4,//www.youtube.com/embed/nuB4DTI0iHg,//www.youtube.com/embed/kKs8Del8ahg","All Clear™
CamelBak® All Clear™ turns nearly any tap or clear natural water source into potable drinking water in just 60 seconds.SYSTEM INCLUDES:
UV Cap, 0.75L Bottle, USB Charging cable, Protective Carrying Case, Classic CapOverall Dimensions
Cap weight approx 7ozKEY FEATURES
• Innovative cap maximizes UV exposure for fast, effective microbiological purification
• Clear LCD read-outs make water treatment simple and intuitive
• Lithium Ion batteries deliver 80+ cycles per charge
• Shock-resistant design enhances durability
• Insulated bulb retains efficiency even with exposure to cold water temperatures
• CamelBak® Got Your Bak™ Lifetime Guarantee
","Rs.8,499",,http://www.camelbakindia.com/cbi/sites/default/files/styles/uc_product_big/public/90783_S13_V5.jpg?itok=3CHBYi54,All Clear™ UV Purifier Bottle,http://www.camelbakindia.com/cbi/sites/default/files/60%20seconds.JPG,http://www.camelbakindia.com/cbi/sites/default/files/easy.JPG,http://www.camelbakindia.com/cbi/sites/default/files/proven.JPG,http://www.camelbakindia.com/cbi/sites/default/files/engineered.JPG,http://www.camelbakindia.com/cbi/sites/default/files/versatile.JPG,,,,,
"In Stock,
,
",,"FEATURES
• Big Bite™ Valve’s one-piece, silicone design self-seals to prevent leaks
• Fits all CamelBak® Eddy™ series bottles (does NOT fit onto the Better™ Bottle series).
",Rs.999,,http://www.camelbakindia.com/cbi/sites/default/files/styles/uc_product_big/public/90833_S12_V11.jpg?itok=8UPcO3D5,Eddy™ Bite Valve and Straw Multi-pack,,,,,,,,,,
"In Stock,0.75L,
,
,
,
,
,
,
,
","http://www.youtube.com/embed/AzXCPXVoiDY?list=PLFC1E9F2D0538D1A0,http://www.youtube.com/embed/0tQybd45VUU,http://www.youtube.com/embed/kxSshPDK4lI,http://www.youtube.com/embed/MNAjn-tcit8","0.75 Litre spill-proof bottle for hydration on the go. The Eddy Bottle is 100% BPA-Free, so it's healthier from the very first sip.
Flip, Bite-N-Sip: Our Bottle's Bite Valve's proven design contains no moving parts. Redesigned cap and bite valve provide faster flow and enhanced durability. New, redesigned bottle shape.
Simply bite and sip- no tilting required (though possible: just remove the straw).
Simple to Carry: The integrated handle makes it easy to clip a carabiner or carry with the crook of a finger.
The Perfect Size: Cap fits most other bottles, bottle attaches to most water filters, fits most cup holders.
Dishwasher Safe: Disassemble the parts and your bottle is safe to clean in the top rack of your dishwasher.
Spill-Proof: Our bottle won't spill even if it is left in the open position.
Bottle Material: BPA-Free Eastman Tritan™
","Rs.1,199",,http://www.camelbakindia.com/cbi/sites/default/files/styles/uc_product_big/public/Eddy_HOD_0.jpg?itok=1atYNN_P,Eddy™ 0.75L,http://www.camelbakindia.com/cbi/sites/default/files/53359_S12_7100_V1.jpg,http://www.camelbakindia.com/cbi/sites/default/files/53356_S12_8200_V1.jpg,http://www.camelbakindia.com/cbi/sites/default/files/53355_S12_0800_V1.jpg,http://www.camelbakindia.com/cbi/sites/default/files/53357_S12_8400_V1.jpg,,,,,,
"In Stock,
,
,
,
,
",//www.youtube.com/embed/vUFPMir6N_E?list=PL6LCx_r3Jg6Y1ceExDFik_mUUj9LAX-6M,"Rugged leak-proof design keeps up with every adventure.
Water Volume: 32 oz (1L)
Drink Interface: Erogonomic high-flow spout
KEY FEATURES
- Leak proof
- Two-finger carry handle
- Half turn spout cap
- Cap stows in handle for one-handed drinking
- Durable tether
- All parts are top-rack dishwasher safe
Bottle Material: BPA -Free Eastman® Tritan™
","Rs.1,199",,http://www.camelbakindia.com/cbi/sites/default/files/styles/uc_product_big/public/53517_M14_V1.jpg?itok=EM4Qhh1-,CHUTE™ 1L,http://www.camelbakindia.com/cbi/sites/default/files/53518_S14_V1.jpg,,,,,,,,,
"In Stock,1L,
,
,
,
,
,
,
,
","http://www.youtube.com/embed/AzXCPXVoiDY?list=PLFC1E9F2D0538D1A0,http://www.youtube.com/embed/0tQybd45VUU,http://www.youtube.com/embed/kxSshPDK4lI,http://www.youtube.com/embed/MNAjn-tcit8","1 Litre spill-proof bottle for hydration on the go. The Eddy Bottle is 100% BPA-Free, so it's healthier from the very first sip.
Flip, Bite-N-Sip: Our Bottle's Bite Valve's proven design contains no moving parts. Redesigned cap and bite valve provide faster flow and enhanced durability. New, redesigned bottle shape.
Simply bite and sip- no tilting required (though possible: just remove the straw).
Simple to Carry: The integrated handle makes it easy to clip a carabiner or carry with the crook of a finger.
The Perfect Size: Cap fits most other bottles, bottle attaches to most water filters, fits most cup holders.
Dishwasher Safe: Disassemble the parts and your bottle is safe to clean in the top rack of your dishwasher.
Spill-Proof: Our bottle won't spill even if it is left in the open position.
Bottle Material: BPA-Free Eastman Tritan™
","Rs.1,399",,http://www.camelbakindia.com/cbi/sites/default/files/styles/uc_product_big/public/53362_S12_8200_V1.jpg?itok=fMxNhdDb,Eddy™ 1L,http://www.camelbakindia.com/cbi/sites/default/files/53364_S12_7100_V1.jpg,http://www.camelbakindia.com/cbi/sites/default/files/53361_S12_0800_V1.jpg,,,,,,,,
"In Stock,0.7L,
,
,
,
,
",,"eddy™ Glass is naturally BPA -Free and doesn’t retain taste or odors. Grip-able silicone sleeve is stylish and protective.
Water Volume (approx): 24 oz (0.7L)
KEY FEATURES
- Silicone sleeve adds extra protection to potential impact areas
- No tipping required: Just flip open the bite valve and sip
- Wide-mouth opening is easy to fill with ice and water
- All parts are top-rack dishwasher safe
- BPA -Free, easy to carry and spill proof
Drink interface: Spill-proof Bite™ Valve
Bottle Material: BPA -Free Glass
","Rs.1,999",,http://www.camelbakindia.com/cbi/sites/default/files/styles/uc_product_big/public/53442_S13_V1.jpg?itok=5pKQGowq,Eddy™ Glass,http://www.camelbakindia.com/cbi/sites/default/files/53439_Charcoal_V1.jpg,http://www.camelbakindia.com/cbi/sites/default/files/53441_S13_V1.jpg,http://www.camelbakindia.com/cbi/sites/default/files/53440_Aqua_V1.jpg,,,,,,,
"In Stock,
,
,
,
,
",//www.youtube.com/embed/vUFPMir6N_E?list=PL6LCx_r3Jg6Y1ceExDFik_mUUj9LAX-6M,"Rugged leak-proof design keeps up with every adventure.
Water Volume: 25 oz (0.75)
Drink Interface: Erogonomic high-flow spout
KEY FEATURES
- Leak proof
- Two-finger carry handle
- Half turn spout cap
- Cap stows in handle for one-handed drinking
- Durable tether
- All parts are top-rack dishwasher safe
Bottle Material: BPA -Free Eastman® Tritan™
","Rs.1,099",,http://www.camelbakindia.com/cbi/sites/default/files/styles/uc_product_big/public/53514_S14_V1.jpg?itok=SOkN8iib,CHUTE™ 0.75L,http://www.camelbakindia.com/cbi/sites/default/files/53512_S14_V1.jpg,http://www.camelbakindia.com/cbi/sites/default/files/53540_S14_V1.jpg,,,,,,,,
"In Stock,
",,"FEATURES
• 2-in-1 kit helps keep your bottles, straws and bite valves clean
• Works with Kids, Better Bottle™, Groove® and eddy
",Rs.899,,http://www.camelbakindia.com/cbi/sites/default/files/styles/uc_product_big/public/90774_S12_V1.jpg?itok=mx188Tof,Bottle Brush Kit,,,,,,,,,,
"In Stock,0.6L,
,
,
,
,
,
,
,
","http://www.youtube.com/embed/AzXCPXVoiDY?list=PLFC1E9F2D0538D1A0,http://www.youtube.com/embed/0tQybd45VUU,http://www.youtube.com/embed/kxSshPDK4lI,http://www.youtube.com/embed/MNAjn-tcit8","0.6 Litre spill-proof bottle for hydration on the go. The Eddy Bottle is 100% BPA-Free, so it's healthier from the very first sip.
Flip, Bite-N-Sip: Our Bottle's Bite Valve's proven design contains no moving parts. Redesigned cap and bite valve provide faster flow and enhanced durability. New, redesigned bottle shape.
Simply bite and sip- no tilting required (though possible: just remove the straw).
Simple to Carry: The integrated handle makes it easy to clip a carabiner or carry with the crook of a finger.
The Perfect Size: Cap fits most other bottles, bottle attaches to most water filters, fits most cup holders.
Dishwasher Safe: Disassemble the parts and your bottle is safe to clean in the top rack of your dishwasher.
Spill-Proof: Our bottle won't spill even if it is left in the open position.
Bottle Material: BPA-Free Eastman Tritan™
",Rs.999,,http://www.camelbakindia.com/cbi/sites/default/files/styles/uc_product_big/public/53353_S12_6500_V1.jpg?itok=52gLQkr8,Eddy™ 0.6L,http://www.camelbakindia.com/cbi/sites/default/files/53352_S12_9300_V1.jpg,,,,,,,,,
"In Stock,
,
",,"FEATURES
• Big Bite™ Valve’s one-piece, silicone design self-seals to prevent leaks
• Fits all CamelBak® Eddy™ and Groove™ series bottles.
",Rs.999,,http://www.camelbakindia.com/cbi/sites/default/files/styles/uc_product_big/public/90835_S12_V1.jpg?itok=55UlGqtp,Eddy™ & Groove™ Bite Valve Multi-pack,,,,,,,,,,
