imageurl,description,productname
http://cosco.in//viewprodimage.php?modelid=4176,"
            
              CB-115 Aluminium frame with tempered steel shaft.
Value for money racket.
Head Size(sq.in.):53Weight (gms):90-110Balance(cm):30-32Tension(lbs):24-28Cover:Full CoverPacking:Each


>Racket"">


Qty.
 &nbsp;&nbsp;

          Pieces
          Dozen
        



# End for shopping cart Disable
-->

, CB-115 , CB-115 ,Aluminium frame with tempered steel shaft.
Value for money racket.
,Head Size(sq.in.):53,Weight (gms):90-110,Balance(cm):30-32,Tension(lbs):24-28,Cover:Full Cover,Packing:Each",CB-115
http://cosco.in//viewprodimage.php?modelid=5139,"
            
              CB-885 


>Racket"">


Qty.
 &nbsp;&nbsp;

          Pieces
          Dozen
        



# End for shopping cart Disable
-->

, CB-885 , CB-885 ,",CB-885
http://cosco.in//viewprodimage.php?modelid=3105,"
            
              CB-110 Aluminium frame with tempered steel shaft.
Value for money racket.
Head Size(sq.in.):53Weight (gms):98Balance(cm):30-32Tension(lbs):24-28Cover:Full CoverPacking:Each


>Racket"">


Qty.
 &nbsp;&nbsp;

          Pieces
          Dozen
        



# End for shopping cart Disable
-->

, CB-110 , CB-110 ,Aluminium frame with tempered steel shaft.
Value for money racket.
,Head Size(sq.in.):53,Weight (gms):98,Balance(cm):30-32,Tension(lbs):24-28,Cover:Full Cover,Packing:Each",CB-110
http://cosco.in//viewprodimage.php?modelid=4226,"
            
              CBS 70 Badminton String.Professional Play. 
For Hard hitting Players.
Thickness:0.70 mmGauge:22 GPacking:Each


>String"">


Qty.
 &nbsp;&nbsp;

          Pieces
          Dozen
        



# End for shopping cart Disable
-->

, CBS 70 , CBS 70 ,Badminton String.Professional Play. 
For Hard hitting Players.
,Thickness:0.70 mm,Gauge:22 G,Packing:Each",CBS 70
http://cosco.in//viewprodimage.php?modelid=5276,"
            
              AERO 787  
Designed for Excellent Sensitivity &amp; Touch  
Excellent Flight   
Maximum Control Cork Base.
High Durable Nylon.  Available in Yellow /White Colour. 
Recommended for Match Play.
 

View Large Image
Packing:6 Pcs. PER TUBE


>Shuttle Cock>>Nylon"">


Qty.
 &nbsp;&nbsp;

          Pieces
          Dozen
        



# End for shopping cart Disable
-->

, AERO 787 , AERO 787 , 
Designed for Excellent Sensitivity &amp; Touch  
Excellent Flight   
Maximum Control Cork Base.
High Durable Nylon.  Available in Yellow /White Colour. 
Recommended for Match Play.
 

View Large Image
,Packing:6 Pcs. PER TUBE",AERO 787
http://cosco.in//viewprodimage.php?modelid=4738,"
            
              FUNTIME 
Multigraphic Design   
Rubber Moulded   
Size-7, 6, 5.


Packing:Each





Qty.
 &nbsp;&nbsp;

          Pieces
          Dozen
        



# End for shopping cart Disable
-->

, FUNTIME , FUNTIME ,
Multigraphic Design   
Rubber Moulded   
Size-7, 6, 5.


,Packing:Each",FUNTIME
http://cosco.in//viewprodimage.php?modelid=4048,"
            
              DRIBBLE Rubber moulded, orange colour.
Available in size : 7,6, 5.   Durable rubberised cover.
Best for outdoor play.     
Nylon winding for higher shape retention and rebound.    
Butyl bladder for high air retention. 
 

Packing:Each





Qty.
 &nbsp;&nbsp;

          Pieces
          Dozen
        



# End for shopping cart Disable
-->

, DRIBBLE , DRIBBLE ,Rubber moulded, orange colour.
Available in size : 7,6, 5.   Durable rubberised cover.
Best for outdoor play.     
Nylon winding for higher shape retention and rebound.    
Butyl bladder for high air retention. 
 

,Packing:Each",DRIBBLE
http://cosco.in//viewprodimage.php?modelid=4732,"
            
              SILKY Thick white.
P.P. Silky finish.Packing:Pair


>Net"">


Qty.
 &nbsp;&nbsp;

          Pieces
          Dozen
        



# End for shopping cart Disable
-->

, SILKY , SILKY ,Thick white.
P.P. Silky finish.,Packing:Pair",SILKY
http://cosco.in//viewprodimage.php?modelid=4202,"
            
              BLASTER  
Popular Willow Cricket Tennis Bat.Available in FULL Size.
 
 View Large Image
Packing:Each


>Bat>>Kashmir Willow Bat"">


Qty.
 &nbsp;&nbsp;

          Pieces
          Dozen
        



# End for shopping cart Disable
-->

, BLASTER , BLASTER , 
Popular Willow Cricket Tennis Bat.Available in FULL Size.
 
 View Large Image
,Packing:Each",BLASTER
http://cosco.in//viewprodimage.php?modelid=4731,"
            
              STAR Made for:SoccerSize:3, 4, 5Weight:50 gms, 60 gms, 75 gms.Valve:Assorted for all applicationBladder:LatexPacking:Each


>Soccer,HandBall"">


Qty.
 &nbsp;&nbsp;

          Pieces
          Dozen
        



# End for shopping cart Disable
-->

, STAR , STAR ,,Made for:Soccer,Size:3, 4, 5,Weight:50 gms, 60 gms, 75 gms.,Valve:Assorted for all application,Bladder:Latex,Packing:Each",STAR
http://cosco.in//viewprodimage.php?modelid=4875,"
            
              BOUNCER 
 
Rubber Balls.  
Packed in PVC bag of 10 balls.  

 
 View Large Image

Packing:Polybag of 3 balls


>Equipments>>Tennis Balls"">


Qty.
 &nbsp;&nbsp;

          Pieces
          Dozen
        



# End for shopping cart Disable
-->

, BOUNCER , BOUNCER ,
 
Rubber Balls.  
Packed in PVC bag of 10 balls.  

 
 View Large Image

,Packing:Polybag of 3 balls",BOUNCER
http://cosco.in//viewprodimage.php?modelid=4980,"
            
              1000 

English Willow ONE STAR
 
9 Piece singapore cane handle 
Choice in Natural/Poly Finish.Thick Edges &amp; Bulge.S
uperbly BALANCED with New GRAPHICS. 
Full Length bat Cover.  
 
View Large Image

Packing:Each


>Bat>>English Willow Bat"">


Qty.
 &nbsp;&nbsp;

          Pieces
          Dozen
        



# End for shopping cart Disable
-->

, 1000 , 1000 ,

English Willow ONE STAR
 
9 Piece singapore cane handle 
Choice in Natural/Poly Finish.Thick Edges &amp; Bulge.S
uperbly BALANCED with New GRAPHICS. 
Full Length bat Cover.  
 
View Large Image

,Packing:Each",1000
