Description,MRP,SP,Variant,,productname,imgurl,,
"Callaway's Longest Fairway Wood Ever.

Callaway Golf's most recent engineering marching orders were to make a fairway wood that outperforms the best fairway wood ever created, which might seem impossible, but Callaway has done exactly that with the new X2 Hot Fairway Wood that is a technological marvel.

Features &amp; Benefits


The New Hyper Speed Face Cup has a thinner, more robust 455 Carpenter Steel face cup design . This delivers faster ball speeds all over the face for longer, more consistent distance and is designed for where most players hit the ball.
An improvement was made to the Internal Standing Wave. Weight was moved lower and forward to precisely position the center of gravity for more consistent launch and spin as hits move away from the centre.
Warbird sole design is super versatile. It's great from any lie (due to camber on the sole).
Available in 3, 5, 7, and 9-wood.
The Aldila Tour Blue Shaft is a true after-market shaft, which comes standard in the X2 Hot Fairway with the same playing characteristics as the X2 Hot Driver.
",,14990,Right Handed 23 Regular Aldila Tour Blue ,,Callaway X 2 Hot Fairway Wood #9,golfessentials.in/images/callaway/fairways/x2_fairway_wood/1_thumb.jpg,golfessentials.in/images/callaway/fairways/x2_fairway_wood/2_thumb.jpg,golfessentials.in/images/callaway/fairways/x2_fairway_wood/3_thumb.jpg
"With the TaylorMade RocketBallz Stage 2 Fairway Wood, a lower and more-forward center of gravity location promotes a faster ball speed, higher launch, and lower spin, resulting in better players gaining up to ten more yards compared to the original RocketBallz fairway wood. Ultra-high strength TaylorMade RocketSteel supplied by Carpenter creates a thinner and faster-flexing face, and the improved Speed Pocket design flexes faster to promote faster ball speed and more distance. A shallower face and lower head profile offers increased playability and easier launch, while the thick-thin crown design saves weight which is redistributed to improve the center of gravity location.Black clubface, non-glare white crown, and new crown graphic all promote easy alignmentUltra-light Matrix RocketFuel graphite shaft promotes fast swing speed",,12000,Right Handed 15 Stiff Matrix RocketFuel  Right Handed 15 Regular Matrix RocketFuel ,,TaylorMade RocketBallZ Stage 2 Fairway Wood (#3),golfessentials.in/images/taylormade/fairways/rbz2/1_thumb.jpg,golfessentials.in/images/taylormade/fairways/rbz2/2_thumb.jpg,golfessentials.in/images/taylormade/fairways/rbz2/3_thumb.jpg
"Callaway X Hot Fairway Woods are longer from everywhere and offer total performance combining a Forged Face Cup with the Speed Frame Face to increase ball speeds across the face. Designed with a lower CG to reduce spin and a modern Warbird soleplate, these new fairway woods provide increased distance and versatility from the tee, fairway or rough.Forged Speed Frame Face Cup: Increases ball speeds across the face for longer, more consistent distance from everywhere.Modern Warbird Sole: This updated design builds off of one of the most versatile fairway woods ever produced to provide increased versatility from everywhere.Internal Standing Wave: Lowers the CG of the head to create a lower spinning trajectory and increase distance.Lightweight Project X Velocity Shaft: This premium lightweight shaft further enhances speed and distance.","Regular Price: , 13,990",13750,Right Handed 15 Regular Project X  Right Handed 15 Stiff Project X ,,Callaway X Hot Fairway Wood (#3),golfessentials.in/images/callaway/fairways/xhot/1_thumb.jpg,golfessentials.in/images/callaway/fairways/xhot/2_thumb.jpg,
"Callaway X Hot Fairway Woods are longer from everywhere and offer total performance combining a Forged Face Cup with the Speed Frame Face to increase ball speeds across the face. Designed with a lower CG to reduce spin and a modern Warbird soleplate, these new fairway woods provide increased distance and versatility from the tee, fairway or rough.Forged Speed Frame Face Cup: Increases ball speeds across the face for longer, more consistent distance from everywhere.Modern Warbird Sole: This updated design builds off of one of the most versatile fairway woods ever produced to provide increased versatility from everywhere.Internal Standing Wave: Lowers the CG of the head to create a lower spinning trajectory and increase distance.Lightweight Project X Velocity Shaft: This premium lightweight shaft further enhances speed and distance.","Regular Price: , 13,990",13750,Right Handed 19 Regular Project X  Right Handed 19 Stiff Project X ,,Callaway X Hot Fairway Wood (#5),golfessentials.in/images/callaway/fairways/xhot/1_thumb.jpg,golfessentials.in/images/callaway/fairways/xhot/2_thumb.jpg,
"Longer, Straighter ShotsHigh-speed cavity back technology delivers longer and straighter shots. Utilized in fairway woods for the first time, this technology positions the weight of the golf club at the outer corners to raise the Moment of Inertia (MOI) for increased forgiveness and added distance to off-center shots.AdjustabilityThe FlexLoft adjustability system allows you to independently choose your loft and face angle to fit your swing and maximize your distance. It's a simple pull, turn and tighten mechanism that allows for intuitive adjustment to meet challenging course conditions. The result is optimal ball flight as well as enhanced workability.More SpeedNexCOR Face Technology produces faster, longer shots across a wider area of the face. It creates more speed at impact with a variable face thickness that increases the ball speed off the clubface, especially on the bottom half where players are most likely to make contact.More BenefitsMitsubishi Rayon Kuro Kage Silver 70 shaft with a higher carbon fiber density for superior strengthSpecifications: Adjustable 13Deg-17Deg Loft and Right-Neutral-Left Face AngleIncludes wrench, head cover and instruction manual","Regular Price: , 17,500",16750,Right Handed 13 Stiff ,,Nike VRS Covert Tour Fairway Wood (#3),golfessentials.in/images/nike/covert_tour_fw/1_thumb.jpg,golfessentials.in/images/nike/covert_tour_fw/2_thumb.jpg,golfessentials.in/images/nike/covert_tour_fw/3_thumb.jpg
"Excellent playability from the tee box or fairway, the Callaway Men's Big Bertha Fairway will send your shot soaring no matter the lie. Featuring a hyper speed face cup design for faster ball speed across the entire face resulting in more consistent distance and accuracy. Tuning in your ideal loft has never been easier with the advanced adjustable hosel design - a few quick clicks are all that stands between you and your perfect club. The internal standing wave precisely locates the center of gravity, creating a club that truly performs, for maximum launch, spin and accuracy.

Hyper Speed Face Cup

Faster ball speeds
A thinner, lighter, more robust 455 carpenter steel face
More consistent distance and playability


Advanced Adjustable Hosel Technology

Increase or decrease loft settings (+2deg. or -1deg.)
Adjust draw or neutral bias
Optimize launch, backspin and dial in your preferred shot shape
A few quick clicks help you achieve maximum distance and more accuracy


Internal Standing Wave

Precisely locates center of gravity
More consistent launch, spin and distance across the entire face


Premium Mitsubishi Fubuki High Performance Shaft

Lightweight, premium shaft offering from Mitsubishi
New design increases energy transfer
Higher ball speeds
Greater launch with lower spin
Smooth, consistent feel
",,16990,Right Handed 15 Regular Mitsubishi Fubuki Zeta ,,Callaway Big Bertha Fairway Wood #3,golfessentials.in/images/callaway/big_bertha_fairway_3/1_thumb.jpg,golfessentials.in/images/callaway/big_bertha_fairway_3/2_thumb.jpg,golfessentials.in/images/callaway/big_bertha_fairway_3/3_thumb.jpg
"The Cleveland Mashie Fairway Wood is a utility-inspired fairway wood engineered for distance and versatility. It is highlighted by enhanced Gliderail technology on the sole that measurably decreases turf drag for more lift and speed and impact, meaning more distance and accuracy from any lie, rough, sand, tee or fairway. The Mashie incorporates Ultralite Technology with a shaft and grip combination that reduces total club weight by over 20 grams. A Miyazaki C. Kua 59 aftermarket graphite shaft, engineered specifically for fairway woods by the worldwide leader in Ultralite Technology, maximizes swing speed while maintaining incredible accuracy. The throwback RetroRaw finish on the Mashie's crown is a rugged, bulletproof look that encourages players to be bold and have the confidence to hit any shot from any lie. The Mashie comes with a knit RetroSock headcover that features the regal Mashie seal and a black-and-white pom-pon.",,9500,Right Handed 20.5 Regular ,,Cleveland Mashie Fairway Wood (#7),golfessentials.in/images/cleveland/fairways/mashie_7/1_thumb.jpg,golfessentials.in/images/cleveland/fairways/mashie_7/2_thumb.jpg,golfessentials.in/images/cleveland/fairways/mashie_7/3_thumb.jpg
"Excellent playability from the tee box or fairway, the Callaway Men's Big Bertha Fairway will send your shot soaring no matter the lie. Featuring a hyper speed face cup design for faster ball speed across the entire face resulting in more consistent distance and accuracy. Tuning in your ideal loft has never been easier with the advanced adjustable hosel design - a few quick clicks are all that stands between you and your perfect club. The internal standing wave precisely locates the center of gravity, creating a club that truly performs, for maximum launch, spin and accuracy.

Hyper Speed Face Cup

Faster ball speeds
A thinner, lighter, more robust 455 carpenter steel face
More consistent distance and playability


Advanced Adjustable Hosel Technology

Increase or decrease loft settings (+2deg. or -1deg.)
Adjust draw or neutral bias
Optimize launch, backspin and dial in your preferred shot shape
A few quick clicks help you achieve maximum distance and more accuracy


Internal Standing Wave

Precisely locates center of gravity
More consistent launch, spin and distance across the entire face


Premium Mitsubishi Fubuki High Performance Shaft

Lightweight, premium shaft offering from Mitsubishi
New design increases energy transfer
Higher ball speeds
Greater launch with lower spin
Smooth, consistent feel
",,16990,Right Handed 21 Regular Mitsubishi Fubuki Zeta ,,Callaway Big Bertha Fairway Wood #7,golfessentials.in/images/callaway/big_bertha_fairway_7/1_thumb.jpg,golfessentials.in/images/callaway/big_bertha_fairway_7/2_thumb.jpg,golfessentials.in/images/callaway/big_bertha_fairway_7/3_thumb.jpg
"Excellent playability from the tee box or fairway, the Callaway Men's Big Bertha Fairway will send your shot soaring no matter the lie. Featuring a hyper speed face cup design for faster ball speed across the entire face resulting in more consistent distance and accuracy. Tuning in your ideal loft has never been easier with the advanced adjustable hosel design - a few quick clicks are all that stands between you and your perfect club. The internal standing wave precisely locates the center of gravity, creating a club that truly performs, for maximum launch, spin and accuracy.

Hyper Speed Face Cup

Faster ball speeds
A thinner, lighter, more robust 455 carpenter steel face
More consistent distance and playability


Advanced Adjustable Hosel Technology

Increase or decrease loft settings (+2deg. or -1deg.)
Adjust draw or neutral bias
Optimize launch, backspin and dial in your preferred shot shape
A few quick clicks help you achieve maximum distance and more accuracy


Internal Standing Wave

Precisely locates center of gravity
More consistent launch, spin and distance across the entire face


Premium Mitsubishi Fubuki High Performance Shaft

Lightweight, premium shaft offering from Mitsubishi
New design increases energy transfer
Higher ball speeds
Greater launch with lower spin
Smooth, consistent feel
",,16990,Right Handed 18 Regular Mitsubishi Fubuki Zeta ,,Callaway Big Bertha Fairway Wood #5,golfessentials.in/images/callaway/big_bertha_fairway_5/1_thumb.jpg,golfessentials.in/images/callaway/big_bertha_fairway_5/2_thumb.jpg,golfessentials.in/images/callaway/big_bertha_fairway_5/3_thumb.jpg
"Longer, Straighter ShotsHigh-speed cavity back technology delivers longer and straighter shots. Utilized in fairway woods for the first time, this technology positions the weight of the golf club at the outer corners to raise the Moment of Inertia (MOI) for increased forgiveness and added distance to off-center shots.AdjustabilityThe FlexLoft adjustability system allows you to independently choose your loft and face angle to fit your swing and maximize your distance. It's a simple pull, turn and tighten mechanism that allows for intuitive adjustment to meet challenging course conditions. The result is optimal ball flight as well as enhanced workability.More SpeedNexCOR Face Technology produces faster, longer shots across a wider area of the face. It creates more speed at impact with a variable face thickness that increases the ball speed off the clubface, especially on the bottom half where players are most likely to make contact.More BenefitsMitsubishi Rayon Kuro Kage Silver 70 shaft with a higher carbon fiber density for superior strengthSpecifications: Adjustable 13Deg-17Deg Loft and Right-Neutral-Left Face AngleIncludes wrench, head cover and instruction manual","Regular Price: , 17,500",16750,Right Handed 17 Stiff ,,Nike VRS Covert Tour Fairway Wood (#5),golfessentials.in/images/nike/covert_tour_fw/1_thumb.jpg,golfessentials.in/images/nike/covert_tour_fw/2_thumb.jpg,golfessentials.in/images/nike/covert_tour_fw/3_thumb.jpg
