Description,MRP,SP,Variant,,productname,imgurl,,
"""The new White Ice Putters from Odyssey combine Tour trusted shapes with a new look and better feel. The new White Ice Insert is our best feeling  multi-layer insert to date. Developed after extensive feedback from players on Tour  our engineers have enhanced the sound  responsiveness and consistency of the insert. Coupled with a new Dark Nickel finish  the new White Ice putters combine Tour-proven looks with Tour-inspired feel.
Features

Tour-tuned weight ports in the sole optimize the putter head with the shaft length to create the ideal balance that maximizes feel  control and accuracy.
 White Ice Insert has been fine-tuned to enhance sound  responsiveness  resiliency and consistency. It's firmer and stiffer leading to consistent distance control and better roll.
The dark nickel finish creates a rich  premium look.
Note: The golfessentials.in/images shown above are indicative only  actual product may differ according to the selection of specifications.ReviewsThere are no reviews for this product. ",,8000,Right Handed 34 ;,,Odyssey White Ice 2.0 #5 Putter,golfessentials.in/images/odyssey/putters/odyssey_whiteice5/1.jpg,golfessentials.in/images/odyssey/putters/odyssey_whiteice5/2.jpg,
 A Perfect Blend of Friction and Feel…it’s how we roll.  New Metal-X Putters represent the latest chapter in Odyssey’s long history of game-changing innovations. The Metal-X Insert provides the crisp feedback of a metal striking force  coupled with amazing feel. The unique face pattern generates the truest roll in golf and the ovals on the face develop a mechanical lock with the golf ball’s dimples at impact  creating friction and imparting an incredibly consistent roll for high precision distance control. Metal-X Insert Dual layered insert designed to put a consistent  true roll on the ball with amazing feedback and feel. The 6061 aluminum striking layer’s oval depressions maximize the mechanical lock with the golf ball dimples to increase friction and impart proper launch of the golf ball  which in turn creates a much more controlled and consistent roll. The Urethane inner layer provides soft touch and saves weight to optimize performance.Midnight Black Finish Premium  high tech process produces a durable  glare reduction finish. This finish was added specifically based on feedback gathered from Tour players.Lamkin 3Gen Pistol Grip Thin  smaller pistol shape appeals to better players. The grip is made of Lamkin’s proprietary 3GEN material  which is their softest synthetic rubber compound and reduces vibration without dulling the feel of the putt. This allows golfers to keep their forearms relaxed  apply very light grip pressure and minimize hard tension for smooth  consistent strokes.Note: The golfessentials.in/images shown above are indicative only  actual product may differ according to the selection of specifications.ReviewsThere are no reviews for this product. ,,9490,Right Handed 3 34 ; Left Handed 3 34 ;,,Odyssey Metal X #9 Putter,golfessentials.in/images/odyssey/putters/metalx_9/1.jpg,golfessentials.in/images/odyssey/putters/metalx_9/2.jpg,golfessentials.in/images/odyssey/putters/metalx_9/3.jpg
 A Perfect Blend of Friction and Feel…it’s how we roll.  New Metal-X Putters represent the latest chapter in Odyssey’s long history of game-changing innovations. The Metal-X Insert provides the crisp feedback of a metal striking force  coupled with amazing feel. The unique face pattern generates the truest roll in golf and the ovals on the face develop a mechanical lock with the golf ball’s dimples at impact  creating friction and imparting an incredibly consistent roll for high precision distance control. Metal-X Insert Dual layered insert designed to put a consistent  true roll on the ball with amazing feedback and feel. The 6061 aluminum striking layer’s oval depressions maximize the mechanical lock with the golf ball dimples to increase friction and impart proper launch of the golf ball  which in turn creates a much more controlled and consistent roll. The Urethane inner layer provides soft touch and saves weight to optimize performance.Midnight Black Finish Premium  high tech process produces a durable  glare reduction finish. This finish was added specifically based on feedback gathered from Tour players.Lamkin 3Gen Pistol Grip Thin  smaller pistol shape appeals to better players. The grip is made of Lamkin’s proprietary 3GEN material  which is their softest synthetic rubber compound and reduces vibration without dulling the feel of the putt. This allows golfers to keep their forearms relaxed  apply very light grip pressure and minimize hard tension for smooth  consistent strokes.Note: The golfessentials.in/images shown above are indicative only  actual product may differ according to the selection of specifications.ReviewsThere are no reviews for this product. ,,11490,Right Handed 3 34 ;,,Odyssey Metal X D.A.R.T Putter,golfessentials.in/images/odyssey/putters/metalx_dart/1.jpg,golfessentials.in/images/odyssey/putters/metalx_dart/2.jpg,golfessentials.in/images/odyssey/putters/metalx_dart/3.jpg
With an elastomer insert  the Ping Scottsdale Putter offers a soft  crisp feel. A satin PVD finish and polished sole helps reduce sun glare and provides a smoother stroke  and its perimeter weighted design is Tour-proven. The Scottsdale putters' thermoplastic elastomer insert and face applique provide a consistent response for distance control with a soft yet solid feel at impact for making an assured stroke. Perimeter weighting in every model provides a high MOI to keep your putts on line. Aiming is further enhanced with high-contrast alignment aids  and a long sightline.Note: The golfessentials.in/images shown above are indicative only  actual product may differ according to the selection of specifications.ReviewsThere are no reviews for this product. ,,15000,Left Handed Adjustable ;,,Ping Scottsdale Y Worry Putter,golfessentials.in/images/ping/putters/scottsdale_yworry/1.jpg,golfessentials.in/images/ping/putters/scottsdale_yworry/2.jpg,
Versa putters accentuate the face angle at address  and highlight the face angle throughout the stroke.Accentuates Face Angle at AddressOur new visionary high contrast alignment technology highlights the proper face angle from address to impact  allowing you to align the putter throughout your stroke.Highlights Face Angle throughout StrokeThe black and white contrast lets your eyes key in on the linear designs and highlights the face angle all the way through impact.Improved Feel and PerformanceNew and improved White Hot insert provides more consistent sound  feel and performance across the face.Options for All PlayersThe Versa line is offered in a variety of Tour proven head shapes with alignment aides for any type of player.Note: The golfessentials.in/images shown above are indicative only  actual product may differ according to the selection of specifications.ReviewsThere are no reviews for this product. ,,12490,34 ;,,Odyssey Versa #1 Putter,golfessentials.in/images/odyssey/putters/versa_1/1.jpg,golfessentials.in/images/odyssey/putters/versa_1/2.jpg,
With an elastomer insert  the Ping Scottsdale Putter offers a soft  crisp feel. A satin PVD finish and polished sole helps reduce sun glare and provides a smoother stroke  and its perimeter weighted design is Tour-proven. The Scottsdale putters thermoplastic elastomer insert and face applique provide a consistent response for distance control with a soft yet solid feel at impact for making an assured stroke. Perimeter weighting in every model provides a high MOI to keep your putts on line. Aiming is further enhanced with high-contrast alignment aids  and a long sightline.Note: The golfessentials.in/images shown above are indicative only  actual product may differ according to the selection of specifications.ReviewsThere are no reviews for this product. ,,15000,Right Handed ; Left Handed ;,,Ping Scottsdale Wolverine Putter,golfessentials.in/images/ping/putters/scottsdale_wolverine/1.jpg,golfessentials.in/images/ping/putters/scottsdale_wolverine/2.jpg,
Versa putters accentuate the face angle at address  and highlight the face angle throughout the stroke.Accentuates Face Angle at AddressOur new visionary high contrast alignment technology highlights the proper face angle from address to impact  allowing you to align the putter throughout your stroke.Highlights Face Angle throughout StrokeThe black and white contrast lets your eyes key in on the linear designs and highlights the face angle all the way through impact.Improved Feel and PerformanceNew and improved White Hot insert provides more consistent sound  feel and performance across the face.Options for All PlayersThe Versa line is offered in a variety of Tour proven head shapes with alignment aides for any type of player.Note: The golfessentials.in/images shown above are indicative only  actual product may differ according to the selection of specifications.ReviewsThere are no reviews for this product. ,,12490,34 ;,,Odyssey Versa #7 Putter,golfessentials.in/images/odyssey/putters/versa_7/1.jpg,golfessentials.in/images/odyssey/putters/versa_7/2.jpg,
The Nome putters feature adjustable shafts. The innovative telescoping shaft comprises a steel lower portion  graphite grip portion  and a lightweight stainless steel locking ring. The adjustable shaft conforms to USGA/R&amp;A Rules. The Nome Series features a precision-milled  high-grade aluminum frame with tungsten sole weighting to optimize the CG and elevate the MOI.The black alignment bar and white sightline ensure consistent accuracy when lining up your putts. Its highly durable nano nickel coating ensures long-lasting quality and a clean  professional appearance. The standard and belly models are offered in three different shaft bends to fit Straight  Slight Arc  and Strong Arc putting strokes. The long putter is suited for Straight strokes -- and the lie angle is non-adjustable. Our research shows that matching your putter to your stroke type is the key to building a consistent stroke and making more putts.Note: The golfessentials.in/images shown above are indicative only  actual product may differ according to the selection of specifications.ReviewsThere are no reviews for this product. ,,24500,Right Handed Adjustable ; Left Handed Adjustable ;,,Ping Nome 355 Putter,golfessentials.in/images/ping/putters/nome355/1.jpg,golfessentials.in/images/ping/putters/nome355/2.jpg,golfessentials.in/images/ping/putters/nome355/3.jpg
Versa putters accentuate the face angle at address  and highlight the face angle throughout the stroke.Accentuates Face Angle at AddressOur new visionary high contrast alignment technology highlights the proper face angle from address to impact  allowing you to align the putter throughout your stroke.Highlights Face Angle throughout StrokeThe black and white contrast lets your eyes key in on the linear designs and highlights the face angle all the way through impact.Improved Feel and PerformanceNew and improved White Hot insert provides more consistent sound  feel and performance across the face.Options for All PlayersThe Versa line is offered in a variety of Tour proven head shapes with alignment aides for any type of player.Note: The golfessentials.in/images shown above are indicative only  actual product may differ according to the selection of specifications.ReviewsThere are no reviews for this product. ,,12490,34 ;,,Odyssey Versa #9 Putter,golfessentials.in/images/odyssey/putters/versa_9/1.jpg,golfessentials.in/images/odyssey/putters/versa_9/2.jpg,golfessentials.in/images/odyssey/putters/versa_9/3.jpg
With an elastomer insert  the Ping Scottsdale Putter offers a soft  crisp feel. A satin PVD finish and polished sole helps reduce sun glare and provides a smoother stroke  and its perimeter weighted design is Tour-proven. The Scottsdale putters' thermoplastic elastomer insert and face applique provide a consistent response for distance control with a soft yet solid feel at impact for making an assured stroke. Perimeter weighting in every model provides a high MOI to keep your putts on line. Aiming is further enhanced with high-contrast alignment aids  and a long sightline.Note: The golfessentials.in/images shown above are indicative only  actual product may differ according to the selection of specifications.ReviewsThere are no reviews for this product. ,,15000,Right Handed Adjustable ; Left Handed Adjustable ; Right Handed Adjustable ;,,Ping Scottsdale Hohum Putter,golfessentials.in/images/ping/putters/scottsdale_hohum/1.jpg,golfessentials.in/images/ping/putters/scottsdale_hohum/2.jpg,
