Description,MRP,SP,Variant,imgurl,productname
"The Callaway Tour Sport Cap provides an athletic sport appearance with its adjustable Velcro design. It's made of moisture-wicking performance mesh fabric with cotton trim, yet has a structured design with contrast piping detailed on visor and crown and allover brand logos for a tour authentic look.


Tour authentic
Contrast piping on visor and crown
Performance mesh fabric with cotton trim
Moisture wicking
Structured design
Adjustable Velcro back closure
90% polyester/10% cotton fabric
Visor taping
Callaway Chevron logo on front
X Hot logo on side
HEX golf ball logo on side
Odyssey logo on back
",,1390,Black ;,"golfessentials.in/images/callaway/caps/tour_sport_adjustable_black/1.jpg,golfessentials.in/images/callaway/caps/tour_sport_adjustable_black/2.jpg",Callaway Tour Sport Adjustable - Black
"A lightweight performance mesh golf hat, the X Hot Tour Golf Cap features a moisture-wicking sweatband and adjustable back strap with logo buckle. The constructed designs highlight Callaway's total performance equipment. 


Adjustable back strap with logo buckle
Performance, moisture-wicking sweatband
Lightweight performance mesh
100% polyester fabric
Constructed designs
X-Hot logo on front panel
Callaway logo and HEX Black Tour on side panel
Odyssey logo on back panel

",,1090,Black ;,"golfessentials.in/images/callaway/caps/xhot_tour_black/1.jpg,golfessentials.in/images/callaway/caps/xhot_tour_black/2.jpg",Callaway X Hot Tour - Black
"The Callaway Tour Sport Cap provides an athletic sport appearance with its adjustable Velcro design. It's made of moisture-wicking performance mesh fabric with cotton trim, yet has a structured design with contrast piping detailed on visor and crown and allover brand logos for a tour authentic look.


Tour authentic
Contrast piping on visor and crown
Performance mesh fabric with cotton trim
Moisture wicking
Structured design
Adjustable Velcro back closure
90% polyester/10% cotton fabric
Visor taping
Callaway Chevron logo on front
X Hot logo on side
HEX golf ball logo on side
Odyssey logo on back
",,1390,Royal ;,"golfessentials.in/images/callaway/caps/tour_sport_adjustable_royal/1.jpg,golfessentials.in/images/callaway/caps/tour_sport_adjustable_royal/2.jpg",Callaway Tour Sport Adjustable - Royal
"
Style:  BDSB0082

Flat front micro striped pattern tech golf shorts

Tonal Chevron above back right pocket

Moisture wicking

100% Polyester

Fabric content is an approximation



Wicking
Our unique wicking feature draws moisture to the outer surface and causes it to spread out and dry more quickly.
",,2099,Men 36 Bright White ;,"golfessentials.in/images/callaway/shorts_white/1.jpg,golfessentials.in/images/callaway/shorts_white/2.jpg",Callaway Micro Stripe Tech - Bright White
"UV processing to a comfortable feeling of fitting, a feeling of support, feel, the material with the sweat perspiration fast-dry function to a body.UV cut specificationsThe dynamic function cutting that was developed by an ergonomic viewpoint got rid of a feeling of pressure and enabled free movement.                                                                                                                   PRODUCT DETAILSFabric: Sleeves: UV 89% polyester/11% spandex. Imported ",,1390,M Black ; L Black ; XL Black ;,golfessentials.in/images/Mizuno/Sleeves/Black/1.jpg,Mizuno Bio Gear UV Cut Arm Sleeve
"
Style:   BDSK0005

Modern fit, solid fashion polo with blocked mesh and piping details

Contrast Chevron on center back and tonal Chevron on inside placket


96% Poly / 4% Spandex

Fabric content is an approximation



Anti-Microbial
An anti-microbial treatment keeps the garment fresh over time and helps maintain durability.  

UV Protection
With a rating of UPF 15+, the garment blocks out harmful ultraviolet rays and offers protection from the sun.

Wicking
Our unique wicking feature draws moisture to the outer surface and causes it to spread out and dry more quickly.
",,2499,Men M Anthracite ;,golfessentials.in/images/callaway/chev_piped/1.jpg,Callaway Chev Piped Polo - Anthracite
"
Style:  BCSK0028

ANTI-MICROBIAL: An anti-microbial treatment keeps the garment fresh over time and helps maintain durability

UV PROTECTION: With a rating of UPF 15+, the garment blocks out harmful ultraviolet rays and offers protection from the sun.


Moisture wicking feature which draws moisture to the outer surface and causes it to spread out and dry more quickly.

100% Polyester

Fabric content is an approximation


",,2299,Men L Anthracite ;,golfessentials.in/images/callaway/shirt_sleeve/1.jpg,Callaway Short Sleeve Polo - Anthracite
"The Callaway Tour Sport Cap provides an athletic sport appearance with its adjustable Velcro design. It's made of moisture-wicking performance mesh fabric with cotton trim, yet has a structured design with contrast piping detailed on visor and crown and allover brand logos for a tour authentic look.


Tour authentic
Contrast piping on visor and crown
Performance mesh fabric with cotton trim
Moisture wicking
Structured design
Adjustable Velcro back closure
90% polyester/10% cotton fabric
Visor taping
Callaway Chevron logo on front
X Hot logo on side
HEX golf ball logo on side
Odyssey logo on back
",,1390,Red ;,"golfessentials.in/images/callaway/caps/tour_sport_adjustable_red/1.jpg,golfessentials.in/images/callaway/caps/tour_sport_adjustable_red/2.jpg",Callaway Tour Sport Adjustable - Red
"
Style:  BDSK0002

Chev polo with sleeve logo placement

Contrast Callaway &amp; Chevron on right sleeve and contrast rubber Chevron heat seal on center back collar


100% Polyester

Fabric content is an approximation



Wicking
Our unique wicking feature draws moisture to the outer surface and causes it to spread out and dry more quickly.",,1799,Men L Surf the Web ;,"golfessentials.in/images/callaway/chev_polo/1.jpg,golfessentials.in/images/callaway/chev_polo/2.jpg",Callaway Chev Polo - Surf the Web
"UV processing to a comfortable feeling of fitting, a feeling of support, feel, the material with the sweat perspiration fast-dry function to a body.UV cut specificationsThe dynamic function cutting that was developed by an ergonomic viewpoint got rid of a feeling of pressure and enabled free movement.                                                                                                                   PRODUCT DETAILSFabric: Sleeves: UV 89% polyester/11% spandex. Imported ",,1390,M White ; L White ; XL White ;,golfessentials.in/images/Mizuno /Sleeves/White/1.jpg,Mizuno  Bio Gear UV Cut Arm Sleeve
"
Style: BDSB0244

Flat-front polyester microfiber twill short

Embroidery above the right back pocket

100% Polyester

Fabric content is an approximation


Wicking
Our unique wicking feature draws moisture to the outer surface and causes it to spread out and dry more quickly.

",,2299,Men 36 Harvest Pumpkin ;,"golfessentials.in/images/callaway/shorts_pumpkin/1.jpg,golfessentials.in/images/callaway/shorts_pumpkin/2.jpg",Callaway Flat Front Short - Harvest Pumpkin
"
Style:   BDSK0002

Chev polo with sleeve logo placement

Contrast Callaway &amp; Chevron on right sleeve and contrast rubber Chevron heat seal on center back collar


100% Polyester

Fabric content is an approximation



Wicking
Our unique wicking feature draws moisture to the outer surface and causes it to spread out and dry more quickly.",,1999,Men M High Rise ;,"golfessentials.in/images/callaway/high_rise/1.jpg,golfessentials.in/images/callaway/high_rise/2.jpg",Callaway Chev Polo - High Rise
"
Style: BDSB0285

Flat front poly tech short with side zip pocket

Chevron above right back pocket

100% Polyester

Fabric content is an approximation



Wicking
Our unique wicking feature draws moisture to the outer surface and causes it to spread out and dry more quickly.",,2299,Men 36 Caribbean Teal ;,golfessentials.in/images/callaway/shortscaribbean_teal/1.jpg,Callaway Flat Front Tech Short - Caribbean Teal
"
Style: BDSB0244

Flat-front polyester microfiber twill short

Embroidery above the right back pocket

100% Polyester

Fabric content is an approximation


Wicking
Our unique wicking feature draws moisture to the outer surface and causes it to spread out and dry more quickly.
",,2299,Men 36 Silver Lining ;,golfessentials.in/images/callaway/silver_lining/1.jpg,Callaway Flat Front Short - Silver Lining
"The Nike Dri-FIT UV Solar Golf Arm Sleeve (1 Pair) is designed to protect exposed skin from harmful rays and offers a comfortable stretch fit with lightweight sweat-wicking fabric.BENEFITSUVA and UVB protection from the sun in areas covered by the sleeveDri-FIT fabric to help keep you dry and comfortableStretch opening at upper arm with no-slip taping for a snug, unrestricted fitLightweight carrying case with zip closure and mesh at back for secure, breathable storageFlat-seam construction to reduce chafingPRODUCT DETAILSFabric: Sleeves: Dri-FIT UV 84% polyester/16% spandex. Bag: 100% polyester.Machine washImported",,1495,M/L Black ;,"golfessentials.in/images/nike/acc/solar_sleeve_black/1.jpg,golfessentials.in/images/nike/acc/solar_sleeve_black/2.jpg",Nike Dri-Fit Solarsleeve BLACK
100% split leather constructionPlain smooth strapBrushed metal buckle,,1890,32 White ; 34 White ;,"golfessentials.in/images/footjoy/belts/tour_belt_white/1.jpg,golfessentials.in/images/footjoy/belts/tour_belt_white/2.jpg",FootJoy Tour Belt White
"This men's sock from FootJoy quickly lifts moisture and vapor off of your skin, allowing for a drier, more comfortable sock whatever the temperature or activity. The ProDry Sport Sock has heel-to-toe cushioning, a comfortable enclosed toe seam, a reinforced heel and extra cushioning in the sole and heel areas for added support. Natural cotton fiber offers breathability while Lycra provides excellent fit and superior stretch recovery.",,375,White/Gray ;,golfessentials.in/images/footjoy/socks/prodry_sock/1.jpg,FootJoy Men's ProDry Sport Sock
"Features:Structured high profile fitted construction.Curved billed construction.Contrasting embroidered eyelets for ntilation.3-D RBZ logo on crown with RocketBallz branding on sides.TaylorMade logo on back.Dark underbill to reduce glare.Moisture wicking headband helps keep sweat out of your eyes.96% cotton, 4% spandex material",,990,S/M Lime ;,golfessentials.in/images/taylormade/caps/rbz_lime/1.jpg,TaylorMade RBZ High Crown Fitted S/M
"This men's sock from FootJoy quickly lifts moisture and vapor off of your skin, allowing for a drier, more comfortable sock whatever the temperature or activity. The ProDry Sport Sock has heel-to-toe cushioning, a comfortable enclosed toe seam, a reinforced heel and extra cushioning in the sole and heel areas for added support. Natural cotton fiber offers breathability while Lycra provides excellent fit and superior stretch recovery.",750,695,White ;,golfessentials.in/images/footjoy/socks/comfort_white_ankle/1.jpg,FootJoy ComfortSof White Ankle Socks
"This men's sock from FootJoy quickly lifts moisture and vapor off of your skin, allowing for a drier, more comfortable sock whatever the temperature or activity. The ProDry Sport Sock has heel-to-toe cushioning, a comfortable enclosed toe seam, a reinforced heel and extra cushioning in the sole and heel areas for added support. Natural cotton fiber offers breathability while Lycra provides excellent fit and superior stretch recovery.",750,695,White ;,golfessentials.in/images/footjoy/socks/comfort_white/1.jpg,FootJoy ComfortSof White Socks
100% Polyester with contrasting Embroidery,,1390,Black ;,golfessentials.in/images/callaway/caps/beanie/1.jpg,Callaway Fleece Lined Beanie
Dramatic plaque belt in smooth full grain cowhideCallaway logo on nickel brushed buckle100% Smooth full grain cowhide,3489,2499,38 Black Belt + Black Cap ; 36 Black Belt + Black Cap ; 38 Black Belt + Green Cap ; 36 Black Belt + Green Cap ; 36 Black Belt + Navy Cap ; 38 Black Belt + Navy Cap ; 36 Black Belt + Orange Cap ; 38 Black Belt + Orange Cap ; 36 Black Belt + Red Cap ; 38 Black Belt + Red Cap ; 36 Black Belt + White Cap ; 38 Black Belt + White Cap ; 36 Black Belt + Yellow Cap ; 38 Black Belt + Yellow Cap ;,golfessentials.in/images/callaway/belts/chev_belt_black/1.jpg,Callaway Chev Men's Belt Black + Tour LoPro Cap
100% split leather constructionPlain smooth strapBrushed metal buckle,,1890,Men 36 Black ; Men 38 Black ;,"golfessentials.in/images/footjoy/belts/tour_belt_black/1.jpg,golfessentials.in/images/footjoy/belts/tour_belt_black/2.jpg",FootJoy Tour Belt Black
"This men's sock from FootJoy quickly lifts moisture and vapor off of your skin, allowing for a drier, more comfortable sock whatever the temperature or activity. The ProDry Sport Sock has heel-to-toe cushioning, a comfortable enclosed toe seam, a reinforced heel and extra cushioning in the sole and heel areas for added support. Natural cotton fiber offers breathability while Lycra provides excellent fit and superior stretch recovery.",750,695,White/Black/Beige ;,golfessentials.in/images/footjoy/socks/comfort_colour_ankle/1.jpg,FootJoy ComfortSof Coloured Ankle Socks
"This Adjustable cap is 97% polyester, 3% spandexMoisture-wicking properties maintains dry comfortUV protection offers additional sun defencePre-curved bill provides shaded protectionAdjustable, self-fabric Velcro strap3D Titleist logo on frontOne size fits all",,595,Ladies Pink ;,golfessentials.in/images/titleist/caps/lady_pink/1.jpg,Titleist Adjustable Lady Ribbon Cap
Dramatic plaque belt in smooth full grain cowhideCallaway logo on buckle100% Smooth full grain cowhideReversible colours38 Inch adjustable lengthBuckle is finished in gunmetal with precise brushing for two-tone effect,3000,2840,38 Black/White ;,"golfessentials.in/images/callaway/belts/chev_bcsa0008_belt/1.jpg,golfessentials.in/images/callaway/belts/chev_bcsa0008_belt/2.jpg",Callaway BCSA-0008 Black/White Reversible Belt
"This Adjustable cap is 97% polyester, 3% spandexMoisture-wicking properties maintains dry comfortUV protection offers additional sun defencePre-curved bill provides shaded protectionAdjustable, self-fabric Velcro strap3D Titleist logo on frontOne size fits all",,595,Beige ;,"golfessentials.in/images/titleist/caps/lady_beige/1.jpg,golfessentials.in/images/titleist/caps/lady_beige/2.jpg",Titleist Adjustable Lady Ribbon Cap
