Description,MRP,SP,Variant,,productname,imgurl,,
"Outrageous Ball Speed. Explosive Distance. That's what you'll get with the Callaway X Hot Driver. With its OptiFit design, the X Hot Driver also provides enhanced adjustability for a wide range of swings. A lighter configuration, optimized CG and larger sweet spot help to maximize length, and the OptiFit Hosel lets golfers set the speed frame face to fine tune their trajectory off the tee.OptiFit Technology: OptiFit Hosel allows golfers to set the adjustable speed frame face in either the Open, Square or Closed positions to fine tune trajectory and appearance.Speed Frame Face Technology: A combination of VFT and Hyperbolic Face Technology creates a larger sweet spot and fast ball speed for maximum distance. This technology also saves weight that can be redistributed to the perimeter of the clubhead for a higher MOI. Ultra Thin Wall Casting Technology: Callaway's thinnest casting technology ever creates a lighter overall configuration and an optimized CG to promote more distance. Lightweight Project X Velocity Shaft: This premium lightweight shaft further enhances speed and distance. ",,19990,Right Handed 10.5 Stiff Project X ;,,Callaway X Hot Driver + X Hot Hybrid,golfessentials.in/images/callaway/drivers/xhot/1.jpg,golfessentials.in/images/callaway/drivers/xhot/2.jpg,
"The Callaway Diablo Edge Driver is designed to give golfers a distance advantage every time they tee it up. They offer superior face technology, a higher MOI, a deeper CG, better aerodynamics and it all adds up to the longest, most accurate all-titanium drivers Callaway Golf has ever made.Distance Enhancing, Penetrating Ball Flight:?Fused Titanium in a 4-piece modular design produces the most weight efficient titanium driver we?ve ever created. Each part is precision formed and accurately fused together, allowing weight to be positioned optimally.Our Most Consistently High Ball Speeds Ever:?Chemically Milled Hyperbolic Face Cup uses a chemical reduction process to selectively remove unwanted material for precision thickness control. Reduced Drag in Downswing for Higher Impact Speeds:?The Aerodynamic Body Design refines and optimizes all edge transitions, reducing drag up to 8% vs. other 460cc driver heads. Looks and Performance Preferred by Accomplished Players:?A Conventional Head Shape with a Full Length Hosel, less face progression and more forward center of gravity are designed for highly skilled golfers. Incredible Feel and Performance:?High performance Aldila Habanero shafts are engineered as the ideal complement to the Diablo Edge drivers. ",18000,14400,Right Handed 9 Stiff ;,,Callaway Diablo Edge Driver (9.0 Stiff),golfessentials.in/images/callaway/drivers/diablo/1.jpg,golfessentials.in/images/callaway/drivers/diablo/2.jpg,
"This is the driver the shot makers turn to. Versatility, distance and control all in one space-age package. The FT-9 Driver was designed to deliver the most creative shot-making you can think of. Fade it. Draw it. Or take it over the trees. With the addition of Hyperbolic Face Technology, ball speeds across the entire face have been dramatically improved to generate even more distance. Choose between Draw or Neutral configurations with the help of external web weighting that helps precisely position the center of gravity to promote the desired trajectory and ball flight for the desired shot shape. The FT-9 Tour Driver features a slightly open face angle and produces stronger, more penetrating trajectories preferred by highly accomplished players.Hyperbolic Face Technology: Hyperbolic shaping is our cutting-edge driver face design. Mathematics and engineering combine to create our highest ever ball speeds across the entire face.Fusion Technology: Proprietary technology creates maximum perimeter weighting and more discretionary weight by combining a carbon composite body with the titanium face cup. This allows for precise positioning of the center of gravity, which increases stability on off-center hits and enables ball flight customization for shot-shaping control.OptiFit Weighting System: Enables golfers to customize their driver by giving them two center of gravity locations to choose from: Draw for promoting a draw or reducing a slice/fade, and Neutral for maximum workability. Visible External Web Weighting: Fusion Technology allows the web weights to be precisely positioned for a center of gravity that generates the desired Draw or Neutral ball flights, letting golfers hit longer and more accurate drives. ",20000,16000,Right Handed 10 Regular ;,,Callaway FT 9 Driver (10.0 Reg),golfessentials.in/images/callaway/drivers/ft9/1.jpg,golfessentials.in/images/callaway/drivers/ft9/2.jpg,
"Go Ahead, Risk It and Improve Your Odds with this Driver

The engineering sensei's at Mizuno have upped the driver game with their latest release of the JPX-EZ Driver that is sure to guarantee solid returns on investment despite any risks one might encounter on course.

The JPX-EZ Driver first has an updated and bold color scheme that is a bit of a departure from Mizuno's shiny mah, mah, mah metal look that always has most blinded by the brilliance. But with the new color scheme on the JPX-EZ Driver golfers who appreciate a sort of burly beauty will be drawn to the driver's interesting aesthetic appeal.

Secondly, the JPX-EZ has a unique ""quick switch"" adjustable feature for several different setup options that allow loft and weighting adjustments. The new JPX-EZ driver also incorporates a multi-thickness CORTECH face along with a newly designed rebound crown to really give you incredible ball speeds.


Mizuno is confident that the JPX-EZ Driver is going to be right at home with your Mizuno irons. With the technical background and engineering prowess of their design group, you can be confident that they are right.

Features 

Oversized 450cc Ti811 titanium steel body
""Quick Switch"" adjustable technology for up to eight shot-shaping trajectories
H.I.T. technology for a powerful and solid sound at impact
Fujikura Orochi Black-Eye graphite shaft

",,22790,Right Handed 9.5 Regular Fujikura Orochi ; Right Handed 9.5 Stiff Fujikura Orochi ; Right Handed 10.5 Regular Fujikura Orochi ; Right Handed 10.5 Stiff Fujikura Orochi ;,,Mizuno JPX-EZ Driver,golfessentials.in/images/mizuno/drivers/jpx_ez/1.jpg,golfessentials.in/images/mizuno/drivers/jpx_ez/2.jpg,golfessentials.in/images/mizuno/drivers/jpx_ez/3.jpg
" Cleveland Golf introduces the most advanced combination of style and performance in a titanium driver: The Classic 270. With a unique sole design and color scheme inspired by persimmon drivers, the Classic 270 has a pear-shaped profile with the largest, deepest club face ever produced by Cleveland Golf. The face promotes a hot, penetrating ball flight, while MaxCOR2 technology provides maximum distance on off-center hits. The Classic 270 is engineered with Ultralite technology, helping players generate increased head speed and distance with the same swing effort. It’s also part of the RightWeight Fitting System – with an overall weight of 270 grams, the Classic 270 is ideal for players seeking maximum head speed and distance. RETRO LOOK: Unique sole design and color scheme inspired by persimmon drivers.Traditional pear-shaped profile in a club head inspires confidence at address and allows for shot-shaping control. INCREDIBLY LARGE, DEEP FACE: Largest and deepest club face ever produced by Cleveland Golf for largest effective hitting area and hot ball flight. Large face combined with MaxCOR2 technology provides maximum distance and forgiveness on off-center hits. Gold-colored trapezoid section in center of face enhances retro look and serves as alignment aid.RIGHTWEIGHT FITTING SYSTEM: Drivers with RightWeight Fitting are engineered for unique performance and optimal feel for every type of player. The Classic 270 has a total club weight of 270 grams. This helps generate increased club head speed for maximum distance with the same swing effort.",,20000,Right Handed 9 Stiff Miyazaki C ; Right Handed 10.5 Regular Miyazaki C ;,,Cleveland Classic 290 Driver,golfessentials.in/images/cleveland/drivers/classic_270/1.jpg,golfessentials.in/images/cleveland/drivers/classic_270/2.jpg,golfessentials.in/images/cleveland/drivers/classic_270/3.jpg
"The Callaway RAZR Fit Xtreme Driver has combined Extreme Distance and Extreme Adjustability to create Callaway's longest driver. The Forged Composite crown helps achieve the lowest CG of any adjustable driver and OptiFit Technology allows for a greater range of face angle options, CG bias options and CG height differences than the RAZR Fit. Speed Frame Technology produces fast ball speeds for longer, more consistent distance across the face.OptiFit Technology: OptiFit Hosel adjusts the face angle to Open, Square or Closed positions at address to improve accuracy and trajectory. The OptiFit Weights (13 grams and 1 gram) shift the clubhead's center of gravity to promote either Draw or Neutral ball flights. Forged Composite: Revolutionary material in the crown that's lighter, stronger than titanium, allowing Callaway's engineers to precisely control thickness for improved forgiveness. Callaway's lightest Forged Composite driver crown ever helps achieve the lowest CG in any fully adjustable driver. Speed Frame Face Technology: A combination of VFT and Hyperbolic Face Technology creates a large sweet spot and increases ball speeds across the face for longer, more consistent distance. This technology saves weight that can be redistributed to the clubhead to help optimize the CG position and create a higher MOI. It features a tighter bulge radius than the RAZR Fit for a better look at address along with more consistent sidespin and dispersion for accurate shots. Broader Trajectory and Shot Shaping Options: Incorporates a greater range of face angle options, CG bias options and CG height differences than the RAZR Fit, and is also available in more loft options than RAZR Fit. ",,25990,Right Handed 9.5 Stiff Aldila TRINITY ; Right Handed 10.5 Regular Aldila TRINITY ;,,Callaway RAZR Fit Xtreme Driver + RAZR Fit Xtreme Fairway,golfessentials.in/images/callaway/drivers/razr_fit_xtreme/1.jpg,golfessentials.in/images/callaway/drivers/razr_fit_xtreme/2.jpg,golfessentials.in/images/callaway/drivers/razr_fit_xtreme/3.jpg
"Unlocking your ability to fine-tune trajectory through a lightweight, streamlined adjustable-hosel design makes it easy to optimize launch conditions for maximum distance. It's the largest-profile, most forgiving head design PING has ever developed.Using a PING wrench, you can add or subtract one-half degree of loft. The adjustable-hosel design maintains the same outer diameter and mass of PING's fixed hosels. Ultra-thin crown technology distributes weight to the perimeter, positions the CG lower and farther back than any PING driver to date, and increases MOI. Our TFC 189D high-balance-point shaft helps generate clubhead speed and ball velocity, resulting in longer drives.",,29000,Right Handed 8.5 Regular TFC 189D ; Right Handed 8.5 Stiff TFC 189D ; Right Handed 9.5 Regular TFC 189D ; Right Handed 9.5 Stiff TFC 189D ; Left Handed 9.5 Regular TFC 189D ; Right Handed 10.5 Regular TFC 189D ; Right Handed 10.5 Stiff TFC 189D ; Left Handed 10.5 Regular TFC 189D ;,,Ping G25 Driver,golfessentials.in/images/ping/drivers/g25/1.jpg,golfessentials.in/images/ping/drivers/g25/2.jpg,golfessentials.in/images/ping/drivers/g25/3.jpg
" The TaylorMade RocketBallz Driver uses Flight Control Technology (FCT), which easily allows you to adjust the loft (±1.5º) and face angle (±3°) on your shots. A thick-thin crown design creates a lower center of gravity, which promotes higher launch for more distance.  Features:Lightweight shaft and grip promotes faster swing speed for more distanceSpeed-enhancing head aerodynamics promotes faster head speed for more distanceInverted Cone clubface technology promotes more speed and distance on off-center hitsWhite crown and black face makes alignment easy and eliminates glare on top",17000,16250,Men Right Handed 9.5 Stiff MATRIX X-CON 5 ; Men Right Handed 9.5 Regular MATRIX X-CON 5 ; Men Left Handed 9.5 Stiff MATRIX X-CON 5 ; Men Right Handed 10.5 Stiff MATRIX X-CON 5 ; Men Right Handed 10.5 Regular MATRIX X-CON 5 ; Men Left Handed 10.5 Regular MATRIX X-CON 5 ;,,TaylorMade RocketBallZ Driver,golfessentials.in/images/taylormade/drivers/rbz/1.jpg,golfessentials.in/images/taylormade/drivers/rbz/3.jpg,
"In our never-ending mission to find more distance and accuracy for golfers, Callaway Golf?s engineers used an entirely new design to once again produce a driver that?s longer and straighter than anything we?ve ever made. The following technical features are incorporated in to the Callaway FT-iZ driver to accomplish this goal and help golfers break through their speed barrier.Polar Weighting utilizes a heavy face and a heavy in-line power source in the rear of the Callaway FT-iZ, localizing weight at the front and back of the driver.The Chemically Milled Hyperbolic Face Cup uses a chemical reduction process to selectively remove unwanted material for precision thickness control. The Aerodynamic Body Design uses a progressive shape to produce our most efficient high inertia clubhead ever. Fusion Technology exploits extreme weight placement by utilizing cast titanium, compression cured carbon fiber, formed aluminum and cast steel. High performance Aldila VooDoo shafts are engineered as the ideal complement to the FT-iZ Drivers. ",24000,19200,Right Handed 10.5 Regular ;,,Callaway FT Iz Driver (10.5 Reg),golfessentials.in/images/callaway/drivers/ftiz/1.jpg,,
"Faster and longer than the original RocketBallz driver.Expansive 4,100 square-millimeter clubface gives the golfer substantially more face area.Inverted Cone Technology milled into the inner side of the larger clubface expands the portion of the face that delivers high ball speed.Improved aerodynamics reduces drag over the head to promote faster clubhead speed.Thick-Thin crown provides lower and more-forward CG location promoting faster ball speed, high launch and low spin.TaylorMade Loft-Sleeve technology offers 7 standard and 5 upright loft options to add ±1.5° to each of the available standard lofts: 9.5 (which can be adjusted up to 11° or down to 8°) 10.5 (which can be adjusted up to 12° or down to 9°).Black clubface, non-glare white crown and new crown decal all promote easy alignment.",19900,19750,Right Handed 9.5 Regular Fujikura RocketFuel ; Right Handed 9.5 Stiff Fujikura RocketFuel ; Right Handed 10.5 Regular Fujikura RocketFuel ; Right Handed 10.5 Stiff Fujikura RocketFuel ;,,TaylorMade RocketBallZ Stage 2 Driver,golfessentials.in/images/taylormade/drivers/rbz2/1.jpg,golfessentials.in/images/taylormade/drivers/rbz2/2.jpg,golfessentials.in/images/taylormade/drivers/rbz2/3.jpg
