Description,MRP,SP,Variant,imgurl,productname
"<div class=""grid_18 description left alpha omega""><h3>Product Description</h3><br><p><b>NIKE VR_S Junior Golf Set (SIZE 2)</b></p>
<br>
<p>Young athletes looking to play like the pros now have a game-changing set of clubs to help them reach their goal. The Nike Golf VR_S Covert Junior set, available now at retail, features the same look, feel and signature red color as the VR_S Covert line of clubs made for adults.</p>
<p>The club sets, uniflex and available in two sizes, offer a range of Nike Golf clubs designed to promote proper swing fundamentals through ideal length, weight and aerodynamic design. Both the five-piece and seven-piece sets include a lightweight and specialized VR_S Junior Golf bag.</p>

<p><b>Composition:</b></p>
<ul><li>Driver</li>
<li>4 Hybrid</li> 
<li>7 Iron</li> 
<li>9 Iron</li> 
<li>Sand Wedge (56"")</li>
<li>Putter</li>
<li>Stand Bag</li>
</ul>
<p><b>Benefits Include:</b></p>
<ul><li>For Heights (52"" - 61"")</li>
<li>Aerodynamic, oversized, ultra-light driver and hybrid with high loft to promote launch</li>
<li>Rubber grips and graphite shafts for durability and controlled swing</li>
<li>Wide sole, deep cavity back #7, #9 irons and sand wedge with a low center of gravity to help get the ball airborne</li>
<li>Pro-style design putter with milled flat face for precision putts</li>
<li>Lightweight carry bag with double strap for ease of carry; four-way divider to organize clubs; three zip pockets; and bag kickstand</li></ul><br><h6>Note: The images shown above are indicative only, actual product may differ according to the selection of specifications.</h6><br><a id=""review""><h3>Reviews</h3></a><hr><br>There are no reviews for this product. Be the first one to write it.<br><br><a id=""write_review""><h4>Write a Review</h4></a><form action=""/product.php?id=729&amp;product=Nike&amp;spl=VR-S-Junior-Golf-Set-(Size-2)"" method=""POST""><textarea rows=""12"" cols=""20"" name=""review"" required></textarea><br><br><input type=""hidden"" value=""729"" name=""pid"" required><label>Your Name:* </label><input class=""review_colour"" type=""text"" name=""name"" required><br><br><h6>Fields marked with * are required. </h6><input type=""submit"" value=""Submit Review"" title=""Submit Review"" required></form></div>",,"Sale Price: , 15,900","<td>Juniors</td>,<td>Right Handed</td>,<td><input type=""radio"" name=""subid"" id=""radio_0"" class=""css-checkbox"" value=""1308""><label for=""radio_0"" class=""css-label""><span></span></label></td>","images/nike/full_sets/vrs_junior_size_2/1_thumb.jpg,images/nike/full_sets/vrs_junior_size_2/2_thumb.jpg",Nike VR-S Junior Golf Set (Size 2)
"<div class=""grid_18 description left alpha omega""><h3>Product Description</h3><p>Improve your game and lower your scores with the DDH Special Golf Package from Dunlop! This 13-piece golf package includes an oversize alloy driver, fairways and a hybrid club. With the putter and 5-P,S irons, you'll have a complete set of clubs. A lightweight stand bag and head covers are included for protection and easy portability.</p><ul><li>13 piece golf package</li><li>Oversize alloy driver, two fairways, and a hybrid club. </li><li>5-P,S Irons</li><li>Includes putter, lightweight stand bag and head covers</li></ul><br><h6>Note: The images shown above are indicative only, actual product may differ according to the selection of specifications.</h6><br><a id=""review""><h3>Reviews</h3></a><hr><br>There are no reviews for this product. Be the first one to write it.<br><br><a id=""write_review""><h4>Write a Review</h4></a><form action=""/product.php?id=492&amp;product=Dunlop&amp;spl=DDH-Graphite-Full-Set"" method=""POST""><textarea rows=""12"" cols=""20"" name=""review"" required></textarea><br><br><input type=""hidden"" value=""492"" name=""pid"" required><label>Your Name:* </label><input class=""review_colour"" type=""text"" name=""name"" required><br><br><h6>Fields marked with * are required. </h6><input type=""submit"" value=""Submit Review"" title=""Submit Review"" required></form></div>",,"Sale Price: , 21,990","<td>Left Handed</td>,<td>Regular</td>,<td>Graphite</td>,<td><input type=""radio"" name=""subid"" id=""radio_0"" class=""css-checkbox"" value=""974""><label for=""radio_0"" class=""css-label""><span></span></label></td>,<td>Right Handed</td>,<td>Regular</td>,<td>Graphite</td>,<td><input type=""radio"" name=""subid"" id=""radio_1"" class=""css-checkbox"" value=""1431""><label for=""radio_1"" class=""css-label""><span></span></label></td>","images/dunlop/full/ddh/1_thumb.jpg,images/dunlop/full/ddh/2_thumb.jpg,images/dunlop/full/ddh/3_thumb.jpg",Dunlop DDH Graphite Full Set
"<div class=""grid_18 description left alpha omega""><h3>Product Description</h3><p>Callaway's newest XJ Junior Set designed for 9-12 year old boys comes with a driver, fairway wood, hybrid, two irons, a sand wedge and a putter to give him everything he needs to succeed on the course. These clubs were engineered specifically for junior golfers, allowing for the distance control and high ball flights that build his confidence. Your new player will generate more power and enjoy instant results with clubs that develop his love for the game.</p>

<p><b>Designed for Juniors</b></p>

<p>The lengths, weights and lofts were designed specifically for junior golfers, and to help make the XJ Series Sets the perfect clubs to learn and enjoy the game. The increased hosel offset helps square the face at impact for improved distance and accuracy.</p>

<p><b>Distance Made Easy</b></p>
<p>Every club in the set was configured to be energy efficient, allowing junior golfers to swing away with confidence and generate more power from everywhere on the course. The center of gravity and perimeter weighting were strategically placed to help get the ball up in the air quickly and easily.</p>

<p><b>Complete Course Coverage</b></p>
<p>The all-in-one set is designed to give juniors everything they need to go from the shop straight to the course. The clubs are designed for improved distance control and high ball flights out of a variety of lies so juniors feel confident that they have the right club for the next shot.</p>

<p style=""text-decoration: underline;""><b>COMPOSITION:</b></p>
<ul>
<li>Driver</li>
<li>Fairway Wood</li>
<li>Hybrid#5</li>
<li>7-iron</li>
<li>Sand Wedge</li>
<li>Blade Putter</li>
<li>Stand Bag</li>

</ul>






<br><h6>Note: The images shown above are indicative only, actual product may differ according to the selection of specifications.</h6><br><a id=""review""><h3>Reviews</h3></a><hr><br>There are no reviews for this product. Be the first one to write it.<br><br><a id=""write_review""><h4>Write a Review</h4></a><form action=""/product.php?id=424&amp;product=Callaway&amp;spl=XJ-Jr-Boys-Set-Ages-9-12-(7-Clubs--1-Stand-Bag)"" method=""POST""><textarea rows=""12"" cols=""20"" name=""review"" required></textarea><br><br><input type=""hidden"" value=""424"" name=""pid"" required><label>Your Name:* </label><input class=""review_colour"" type=""text"" name=""name"" required><br><br><h6>Fields marked with * are required. </h6><input type=""submit"" value=""Submit Review"" title=""Submit Review"" required></form></div>","Regular Price: , 18,000","Sale Price: , 16,800","<td>Juniors</td>,<td>Right Handed</td>,<td><input type=""radio"" name=""subid"" id=""radio_0"" class=""css-checkbox"" value=""848""><label for=""radio_0"" class=""css-label""><span></span></label></td>","images/callaway/full_sets/xj_junior/1_thumb.jpg,images/callaway/full_sets/xj_junior/2_thumb.jpg,images/callaway/full_sets/xj_junior/3_thumb.jpg",Callaway XJ Jr Boys Set Ages 9-12 (7 Clubs + 1 Stand Bag)
"<div class=""grid_18 description left alpha omega""><h3>Product Description</h3><p><b>Maxfli Men's Revolution White Complete Set</b></p><p>The Revolution White complete set offers everything you need to be well-equipped for any round. A 16-piece set includes an oversized Ti Matrix driver with a fixed weight, a 3 wood, 2 hybrid-irons, 5-PW irons, an alignment putter, a capable and stylish stand bag, and 4 headcovers. In addition, the Revolution White offers a sharp, white clubhead finish on the metal woods - a look that inspires confidence at address.</p><p><b>460cc Ti Matrix Driver &amp; Fairway 3 Wood</b></p><p>Featuring a USGA maximum allowed 460cc forged driver, powered by a strategic heel weight and graphite shaft for extreme distance and accuracy.3 Wood delivers superior forgiveness and high launch</p><p><b>3 and 4 Hybrid-Irons</b></p><p>3 and 4 hybrid-irons replace the hard-to-hit long irons by fusing together the technology of easier to hit woods and the accuracy of irons. Low hybrid profile provides a low center of gravity and high launch ball flight</p><p><b>Undercut Stainless Irons 5-PW</b></p><p>Stainless undercut irons move the center of gravity low and towards the perimeter for more distance, accuracy, and consistency. Stainless Steel construction ensures quality and, durability. Vibration dampening medallion provides added feel</p><p><b>Alignment Putter</b></p><p>Alignment mallet putter provides high moment of inertia to reduce twisting and turning of club head on off-center hits. The top alignment marking helps to visualize a line to the target.</p><p><b>Deluxe Stand Bag with Club Organizer Top</b></p><p>5 total pockets: includes fur-lined valuables pouch, large garment pocket, and cooler pocket. Also included is a towel clip and umbrella sleeve. Full-length dividers protect the graphite shafts, while the padded carry strap and club organizer top evenly distribute weight</p><br><h6>Note: The images shown above are indicative only, actual product may differ according to the selection of specifications.</h6><br><a id=""review""><h3>Reviews</h3></a><hr><br>There are no reviews for this product. Be the first one to write it.<br><br><a id=""write_review""><h4>Write a Review</h4></a><form action=""/product.php?id=512&amp;product=Maxfli&amp;spl=Revolution-Golf-Full-Set"" method=""POST""><textarea rows=""12"" cols=""20"" name=""review"" required></textarea><br><br><input type=""hidden"" value=""512"" name=""pid"" required><label>Your Name:* </label><input class=""review_colour"" type=""text"" name=""name"" required><br><br><h6>Fields marked with * are required. </h6><input type=""submit"" value=""Submit Review"" title=""Submit Review"" required></form></div>","Regular Price: , 23,500","Sale Price: , 22,325","<td>Right Handed</td>,<td>Regular</td>,<td>Steel</td>,<td><input type=""radio"" name=""subid"" id=""radio_0"" class=""css-checkbox"" value=""994""><label for=""radio_0"" class=""css-label""><span></span></label></td>","images/maxfli/full/revolution/1_thumb.jpg,images/maxfli/full/revolution/2_thumb.jpg,images/maxfli/full/revolution/3_thumb.jpg",Maxfli Revolution Golf Full Set
"<div class=""grid_18 description left alpha omega""><h3>Product Description</h3><p> Designed for the beginner to intermediate player with clubheads that are 15% lighter than adults. The flexible shafts help the developing player get the ball up into the air with ease. </p><p><b>Features:</b></p><ul><li>Optimal Height Range 52.5""-55.5""</li><li>Approximate ages 8-10</li><li>Composite shaft Fairway Driver</li><li>Composite shaft 6 Iron, 8 Iron, and PW</li><li>Steel shaft Putter</li><li>Dual-strap Stand Bag</li><li>Hand Orientation: Right Handed</li></ul><br><h6>Note: The images shown above are indicative only, actual product may differ according to the selection of specifications.</h6><br><a id=""review""><h3>Reviews</h3></a><hr><br>There are no reviews for this product. Be the first one to write it.<br><br><a id=""write_review""><h4>Write a Review</h4></a><form action=""/product.php?id=156&amp;product=US-Kids&amp;spl=UL-54-5-Club-Set"" method=""POST""><textarea rows=""12"" cols=""20"" name=""review"" required></textarea><br><br><input type=""hidden"" value=""156"" name=""pid"" required><label>Your Name:* </label><input class=""review_colour"" type=""text"" name=""name"" required><br><br><h6>Fields marked with * are required. </h6><input type=""submit"" value=""Submit Review"" title=""Submit Review"" required></form></div>","Regular Price: , 13,000","Sale Price: , 12,900","<td>Juniors</td>,<td>Right Handed</td>,<td><input type=""radio"" name=""subid"" id=""radio_0"" class=""css-checkbox"" value=""349""><label for=""radio_0"" class=""css-label""><span></span></label></td>","images/uskids/full_kits/ul54/1_thumb.jpg,images/uskids/full_kits/ul54/2_thumb.jpg",US Kids UL-54 5 Club Set
"<div class=""grid_18 description left alpha omega""><h3>Product Description</h3><p>Designed for the beginner to intermediate player with clubheads that are 15% lighter than adults. The flexible shafts help the developing player get the ball up into the air with ease. </p><p><b>Features:</b></p><ul><li>Optimal Height Range 48""-53.5""</li><li>Approximate ages 7-9</li><li>Composite shaft Fairway Driver</li><li>Composite shaft 6 Iron, 8 Iron, and PW</li><li>Steel shaft Putter</li><li>Dual-strap Stand Bag</li><li>Hand Orientation: Right Handed</li></ul><br><h6>Note: The images shown above are indicative only, actual product may differ according to the selection of specifications.</h6><br><a id=""review""><h3>Reviews</h3></a><hr><br>There are no reviews for this product. Be the first one to write it.<br><br><a id=""write_review""><h4>Write a Review</h4></a><form action=""/product.php?id=537&amp;product=US-Kids&amp;spl=UL-51-5-Club-Set"" method=""POST""><textarea rows=""12"" cols=""20"" name=""review"" required></textarea><br><br><input type=""hidden"" value=""537"" name=""pid"" required><label>Your Name:* </label><input class=""review_colour"" type=""text"" name=""name"" required><br><br><h6>Fields marked with * are required. </h6><input type=""submit"" value=""Submit Review"" title=""Submit Review"" required></form></div>","Regular Price: , 12,000","Sale Price: , 11,900","<td>Juniors</td>,<td>Right Handed</td>,<td><input type=""radio"" name=""subid"" id=""radio_0"" class=""css-checkbox"" value=""1020""><label for=""radio_0"" class=""css-label""><span></span></label></td>","images/uskids/full_kits/ul51/1_thumb.jpg,images/uskids/full_kits/ul51/2_thumb.jpg,images/uskids/full_kits/ul51/3_thumb.jpg",US Kids UL-51 5 Club Set
"<div class=""grid_18 description left alpha omega""><h3>Product Description</h3><ul><li>460cc High MOI Titanium Driver, largest size driver allowed by the USGA and a high MOI for maximum distance and forgiveness.</li><li>3 &amp; 5 Fairway Wood with lower center of gravity for easy to launch shots off the tee and fairway</li><li>3,4 Stainless High MOI Hybrid Irons replaces traditionally hard to hit long irons</li><li>5-S Stainless Irons - with deep undercut cavity</li><li>Mallet Putter with insert and heel toe weighting</li><li>Woods and Hybrids with 100% lightweight graphite shafts</li><li>Bag</li><br><h6>Note: The images shown above are indicative only, actual product may differ according to the selection of specifications.</h6><br><a id=""review""><h3>Reviews</h3></a><hr><br>There are no reviews for this product. Be the first one to write it.<br><br><a id=""write_review""><h4>Write a Review</h4></a></ul><form action=""/product.php?id=589&amp;product=Founders-Club&amp;spl=DS2-Full-Set-"" method=""POST""><textarea rows=""12"" cols=""20"" name=""review"" required></textarea><br><br><input type=""hidden"" value=""589"" name=""pid"" required><label>Your Name:* </label><input class=""review_colour"" type=""text"" name=""name"" required><br><br><h6>Fields marked with * are required. </h6><input type=""submit"" value=""Submit Review"" title=""Submit Review"" required></form></div>",,"Sale Price: , 30,000","<td>Regular</td>,<td><input type=""radio"" name=""subid"" id=""radio_0"" class=""css-checkbox"" value=""1100""><label for=""radio_0"" class=""css-label""><span></span></label></td>","images/founders/full_sets/ds2/1_thumb.jpg,images/founders/full_sets/ds2/2_thumb.jpg",Founders Club DS2 Full Set 
"<div class=""grid_18 description left alpha omega""><h3>Product Description</h3><p>Callaway engineers were tasked with building a complete set of golf clubs designed for emerging golfers. They delivered in every way possible with the new Warbird Set, which generates commanding distance and an accuracy advantage from every club in the bag. Every golfer can own the confidence in complete course coverage with the full range of performance features for more precision shots from anywhere on the course.<br>Design characteristics, such as CG placement and club configuration, were optimized to help an emerging golfer transmit more power to the ball with a distance-enhanced trajectory and pinpoint accuracy.</p><p><b>Set Configurations:</b></p><ul><li>12-piece set</li><li>10.5 degree Driver</li><li>1 Fairway Wood</li><li>3 &amp; 4 Hybrids</li><li>7 Irons (5-S) </li><li>Putter</li><li>A Cart bag. </li></ul><br><h6>Note: The images shown above are indicative only, actual product may differ according to the selection of specifications.</h6><br><a id=""review""><h3>Reviews</h3></a><hr><br>This is a good set for beginners and amateurs. Lightweight and forgiving. The irons are pretty decent but the drivers aren't great. It offers most clubs that you'd ever require, so it is complete in that sense. The Hybrids make sense for beginners not adept at playing long irons. The bag is a bit bulky to carry around. Overall quite a good deal for the price.<br><h5>by: Nikhil Mohandas on September, 17 2013</h5><br><br><br><br><a id=""write_review""><h4>Write a Review</h4></a><form action=""/product.php?id=514&amp;product=Callaway&amp;spl=Warbird-Graphite-Full-Set-"" method=""POST""><textarea rows=""12"" cols=""20"" name=""review"" required></textarea><br><br><input type=""hidden"" value=""514"" name=""pid"" required><label>Your Name:* </label><input class=""review_colour"" type=""text"" name=""name"" required><br><br><h6>Fields marked with * are required. </h6><input type=""submit"" value=""Submit Review"" title=""Submit Review"" required></form></div>","Regular Price: , 55,000","Sale Price: , 52,999","<td>Right Handed</td>,<td>Regular</td>,<td>Graphite</td>,<td><input type=""radio"" name=""subid"" id=""radio_0"" class=""css-checkbox"" value=""997""><label for=""radio_0"" class=""css-label""><span></span></label></td>","images/callaway/full_sets/warbird_full/1_thumb.jpg,images/callaway/full_sets/warbird_full/2_thumb.jpg,images/callaway/full_sets/warbird_full/3_thumb.jpg",Callaway Warbird Graphite Full Set 
"<div class=""grid_18 description left alpha omega""><h3>Product Description</h3><b>DRIVER:</b><br><p>Outrageous Ball Speed. Explosive Distance. That's what you'll get with the Callaway X Hot Driver. With its OptiFit design, the X Hot Driver also provides enhanced adjustability for a wide range of swings. A lighter configuration, optimized CG and larger sweet spot help to maximize length, and the OptiFit Hosel lets golfers set the speed frame face to fine tune their trajectory off the tee.</p><p> OptiFit Technology: OptiFit Hosel allows golfers to set the adjustable speed frame face in either the Open, Square or Closed positions to fine tune trajectory and appearance. </p><p>Speed Frame Face Technology: A combination of VFT and Hyperbolic Face Technology creates a larger sweet spot and fast ball speed for maximum distance. This technology also saves weight that can be redistributed to the perimeter of the clubhead for a higher MOI. </p><p>Ultra Thin Wall Casting Technology: Callaway's thinnest casting technology ever creates a lighter overall configuration and an optimized CG to promote more distance.</p>
<p>Lightweight Project X Velocity Shaft: This premium lightweight shaft further enhances speed and distance.</p>
<br><b>FAIRWAY:</b><br><p>Callaway X Hot Fairway Woods are longer from everywhere and offer total performance combining a Forged Face Cup with the Speed Frame Face to increase ball speeds across the face. Designed with a lower CG to reduce spin and a modern Warbird soleplate, these new fairway woods provide increased distance and versatility from the tee, fairway or rough.</p><p>Forged Speed Frame Face Cup: Increases ball speeds across the face for longer, more consistent distance from everywhere.</p><p>Modern Warbird Sole: This updated design builds off of one of the most versatile fairway woods ever produced to provide increased versatility from everywhere.</p>
<p>Internal Standing Wave: Lowers the CG of the head to create a lower spinning trajectory and increase distance.
</p>
<p>
Lightweight Project X Velocity Shaft: This premium lightweight shaft further enhances speed and distance..
</p>

<br><b>HYBRID:</b><br> <p>The <b>Hyper Distances with Hyper-speed Technology</b></p><p> The new X2 Hot hybrid by Callaway Golf is re-engineered with all new driver face technology for distance and a tour inspired shape for accuracy. Callaway has taken the same quantum leap in technology and performance in their fairway category to produce the new X2 Hot hybrid sure to be a major contender on course and in your arsenal of hitters.</p><br><p><b>Features &amp; Benefits</b></p><p></p><ul>
<li>Same Hyper Speed Face Cup as in the X2 Hot Fairway Wood and Driver, made of 455 Carpenter Steel; It's thinner, lighter and more robust to provide exceptional ball speed and unmatched distance.</li>
<li>
First time we've used face cup technology in a hybrid, which leads to driver-like CT performance-the CT in this hybrid is 240-245; a huge leap!
</li>
<li>
Bigger gains on off-centre hits (even low on the face).
</li>
<li>Redesigned, tour-inspired head shape so they look like true hybrids - we, Callaway, came up with our own shape!
</li>
<li>
20% increase in CT on centre hits.
</li>
<li>
30-40% increase in CT on off-centre hits.</li>
</ul>
<br><b>IRONS:</b><br> <p>The Callaway X Hot Iron's renowned accuracy is just the beginning with an undercut cavity and Speed Frame Face Technology that make this Callaway's longest iron ever. The low, deep center of gravity creates long distance without sacrificing trajectory or stopping power while new feel management technology promotes crisp, dynamic feel at higher ball speeds.</p>

<p>Crafted by Callaway Chief Designer Roger Cleveland with direct input from Callaway's players, these irons provide the ultimate in feel and performance that you can only get in a pure Forging. The Triple Net Forging process allows for more aggressive grooves and extreme precision to create the feel, ball flight and turf interaction that the very best players prefer.</p>

<p>

Speed Frame Face Technology: A combination of VFT and Hyperbolic Face Technology creates a larger sweet spot and increases ball speeds across the face for longer, more consistent distance. This technology is borrowed from the X Hot Driver and has been applied to the irons.</p>

<p>
Deep Undercut Cavity Design: The deep clubface/undercut cavity system enables engineers to precisely position the CG, increase face compliance and engineer the face of each individual iron to maximize ball speed.

</p>

<p>

Feel Management Technology is produced through a dual material medallion that fine-tunes sound and promotes a crisp, dynamic feel at higher ball speeds.


</p><br><h6>Note: The images shown above are indicative only, actual product may differ according to the selection of specifications.</h6><br><a id=""review""><h3>Reviews</h3></a><hr><br>There are no reviews for this product. Be the first one to write it.<br><br><a id=""write_review""><h4>Write a Review</h4></a><form action=""/product.php?id=651&amp;product=Callaway&amp;spl=2014-Full-Set-(Graphite)"" method=""POST""><textarea rows=""12"" cols=""20"" name=""review"" required></textarea><br><br><input type=""hidden"" value=""651"" name=""pid"" required><label>Your Name:* </label><input class=""review_colour"" type=""text"" name=""name"" required><br><br><h6>Fields marked with * are required. </h6><input type=""submit"" value=""Submit Review"" title=""Submit Review"" required></form></div>","Regular Price: , 123,950","Sale Price: , 85,990","<td>Right Handed</td>,<td>Regular</td>,<td><input type=""radio"" name=""subid"" id=""radio_0"" class=""css-checkbox"" value=""1198""><label for=""radio_0"" class=""css-label""><span></span></label></td>,<td>Right Handed</td>,<td>Stiff</td>,<td><input type=""radio"" name=""subid"" id=""radio_1"" class=""css-checkbox"" value=""1202""><label for=""radio_1"" class=""css-label""><span></span></label></td>",images/callaway/offer/fit_extreme/1_thumb.jpg,Callaway 2014 Full Set (Graphite)
"<div class=""grid_18 description left alpha omega""><h3>Product Description</h3><p>Optimal Height Range 61.5""-64.5"". Designed for the intermediate to advanced junior players with clubheads that are 6% lighter than adults. Shafts are frequency matched and spined with a low flex point for optimal ball flight for the better player.</p><p>11-Club Set includes:</p><ul><li>Graphite shaft Release 420 Driver</li><li>Graphite shaft 3 wood and 4 hybrid</li><li>Steel shaft 5 iron, 6 iron, 7 iron, 8 iron, 9 iron, PW, SW and a Putter</li></ul><br><h6>Note: The images shown above are indicative only, actual product may differ according to the selection of specifications.</h6><br><a id=""review""><h3>Reviews</h3></a><hr><br>There are no reviews for this product. Be the first one to write it.<br><br><a id=""write_review""><h4>Write a Review</h4></a><form action=""/product.php?id=613&amp;product=US-Kids&amp;spl=TS-63-Full-Set-(Steel-Irons)-"" method=""POST""><textarea rows=""12"" cols=""20"" name=""review"" required></textarea><br><br><input type=""hidden"" value=""613"" name=""pid"" required><label>Your Name:* </label><input class=""review_colour"" type=""text"" name=""name"" required><br><br><h6>Fields marked with * are required. </h6><input type=""submit"" value=""Submit Review"" title=""Submit Review"" required></form></div>","Regular Price: , 36,000","Sale Price: , 33,990","<td>Juniors</td>,<td>Right Handed</td>,<td>Regular</td>,<td>61.5""</td>,<td><input type=""radio"" name=""subid"" id=""radio_0"" class=""css-checkbox"" value=""1145""><label for=""radio_0"" class=""css-label""><span></span></label></td>","images/uskids/full_kits/ts63/1_thumb.jpg,images/uskids/full_kits/ts63/2_thumb.jpg",US Kids TS 63 Full Set (Steel Irons) 
