Description,MRP,SP,Variant,,productname,imgurl
"Precise iron play means controlling both trajectory and distance to stop your shot near the pin. Titleist AP irons are precision engineered for optimum flight and distance, with increased forgiveness to help you hit it close. AP1 irons are the longest, most forgiving irons Titleist has ever made, with a multi-material, dual cavity design for players that want maximum distance, forgiveness and solid feel in a great looking progressive game improvement chassis. AP1 irons are the longest, most forgiving irons Titleist has ever made, with a multi-material, dual cavity design for players that want maximum distance, forgiveness and solid feel in a great looking progressive game improvement chassis.Longer Flight with optimum launch. More Carry distance from higher launching, low CG long irons and compact, flatter launching short irons.Increased Forgiveness from the deep, undercut, dual cavity design with high density tungsten weighting. More Distance on miss-hits with maximum ball speeds across the face from the high MOI design.Solid Feel through the set from the progressive CG (lower in the long irons). Smooth Turf Release from the camber sole with pre-worn leading edge.Improved Profile with progressive blade length, topline and sole widths. Superior Appearance with a satin polish playing position with bright polish cavity highlights.Note: The images shown above are indicative only, actual product may differ according to the selection of specifications.",,"64,900",Right Handed Regular Kuro Kage 65 ;,,Titleist AP1 714 (5 - W) Graphite,"http://golfessentials.in/images/titleist/irons/AP1-714/1_thumb.jpg,http://golfessentials.in/images/titleist/irons/AP1-714/2_thumb.jpg,http://golfessentials.in/images/titleist/irons/AP1-714/3_thumb.jpg"
"Titleist MB irons are high performance, tour-proven forged blade irons that provide maximum shot control with improved address profiles and enhanced feel through the turf for the highly skilled golfer.Forged from 1025 carbon steel, MB irons feature tour-preferred constant blade lengths with minimal progressive offset for maximum workability. Compact shapes with precise CG locations and traditional tour lofts deliver the proven flight, feel and shot-making confidence that have made MB irons the choice of many of the world's best players.MB is a classic muscle back forged iron, delivering great feel from muscle back weighting positioned behind the sweet spot.Maximum Shot Control from the traditional constant blade length with mimimal progressive offset.Classic Solid Feel from the compact head shape and shallow cavity with inner muscle.High Performance Sole with increased camber and smooth sole width progression.Improved Address Profile with slightly straighter leading edge and blended hosel for less visual offset.Compact Short Irons with slightly reduced blade height in the heel.Note: The images shown above are indicative only, actual product may differ according to the selection of specifications.",,"75,900",Right Handed True Temper S200 ;,,Titleist MB 714 (3-P) Steel,"http://golfessentials.in/images/titleist/irons/MB714/1_thumb.jpg,http://golfessentials.in/images/titleist/irons/MB714/2_thumb.jpg,http://golfessentials.in/images/titleist/irons/MB714/3_thumb.jpg"
"Precise iron play means controlling both trajectory and distance to stop your shot near the pin. Titleist AP irons are precision engineered for optimum flight and distance, with increased forgiveness to help you hit it close.AP irons are multi-material forged irons that offer distance with trajectory control and forgiveness with workability in a solid feeling, great looking tour-proven chassis.Advanced CG height progression creates higher launching long irons and flatter launching short irons for more carry distance with outstanding control. Precisely placed high density tungsten weighting in the long and mid irons produces higher MOI for consistent distance without sacrificing workability.Longer Flight with optimum launch. More Carry distance from higher launching, low CG long irons and compact, flatter launching short irons.Increased Forgiveness from the deep, undercut, dual cavity design with high density tungsten weighting. More Distance on miss-hits with maximum ball speeds across the face from the high MOI design.Solid Feel through the set from the progressive CG (lower in the long irons). Smooth Turf Release from the camber sole with pre-worn leading edge. Tour Proven Profile  with progressive weighting, face thickness and sole widths. Superior Appearance with a satin polish playing position with bright polish cavity highlights.Note: The images shown above are indicative only, actual product may differ according to the selection of specifications.",,"71,900",Right Handed NS Pro 950 GH ; Left Handed NS Pro 950 GH ; Right Handed True Temper S200 ;,,Titleist AP2 714 (4 - P) Steel ,"http://golfessentials.in/images/titleist/irons/AP2-714/1_thumb.jpg,http://golfessentials.in/images/titleist/irons/AP2-714/2_thumb.jpg,http://golfessentials.in/images/titleist/irons/AP2-714/3_thumb.jpg"
"SpeedBlade irons take the Speed Pocket to the next level, giving golfers an instrument that will change the nature of their approach shots to help them hit more greens and shoot lower scores. SpeedBlade is radically differently than any other iron in terms of look, speed, launch, spin, feel, sound.Visually, SpeedBlade irons are striking, combining a two-tone, satin nickel chrome plating with dark smoke satin ion plating (IP). Internally, the key performance feature that separates SpeedBlade from the pack is the Speed Pocket, a handle-bar shaped slot in the sole of the 3-7 irons that enables a large area of the face to flex and rebound at impact, resulting in faster ball speed, higher launch and better feel.The Speed Pocket performs where golfers need it most. Our research indicates that 72% of shots by 5 to 25 handicappers are impacted below the center of the face, which typically results in low-launching shots of inconsistent distance. The Speed Pocket helps you launch those low-impact shots on a consistently higher, longer carrying and softer-landing flight.
The improved Speed Pocket has been widened and lengthened, giving golfers more face area toward the toe and heel that promotes a high launch angle, strong ball flight and a steep, quick stopping descent angle. The Speed Pocket also features a cut through slot internally, which allows for more flex and rebound on the bottom part of the face, making the SpeedBlade iron set the fastest face TaylorMade has ever created, measuring right up to USGA COR limit. 
Critical to the performance and visual appeal of SpeedBlade irons is their progressive shaping throughout the set. The slender topline and sole in the short irons promote better workability, feel and control. The long irons feature a bigger topline to inspire confidence at address, and have each been optimized to promote phenomenal distance as well as fantastic feel and sound, thanks to the vibration-dampening qualities of the Speed Pocket polymer and multi-material badge. 
TaylorMade engineers carefully managed the distance-gaps between each SpeedBlade iron by meticulously controlling loft, face thickness, CG location, shaft characteristics, club-length and, most importantly, the behavior of the Speed Pocket. The result is a complete iron set that delivers balanced and consistent gaps between every club. And as drivers, fairway woods and Rescue clubs have evolved to deliver more and more distance, TaylorMade engineers designed SpeedBlade to close the gap between the longest iron and the shortest metalwood in your bag.New elongated Speed PocketBenefit: Faster face and more ball speed in the center, down low, toward the toe and toward the heelLowest CG of any TaylorMade distance ironBenefit: Easy to launch on a high and strong flightIndividually engineered headsBenefit: Optimized distance, trajectory, control, spin, feel and soundAdvanced head structure, Speed Pocket polymer and multi-material badgeBenefit: Absorbs unwanted vibration to promote fantastic sound and feelBalanced distance gaps between each ironBenefit: Every iron is valuable; closes gap between longest iron and lowest metalwoodNote: The images shown above are indicative only, actual product may differ according to the selection of specifications.","Regular Price: , 55,990","47,500",Right Handed Regular ; Left Handed Regular ;,,TaylorMade Speed Blade Irons (4-S) Steel Shaft,"http://golfessentials.in/images/taylormade/irons/speed_blade/1_thumb.jpg,http://golfessentials.in/images/taylormade/irons/speed_blade/2_thumb.jpg,http://golfessentials.in/images/taylormade/irons/speed_blade/3_thumb.jpg"
"Titleist CB irons are high performance, tour-proven forged blade irons that provide maximum shot control with improved address profiles and enhanced feel through the turf for the highly skilled golfer.Forged from 1025 carbon steel, CB irons feature tour-preferred constant blade lengths with minimal progressive offset for maximum workability. Compact shapes with precise CG locations and traditional tour lofts deliver the proven flight, feel and shot-making confidence that have made CB irons the choice of many of the world's best players.CB irons feature an optimized shallow cavity-back design with an inner cavity muscle behind the impact area for solid blade iron feel.Maximum Shot Control from the traditional constant blade length with mimimal progressive offset.Classic Solid Feel from the compact head shape and shallow cavity with inner muscle.High Performance Sole with increased camber and smooth sole width progression.Improved Address Profile with slightly straighter leading edge and blended hosel for less visual offset.Compact Short Irons with slightly reduced blade height in the heel.Note: The images shown above are indicative only, actual product may differ according to the selection of specifications.",,"65,900",Right Handed NS Pro 950 GH ; Left Handed NS Pro 950 GH ; Right Handed True Temper S200 ;,,Titleist CB 714 (4 - P) Steel,"http://golfessentials.in/images/titleist/irons/CB714/1_thumb.jpg,http://golfessentials.in/images/titleist/irons/CB714/2_thumb.jpg,http://golfessentials.in/images/titleist/irons/CB714/3_thumb.jpg"
"SpeedBlade irons take the Speed Pocket to the next level, giving golfers an instrument that will change the nature of their approach shots to help them hit more greens and shoot lower scores. SpeedBlade is radically differently than any other iron in terms of look, speed, launch, spin, feel, sound.Visually, SpeedBlade irons are striking, combining a two-tone, satin nickel chrome plating with dark smoke satin ion plating (IP). Internally, the key performance feature that separates SpeedBlade from the pack is the Speed Pocket, a handle-bar shaped slot in the sole of the 3-7 irons that enables a large area of the face to flex and rebound at impact, resulting in faster ball speed, higher launch and better feel.The Speed Pocket performs where golfers need it most. Our research indicates that 72% of shots by 5 to 25 handicappers are impacted below the center of the face, which typically results in low-launching shots of inconsistent distance. The Speed Pocket helps you launch those low-impact shots on a consistently higher, longer carrying and softer-landing flight.
The improved Speed Pocket has been widened and lengthened, giving golfers more face area toward the toe and heel that promotes a high launch angle, strong ball flight and a steep, quick stopping descent angle. The Speed Pocket also features a cut through slot internally, which allows for more flex and rebound on the bottom part of the face, making the SpeedBlade iron set the fastest face TaylorMade has ever created, measuring right up to USGA COR limit. 
Critical to the performance and visual appeal of SpeedBlade irons is their progressive shaping throughout the set. The slender topline and sole in the short irons promote better workability, feel and control. The long irons feature a bigger topline to inspire confidence at address, and have each been optimized to promote phenomenal distance as well as fantastic feel and sound, thanks to the vibration-dampening qualities of the Speed Pocket polymer and multi-material badge. 
TaylorMade engineers carefully managed the distance-gaps between each SpeedBlade iron by meticulously controlling loft, face thickness, CG location, shaft characteristics, club-length and, most importantly, the behavior of the Speed Pocket. The result is a complete iron set that delivers balanced and consistent gaps between every club. And as drivers, fairway woods and Rescue clubs have evolved to deliver more and more distance, TaylorMade engineers designed SpeedBlade to close the gap between the longest iron and the shortest metalwood in your bag.New elongated Speed PocketBenefit: Faster face and more ball speed in the center, down low, toward the toe and toward the heelLowest CG of any TaylorMade distance ironBenefit: Easy to launch on a high and strong flightIndividually engineered headsBenefit: Optimized distance, trajectory, control, spin, feel and soundAdvanced head structure, Speed Pocket polymer and multi-material badgeBenefit: Absorbs unwanted vibration to promote fantastic sound and feelBalanced distance gaps between each ironBenefit: Every iron is valuable; closes gap between longest iron and lowest metalwoodNote: The images shown above are indicative only, actual product may differ according to the selection of specifications.",,"59,990",Right Handed Regular ; Left Handed Regular ;,,TaylorMade Speed Blade Irons (4-S) Graphite Shaft,"http://golfessentials.in/images/taylormade/irons/speed_blade/1_thumb.jpg,http://golfessentials.in/images/taylormade/irons/speed_blade/2_thumb.jpg,http://golfessentials.in/images/taylormade/irons/speed_blade/3_thumb.jpg"
"Fantastic Callaway Consistency

It's not easy to create an iron set that's easy to hit yet provides power and feel for golfers who don't make a consistent swing. But Callaway and their design team have done exactly that with their new X2 Hot irons 40 percent more consistent than last season's X Hot irons.

Features &amp; Benefits


Visible Deep Undercut Channel increases the rate that the face flexes and rebounds. More ball speed than X Hot. All the features add up to this iron being 5 yards longer.
Hottest spots are low on the face, where most high handicap players make contact.
The stabilising arch stiffens the upper part of the face for more distance. This also helps to optimise the sound and feel due to the ultra-thin face.
Perimeter Weighting increases the sweet spot, making these easier to hit and more forgiving. Perimeter weighting also produces higher launch angles for more distance and stopping power on the greens.
Note: The images shown above are indicative only, actual product may differ according to the selection of specifications.",,"57,990",Right Handed Regular Callaway Ultralite ; Right Handed Stiff Callaway Ultralite ;,,Callaway X 2 Hot Irons (4-S) Graphite,"http://golfessentials.in/images/callaway/irons/x2_hot_4s_iron/1_thumb.jpg,http://golfessentials.in/images/callaway/irons/x2_hot_4s_iron/2_thumb.jpg,http://golfessentials.in/images/callaway/irons/x2_hot_4s_iron/3_thumb.jpg"
"Just when you think your golf game can't improve any further, along come the Callaway Men's Apex Forged Irons. These clubs were forged, not cast, to provide a soft, responsive feel that demanded by some of the best players around the world. Tungsten weights are added to the soles of the long irons making them incredibly easy to hit while still delivering Tour-like launch conditions. High-performance, wide grooves create more consistent spin no matter the lie - tee box, fairway or greenside.

Premium Forged Construction

Irons are forged instead of cast
Soft, responsive feel
Demanded by Tour professionals and some of the best players around the world


Tungsten Weight Inserts

Tungsten weights are placed in the soles of long irons
Easy-to-hit playability
Tour-like launch conditions


High-Performance, Wide Grooves

More consistent spin
Excellent play from all lies around the course
Pinpoint accuracy
Note: The images shown above are indicative only, actual product may differ according to the selection of specifications.",,"79,990",Men Right Handed Regular True Temper XP 93 ; Men Right Handed Stiff True Temper XP 95 ;,,Callaway Apex Steel Irons 4-S,"http://golfessentials.in/images/callaway/apex_steel_4s/1_thumb.jpg,http://golfessentials.in/images/callaway/apex_steel_4s/2_thumb.jpg,http://golfessentials.in/images/callaway/apex_steel_4s/3_thumb.jpg"
"Fresh Looks with Confident Performance

Mizuno has announced the evolution of their technology driven JPX line with the new JPX-EZ Series. Mizuno believes the JPX-EZ series irons are the pinnacle of their irons technology and offer a completely new level of distance and dispersion within a soft feeling iron. We're confident you will agree with them once you put the JPX-EZ irons in play.

The first thing Mizzy aficionados are going to notice on the newly released JPX-EZ irons is the departure from the stunningly beautiful chrome and satin-finish to a black-nickel plating and dark finish freshly bedazzled with bursts of bright orange in the cavity of the irons that some are going to like, some are going to dislike, and some are simply going to scratch their heads wondering why. Regardless of where one might fall on that likability scale or how the new color scheme may seem more at home on an eve of All Hallow's in the hands of a capped-crusading Batman - there'll be no tricks and all treats with these well-made, Mizuno proven irons.

More importantly however than the color scheme on the JPX-EZ irons - is their performance. Mizuno has the progressive cavity designed JPX-EZ irons - with no holds barred - definitely developed and marked as game changers for aggressive golfers looking to be risk takers and who are serious, along with passionate, about improving their game. With the JPX-EZ irons you are getting a great set of Mizuno quality irons that will give you the confidence to ignore the danger as any stand-up capped crusader would and go for the pin. Your odds are going to improve with the incredible new JPX-EZ irons. Combined with a high-energy player's approach to the game, you can bet on it.Note: The images shown above are indicative only, actual product may differ according to the selection of specifications.",,"48,990",Men Right Handed Regular NSPRO ;,,Mizuno JPX - EZ  (4-P) Steel Irons,"http://golfessentials.in/images/mizuno/irons/jpx_4p_steel/1_thumb.jpg,http://golfessentials.in/images/mizuno/irons/jpx_4p_steel/2_thumb.jpg,http://golfessentials.in/images/mizuno/irons/jpx_4p_steel/3_thumb.jpg"
"PRECISION DESIGN, SUPERB FEEL
The Nike VR Pro Combo Forged Men's Golf Irons Set offers eight clubs with forgiveness, control and a precision feel. Each iron face is milled to a perfectly flat surface then die-stamped, pressing grooves to exact specifications for extremely low variance.
Benefits

Pocket cavity for higher trajectory on longer shots
Split cavity that enhances pin seeking control
X3X high-frequency groove process creates exact iron faces
Deeper and closer grooves ensure control and consistency

Product Details

Seven club set: #4 iron through pitching wedge
Conforms to USGA and R&amp;A rules
For right-handed players

Note: The images shown above are indicative only, actual product may differ according to the selection of specifications.",,"66,900",Right Handed Regular True Temper Dynamic Gold ;,,Nike 4-P VR Pro Combo Forged Steel Irons,"http://golfessentials.in/images/nike/irons/vr_pro_combo_steel/1_thumb.jpg,http://golfessentials.in/images/nike/irons/vr_pro_combo_steel/2_thumb.jpg,http://golfessentials.in/images/nike/irons/vr_pro_combo_steel/3_thumb.jpg"
