Description,MRP,SP,Variant,imgurl,productname,imgurl,,
"Snarly, toothy, lofty spinner

Mizuno has their 2014 JPX S2 series wedge really showing its teeth with its new aggressively cut quad grooves and precision milled face. Loft specific tour level groove designing and depth really makes this cheetah of a Mizuno wedge prowl and maximizes ball spin characteristics.

The latest offering is also designed to flow from any JPX iron set and purr-fectly features a generous sized face with a wide, smooth sole and subtle relief in the toe and heel for maximum wedge versatility. Engineered also with that beautiful satisfyingly soft, solid wedge feel at impact that has made many a Mizzy golfing fan.

If looking for a wedge that is anything but a small compact, blade type wedge then the new JPX Wedge is just your choice offering more versatility for cavity iron players and with unmatched forgiveability. The new JPX S2 wedge simply stops the ball dead.

Features 

Quad cut groove that maximizes four dimensions with new R&amp;A/USGA guidelines
Loft specific grooves with wider, shallower grooves on high lofts and deep, narrow grooves on lower lofts
Smooth cambered sole for more effective bounce and ease of use
CNC milled face for added friction and max spin in shorter pitch shots
Engineered for solid, pure feel with Mizuno HIT (harmonic impact technology)
Black Ni finish to reduce glare from lofted face
Multiple lofts/bounces to fit seamlessly into any set make-up
Note: The images shown above are indicative only, actual product may differ according to the selection of specifications.",,"8,390",Right Handed 50 NSPRO ; Right Handed 52 NSPRO ; Right Handed 56 NSPRO ; Right Handed 60 NSPRO ;,"golfessentials.in/images/mizuno/wedges/jpx_s2/1_thumb.jpg,golfessentials.in/images/mizuno/wedges/jpx_s2/2_thumb.jpg",Mizuno JPX S2 Wedge,golfessentials.in/images/mizuno/wedges/jpx_s2/1.jpg,golfessentials.in/images/mizuno/wedges/jpx_s2/2.jpg,
"Forged out of a soft 8620 steel, a thicker hitting area and hour-glass-shaped reinforced back cavity provide solid feel and feedback. A machined face and grooves ensure maximum spin and control. A high-density tungsten toe weight is balanced by a longer hosel to optimize the CG position for penetrating, high-spin trajectories.The Anser wedges have a thicker face in the impact area and a stabilizing bar that will bring consistency to your shot making. Control also comes from minimizing face fluctuation.Note: The images shown above are indicative only, actual product may differ according to the selection of specifications.",,"14,500",Right Handed 50 Regular Ping TFC 169i 35.5 ; Left Handed 50 Regular Ping TFC 169i 35.5 ; Right Handed 54 Regular Ping TFC 169i 35.25 ; Right Handed 56 Regular Ping TFC 169i 35.25 ;,"golfessentials.in/images/ping/wedges/anser/1_thumb.jpg,golfessentials.in/images/ping/wedges/anser/2_thumb.jpg,golfessentials.in/images/ping/wedges/anser/3_thumb.jpg",Ping Anser Forged Wedge-Graphite Shaft,golfessentials.in/images/ping/wedges/anser/1.jpg,golfessentials.in/images/ping/wedges/anser/2.jpg,golfessentials.in/images/ping/wedges/anser/3_thumb.jpg
"Featuring specialty alloys that rust over time, these oversized wide sole wedges offer maximum forgiveness. Made with 100% raw unplated 8620 steel which rusts over time resulting in a unique look and improved feel. Cobra Golf's Big Trusty Rusty wedges are designed for maximum spin and forgiveness.ESSENTIALSSpecialty Rusted finishes (available in Satin with pre-rusted face, Black PVD, and Rust)Wide Tri-bounce soleLaser precision technologyCobra-FST Steel with Non-Glare coating and precision laser engravingHEAD MATERIALUnplated Carbon Steel.Note: The images shown above are indicative only, actual product may differ according to the selection of specifications.",,"8,600",Right Handed 50 Cobra FST Steel 35.5 ; Right Handed 55 Cobra FST Steel 35.25 ; Right Handed 60 Cobra FST Steel 35 ;,"golfessentials.in/images/cobra/wedges/btr_satin/1_thumb.jpg,golfessentials.in/images/cobra/wedges/btr_satin/2_thumb.jpg",Cobra Big Trust Rusty - Satin Wedge,golfessentials.in/images/cobra/wedges/btr_satin/1.jpg,golfessentials.in/images/cobra/wedges/btr_satin/2.jpg,
"New, Improved X3X GroovesA stronger, more aggressive groove edge and deeper groove channels deliver ultimate stopping power and distance control.Forged CraftsmanshipSoft 1025 carbon steel, finished in durable stain chrome, delivers enhanced shot-making consistency, tour-level feel and long-life groove performance.Three Available GrindsChoose from three grinds to fit your game. Standard Grind is our most versatile profile for all conditions (available in full loft/bounce offerings). Dual Narrow Grind features a narrow sole width with higher bounce and extreme heel relief; it sits low to the ball whether square or open. Dual Wide Grind offers all the benefits of a wider sole with a low bounce. It's accurate from the bunker but still deadly from narrow lies.Note: The images shown above are indicative only, actual product may differ according to the selection of specifications.","9,100","8,799",Right Handed 52 Regular Dynamic Gold ; Right Handed 54 Regular Dynamic Gold ; Right Handed 56 Regular Dynamic Gold ; Right Handed 60 Regular Dynamic Gold ;,"golfessentials.in/images/nike/vr_forged_chrome/1_thumb.jpg,golfessentials.in/images/nike/vr_forged_chrome/2_thumb.jpg",Nike VR Forged Chrome Wedge,golfessentials.in/images/nike/vr_forged_chrome/1.jpg,golfessentials.in/images/nike/vr_forged_chrome/2.jpg,
" The Titleist Vokey SM4 Oil Can CC Wedge from master craftsman Bob Vokey features Tour-validated shapes and sole grinds with enhanced Spin Milled face technology for maximum spin and even greater shot control. It comes with a new groove design and profile improvements, as well as new lofts and bounce options.  Additional features: Maximum conforming spinDurable groovesImproved turf and sand performanceImproved appearanceShaft type: Dynamic GoldFinish: oil canNote: The images shown above are indicative only, actual product may differ according to the selection of specifications.",,"10,900",Right Handed 48 Steel 35.75 ; Right Handed 52 Steel 35.5 ; Right Handed 54 Steel 35.25 ; Right Handed 56 Steel 35.25 ; Right Handed 58 Steel 35 ; Right Handed 60 Steel 35 ; Right Handed 60 Steel 35 ;,golfessentials.in/images/titleist/wedges/sm4_oil_can/1_thumb.jpg,Titleist Vokey SM4 Oil Can Wedge,golfessentials.in/images/titleist/wedges/sm4_oil_can/1.jpg,,
"The Gorge Groove technology and multiple sole options in the Ping Tour Wedge offers new levels of control and consistency for confident wedge play. The grooves are milled at Ping's facility in Phoenix, Arizona to hold extremely tight tolerances that ensure a groove size and shape that provides golfers maximum spin. The stainless steel wedge has a standard sole for most turf conditions. It offers the versatility to open or close the clubface to play most any shot. A traditional head shape features a custom tuning port in the cavity, which increases MOI and contributes to a solid feel across the clubface.The Tour wedge features Gorge grooves, which are precision milled at PING to hold very tight tolerances for ensuring maximum spin. Combined with multiple sole options, Tour wedges optimize control and consistency. Match one of three sole widths to fit your game and playing conditions: Thin Sole (TS), Wide Sole (WS) and Standard Sole (SS).Note: The images shown above are indicative only, actual product may differ according to the selection of specifications.",,"11,500",Right Handed 58 Regular Ping CFS 35 ; Left Handed 58 Regular Ping CFS 35 ; Right Handed 60 Regular Ping CFS 35 ; Left Handed 60 Regular Ping CFS 35 ;,"golfessentials.in/images/ping/wedges/tour_ts/1_thumb.jpg,golfessentials.in/images/ping/wedges/tour_ts/2_thumb.jpg,golfessentials.in/images/ping/wedges/tour_ts/3_thumb.jpg",Ping Tour Gorge Wedge TS,golfessentials.in/images/ping/wedges/tour_ts/1.jpg,golfessentials.in/images/ping/wedges/tour_ts/2.jpg,golfessentials.in/images/ping/wedges/tour_ts/3_thumb.jpg
"The Gorge Groove technology and multiple sole options in the Ping Tour Wedge offers new levels of control and consistency for confident wedge play. The grooves are milled at Ping's facility in Phoenix, Arizona to hold extremely tight tolerances that ensure a groove size and shape that provides golfers maximum spin. The stainless steel wedge has a standard sole for most turf conditions. It offers the versatility to open or close the clubface to play most any shot. A traditional head shape features a custom tuning port in the cavity, which increases MOI and contributes to a solid feel across the clubface.The Tour wedge features Gorge grooves, which are precision milled at PING to hold very tight tolerances for ensuring maximum spin. Combined with multiple sole options, Tour wedges optimize control and consistency. Match one of three sole widths to fit your game and playing conditions: Thin Sole (TS), Wide Sole (WS) and Standard Sole (SS).Note: The images shown above are indicative only, actual product may differ according to the selection of specifications.",,"11,500",Right Handed 54 Regular Ping CFS 35.25 ; Left Handed 54 Regular Ping CFS 35.25 ; Right Handed 56 Regular Ping CFS 35.25 ; Left Handed 56 Regular Ping CFS 35.25 ; Right Handed 58 Regular Ping CFS 35 ; Right Handed 60 Regular Ping CFS 35 ;,"golfessentials.in/images/ping/wedges/tour_ws/1_thumb.jpg,golfessentials.in/images/ping/wedges/tour_ws/2_thumb.jpg,golfessentials.in/images/ping/wedges/tour_ws/3_thumb.jpg",Ping Tour Gorge Wedge WS,golfessentials.in/images/ping/wedges/tour_ws/1.jpg,golfessentials.in/images/ping/wedges/tour_ws/2.jpg,golfessentials.in/images/ping/wedges/tour_ws/3_thumb.jpg
"The Gorge Groove technology and multiple sole options in the Ping Tour Wedge offers new levels of control and consistency for confident wedge play. The grooves are milled at Ping's facility in Phoenix, Arizona to hold extremely tight tolerances that ensure a groove size and shape that provides golfers maximum spin. The stainless steel wedge has a standard sole for most turf conditions. It offers the versatility to open or close the clubface to play most any shot. A traditional head shape features a custom tuning port in the cavity, which increases MOI and contributes to a solid feel across the clubface.The Tour wedge features Gorge grooves, which are precision milled at PING to hold very tight tolerances for ensuring maximum spin. Combined with multiple sole options, Tour wedges optimize control and consistency. Match one of three sole widths to fit your game and playing conditions: Thin Sole (TS), Wide Sole (WS) and Standard Sole (SS).Note: The images shown above are indicative only, actual product may differ according to the selection of specifications.",,"11,500",Right Handed 47 Regular Ping CFS 35.5 ; Left Handed 47 Regular Ping CFS 35.5 ; Right Handed 50 Regular Ping CFS 35.5 ; Right Handed 52 Regular Ping CFS 35.5 ; Left Handed 52 Regular Ping CFS 35.5 ; Right Handed 54 Regular Ping CFS 35.25 ; Right Handed 56 Regular Ping CFS 35.25 ; Left Handed 56 Regular Ping CFS 35.25 ; Right Handed 58 Regular Ping CFS 35 ; Right Handed 60 Regular Ping CFS 35 ; Left Handed 60 Regular Ping CFS 35 ;,"golfessentials.in/images/ping/wedges/tour_ss/1_thumb.jpg,golfessentials.in/images/ping/wedges/tour_ss/2_thumb.jpg,golfessentials.in/images/ping/wedges/tour_ss/3_thumb.jpg",Ping Tour Gorge Wedge SS,golfessentials.in/images/ping/wedges/tour_ss/1.jpg,golfessentials.in/images/ping/wedges/tour_ss/2.jpg,golfessentials.in/images/ping/wedges/tour_ss/3_thumb.jpg
" The Callaway CG Forged Dark Chrome CC Wedge s the newest forged creation from Callaway Chief Designer Roger Cleveland. These wedges offer golfers all the control, spin and feel they could ever want to attack the pin with new finish options that exude confidence with a striking look. 21 tightly spaced, conforming grooves with sharper edges (due to the superior Triple Net Forging process) provide ideal trajectory and distance control while maximum conforming groove capacity ensures moisture is swept away, meaning more edges come in contact with the ball to maximize friction and increase spin. The Tour-inspired shape has a very traditional styling with a higher toe and straighter leading edge for a square look at address while providing versatility for pinpoint shot-making by relieving the heel and reducing the width of the sole. This design enables golfers to lay the face open while effectively reducing the bounce angle, allowing for proper contact and maximum spin and control. Each wedge loft has been paired with the ideal bounce to provide optimal turf interaction and versatility for creative shot-making.  Additional Features: Forged from 1020 carbon steelNote: The images shown above are indicative only, actual product may differ according to the selection of specifications.",,"7,490",Right Handed 54 Dynamic Gold S300 35.25 ; Right Handed 56 Dynamic Gold S300 35.25 ; Right Handed 58 Dynamic Gold S300 35.125 ; Right Handed 60 Dynamic Gold S300 35.125 ; Left Handed 60 Dynamic Gold S300 35.125 ;,"golfessentials.in/images/callaway/wedges/forged_dark_chrome/1_thumb.jpg,golfessentials.in/images/callaway/wedges/forged_dark_chrome/2_thumb.jpg",Callaway Forged Dark Chrome Wedge,golfessentials.in/images/callaway/wedges/forged_dark_chrome/1.jpg,golfessentials.in/images/callaway/wedges/forged_dark_chrome/2.jpg,
" The Callaway CG Forged Copper CC Wedge s the newest forged creation from Callaway Chief Designer Roger Cleveland. These wedges offer golfers all the control, spin and feel they could ever want to attack the pin with new finish options that exude confidence with a striking look. 21 tightly spaced, conforming grooves with sharper edges (due to the superior Triple Net Forging process) provide ideal trajectory and distance control while maximum conforming groove capacity ensures moisture is swept away, meaning more edges come in contact with the ball to maximize friction and increase spin. The Tour-inspired shape has a very traditional styling with a higher toe and straighter leading edge for a square look at address while providing versatility for pinpoint shot-making by relieving the heel and reducing the width of the sole. This design enables golfers to lay the face open while effectively reducing the bounce angle, allowing for proper contact and maximum spin and control. Each wedge loft has been paired with the ideal bounce to provide optimal turf interaction and versatility for creative shot-making.  Additional Features: Forged from 1020 carbon steelNote: The images shown above are indicative only, actual product may differ according to the selection of specifications.",,"7,490",Right Handed 52 Dynamic Gold S300 35.375 ; Left Handed 52 Dynamic Gold S300 35.375 ; Right Handed 56 Dynamic Gold S300 35.25 ; Right Handed 58 Dynamic Gold S300 35.125 ; Right Handed 60 Dynamic Gold S300 35.125 ; Left Handed 60 Dynamic Gold S300 35.125 ; Right Handed 64 Dynamic Gold S300 35.125 ;,"golfessentials.in/images/callaway/wedges/forged_copper/1_thumb.jpg,golfessentials.in/images/callaway/wedges/forged_copper/2_thumb.jpg",Callaway Forged Copper Wedge,golfessentials.in/images/callaway/wedges/forged_copper/1.jpg,golfessentials.in/images/callaway/wedges/forged_copper/2.jpg,
