SKU,stock,URL,SP,MRP,productname
,,http://www.healthkart.com/sv/cosco-cmtm-4600-b-treadmill/SP-24414,Now Rs. 51850,Rs. 61000.0,Cosco CMTM 4600 B Treadmill
,,http://www.healthkart.com/sv/cosco-cmtm-jk-8010-a-motorised-treadmill/SP-19879,Now Rs. 79900,Rs. 94000.0,Cosco CMTM JK 8010 A Motorised Treadmill
,,http://www.healthkart.com/sv/cosco-cmtm-sx-4444-treadmill/SP-24399,Now Rs. 63750,Rs. 75000.0,Cosco CMTM SX 4444 Treadmill
,,http://www.healthkart.com/sv/cosco-cmtm-jk-776-motorised-treadmill-(patented-asa-technology)/SP-19876,Now Rs. 71400,Rs. 84000.0,Cosco CMTM JK 776 Motorised Treadmill (Patented ASA Technology)
,,http://www.healthkart.com/sv/cosco-cmtm-sx-3333-treadmill/SP-24397,Now Rs. 53550,Rs. 63000.0,Cosco CMTM SX 3333 Treadmill
,,http://www.healthkart.com/sv/cosco-ctm-510-treadmill/SP-13215,Now Rs. 13600,Rs. 16000.0,Cosco CTM 510 Treadmill
,,http://www.healthkart.com/sv/iso-solid-t6-treadmill/SP-20099,Now Rs. 32501,Rs. 37999.0,Iso Solid T6 Treadmill
,,http://www.healthkart.com/sv/iso-solid-t4-treadmill/SP-20098,Now Rs. 29387,Rs. 30999.0,Iso Solid T4 Treadmill
,,http://www.healthkart.com/sv/viva-fitness-kh-80201-elliptical/SP-24160,Now Rs. 22950,Rs. 27000.0,VIVA Fitness KH 80201 Elliptical
,,http://www.healthkart.com/sv/viva-fitness-t-730-treadmill/SP-24177,Now Rs. 52360,Rs. 61600.0,VIVA Fitness T 730 Treadmill
,,http://www.healthkart.com/sv/viva-fitness-kh-735-elliptical/SP-24159,Now Rs. 31875,Rs. 37500.0,VIVA Fitness KH 735 Elliptical
,,http://www.healthkart.com/sv/viva-fitness-kh-70201-elliptical/SP-24161,Now Rs. 20910,Rs. 24600.0,VIVA Fitness KH 70201 Elliptical
,,http://www.healthkart.com/sv/cosco-cmtm-sx-3000-treadmill/SP-24395,Now Rs. 45050,Rs. 53000.0,Cosco CMTM SX 3000 Treadmill
,,http://www.healthkart.com/sv/viva-fitness-kh-790-elliptical/SP-24158,Now Rs. 57800,Rs. 68000.0,VIVA Fitness KH 790 Elliptical
,,http://www.healthkart.com/sv/cosco-cet-jk-2125-motorised-tension-elliptical-trainer/SP-19874,Now Rs. 41140,Rs. 48400.0,Cosco CET JK 2125 Motorised Tension Elliptical Trainer
