SKU,stock,URL,SP,MRP,productname
,Instock,http://www.healthkart.com/sv/stag-center-fold-indoor-table-tennis/SP-12835,Now Rs. 18900,Rs. 21000,STAG Center Fold Indoor Table Tennis
,Instock,http://www.healthkart.com/sv/stag-international-indoor-tt-table-(i.t.t.f.-approved)/SP-12828,Now Rs. 27900,Rs. 31000,STAG International Indoor TT Table (I.T.T.F. Approved)
,Instock,http://www.healthkart.com/sv/dunlop-rage-25-squash-racket/SP-19838,Now Rs. 3349,Rs. 4050,Dunlop Rage 25 Squash Racket
,Instock,http://www.healthkart.com/sv/stag-family-model-indoor-outdoor-tt-table-(c.e.n.-certified)/SP-12848,Now Rs. 19800,Rs. 22000,STAG Family Model Indoor/Outdoor TT Table (C.E.N. Certified)
,Instock,http://www.healthkart.com/sv/dunlop-biomimetic-ultimate-squash-racket/SP-19839,Now Rs. 9000,Rs. 11250,Dunlop Biomimetic Ultimate Squash Racket
,Instock,http://www.healthkart.com/sv/tecnifibre-dynergy-max-kick-step-squash-racket/SP-13998,Now Rs. 3769,Rs. 5799,Tecnifibre Dynergy Max Kick Step Squash Racket
,Instock,http://www.healthkart.com/sv/head-aft-flash-squash-racket/SP-13092,Now Rs. 2783,Rs. 3975,Head AFT Flash Squash Racket
,Instock,http://www.healthkart.com/sv/stag-sleek-model-indoor-tt-table/SP-12837,Now Rs. 16200,Rs. 18000,STAG Sleek Model Indoor TT Table
,Instock,http://www.healthkart.com/sv/tecnifibre-master-carboflex-130-basaltex-squash-racket/SP-14022,Now Rs. 7660,Rs. 9399,Tecnifibre Master Carboflex 130 Basaltex Squash Racket
,Instock,http://www.healthkart.com/sv/tecnifibre-supreme-ng-130-squash-racket/SP-14000,Now Rs. 7594,Rs. 9399,Tecnifibre Supreme NG 130 Squash Racket
,,http://www.healthkart.com/sv/yonex-arcsaber-z-slash-badminton-racket/SP-12484,Now Rs. 9696,Rs. 15150,Yonex Arcsaber Z-Slash Badminton Racket
,Instock,http://www.healthkart.com/sv/yonex-nanoray-700-fx-badminton-racket/SP-12472,Now Rs. 10238,Rs. 15750,Yonex Nanoray 700 FX Badminton Racket
,Instock,http://www.healthkart.com/sv/yonex-nanoray-700rp-badminton-racket/SP-12471,Now Rs. 10238,Rs. 15750,Yonex Nanoray 700RP Badminton Racket
,,http://www.healthkart.com/sv/yonex-nanospeed-9900-badminton-racket/SP-12466,Now Rs. 9952,Rs. 15550,Yonex Nanospeed 9900 Badminton Racket
,,http://www.healthkart.com/sv/yonex-voltric-80-badminton-racket/SP-13525,Now Rs. 10720,Rs. 16750,Yonex Voltric 80 Badminton Racket
,Instock,http://www.healthkart.com/sv/yonex-voltric-z-force-badminton-racket/SP-14203,Now Rs. 12188,Rs. 18750,Yonex Voltric Z-Force Badminton Racket
,Instock,http://www.healthkart.com/sv/yonex-nanoray-700rp-badminton-racket/SP-12471,Now Rs. 10238,Rs. 15750,Yonex Nanoray 700RP Badminton Racket
