Item Type,Product Name,Brand Name,Product Type,Price,Retail Price,Sale Price,Product Description,Product Code/SKU,Category,Option Set,Product Availability,Current Stock Level,Free Shipping,Sort Order,Product Image Description - 1,Product Image Is Thumbnail - 1,Track Inventory,Product Image Sort - 1,Product Image Sort - 2,Product Image Sort - 3,Product Image Sort - 4,Product Image Sort-5,Product Image File - 1,Product Image File - 2,Product Image File - 3,Product Image File - 4,Product Image File - 5 , 
Product,Grays G 9000 Hockey Shoe *,Grays,P,10075,10075,7694,"Professional level shoe featuring the new ""Gtech Pro Sole"" for free running movement and ultimate traction..Upper construction : Hi tech waterproof lightweight durable performance upper..FlowSYSTEM : Breathabe mesh tongue wrapped lining for superior comfort and ventilation..Gflow Quarter System : Framed window breathable mesh helps to cool foot while ofering protection..Waterproof Base : Closed off bottom section for water resistant barrier..Gtuff : Extended toe bumper foot protection while not limiting flex.SOLE UNIT.Outsole Traction : Gtech Pro sole cleats are suitable for sand and water based pitches full rubber with multi directional-cleated grip pattern..Gtech forefoot flex : grooves and exposed EVA promote natural foot movement and increased ball striking power..Gtech Midsole : Full length dual density midsole-Enhances support and cushioning throughout the foot for both forward and sideways movement..Using high grade EVA to provide instant responsiveness during foot strike off..Pro Hex Footbed : Hexagonal chamber cushioning system on heel for superior impact protection..Colour : Black/Orange.Size : 6 - 13",HOCK226020,Team Sports/Hockey/Hockey Shoes;Shoes/Men's Shoes/Hockey Shoes and Spikes,Grays G 9000 Hockey Shoe 1,15-20 Working Days,100,N,-250,Buy Grays G 9000 Hockey Shoe  Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,http://www.hockeydirect.com/imagecache/f56546ea-67c8-4856-8b18-a1ef01605b58_500x500.jpg,,,,,
SKU,"[S]Size=US  6,[S]Color=Black/Orange",,,,,,,HOCK226020UK6Black/Orange,,,,,,,,,,,,,,,,,,,,
SKU,"[S]Size=US  9.5,[S]Color=Black/Orange",,,,,,,HOCK226020UK9.5Black/Orange,,,,,,,,,,,,,,,,,,,,
SKU,"[S]Size=US 10,[S]Color=Black/Orange",,,,,,,HOCK226020UK10Black/Orange,,,,,,,,,,,,,,,,,,,,
SKU,"[S]Size=US 12,[S]Color=Black/Orange",,,,,,,HOCK226020UK12Black/Orange,,,,,,,,,,,,,,,,,,,,
SKU,"[S]Size=US 13,[S]Color=Black/Orange",,,,,,,HOCK226020UK13Black/Orange,,,,,,,,,,,,,,,,,,,,
Product,Gryphon Aero G2 Hockey Shoe*,Gryphon,P,7938,7938,7338,The GRYPHON AERO G2 has the ultimate in multi-stud hockey shoe configuration with a rubber sole providing brilliant grip on synthetic and natural grass..With excellent forefoot flex and rear foot stability combined with a premium non-stretch upper The AERO G2 fits better feels better creating an optimal hockey footwear experience..Super light 335g  .Multi-Stud configuration for optimal grip.Stability focused design for increased comfort and performance.Reinforced toe cap for added protection whilst maintaining mobility.Forefoot Flex allows excellent surface contact on accelleration turning and stopping.Available in European sizes: 35-45..Colour  : Blue,HOCK316006B,Team Sports/Hockey/Hockey Shoes;Shoes/Men's Shoes/Hockey Shoes and Spikes,Gryphon Aero G2 Hockey Shoe1,15-20 Working Days,100,N,-250,Buy Gryphon Aero G2 Hockey Shoe Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,http://www.hockeydirect.com/imagecache/99185e87-20ea-4256-84c1-a35d00c15d7a_500x500.jpg,http://www.hockeydirect.com/imagecache/79d88686-48d3-495b-a77b-a35d00c15d7a_500x500.jpg,http://www.hockeydirect.com/imagecache/09c11af1-144d-46cd-82a6-a35d00c15d7a_500x500.jpg,,,
SKU,"[S]Size=36,[S]Color=Blue",,,,,,,HOCK316006BUK36Blue,,,,,,,,,,,,,,,,,,,,
SKU,"[S]Size=37,[S]Color=Blue",,,,,,,HOCK316006BUK37Blue,,,,,,,,,,,,,,,,,,,,
SKU,"[S]Size=38,[S]Color=Blue",,,,,,,HOCK316006BUK38Blue,,,,,,,,,,,,,,,,,,,,
SKU,"[S]Size=39,[S]Color=Blue",,,,,,,HOCK316006BUK39Blue,,,,,,,,,,,,,,,,,,,,
SKU,"[S]Size=40,[S]Color=Blue",,,,,,,HOCK316006BUK40Blue,,,,,,,,,,,,,,,,,,,,
SKU,"[S]Size=41,[S]Color=Blue",,,,,,,HOCK316006BUK41Blue,,,,,,,,,,,,,,,,,,,,
SKU,"[S]Size=42,[S]Color=Blue",,,,,,,HOCK316006BUK42Blue,,,,,,,,,,,,,,,,,,,,
SKU,"[S]Size=43,[S]Color=Blue",,,,,,,HOCK316006BUK43Blue,,,,,,,,,,,,,,,,,,,,
SKU,"[S]Size=44,[S]Color=Blue",,,,,,,HOCK316006BUK44Blue,,,,,,,,,,,,,,,,,,,,
SKU,"[S]Size=45,[S]Color=Blue",,,,,,,HOCK316006BUK45Blue,,,,,,,,,,,,,,,,,,,,
Product,Mercian 002 Pro-Line Hockey Stick*,Mercian,P,31688,31688,24319,The greater cross-sectional size (which increases stick strength) combined with increased material density and a modified balance point make the new Pro-Line sticks perfect for today’s top level players..Pro-Line sticks also feature a lightly textured face to reduce the spin of the ball on wet surfaces and a combination of matt and gloss finishing to enhance the graphics and change the hand-to-stick surface contact..The entire Pro-Line range use Piezoelectric fibres in the VRZ ‘Vibration Reduction Zone’ to ‘harvest’ the vibrations created in the super-stiff sticks and turn them into heat the result of this is efficient vibration dampening. .Basically it stops your hands hurting when you hit the ball hard.Composition: Carbon 75% Fibreglass 10% Basalt 10% and Kevlar 5%.Colour: Black / Silver.Length: 36.5” / 37.5”.Weight: Light / Medium.Bend: Standard,HOCK261126,Team Sports/Hockey/Sticks,Mercian 002 Pro-Line Hockey Stick1,15-20 Working Days,100,N,-250,Buy Mercian 002 Pro-Line Hockey Stick Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,http://www.hockeydirect.com/imagecache/fb3a9098-11ce-46c0-a233-a39c00e9ba5f_500x500.jpg,http://www.hockeydirect.com/imagecache/b4beae59-d6d1-40b9-8c11-a39c00e9ba60_500x500.jpg,http://www.hockeydirect.com/imagecache/4597aea6-866b-48e4-ad4a-a39c00e9ba60_500x500.jpg,http://www.hockeydirect.com/imagecache/60292f4c-901d-49dc-ad96-a39c00e9ba60_500x500.jpg,,
SKU,"[S]Size=36.5 Inches,[S]Weight=Light",,,,,,,HOCK261126UK36.5Light,,,,,,,,,,,,,,,,,,,,
SKU,"[S]Size=36.5 Inches,[S]Weight=Medium",,,,,,,HOCK261126UK36.5Medium,,,,,,,,,,,,,,,,,,,,
SKU,"[S]Size=37.5 Inches,[S]Weight=Light",,,,,,,HOCK261126UK37.5Light,,,,,,,,,,,,,,,,,,,,
SKU,"[S]Size=37.5 Inches,[S]Weight=Medium",,,,,,,HOCK261126UK37.5Medium,,,,,,,,,,,,,,,,,,,,
