SKU,productname,SP,MRP,stock
YO_RC_000098,Yonex ArcSaber 3 FL Badminton Racket,7507,11550,Out
YO_RC_000133,Yonex arcsaber 10 Badminton Racket,10848,16690,In
YO_RC_000215,Yonex Arcsaber I Slash Badminton Racket,9805,15085,In
YO_RC_000133,Yonex arcsaber 10 Badminton Racket,10848,16690,In
LI_BR_0000108,Li Ning Flame N36 Badminton Racket,14244,24990,In
YO_RC_000141,Yonex Arcsaber 11 Badminton Racket,12200,18990,In
YO_RC_000035,Yonex ArcSaber 7 Badminton Racket,7228,11850,In
YO_RC_000141,Yonex Arcsaber 11 Badminton Racket,12200,18990,In
YO_RC_000061,Yonex ArcSaber 8DX Badminton Racket,7800,12000,In
YO_RC_000133,Yonex arcsaber 10 Badminton Racket,10848,16690,In
YO_RC_000138,Yonex nanoray 800 Badminton Racket,11500,18450,In
YO_RC_000035,Yonex ArcSaber 7 Badminton Racket,7228,11850,In
YO_RC_000201,Yonex Nanoray 700 fx Badminton Racket,9880,15200,In
YO_RC_000026,Yonex Nanospeed 9900 Badminton Racket,10107,15550,In
YO_RC_000114,Yonex VOLTRIC 5 Badminton Racket,2918,4490,In
YO_RC_000138,Yonex nanoray 800 Badminton Racket,11500,18450,In
YO_RC_000208,Yonex Voltric I Force Badminton Racket,10395,16500,In
YO_RC_000200,Yonex ArcSaber FB Badminton Racket,12642,19450,In
YO_RC_000209,Yonex Nanoray Z Speed Badminton Racket,14850,19750,In
HE_RA_00074,Head YouTek Graphene Pwr Instinct Tennis Racquet,11339,16925,In
YO_RC_000210,Yonex Voltric Z Force Badminton Racket,12155,18700,In
SQ_SR_PR_00045,Prince EXO3 Rebel Squash Racket,10639,11199,In
HE_RA_00060,Head YouTek Graphene Speed Pro Tennis Racquet,13966,20845,In
SQ_SR_PR_00042,Prince O3 Speedport Silver Squash Racket,10639,11199,In
WI_RA_00085,Wilson Tennis Rackets Wilson BLX Six One Team 95,8999,11999,Out
DO_TTB_00027,Donic Waldner Black Devil Table Tennis Blade,6282,8725,In
