SKU,productname,SP,MRP,stock
LI_BR_0000108,,14244,24990,In
YO_RC_000133,,10848,16690,In
YO_RC_000133,,10848,16690,In
YO_RC_000141,,12200,18990,In
YO_RC_000098,,7507,11550,Out
YO_RC_000133,,10848,16690,In
YO_RC_000141,,12200,18990,In
YO_RC_000215,,9805,15085,In
YO_RC_000035,,7830,13050,In
YO_RC_000035,,7830,13050,In
YO_RC_000201,,10930,17350,In
YO_RC_000114,,3017,4790,In
YO_RC_000061,,10773,17100,In
YO_RC_000200,,11864,19450,In
YO_RC_000138,,11500,20350,In
YO_RC_000209,,14850,19750,In
YO_RC_000208,,10930,17350,In
YO_RC_000210,,11781,18700,In
SQ_SR_PR_00045,,10639,11199,In
DO_TTB_00027,,6282,8725,In
HE_RA_00060,,13966,20845,In
SQ_SR_PR_00042,,10639,11199,In
WI_RA_00085,,8999,11999,Out
YO_RC_000026,,10930,17350,In
HE_RA_00074,,11339,16925,In
YO_RC_000138,,11500,20350,In
