category,specification,MRP,imgurl,productname
Road,"


	Size: 
	 
50, 52, 54, 56, 58cm
 



	Brakes: 
	 

Alloy dual-pivot brakes w/Shimano 2300 STI lever

 

 



	Frame: 
	 

100 Series Alpha Aluminum

 

 






	Tyre: 
	 

Bontrager T1, 700x23c

 

 




 


	Fork: 
	 

Trek aluminum road

 

 




	Headset: 
	 

1-1/8"" semi-cartridge bearings

 

 






	Handle Bar: 
	 

Bontrager SSR VR-C, 26.0mm

 

 





	Stem: 
	 

Bontrager Sport, 26.0mm, 10 degree

 

 






	Seat Post: 
	 

Bontrager SSR, 12mm offset

 

 






	Front Derailleurs: 
	 

Shimano 2300, 34.9mm clamp

 

 



	Rear Derailleurs: 
	 

Shimano 2300

 

 




	Pedals: 
	 

Nylon body w/alloy cage

 

 





	Shifters: 
	 

Shimano 2300 STI, 8 speed

 

 






	Crank Set: 
	 

Vuelta Corsa, 50/34 (compact)

 

 




	Wheel Set: 
	 

Alloy hubs w/Bontrager Approved alloy rims

 

 






	Extras: 
	 

Cassette : Sun Race CSR86 12-25, 8 speed , Saddle : Bontrager Affinity 1, steel rails,Frame fit : H2

 

 




 ",43160,http://kohinoorsalesagency.com/showImage.ashx?uid=63,1.1 C
Hybrid,"


	Size: 
	 
18"", 19.5""
 



	Brakes: 
	 

Alloy ""V"" Brake w/Shimano EF51 levers

 

 



	Frame: 
	 

Alloy Hybrid

 

 



	Front Suspension: 
	 

Rigid Fork

 

 





	Tyre: 
	 

700 X 35C

 

 



	Wheel: 
	 

SHIMANO TZ21 14-28T, 7 speed

 

 



 




	Headset: 
	 

Steel 1-1/8"" threadless

 

 






	Handle Bar: 
	 

Steel 600mm,30mm rise

 

 





	Stem: 
	 

ZOOM Alloy adjustable, 28.6mm

 

 






	Seat Post: 
	 

Steel 27.2 X 300mm

 

 






	Front Derailleurs: 
	 

SHIMANO TX51

 

 



	Rear Derailleurs: 
	 

SHIMANO ALTUS M310 DL

 

 




	Pedals: 
	 

WELLGO PP

 

 



	BB Set: 
	 

VP-BC73 Sealed Cartridge

 

 




	Shifters: 
	 

SHIMANO EF51, 7 speed

 

 






	Crank Set: 
	 

Steel 28/38/48, 170mm Alloy crank

 

 




	Wheel Set: 
	 

Alloy Double wall 36H Rims

 

 






	Extras: 
	 

Front Wheel &amp; Seat post with QR

 

 




 ",16900,http://kohinoorsalesagency.com/showImage.ashx?uid=44,Rapide 21S
Hybrid,"


	Size: 
	 
18"" , 19.5""
 



	Brakes: 
	 

Tektro, mechanical disc w/Shimano levers

 

 



	Frame: 
	 

Alloy Hybrid

 

 



	Front Suspension: 
	 

ZOOM Alloy suspension fork, 40mm

 

 





	Tyre: 
	 

DSI 700 X 35C

 

 



	Wheel: 
	 

SHIMANO TZ21 14-28T, 7 speed

 

 



 




	Headset: 
	 

Steel 1-1/8"" threadless

 

 






	Handle Bar: 
	 

Steel 600mm,30mm rise

 

 





	Stem: 
	 

ZOOM Alloy adjustable, 28.6mm

 

 






	Seat Post: 
	 

Steel 27.2 X 300mm

 

 






	Front Derailleurs: 
	 

SHIMANO TX51

 

 



	Rear Derailleurs: 
	 

SHIMANO TX51D

 

 




	Pedals: 
	 

WELLGO PP

 

 



	BB Set: 
	 

VP-BC73 Sealed Cartridge

 

 




	Shifters: 
	 

SHIMANO EF51, 7 speed

 

 






	Crank Set: 
	 

Steel 28/38/48, 170mm Alloy crank

 

 








	Extras: 
	 

Front Wheel &amp; Seat post with QR

 

 




 ",19870,http://kohinoorsalesagency.com/showImage.ashx?uid=43,Road Runner Pro-D
Hybrid,"


	Size: 
	 
16,18,19.5,21""
 



	Brakes: 
	 

Tektro alloy linear-pull brakes w/Shimano Tourney levers

 

 



	Frame: 
	 

Alpha Silver Aluminium w/semi-integrated head tube,rack &amp; fender mounts,disc compatible dropouts, replaceable derailleur hanger

 

 



	Front Suspension: 
	 

SR Suntour XCM w/30mm stanchions, coil spring, preload adjustment, 100mm travel

 

 





	Tyre: 
	 

Bontrager LT3, 26x2.0""

 

 




 




	Headset: 
	 

1-1/8"" threadless

 

 






	Handle Bar: 
	 

Bontrager Riser, 25.4mm, 30mm rise

 

 





	Stem: 
	 

Bontrager Approved, 25.4mm, 25 degree

 

 






	Seat Post: 
	 

Bontrager SSR, 31.6mm, 12mm offset

 

 






	Front Derailleurs: 
	 

Shimano Altus

 

 



	Rear Derailleurs: 
	 

Shimano Altus

 

 




	Pedals: 
	 

Wellgo nylon platform

 

 





	Shifters: 
	 

Shimano Tourney, 8 speed

 

 






	Crank Set: 
	 

Shimano M131, 42/34/24

 

 




	Wheel Set: 
	 

FFormula FM21 alloy front hub; Formula FM32 alloy rear hub w/Bontrager AT-650 32-hole double-walled rims

 

 






	Extras: 
	 

Saddle : Bontrager Evoke 1, Cassette : Shimano HG31 12-32, 8 speed

 

 




 ",30450,http://kohinoorsalesagency.com/showImage.ashx?uid=31,3700
Hybrid,"


	Size: 
	 
18"",19.5""
 



	Brakes: 
	 

Alloy ""V"" Brake w/Shimano EF51 levers

 

 



	Frame: 
	 

Alloy Hybrid

 

 






	Tyre: 
	 

Wanda 700 X 35C

 

 



	Wheel: 
	 

SHIMANO TZ21 14-28T, 7 speed

 

 



 




	Headset: 
	 

Steel 1-1/8"" threadless

 

 






	Handle Bar: 
	 

Steel 600mm,30mm rise

 

 





	Stem: 
	 

ZOOM Alloy adjustable, 28.6mm

 

 






	Seat Post: 
	 

Steel 27.2 X 300mm

 

 






	Front Derailleurs: 
	 

SHIMANO TX51, SHIMANO ALTUS M310 DL

 

 








	Shifters: 
	 

SHIMANO EF51, 7 speed

 

 






	Crank Set: 
	 

Steel 28/38/48, 170mm Alloy crank

 

 




	Wheel Set: 
	 

Alloy Double wall 36H Rims

 

 








 ",14490,http://kohinoorsalesagency.com/showImage.ashx?uid=4,Rapide 21S
Hybrid,"


	Size: 
	 
18"" , 19.5""
 



	Brakes: 
	 

Tektro, mechanical disc w/Shimano levers

 

 



	Frame: 
	 

Alloy Hybrid

 

 



	Front Suspension: 
	 

ZOOM Alloy suspension fork, 40mm

 

 





	Tyre: 
	 

DSI 700 X 35C

 

 



	Wheel: 
	 

SHIMANO TZ21 14-28T, 7 speed

 

 



 




	Headset: 
	 

Steel 1-1/8"" threadless

 

 






	Handle Bar: 
	 

Steel 600mm,30mm rise

 

 





	Stem: 
	 

ZOOM Alloy adjustable, 28.6mm

 

 






	Seat Post: 
	 

Steel 27.2 X 300mm

 

 






	Front Derailleurs: 
	 

SHIMANO TX51,

 

 



	Rear Derailleurs: 
	 

SHIMANO TX51D

 

 







	Shifters: 
	 

SHIMANO EF51, 7 speed

 

 






	Crank Set: 
	 

Steel 28/38/48, 170mm Alloy crank

 

 




	Wheel Set: 
	 

Alloy 36H Rims

 

 








 ",18690,http://kohinoorsalesagency.com/showImage.ashx?uid=3,Road Runner Pro-V
Road,"


	Size: 
	 
52, 54, 56CM
 




	Frame: 
	 

Alloy Road

 

 



	Front Suspension: 
	 

Rigid Alloy

 

 





	Tyre: 
	 

Kenda 700 X 23C

 

 



	Wheel: 
	 

SHIMANO HG50,11-25T, 9 speed

 

 



 




	Headset: 
	 

VP 1-1/8"" Semi-Integrated

 

 






	Handle Bar: 
	 

ZOOM Alloy 31.8 x420mm

 

 





	Stem: 
	 

ZOOM Alloy, 31.8mm

 

 






	Seat Post: 
	 

ZOOM Alloy 27.2 X 350mm

 

 






	Front Derailleurs: 
	 

SHIMANO Sora, 2 speed

 

 



	Rear Derailleurs: 
	 

SHIMANO Sora, 9 speed

 

 




	Pedals: 
	 

Wellgo Toe clip with strap

 

 



	BB Set: 
	 

SHIMANO Octalink 113mm

 

 




	Shifters: 
	 

SHIMANO Sora 3500

 

 






	Crank Set: 
	 

SHIMANO 50/34 compact

 

 




	Wheel Set: 
	 

Alloy Double wall 24H Rims

 

 






	Extras: 
	 

Tubes : Kenda K700*18/23C Presta Valve 48mm,Front /Rear Wheel with QR

 

 




 ",33790,http://kohinoorsalesagency.com/showImage.ashx?uid=39,Mistral
Road,"


	Size: 
	 
52, 54, 56, 58cm
 



	Brakes: 
	 

Alloy dual-pivot brakes w/Shimano Tiagra STI levers

 

 



	Frame: 
	 

100 Series Alpha Aluminum

 

 






	Tyre: 
	 

Bontrager R1, 700x23c

 

 




 


	Fork: 
	 

Bontrager Approved, carbon legs

 

 




	Headset: 
	 

1-1/8"" semi-cartridge bearings

 

 






	Handle Bar: 
	 

Bontrager Race VR-C, 31.8mm

 

 





	Stem: 
	 

Bontrager SSR, 10 degree, 31.8mm

 

 






	Seat Post: 
	 

Bontrager Race Lite Alloy, infinite tilt adjustment, 20mm offset

 

 







	Rear Derailleurs: 
	 

Shimano Tiagra

 

 




	Pedals: 
	 

Nylon body w/alloy cage

 

 





	Shifters: 
	 

Shimano Tiagra STI, 10 speed

 

 






	Crank Set: 
	 

FSA Vero, 50/34 (compact)

 

 




	Wheel Set: 
	 

Alloy hubs; Bontrager Approved alloy rims

 

 






	Extras: 
	 

Saddle : Bontrager Affinity 1, steel rails ,Fender mounts

 

 




 ",81890,http://kohinoorsalesagency.com/showImage.ashx?uid=64,1.5 C
Road,"


	Size: 
	 

 



	Brakes: 
	 

APSE Alloy Brake w/Alloy levers

 

 







	Tyre: 
	 

KENDA 700 X 23C

 

 



	Wheel: 
	 

DNP 13-24T, 7 Speed

 

 



 


	Fork: 
	 

Rigid Alloy

 

 




	Headset: 
	 

VP Alloy 1-1/8"" threadless

 

 






	Handle Bar: 
	 

ZOOM Alloy 25.4 X 430mm

 

 





	Stem: 
	 

ZOOM Alloy, 28.6mm

 

 






	Seat Post: 
	 

ZOOM Alloy 27.2 X 350mm

 

 






	Front Derailleurs: 
	 

SHIMANO A050, 2 speed

 

 



	Rear Derailleurs: 
	 

SHIMANO A050, 7 speed

 

 




	Pedals: 
	 

PP

 

 



	BB Set: 
	 

VP-BC55

 

 




	Shifters: 
	 

SHIMANO A050

 

 






	Crank Set: 
	 

PROWHEEL A1-220 39/53, 170mm Alloy crank

 

 




	Wheel Set: 
	 

Alloy 32H Rims

 

 






	Extras: 
	 

Front / Rear Wheel with QR

 

 




 ",17600,http://kohinoorsalesagency.com/showImage.ashx?uid=40,Road Pro 0050
,,840,http://kohinoorsalesagency.com/showImageac.ashx?uid=1,Add on Bar
