Item Type,Category,Free Shipping,Brand Name,Bin Picking Number,Product Availability,Product Image Sort - 7,Product Image Sort - 6,Product Image Sort - 5,Product Code/SKU,Option Set,Product Image Sort - 2,Product Image Sort - 1,Product Image Description 1,Product Image Sort - 4,Retail Price,Product Image Sort - 3,Price,Product Description,Product Image Is Thumbnail 1,Current Stock,Sale Price,Track Inventory,Product Name,Product Image File -1,Product Image File -2,Product Image File -3,Product Image File -4,Product Image File -5,Product Image File -6,Product Image File -7
Product,Shoes/Men's Shoes/Cross Training Shoes,N,Adidas ,420412,2-7 Business  Days,7,6,5,IND420412,Adidas Men Black Hellion M Running Shoes,2,1,BuyAdidas Men Black Hellion M Running Shoes Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,4,"2,799",3,"2,799",,Y,,,By Product,Adidas Men Black Hellion M Running Shoes,,"http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Black-Hellion-M-Running-Shoes_cc029d8e882276b3453fc20887a53017_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Black-Hellion-M-Running-Shoes_804abed70e29081a64e270a42c891ed5_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Black-Hellion-M-Running-Shoes_189bf1df2ab4f42383f5d24176fcba56_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Black-Hellion-M-Running-Shoes_0d37ca09948f433c60d5d241f946d41d_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Black-Hellion-M-Running-Shoes_f1b3719d7c91ff76b5905bb73ce9ab7d_images_mini.jpg",
SKU,,,,1402279,,,,,IND1402279,,,,,,,,,,Y,25,,,[S]Size=UK 7,,,,,,,
Product,Shoes/Men's Shoes/Cross Training Shoes,N,Adidas ,406483,2-7 Business  Days,7,6,5,IND406483,Adidas Men Black Springblade Drive M Running Shoes,2,1,BuyAdidas Men Black Springblade Drive M Running Shoes Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,4,"17,999",3,"17,999",,Y,,,By Product,Adidas Men Black Springblade Drive M Running Shoes,,"http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Black-Springblade-Drive-M-Running-Shoes_0fa12cfe1e34929239995b2d25fc915a_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Black-Springblade-Drive-M-Running-Shoes_a8d5e0d119122daf7ba4cc0e3be691f7_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Black-Springblade-Drive-M-Running-Shoes_22bbfe9b19552dc181f5d2dc2b1a77f9_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Black-Springblade-Drive-M-Running-Shoes_b139bf4f3e16c0e44abc3c432c61ceaa_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Black-Springblade-Drive-M-Running-Shoes_71f550fa62344743f5dabd004852cf70_images_mini.jpg",
SKU,,,,1402280,,,,,IND1402280,,,,,,,,,,Y,61,,,[S]Size=UK 8,,,,,,,
SKU,,,,2691371,,,,,IND2691371,,,,,,,,,,Y,5,,,[S]Size=UK 6,,,,,,,
Product,Shoes/Men's Shoes/Cross Training Shoes,N,Adidas ,406482,2-7 Business  Days,7,6,5,IND406482,Adidas Men Red Springblade Drive M Running Shoes,2,1,BuyAdidas Men Red Springblade Drive M Running Shoes Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,4,"17,999",3,"17,999",,Y,,,By Product,Adidas Men Red Springblade Drive M Running Shoes,,"http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Red-Springblade-Drive-M-Running-Shoes_3579d353e98ef86b79f4154e1950f80a_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Red-Springblade-Drive-M-Running-Shoes_22acbb03cc4db32dcc681dd6a363ab98_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Red-Springblade-Drive-M-Running-Shoes_491608bad29600eea1a494618e841d5b_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Red-Springblade-Drive-M-Running-Shoes_2f0ecc69d134d042d5a63a9589811c14_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Red-Springblade-Drive-M-Running-Shoes_c37d0a293e4ca94494fd79486c45e4db_images_mini.jpg",
Product,Shoes/Men's Shoes/Cross Training Shoes,N,Adidas ,420416,2-7 Business  Days,7,6,5,IND420416,Adidas Men Black Yago M Running Shoes,2,1,BuyAdidas Men Black Yago M Running Shoes Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,4,"2,899",3,"2,899",,Y,,,By Product,Adidas Men Black Yago M Running Shoes,,"http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Black-Yago-M-Running-Shoes_90e76638eec0d1103d4b2ab384959c99_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Black-Yago-M-Running-Shoes_b7f3487ea559b48f3d1990d0f4b35ea3_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Black-Yago-M-Running-Shoes_c4c241181f7156799066b9fc5c9964a4_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Black-Yago-M-Running-Shoes_3838a7ca5d0af5cd893d458e6aa861cf_images_mini.jpg","http://assets.myntassets.com/h_480,q_95,w_360/v1/images/style/properties/Adidas-Men-Black-Yago-M-Running-Shoes_4a05bd837c9a2513129bb17407939d08_images_mini.jpg",
SKU,,,,1402281,,,,,IND1402281,,,,,,,,,,Y,55,,,[S]Size=UK 9,,,,,,,
SKU,,,,1357599,,,,,IND1357599,,,,,,,,,,Y,15,,,[S]Size=UK 7,,,,,,,
SKU,,,,1357593,,,,,IND1357593,,,,,,,,,,Y,5,,,[S]Size=UK 7,,,,,,,
