Item Type,Product ID,Product Name,Brand Name,Price,Retail Price,Sale Price,Product Description,Product Code/SKU,Bin Picking Number,Category,Option Set,Product Availability,Current Stock Level,Free Shipping,Sort Order,Meta Description,Page Title,Product Image Description - 1,Product Image Is Thumbnail - 1,Track Inventory,Product Image Sort - 1,Product Image File - 1
Product,,Discus Bags - For Two Discus  ,Nelco Sports,152,152,152,"


",N1109FDNELPRD,NELCOSPORTS,Discus,Discus Bags - For Two Discus  ,15-23 Working days,100,N,-150,Get your hands on the Discus Bags - For Two Discus  . Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Discus Bags - For Two Discus   Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Discus Bags - For Two Discus   Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Option,1,http://www.nelcosport.com/Admin_Shop/mm_bigger/1391593014_DISCUS-BAG-b.jpg
Rule,,[S]Weight =2.000KG,,[FIXED]166,[FIXED]166,[FIXED]166,,N1109FD,NELCOSPORTS,,,,100,,,,,,,,,
Rule,,[S]Weight =1.000KG,,[FIXED]152,[FIXED]152,[FIXED]152,,N1109GD,NELCOSPORTS,,,,100,,,,,,,,,
Product,,Gold,Nelco Sports,6690,6690,6690,"
New red super Discus to meet throwers demand for 80% Rim Weight. A high performance Discus.


",N1105GANELPRD,NELCOSPORTS,Discus,Gold,15-23 Working days,100,N,-150,Get your hands on the Gold. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Gold Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Gold Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Option,1,http://www.nelcosport.com/Admin_Shop/mm_bigger/1424681793_6.jpg
Rule,,"[S]Weight =2.000KG,[S]Size=RIM 87% (IAAF CERTIFIED)",,[FIXED]8890,[FIXED]8890,[FIXED]8890,,N1105GA,NELCOSPORTS,,,,100,,,,,,,,,
Rule,,"[S]Weight =1.750KG,[S]Size=RIM 87% (IAAF CERTIFIED)",,[FIXED]7850,[FIXED]7850,[FIXED]7850,,N1105GB,NELCOSPORTS,,,,100,,,,,,,,,
Rule,,"[S]Weight =1.500KG,[S]Size=RIM 87%",,[FIXED]7850,[FIXED]7850,[FIXED]7850,,N1105GCC,NELCOSPORTS,,,,100,,,,,,,,,
Rule,,"[S]Weight =1.000KG,[S]Size=RIM 87% (IAAF CERTIFIED)",,[FIXED]6690,[FIXED]6690,[FIXED]6690,,N1105GD,NELCOSPORTS,,,,100,,,,,,,,,
Product,,Challenger,Nelco Sports,1440,1440,1440,"
Designed for collegiate and club
competition. Steel rim blue plastic sides with 73% rim weight iaaf




",N1104ACNELPRD,NELCOSPORTS,Discus,Challenger,15-23 Working days,100,N,-150,Get your hands on the Challenger. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Challenger Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Challenger Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Option,1,http://www.nelcosport.com/Admin_Shop/mm_bigger/1424682233_11.jpg
Rule,,[S]Weight =2.000KG,,[FIXED]1930,[FIXED]1930,[FIXED]1930,,N1104AC,NELCOSPORTS,,,,100,,,,,,,,,
Rule,,[S]Weight =1.750KG,,[FIXED]1820,[FIXED]1820,[FIXED]1820,,N1104AAC,NELCOSPORTS,,,,100,,,,,,,,,
Rule,,[S]Weight =1.500KG,,[FIXED]1670,[FIXED]1670,[FIXED]1670,,N1104BC,NELCOSPORTS,,,,100,,,,,,,,,
Rule,,[S]Weight =1.000KG,,[FIXED]1440,[FIXED]1440,[FIXED]1440,,N1104CC,NELCOSPORTS,,,,100,,,,,,,,,
Product,,Lo Spin,Nelco Sports,1670,1670,1670,"





",N1104ANELPRD,NELCOSPORTS,Discus,Lo Spin,15-23 Working days,100,N,-150,Get your hands on the Lo Spin. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Lo Spin Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Lo Spin Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Option,1,http://www.nelcosport.com/Admin_Shop/mm_bigger/1424682073_9.jpg
Rule,,[S]Weight =2.000KG,,[FIXED]2540,[FIXED]2540,[FIXED]2540,,N1104A,NELCOSPORTS,,,,100,,,,,,,,,
Rule,,[S]Weight =1.750KG,,[FIXED]2080,[FIXED]2080,[FIXED]2080,,N1104AA,NELCOSPORTS,,,,100,,,,,,,,,
Rule,,[S]Weight =1.500KG,,[FIXED]2080,[FIXED]2080,[FIXED]2080,,N1104B,NELCOSPORTS,,,,100,,,,,,,,,
Rule,,[S]Weight =1.000KG,,[FIXED]1670,[FIXED]1670,[FIXED]1670,,N1104C,NELCOSPORTS,,,,100,,,,,,,,,
Product,,Replacement Discus Side Plates - Upto 80% rim Weight,Nelco Sports,700,700,700,"
Replacement Side Plates Set for 80% & above Rim Weight Discus. Includes a pair of side plates + centre weight and screw. For Lo-Spin, Challenger, Popular Competition & Indiano. Please mention discus name and details while ordering.


",N1100RLSNELPRD,NELCOSPORTS,Discus,Replacement Discus Side Plates - Upto 80% rim Weight,15-23 Working days,100,N,-150,Get your hands on the Replacement Discus Side Plates - Upto 80% rim Weight. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Replacement Discus Side Plates - Upto 80% rim Weight Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Replacement Discus Side Plates - Upto 80% rim Weight Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Option,1,http://www.nelcosport.com/Admin_Shop/mm_bigger/1409657036_Spare Plates - LoSpin.jpg
Product,,Popular Competition Wood - Brass Rim,Nelco Sports,1480,1480,1480,"
Brass Rim Sheesham Competition Wooden Discus IAAF
",N1106ABNELPRD,NELCOSPORTS,Discus,Popular Competition Wood - Brass Rim,15-23 Working days,100,N,-150,Get your hands on the Popular Competition Wood - Brass Rim. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Popular Competition Wood - Brass Rim Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Popular Competition Wood - Brass Rim Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Option,1,http://www.nelcosport.com/Admin_Shop/mm_bigger/1412158595_POPULAR-WOOD-b.jpg
Rule,,[S]Weight =2.000KG,,[FIXED]2290,[FIXED]2290,[FIXED]2290,,N1106AB,NELCOSPORTS,,,,100,,,,,,,,,
Rule,,[S]Weight =1.750KG,,[FIXED]2160,[FIXED]2160,[FIXED]2160,,N1106AAB,NELCOSPORTS,,,,100,,,,,,,,,
Rule,,[S]Weight =1.500KG,,[FIXED]2060,[FIXED]2060,[FIXED]2060,,N1106BB,NELCOSPORTS,,,,100,,,,,,,,,
Rule,,[S]Weight =1.000KG,,[FIXED]1480,[FIXED]1480,[FIXED]1480,,N1106BC,NELCOSPORTS,,,,100,,,,,,,,,
Product,,Gen-X (TP),Nelco Sports,335,335,335,"

",N2008TPM4NELPRD,NELCOSPORTS,Thigh Pad ,Gen-X (TP),15-23 Working days,100,N,-150,Get your hands on the Gen-X (TP). Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Gen-X (TP) Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Gen-X (TP) Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Option,1,http://www.nelcosport.com/Admin_Shop/mm_bigger/1387172588_not-ava.jpg
Rule,,[S]Size= - Mens,,[FIXED]335,[FIXED]335,[FIXED]335,,N2008TPM4,NELCOSPORTS,,,,100,,,,,,,,,
Rule,,[S]Size= - Youth,,[FIXED]335,[FIXED]335,[FIXED]335,,N2008TPY2,NELCOSPORTS,,,,100,,,,,,,,,
Rule,,[S]Size= - Boys,,[FIXED]335,[FIXED]335,[FIXED]335,,N2008TPB2,NELCOSPORTS,,,,100,,,,,,,,,
