productcode,Description,imageurl,size,productname
AT-507,Collapsible Aluminimum,http://www.niviasports.com/basketball/at_507.png,,Ball Trolley
VB-482,Size: 5,http://www.niviasports.com/volleyball/hi-grip.png,,Hi-Grip
"BB-634, 635, 633","It is designed for recreational play features a high performance natural rubber cover. It helps build better technique and form for shooting passing dribbling and rebounding.
          
          Size(s) - 765","http://www.niviasports.com/basketball/europa.png,basketball/europa_sub.png",,Europa
"BB-632, 631, 630","It is designed for recreational play features a high performance natural rubber cover. It helps build better technique and form for shooting passing dribbling and rebounding.
          
          Size(s) - 321","http://www.niviasports.com/basketball/europa-blue.png,basketball/europa-blue-sub.png",,Europa
FB-292,Official Match Ball of Santosh Trophy2011 Assam          Size - 5,http://www.niviasports.com/football/footballs/shining-star.png,,Shining Star
VB-470,Size : 5,http://www.niviasports.com/volleyball/pu2-5000.png,,PU - 5000
VB-475,Size: 5,http://www.niviasports.com/volleyball/flash.png,,Flash 
VB-496,Size: 5,http://www.niviasports.com/volleyball/g2020.png,,G-2020
SB-522,Size(s): 3,http://www.niviasports.com/otherballs/shootingball3.png,,Shooting Ball
FB-293,"
          
                    Size - 5",http://www.niviasports.com/football/footballs/shining-star_2.png,,Shining Star 2022 
GG-984,Super Stretchable MIcro LeaterGG-984MGG-985LGG-986XL,http://www.niviasports.com/accessories/gg_984.png,,Cromo
GG-921,Genuine Leather-Extra WrapGG-921LGG-922M,http://www.niviasports.com/accessories/gg_921.png,,Pro Wrap
GG-987,Micro Leather With Extra SupportGG-987MGG-988LGG-989XL,http://www.niviasports.com/accessories/gg_987.png,,Sniper
"GG-885, 86, 87",Super Stretchable Micro LeatherGG-885MGG-886LGG-887XL,http://www.niviasports.com/accessories/gg_885.png,,Python
GG-890,GG-890LGG-847M,http://www.niviasports.com/accessories/leather-gym.png,,Leather Gym 
GG-923,Dotted Leather Extra GripGG-923LGG-924M,http://www.niviasports.com/accessories/gg_923.png,,Splender
GG-889,,http://www.niviasports.com/accessories/gym-leather.png,,Gym Leather
AS-527,,http://www.niviasports.com/accessories/agility-sticks.png,,Agility Sticks
SL-561,,http://www.niviasports.com/accessories/speed-ladders.png,,Speed Ladders 
