productcode,Description,Category,productname,Image Url1
VB-470,Size : 5,volleyball,PU - 5000,http://www.niviasports.com/volleyball/pu2-5000.png
VB-475,Size: 5,volleyball,Flash ,http://www.niviasports.com/volleyball/flash.png
VB-482,Size: 5,volleyball,Hi-Grip,http://www.niviasports.com/volleyball/hi-grip.png
VB-477,Size: 5,volleyball,Classic,http://www.niviasports.com/volleyball/classic.png
FB-281," Size-5, 4",football,Classic,http://www.niviasports.com/football/footballs/classic2.png
AT-507,Collapsible Aluminimum,basketball,Ball Trolley,http://www.niviasports.com/basketball/at_507.png
FB-293,"
          ,
          ,          Size - 5",football,Shining Star 2022 ,http://www.niviasports.com/football/footballs/shining-star_2.png
FB-292,"Official Match Ball of Santosh Trophy,2011 Assam,          Size - 5",football,Shining Star,http://www.niviasports.com/football/footballs/shining-star.png
FB-360,"
Size-5",football,Latino,http://www.niviasports.com/football/footballs/latino.png
"HB-371, 372, 379","Size(s): Men, Women, Sub-Junior",otherballs,Hand Ball,http://www.niviasports.com/otherballs/handball.png
HC-384, ,otherballs,Forever Hocky Ball,http://www.niviasports.com/otherballs/hockey-ball.png
RF-529, ,accessories,Refree Flag,http://www.niviasports.com/accessories/referee-flag.png
CF-528, ,accessories,Corner Flag ,http://www.niviasports.com/accessories/corner-flag.png
SC-559, ,accessories,Soucer Cones ,http://www.niviasports.com/accessories/soucer-cones.png
MC-55,"MC-555,6"",MC-556,9"",MC-557,12"",MC-558,15"",Set of 6 Cones",accessories,Marking Cones,http://www.niviasports.com/accessories/marking-cones.png
DC-560, ,accessories,Dome Cones,http://www.niviasports.com/accessories/dome-cones.png
FT-666, ,accessories,"Football Training
        ",http://www.niviasports.com/accessories/ft_666.png
BR-508,Length 1 mtr.,accessories,"Hurdle Bars
        ",http://www.niviasports.com/accessories/br_508.png
AB-664, ,accessories,"Arm Band
        ",http://www.niviasports.com/accessories/ab_664.png
AS-527, ,accessories,Agility Sticks,http://www.niviasports.com/accessories/agility-sticks.png
GG-984,"Super Stretchable MIcro Leater,GG-984,M,GG-985,L,GG-986,XL",accessories,Cromo,http://www.niviasports.com/accessories/gg_984.png
"GG-885, 86, 87","Super Stretchable Micro Leather,GG-885,M,GG-886,L,GG-887,XL",accessories,Python,http://www.niviasports.com/accessories/gg_885.png
FB-354, ,football,"
Nivia Storm",http://www.niviasports.com/football/footballs/storm.png
GG-987,"Micro Leather With Extra Support,GG-987,M,GG-988,L,GG-989,XL",accessories,Sniper,http://www.niviasports.com/accessories/gg_987.png
GG-921,"Genuine Leather-Extra Wrap,GG-921,L,GG-922,M",accessories,Pro Wrap,http://www.niviasports.com/accessories/gg_921.png
GG-890,"GG-890,L,GG-847,M",accessories,Leather Gym ,http://www.niviasports.com/accessories/leather-gym.png
GG-923,"Dotted Leather Extra Grip,GG-923,L,GG-924,M",accessories,Splender,http://www.niviasports.com/accessories/gg_923.png
GG-889, ,accessories,Gym Leather,http://www.niviasports.com/accessories/gym-leather.png
GG-888, ,accessories,Gym Dragon,http://www.niviasports.com/accessories/gym-dragon.png
SH- 551,"SH-551,12"",SH-552,9"",SH-553,6""",accessories,Speed Hurdles,http://www.niviasports.com/accessories/speed-hurdles.png
SL-561, ,accessories,Speed Ladders ,http://www.niviasports.com/accessories/speed-ladders.png
ac-609,Non Megnetic With Marker,accessories,"Tactic Board
        ",http://www.niviasports.com/accessories/ac_609.png
ac-608,With Magnetic Dots,accessories,"Tactic Board
        ",http://www.niviasports.com/accessories/ac_608.png
tb-860,"Sizes: S, M, L, XL",accessories,"traning bib
        ",http://www.niviasports.com/accessories/tb_860.png
FR-563, ,accessories,Frisbee,http://www.niviasports.com/accessories/frisbee.png
TT-816,With Magnetic Platform ,accessories,Tummy Twister,http://www.niviasports.com/accessories/twister.png
RC-526, ,accessories,Referee Cards,http://www.niviasports.com/accessories/referee-cards.png
PA-554, ,accessories,Passing Arc,http://www.niviasports.com/accessories/passing-arc.png
"NB-619, (H-Stitched), 620 (Moled)",Size: 5,otherballs,Netball,http://www.niviasports.com/otherballs/netball.png
KB-621,"It is a great option for players of any level, offering a great combination of quality and value for money and features:,
          ,Size: 5",otherballs,Korf Ball ,http://www.niviasports.com/otherballs/korfball.png
"TB-370S (Plain), 369 (Grained)",Size : 5,otherballs,Throw Ball,"http://www.niviasports.com/otherballs/throwball.png,otherballs/throwball2.png"
SB-522,Size(s): 3,otherballs,Shooting Ball,http://www.niviasports.com/otherballs/shootingball3.png
SB-520,Size(s): 3,otherballs,Shooting Ball,http://www.niviasports.com/otherballs/shootingball2.png
SB-519,Size(s): 3,otherballs,Shooting Ball,http://www.niviasports.com/otherballs/shootingball1.png
RB-542,"It is made of top-quality natural rubber and a deep buffed surface and sponge rubber cushioning for better gripping. This ball uses the water surface to keep the action moving rather than slowing it down.,
          ,Official size & weight specifications,
          ,
          Size: 5",otherballs,Water Polo,"http://www.niviasports.com/otherballs/waterpolo.png,otherballs/waterpolo2.png"
"HB-361, 362, 365","Size(s): Men, Women, Sub-Junior",otherballs,Handball Trainer,http://www.niviasports.com/otherballs/handball-trainer.png
FB-279, Size - 5,football,Torrido,"http://www.niviasports.com/football/footballs/torrido.png,football/footballs/torrido2.png"
FB-276,          Size-5,football,Force Vision,http://www.niviasports.com/football/footballs/force-vision2.png
