productname,Description,productcode,Image Url,Category
Spiral ,Size: 5,VB-540,www.niviasports.com/volleyball/spiral.png,volleyball
Europa,"It is designed for recreational play, features a high performance natural rubber cover. It helps build better technique and form for shooting, passing, dribbling and rebounding.,
          ,
          Size(s) - 7,6,5","BB-634, 635, 633","www.niviasports.com/basketball/europa.png,basketball/europa_sub.png",basketball
Cross World,Rubberized Hand Stitched (Country Color),FB-265,"www.niviasports.com/football/footballs/fb_265.png,football/footballs/fb_265_small.png",football
Trainer," Size - 5, 4 ",FB-280,www.niviasports.com/football/footballs/trainer.png,football
"
Nivia Storm",,FB-354,www.niviasports.com/football/footballs/storm.png,football
Hi-Grip,Size: 5,VB-482,www.niviasports.com/volleyball/hi-grip.png,volleyball
Shining Star 2022 ,"
          ,
          ,          Size - 5",FB-293,www.niviasports.com/football/footballs/shining-star_2.png,football
Classic,Size: 5,VB-477,www.niviasports.com/volleyball/classic.png,volleyball
Shooting Ball,Size(s): 3,SB-520,www.niviasports.com/otherballs/shootingball2.png,otherballs
Shooting Ball,Size(s): 3,SB-522,www.niviasports.com/otherballs/shootingball3.png,otherballs
Corner Flag ,,CF-528,www.niviasports.com/accessories/corner-flag.png,accessories
Throw Ball,Size : 5,"TB-370S (Plain), 369 (Grained)","www.niviasports.com/otherballs/throwball.png,otherballs/throwball2.png",otherballs
Forever Hocky Ball,,HC-384,www.niviasports.com/otherballs/hockey-ball.png,otherballs
Netball,Size: 5,"NB-619, (H-Stitched), 620 (Moled)",www.niviasports.com/otherballs/netball.png,otherballs
Pro Wrap,"Genuine Leather-Extra Wrap,GG-921,L,GG-922,M",GG-921,www.niviasports.com/accessories/gg_921.png,accessories
Agility Sticks,,AS-527,www.niviasports.com/accessories/agility-sticks.png,accessories
Sniper,"Micro Leather With Extra Support,GG-987,M,GG-988,L,GG-989,XL",GG-987,www.niviasports.com/accessories/gg_987.png,accessories
Speed Ladders ,,SL-561,www.niviasports.com/accessories/speed-ladders.png,accessories
Speed Hurdles,"SH-551,12"",SH-552,9"",SH-553,6""",SH- 551,www.niviasports.com/accessories/speed-hurdles.png,accessories
Cromo,"Super Stretchable MIcro Leater,GG-984,M,GG-985,L,GG-986,XL",GG-984,www.niviasports.com/accessories/gg_984.png,accessories
Python,"Super Stretchable Micro Leather,GG-885,M,GG-886,L,GG-887,XL","GG-885, 86, 87",www.niviasports.com/accessories/gg_885.png,accessories
Leather Gym ,"GG-890,L,GG-847,M",GG-890,www.niviasports.com/accessories/leather-gym.png,accessories
"Football Training
        ",,FT-666,www.niviasports.com/accessories/ft_666.png,accessories
"Hurdle Bars
        ",Length 1 mtr.,BR-508,www.niviasports.com/accessories/br_508.png,accessories
"Arm Band
        ",,AB-664,www.niviasports.com/accessories/ab_664.png,accessories
Frisbee,,FR-563,www.niviasports.com/accessories/frisbee.png,accessories
Tummy Twister,With Magnetic Platform ,TT-816,www.niviasports.com/accessories/twister.png,accessories
Referee Cards,,RC-526,www.niviasports.com/accessories/referee-cards.png,accessories
Splender,"Dotted Leather Extra Grip,GG-923,L,GG-924,M",GG-923,www.niviasports.com/accessories/gg_923.png,accessories
