Item Type,Product ID,Product Name,Brand Name,Price,Retail Price,Sale Price,Product Description,Product Code/SKU,Bin Picking Number,Category,Option Set,Product Availability,Current Stock Level,Free Shipping,Sort Order,Meta Description,Page Title,Product Image Description - 1,Product Image Is Thumbnail - 1,Track Inventory,Product Image Sort - 1,Product Image Sort - 2,Product Image Sort - 3,Product Image Sort - 4,Product Image Sort-5,Product Image Sort-6,Product Image Sort-7,Product Image Sort-8,Product Image File - 1,Product Image File - 2,Product Image File - 3,Product Image File - 4,Product Image File - 5 ,Product Image File - 6,Product Image File - 7,Product Image File - 8,
Product,,"X-Bicycle Shelby 20"" Girl Kids Bicycle",X-Bicycle,6498,6498,,"<ul class=""a-vertical a-spacing-none"">
					
					
						<li><span class=""a-list-item""> Y Shape Steel Frame With Bmx Fork.</span></li>
					
						<li><span class=""a-list-item""> Front And Rear Caliper Brakes.</span></li>
					
						<li><span class=""a-list-item""> Tyre Size 20X1.75.</span></li>
					
						<li><span class=""a-list-item""> Color Steel Rim</span></li>
					
						<li><span class=""a-list-item""> Trainer Wheels, Front Basket Kindly note: This product will be shipped in a semi assembled/dismantled state</span></li>
					
				</ul><tr><td class=""label"">Color</td><td class=""value"">Multi</td></tr><tr class=""item-model-number""><td class=""label"">Item part number</td><td class=""value"">Shelby 20"" Girl</td></tr><tr><td class=""label"">Manufacturer's Minimum Suggested Age (years)</td><td class=""value"">6</td></tr><tr><td class=""lAttr""> </td><td class=""lAttr""> </td></tr>",B00LHS0ISI,PresidencyCycles,"Toys & Games/Bikes, Trikes & Ride-Ons/Balance Bikes","X-Bicycle Shelby 20"" Girl Kids Bicycle",8-13 Working Days,100,N,-250,"Get your hands on the X-Bicycle Shelby 20"" Girl Kids Bicycle. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts","Get your hands on the X-Bicycle Shelby 20"" Girl Kids Bicycle. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts","Get your hands on the X-Bicycle Shelby 20"" Girl Kids Bicycle. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts",Y,By Product,1,2,3,4,5,6,7,8,http://ecx.images-amazon.com/images/I/51ENrYuAEoL.jpg,,,,,,,,
Product,,"B'TWIN Rockrider 340 Mountain Bike, Grey/White",Btwin,16999,16999,,"<tr><td class=""label"">Brand</td><td class=""value"">Btwin</td></tr><tr><td class=""label"">Color</td><td class=""value"">Grey/White</td></tr><tr><td class=""lAttr""> </td><td class=""lAttr""> </td></tr>",B00TUC4E4W,PresidencyCycles,,"B'TWIN Rockrider 340 Mountain Bike, Grey/White",8-13 Working Days,100,N,-250,"Get your hands on the B'TWIN Rockrider 340 Mountain Bike, Grey/White. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts","Get your hands on the B'TWIN Rockrider 340 Mountain Bike, Grey/White. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts","Get your hands on the B'TWIN Rockrider 340 Mountain Bike, Grey/White. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts",Y,By Product,1,2,3,4,5,6,7,8,http://ecx.images-amazon.com/images/I/51uGXFZrV-L.jpg,http://ecx.images-amazon.com/images/I/411sk5iL7DL.jpg,http://ecx.images-amazon.com/images/I/51wqUMeOqFL.jpg,http://ecx.images-amazon.com/images/I/51S6-yYnw6L.jpg,,,,,
Product,,Btwin Rockrider 5.0 Man Mountain Bike -Medium,Btwin,10499,10499,,"<ul class=""a-vertical a-spacing-none"">
					
					
						<li><span class=""a-list-item""> Gender : Male</span></li>
					
						<li><span class=""a-list-item""> Age Range : Adult</span></li>
					
				</ul><tr><td class=""label"">Brand</td><td class=""value"">Btwin</td></tr><tr><td class=""lAttr""> </td><td class=""lAttr""> </td></tr>",B00WMJK9N0,PresidencyCycles,"Sports, Fitness & Outdoors/Cycling/Bikes/Mountain Bikes",Btwin Rockrider 5.0 Man Mountain Bike -Medium,8-13 Working Days,100,N,-250,Get your hands on the Btwin Rockrider 5.0 Man Mountain Bike -Medium. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Get your hands on the Btwin Rockrider 5.0 Man Mountain Bike -Medium. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Get your hands on the Btwin Rockrider 5.0 Man Mountain Bike -Medium. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,8,http://ecx.images-amazon.com/images/I/41k9UL1R0nL.jpg,http://ecx.images-amazon.com/images/I/51fK9FYGmtL.jpg,http://ecx.images-amazon.com/images/I/51ucET9F8PL.jpg,http://ecx.images-amazon.com/images/I/51f%2B9dkFHqL.jpg,http://ecx.images-amazon.com/images/I/41T%2BZk-d%2BbL.jpg,http://ecx.images-amazon.com/images/I/51nrG5AHQhL.jpg,,,
Product,,"Btwin My Bike Mountain Bike, Large (White)",Btwin,6998,6998,6898,"<ul class=""a-vertical a-spacing-none"">
					
					
						<li><span class=""a-list-item""> Wide and comfortable PU MTB saddle</span></li>
					
						<li><span class=""a-list-item""> HL SP200 steel seatpost</span></li>
					
						<li><span class=""a-list-item""> Steel components ensure strength and durability</span></li>
					
						<li><span class=""a-list-item""> Oversize tubes</span></li>
					
						<li><span class=""a-list-item""> Tool-free removable front wheel</span></li>
					
						<li><span class=""a-list-item""> VP flat pedals with bearings</span></li>
					
						<li><span class=""a-list-item""> Large diameter steel tube</span></li>
					
				</ul><ul class=""a-vertical a-spacing-none"">
						
							<li><span class=""a-list-item"">Wheels: 36 hole aluminium rims to reduce weight</span></li>
						
							<li><span class=""a-list-item"">Semi raised rising position</span></li>
						
							<li><span class=""a-list-item"">Box content: 1 Mountain Bike</span></li>
						
					</ul><tr><td class=""label"">Brand</td><td class=""value"">Btwin</td></tr><tr><td class=""label"">Color</td><td class=""value"">White</td></tr><tr><td class=""label"">Size</td><td class=""value"">Large</td></tr><tr><td class=""label"">Sport</td><td class=""value"">cycling</td></tr><tr><td class=""lAttr""> </td><td class=""lAttr""> </td></tr>",B00LWZ8IGU,PresidencyCycles,"Sports, Fitness & Outdoors/Cycling/Bikes/Mountain Bikes","Btwin My Bike Mountain Bike, Large (White)",8-13 Working Days,100,N,-250,"Get your hands on the Btwin My Bike Mountain Bike, Large (White). Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts","Get your hands on the Btwin My Bike Mountain Bike, Large (White). Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts","Get your hands on the Btwin My Bike Mountain Bike, Large (White). Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts",Y,By Product,1,2,3,4,5,6,7,8,http://ecx.images-amazon.com/images/I/41cBSVLy-NL.jpg,,,,,,,,
Product,,HLX-NMC 1218 Battery Operated Kids Ride On(Blue),HLX-NMC,14999,14999,,"<ul class=""a-vertical a-spacing-none"">
					
					
						<li><span class=""a-list-item""> Sports Car Design</span></li>
					
						<li><span class=""a-list-item""> Front And Rear Led Lights/Broad Seat With Safety Belts</span></li>
					
						<li><span class=""a-list-item""> Musical Horn With Aux Output And Inbuilt Speakers</span></li>
					
						<li><span class=""a-list-item""> Adjustable Volume Controller</span></li>
					
						<li><span class=""a-list-item""> Remote Controller/Age Group: Upto 6 Years Kindly note: This product will be shipped in a semi assembled/dismantled state</span></li>
					
				</ul><tr><td class=""label"">Color</td><td class=""value"">Blue</td></tr><tr class=""item-model-number""><td class=""label"">Item part number</td><td class=""value"">1218 (Blue)</td></tr><tr><td class=""label"">Manufacturer's Minimum Suggested Age (years)</td><td class=""value"">3</td></tr><tr><td class=""lAttr""> </td><td class=""lAttr""> </td></tr>",B00LHRY5LK,PresidencyCycles,,HLX-NMC 1218 Battery Operated Kids Ride On(Blue),8-13 Working Days,100,N,-250,Get your hands on the HLX-NMC 1218 Battery Operated Kids Ride On(Blue). Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Get your hands on the HLX-NMC 1218 Battery Operated Kids Ride On(Blue). Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Get your hands on the HLX-NMC 1218 Battery Operated Kids Ride On(Blue). Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,8,http://ecx.images-amazon.com/images/I/410gfJcvZOL.jpg,,,,,,,,
Product,,"BSA Champ Dora Bicycle, 16-inch (Multicolor)",BSA,5698,5698,,"<ul class=""a-vertical a-spacing-none"">
					
					
						<li><span class=""a-list-item""> Colorful tyres/colorful rims</span></li>
					
						<li><span class=""a-list-item""> Comfy printed saddle</span></li>
					
						<li><span class=""a-list-item""> Attractive bell with crystal decal</span></li>
					
						<li><span class=""a-list-item""> Stylish plastic fenders</span></li>
					
						<li><span class=""a-list-item""> Graphics and colours inspired by dora - the explorer, graphical wheel cart, free detachable water sipper kindly note, this product will be shipped in a semi assembled/dismantled state</span></li>
					
				</ul><tr><td class=""label"">Color</td><td class=""value"">Multicolor</td></tr><tr class=""size-weight""><td class=""label"">Item Weight</td><td class=""value"">20 Kg</td></tr><tr class=""size-weight""><td class=""label"">Product Dimensions</td><td class=""value"">80 x 40 x 20 cm</td></tr><tr class=""item-model-number""><td class=""label"">Item part number</td><td class=""value"">BAA_Champ Dora_MUR_16 inch</td></tr><tr><td class=""label"">Manufacturer's Minimum Suggested Age (years)</td><td class=""value"">3</td></tr><tr><td class=""lAttr""> </td><td class=""lAttr""> </td></tr>",B00LHRXRIM,PresidencyCycles,"Sports, Fitness & Outdoors/Cycling/Bikes/Kids' Bikes/Sports, Fitness & Outdoors/Cycling/Kids' Bikes","BSA Champ Dora Bicycle, 16-inch (Multicolor)",8-13 Working Days,100,N,-250,"Get your hands on the BSA Champ Dora Bicycle, 16-inch (Multicolor). Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts","Get your hands on the BSA Champ Dora Bicycle, 16-inch (Multicolor). Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts","Get your hands on the BSA Champ Dora Bicycle, 16-inch (Multicolor). Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts",Y,By Product,1,2,3,4,5,6,7,8,http://ecx.images-amazon.com/images/I/4186jCuBTFL.jpg,,,,,,,,
Product,,"Hercules Roadeo A-300 21 Speed Bicycle, 26-inch (White/Black)",Hercules,17400,17400,16999,"<ul class=""a-vertical a-spacing-none"">
					
					
						<li><span class=""a-list-item""> Frame - designer 6061 alloy frame with over sized head tube</span></li>
					
						<li><span class=""a-list-item""> Tyres and tubes - innova 26 x 2.0 with av, rim - double wall alloy rims</span></li>
					
						<li><span class=""a-list-item""> Brakes (front) - disc brake, brakes (rear) - v - brake</span></li>
					
						<li><span class=""a-list-item""> Saddle - quick release front tyre and saddle, pedals - alloy pedals, suspension - dual-sport suspension</span></li>
					
						<li><span class=""a-list-item""> Frame height 16.5"", shifter - 21-speed shimano gear system with ezy fire shifters</span></li>
					
				</ul><tr><td class=""label"">Brand</td><td class=""value"">Hercules</td></tr><tr><td class=""label"">Color</td><td class=""value"">White/Black</td></tr><tr><td class=""label"">Material-Type</td><td class=""value"">6061 Alloy Frame</td></tr><tr><td class=""label"">Size</td><td class=""value"">26 inch</td></tr><tr><td class=""label"">Sport</td><td class=""value"">cycling</td></tr><tr><td class=""lAttr""> </td><td class=""lAttr""> </td></tr>",B00MWUGTVU,PresidencyCycles,"Sports, Fitness & Outdoors/Cycling/Bikes","Hercules Roadeo A-300 21 Speed Bicycle, 26-inch (White/Black)",8-13 Working Days,100,N,-250,"Get your hands on the Hercules Roadeo A-300 21 Speed Bicycle, 26-inch (White/Black). Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts","Get your hands on the Hercules Roadeo A-300 21 Speed Bicycle, 26-inch (White/Black). Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts","Get your hands on the Hercules Roadeo A-300 21 Speed Bicycle, 26-inch (White/Black). Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts",Y,By Product,1,2,3,4,5,6,7,8,http://ecx.images-amazon.com/images/I/41jKn-PfrJL.jpg,http://ecx.images-amazon.com/images/I/41DCVbz74-L.jpg,,,,,,,
Product,,"BSA Champ Dora 14"" Bicycle",BSA,4598,4598,,"<ul class=""a-vertical a-spacing-none"">
					
					
						<li><span class=""a-list-item""> Colourful Tyres/Mag plastic rims</span></li>
					
						<li><span class=""a-list-item""> Comfy Printed Saddle</span></li>
					
						<li><span class=""a-list-item""> Attractive Bell With Crystal Decal</span></li>
					
						<li><span class=""a-list-item""> Stylish Plastic Fenders</span></li>
					
						<li><span class=""a-list-item""> Graphics &amp; Colours Inspired By Dora - The Explorer, Graphical Wheel Cart, Free Detachable Water Sipper Kindly note: This product will be shipped in a semi assembled/dismantled state. Minor help from a local mechanic suggested for some cycles.</span></li>
					
				</ul><tr><td class=""label"">Color</td><td class=""value"">Multi</td></tr><tr class=""size-weight""><td class=""label"">Item Weight</td><td class=""value"">399 g</td></tr><tr class=""size-weight""><td class=""label"">Product Dimensions</td><td class=""value"">80 x 40 x 20 cm</td></tr><tr class=""item-model-number""><td class=""label"">Item part number</td><td class=""value"">Dora 14""</td></tr><tr><td class=""label"">Manufacturer's Minimum Suggested Age (years)</td><td class=""value"">3</td></tr><tr><td class=""lAttr""> </td><td class=""lAttr""> </td></tr>",B00LHRXP4I,PresidencyCycles,"Toys & Games/Bikes, Trikes & Ride-Ons/Kids' Bikes & Accessories/Kids' Bikes","BSA Champ Dora 14"" Bicycle",8-13 Working Days,100,N,-250,"Get your hands on the BSA Champ Dora 14"" Bicycle. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts","Get your hands on the BSA Champ Dora 14"" Bicycle. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts","Get your hands on the BSA Champ Dora 14"" Bicycle. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts",Y,By Product,1,2,3,4,5,6,7,8,http://ecx.images-amazon.com/images/I/41W2jFJko3L.jpg,,,,,,,,
Product,,Hero Cycles Octane Dtb Mountain Bike,Hero,9149,9149,8599,"<ul class=""a-vertical a-spacing-none"">
					
					
						<li><span class=""a-list-item""> FRAME : ALLOY 6061 (T4 &amp; T6)/FORK : FULL SUSPENSION</span></li>
					
						<li><span class=""a-list-item""> RIMS: ALLOY RIMS/TYRES 26 X 1.95"", RUBBER</span></li>
					
						<li><span class=""a-list-item""> HANDLEBAR: 600 MM/GRIPS: SOFT PVC</span></li>
					
						<li><span class=""a-list-item""> BRAKES FRONT AND REAR: ALLOY V-BRAKE</span></li>
					
						<li><span class=""a-list-item""> LEFT SHIFTER SHIMANO TOURNEY 3 SPEED REVO SHIFTER/RIGHT SHIFTER SHIMANO TOURNEY 6 SPEED REVO SHIFTER Kindly note: This product will be shipped in a semi assembled/dismantled state</span></li>
					
				</ul><tr><td class=""label"">Bike-Type</td><td class=""value"">Freeride</td></tr><tr><td class=""label"">Brake-Type</td><td class=""value"">V-Brake</td></tr><tr><td class=""label"">Brand</td><td class=""value"">Hero</td></tr><tr><td class=""label"">Frame-Material</td><td class=""value"">steel</td></tr><tr><td class=""lAttr""> </td><td class=""lAttr""> </td></tr>",B00LHROM5Y,PresidencyCycles,"Sports, Fitness & Outdoors/Cycling/Bikes/Mountain Bikes",Hero Cycles Octane Dtb Mountain Bike,8-13 Working Days,100,N,-250,Get your hands on the Hero Cycles Octane Dtb Mountain Bike. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Get your hands on the Hero Cycles Octane Dtb Mountain Bike. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Get your hands on the Hero Cycles Octane Dtb Mountain Bike. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,8,http://ecx.images-amazon.com/images/I/51At-Ae2PoL.jpg,,,,,,,,
Product,,"BSA Champ Star 12"" Bicycle",BSA,4598,4598,,"<ul class=""a-vertical a-spacing-none"">
					
					
						<li><span class=""a-list-item""> Soft spacious saddle/broad pedal with reflectors</span></li>
					
						<li><span class=""a-list-item""> Adjustable handlebar</span></li>
					
						<li><span class=""a-list-item""> Softer handle grip</span></li>
					
						<li><span class=""a-list-item""> Attractive mirror, soft horn</span></li>
					
						<li><span class=""a-list-item""> Sturdy and colourful trainer wheels, colourful basket with playful graphics kindly note, this product will be shipped in a semi assembled/dismantled state</span></li>
					
				</ul><tr><td class=""label"">Color</td><td class=""value"">Multicolor</td></tr><tr class=""size-weight""><td class=""label"">Item Weight</td><td class=""value"">10 Kg</td></tr><tr class=""size-weight""><td class=""label"">Product Dimensions</td><td class=""value"">72 x 40.9 x 21.5 cm</td></tr><tr class=""item-model-number""><td class=""label"">Item part number</td><td class=""value"">BAA_Champ Star_MUR_12 inch</td></tr><tr><td class=""label"">Manufacturer's Minimum Suggested Age(months)</td><td class=""value"">24</td></tr><tr><td class=""lAttr""> </td><td class=""lAttr""> </td></tr>",B00LHRWUD0,PresidencyCycles,"Sports, Fitness & Outdoors/Cycling/Bikes/Kids' Bikes/Sports, Fitness & Outdoors/Cycling/Kids' Bikes","BSA Champ Star 12"" Bicycle",8-13 Working Days,100,N,-250,"Get your hands on the BSA Champ Star 12"" Bicycle. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts","Get your hands on the BSA Champ Star 12"" Bicycle. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts","Get your hands on the BSA Champ Star 12"" Bicycle. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts",Y,By Product,1,2,3,4,5,6,7,8,http://ecx.images-amazon.com/images/I/41YxpRfwjRL.jpg,,,,,,,,
