MRP,productname,description1,,id,imgurl
"
		Rs.2,700.00			",Studion Stretch Mat - Foldable,"    




	     ",,496,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/Studion_aerobic__5051b6902714f.jpg
"
		Rs.2,850.00			",Aeromic Pouch Belts - Glitter & Zipper,"    




	     ",,699,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/Aeromic_Pouch_Be_5211dbd2bcb41.jpg
"
		Rs.5,850.00			",Studion mat wall storage hooks,"    




	     ",,498,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/Studion_mat_wall_5051ba6bc6dc9.jpg
"
		Rs.2,250.00			",Aeromic Pouch Belt - Arm Pouch,"    




	     ",,698,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/Aeromic_Pouch_Be_5211db283064e.jpg
"
		Rs.22,500.00			",E-Mic by Aeromic,"    




	     ",,697,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/E_Mic_by_Aeromic_5211d9f027dad.jpg
"
		Rs.18,750.00			",Shure Transmitter & Receiver,"    




	     ",,696,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/Shure_Transmitte_5211d9883d1c9.gif
"
		Rs.4,950.00			",Additional 10 Kg BP Plates,"    




	     ",,328,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/10_Kg_BP_Plates_4ef1932416ec5.jpg
"
		Rs.1,800.00			",SKLZ Trainer Mat - 180cm,"    




	     ",,700,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/SKLZ_Trainer_Mat_5211eb3e18ad9.jpg
"
		Rs.2,250.00			",Studion Yoga Mat,"    




	     ",,499,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/Studion_Yoga_Mat_5051bd6758bd1.jpg
"
		Rs.3,000.00			",Functional Risers (Pair),"    




	     ",,695,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/Functional_Riser_5211d59f09f2e.jpg
"
		Rs.82,500.00			",Smart Bar Rack (holds 20 sets),"    




	     ",,711,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/Smart_Bar_Rack___521203e511af2.jpg
"
		Rs.18,750.00			",BODYPUMP Les Mills SMARTBAR™,"    




	     ",,504,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/BODYPUMP_Les_Mil_5073d3f557dd1.jpg
"
		Rs.39,000.00			",BODYPUMP Les Mills SMARTBAR™ Rack Holds 20 sets,"    




	     ",,505,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/BODYPUMP_Les_Mil_5073d4dbd7c67.jpg
"
		Rs.10,500.00			",BODYPUMP Les Mills SMARTBAR™ 10kg plate,"    




	     ",,506,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/BODYPUMP_Les_Mil_5073d65a578f3.jpg
"
		Rs.10,200.00			",Studion Double Grip Medicine balls 7kg,"    




	     ",,501,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/Studion_Double_G_5051c06438a69.jpg
"
		Rs.11,100.00			",Studion Double Grip Medicine balls 8kg,"    




	     ",,502,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/Studion_Double_G_5051c14441d2a.jpg
"
		Rs.6,150.00			",Studion Boxing gloves 8/10/12 OZ,"    




	     ",,495,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/__Studion_Boxing_5051aec5e6c0a.jpg
"
		Rs.9,150.00			",Studion Double Grip Medicine balls 6kg,"    




	     ",,500,http://www.professionalfitness.in/components/com_virtuemart/shop_image/product/Studion_Double_G_5051c00fd566a.jpg
