Item Type,Product Name,Brand Name,Product Code,Availability,Price, Description,Images
Product,12T Blue Bell,Kross, KB-002, In Stock,"Rs 3,700","<table class=""attribute"">
										<thead>
						<tr>
							<td colspan=""2"">Specifications</td>
						</tr>
					</thead>
					<tbody>
												<tr>
							<td>Frames</td>
							<td>Mig welded steel frame</td>
						</tr>
												<tr>
							<td>Fork</td>
							<td>Uni-crown MIG welded</td>
						</tr>
												<tr>
							<td>Colours</td>
							<td>Pearl Pink</td>
						</tr>
												<tr>
							<td>Pedals</td>
							<td>Moulded anti-skid body reflectorised pedals</td>
						</tr>
												<tr>
							<td>Brakes</td>
							<td>Moulded brake levers &amp; friction-free cable casings for effective braking</td>
						</tr>
												<tr>
							<td>Handle</td>
							<td>Extra raised handle for comfortable riding with soft grips</td>
						</tr>
												<tr>
							<td>Crank Set</td>
							<td>One piece crank</td>
						</tr>
												<tr>
							<td>Trainer Wheels</td>
							<td>Solid &amp; sturdy training wheels</td>
						</tr>
												<tr>
							<td>Chain Cover</td>
							<td>Colourful plastic chain cover for extra safety</td>
						</tr>
												<tr>
							<td>Accessories</td>
							<td>Beautiful Streamers, Crash Pad, Unbreakable Basket</td>
						</tr>
											</tbody>
									</table>",http://rydercycles.com/image/cache/data/KrossBikes/12T BLUE BELL-500x500.jpg
Product,Bottle Cage - 2,Suncross, SCS-BC-005, In Stock,Rs 220,"<table class=""attribute"">
										<thead>
						<tr>
							<td colspan=""2"">Specifications</td>
						</tr>
					</thead>
					<tbody>
												<tr>
							<td>Weight</td>
							<td>68 Gms</td>
						</tr>
												<tr>
							<td>Material</td>
							<td>Aluminum Alloy</td>
						</tr>
												<tr>
							<td>Colours</td>
							<td>Black</td>
						</tr>
												<tr>
							<td>Code</td>
							<td>KW-317-01</td>
						</tr>
											</tbody>
									</table>",http://rydercycles.com/image/cache/data/Sparesandaccesories/Accesories/SCS-BC-005-500x500.jpg
Product,"Bicycle 20"" Desire Girl",La-Sovereign, DS 20000, In Stock,"Rs 7,650","<table class=""attribute"">
										<thead>
						<tr>
							<td colspan=""2"">Specifications</td>
						</tr>
					</thead>
					<tbody>
												<tr>
							<td>Brakes, Rear, Front</td>
							<td>Front &amp; Rear V Brake</td>
						</tr>
												<tr>
							<td>Crack Mechanisum</td>
							<td>Single Chain Wheel</td>
						</tr>
												<tr>
							<td>Weight</td>
							<td>13.8 kg</td>
						</tr>
												<tr>
							<td>Frames</td>
							<td>Hi Tensile Dual Suspension Steel Frame</td>
						</tr>
												<tr>
							<td>Rims</td>
							<td>Alloy Rims</td>
						</tr>
												<tr>
							<td>Fork</td>
							<td>Suspension Fork</td>
						</tr>
												<tr>
							<td>Saddle</td>
							<td>Comfortable Saddle</td>
						</tr>
												<tr>
							<td>Pedals</td>
							<td>PVC Pedals</td>
						</tr>
												<tr>
							<td>Handle Bar</td>
							<td>MTB Handle Bar</td>
						</tr>
												<tr>
							<td>Wheels</td>
							<td>20</td>
						</tr>
												<tr>
							<td>Tires</td>
							<td>20×1.95</td>
						</tr>
											</tbody>
									</table>",http://rydercycles.com/image/cache/data/LASovereign/20 DESIRE-500x500.jpg
Product,Bottle Cage - 1,Suncross, SCS-BC-004, In Stock,Rs 180,"<table class=""attribute"">
										<thead>
						<tr>
							<td colspan=""2"">Specifications</td>
						</tr>
					</thead>
					<tbody>
												<tr>
							<td>Weight</td>
							<td>78 Gms</td>
						</tr>
												<tr>
							<td>Material</td>
							<td>Aluminum Alloy</td>
						</tr>
												<tr>
							<td>Code</td>
							<td>KW31713</td>
						</tr>
											</tbody>
									</table>",http://rydercycles.com/image/cache/data/Sparesandaccesories/Accesories/SCS-BC-004-500x500.jpg
Product,TRIBAL 20,Suncross, SC0036, In Stock,"Rs 6,895","<table class=""attribute"">
										<thead>
						<tr>
							<td colspan=""2"">Specifications</td>
						</tr>
					</thead>
					<tbody>
												<tr>
							<td>Frames</td>
							<td>V-Brake Compatible</td>
						</tr>
												<tr>
							<td>Size</td>
							<td>10 Inch</td>
						</tr>
												<tr>
							<td>Rims</td>
							<td>Single Wall Alloy Rim 36H</td>
						</tr>
												<tr>
							<td>Brake Set</td>
							<td>Steel V-Brake</td>
						</tr>
												<tr>
							<td>Chain</td>
							<td>1/8 x 88 L</td>
						</tr>
												<tr>
							<td>Fork</td>
							<td>Suncross V-Brake Compatible</td>
						</tr>
												<tr>
							<td>Saddle</td>
							<td>PU Foam</td>
						</tr>
												<tr>
							<td>Bottom Bracket</td>
							<td>Steel</td>
						</tr>
												<tr>
							<td>Pedals</td>
							<td>PVC Platform Type, Large Non-Slip Platform W/Grip</td>
						</tr>
												<tr>
							<td>Handle Bar</td>
							<td>Suncross Steel</td>
						</tr>
												<tr>
							<td>Brake Lever</td>
							<td>Suncross Half Alloy</td>
						</tr>
												<tr>
							<td>Grips</td>
							<td>Soft Rubber Compound,130mm</td>
						</tr>
												<tr>
							<td>Cassette-Freewheel</td>
							<td>18T Full Ball</td>
						</tr>
												<tr>
							<td>Head Set</td>
							<td>Threaded</td>
						</tr>
												<tr>
							<td>Tires</td>
							<td>20x2.125</td>
						</tr>
												<tr>
							<td>Hubs</td>
							<td>Steel 36H</td>
						</tr>
												<tr>
							<td>Seat Post</td>
							<td>Steel 25.4mm x 9''</td>
						</tr>
												<tr>
							<td>Crank Set</td>
							<td>36Tx105 Steel</td>
						</tr>
												<tr>
							<td>Stem</td>
							<td>Suncross Steel Quill</td>
						</tr>
												<tr>
							<td>Seat Clamp</td>
							<td>Bolt</td>
						</tr>
											</tbody>
									</table>",http://rydercycles.com/image/cache/data/Suncross/SC-36-500x500.jpg
Product,SIERRA 20,Suncross, SC0037, In Stock,"Rs 6,325","<table class=""attribute"">
										<thead>
						<tr>
							<td colspan=""2"">Specifications</td>
						</tr>
					</thead>
					<tbody>
												<tr>
							<td>Frames</td>
							<td>V-Brake Compatible</td>
						</tr>
												<tr>
							<td>Size</td>
							<td>13 Inch</td>
						</tr>
												<tr>
							<td>Rims</td>
							<td>Suncross Single Wall Alloy Rim 36H</td>
						</tr>
												<tr>
							<td>Brake Set</td>
							<td>Front Disc Brake, Rear V-Brake</td>
						</tr>
												<tr>
							<td>Chain</td>
							<td>1/8 x 86 L</td>
						</tr>
												<tr>
							<td>Fork</td>
							<td>Suncross V-Brake Compatible</td>
						</tr>
												<tr>
							<td>Saddle</td>
							<td>PU Foam</td>
						</tr>
												<tr>
							<td>Bottom Bracket</td>
							<td>Steel</td>
						</tr>
												<tr>
							<td>Pedals</td>
							<td>PVC Platform Type, Large Non-Slip Platform W/Grip</td>
						</tr>
												<tr>
							<td>Handle Bar</td>
							<td>Suncross Steel</td>
						</tr>
												<tr>
							<td>Brake Lever</td>
							<td>Suncross Half Alloy</td>
						</tr>
												<tr>
							<td>Grips</td>
							<td>Soft Rubber Compound,130mm</td>
						</tr>
												<tr>
							<td>Cassette-Freewheel</td>
							<td>18T</td>
						</tr>
												<tr>
							<td>Head Set</td>
							<td>Threaded</td>
						</tr>
												<tr>
							<td>Tires</td>
							<td>20x2.125</td>
						</tr>
												<tr>
							<td>Hubs</td>
							<td>Steel 36H</td>
						</tr>
												<tr>
							<td>Seat Post</td>
							<td>Steel 25.4mm x 9''</td>
						</tr>
												<tr>
							<td>Crank Set</td>
							<td>36Tx105 Steel</td>
						</tr>
												<tr>
							<td>Stem</td>
							<td>Suncross Steel Quill</td>
						</tr>
												<tr>
							<td>Seat Clamp</td>
							<td>Bolt</td>
						</tr>
											</tbody>
									</table>",http://rydercycles.com/image/cache/data/Suncross/SC-37-500x500.jpg
Product,Cassette Removing & Lockering Tool,Suncross, SCS-KL-9715A, In Stock,Rs 115,"<table class=""attribute"">
										<thead>
						<tr>
							<td colspan=""2"">Specifications</td>
						</tr>
					</thead>
					<tbody>
												<tr>
							<td>Colours</td>
							<td>Black</td>
						</tr>
												<tr>
							<td>Diameter</td>
							<td>23mm</td>
						</tr>
											</tbody>
									</table>",http://rydercycles.com/image/cache/data/Accessories/Bike-Tools/Kitt-15-500x500.jpg
Product,HAZARD S/S,Suncross, SC0018, In Stock,"Rs 8,325","<table class=""attribute"">
										<thead>
						<tr>
							<td colspan=""2"">Specifications</td>
						</tr>
					</thead>
					<tbody>
												<tr>
							<td>Frames</td>
							<td>Steel, Disc &amp; V-Brake Compatible</td>
						</tr>
												<tr>
							<td>Size</td>
							<td>13 Inch</td>
						</tr>
												<tr>
							<td>Rims</td>
							<td>Suncross Double Wall Alloy Rim 36H</td>
						</tr>
												<tr>
							<td>Brake Set</td>
							<td>V-Brake Alloy</td>
						</tr>
												<tr>
							<td>Chain</td>
							<td>MAYA</td>
						</tr>
												<tr>
							<td>Fork</td>
							<td>Suncross Suspension, Disc &amp; V-Brake Compatible</td>
						</tr>
												<tr>
							<td>Saddle</td>
							<td>Suncross</td>
						</tr>
												<tr>
							<td>Bottom Bracket</td>
							<td>Steel</td>
						</tr>
												<tr>
							<td>Pedals</td>
							<td>PVC Platform Type, Large Non-Slip Platform W/Grip</td>
						</tr>
												<tr>
							<td>Handle Bar</td>
							<td>Suncross Steel</td>
						</tr>
												<tr>
							<td>Brake Lever</td>
							<td>Suncross Half Alloy</td>
						</tr>
												<tr>
							<td>Grips</td>
							<td>Soft Rubber Compound,130mm</td>
						</tr>
												<tr>
							<td>Cassette-Freewheel</td>
							<td>18T</td>
						</tr>
												<tr>
							<td>Head Set</td>
							<td>Threaded</td>
						</tr>
												<tr>
							<td>Tires</td>
							<td>24x2.125</td>
						</tr>
												<tr>
							<td>Hubs</td>
							<td>Steel Disc Compatible 36H</td>
						</tr>
												<tr>
							<td>Seat Post</td>
							<td>Suncross Steel 25.4x250mm</td>
						</tr>
												<tr>
							<td>Crank Set</td>
							<td>Single Guard 44Tx170 Steel</td>
						</tr>
												<tr>
							<td>Stem</td>
							<td>Suncross Quill Steel</td>
						</tr>
												<tr>
							<td>Seat Clamp</td>
							<td>Alloy QR</td>
						</tr>
												<tr>
							<td>Other Features</td>
							<td>Also available in 26 Inch ( M.R.P. 8,425.00)</td>
						</tr>
											</tbody>
									</table>",http://rydercycles.com/image/cache/data/Suncross/SC-18-500x500.jpg
Product,Cosmos 21S,Suncross, SC0011, In Stock,"Rs 10,875","<table class=""attribute"">
										<thead>
						<tr>
							<td colspan=""2"">Specifications</td>
						</tr>
					</thead>
					<tbody>
												<tr>
							<td>Frames</td>
							<td>Steel, Full Suspension, V-Brake Compatible, Rack &amp; Fender Mounts</td>
						</tr>
												<tr>
							<td>Size</td>
							<td>16 Inch</td>
						</tr>
												<tr>
							<td>Rims</td>
							<td>Suncross Alloy Rim 36H</td>
						</tr>
												<tr>
							<td>Brake Set</td>
							<td>V-Brakes</td>
						</tr>
												<tr>
							<td>Chain</td>
							<td>Maya</td>
						</tr>
												<tr>
							<td>Fork</td>
							<td>Suncross Suspension Fork, Disc &amp; V-Brake Compatible</td>
						</tr>
												<tr>
							<td>Saddle</td>
							<td>Suncross</td>
						</tr>
												<tr>
							<td>Bottom Bracket</td>
							<td>Steel</td>
						</tr>
												<tr>
							<td>Colours</td>
							<td>Matt Black</td>
						</tr>
												<tr>
							<td>Pedals</td>
							<td>PVC Platform Type, Large Non-Slip Platform W/Grip</td>
						</tr>
												<tr>
							<td>Handle Bar</td>
							<td>Suncross Steel</td>
						</tr>
												<tr>
							<td>Brake Lever</td>
							<td>Half Alloy</td>
						</tr>
												<tr>
							<td>Front Deraileur</td>
							<td>Sunrun, Up Side Pull</td>
						</tr>
												<tr>
							<td>Grips</td>
							<td>Soft Rubber Compound, Smaller Diameter</td>
						</tr>
												<tr>
							<td>Rear Deraileur</td>
							<td>Shimano Tourney RD-TY21</td>
						</tr>
												<tr>
							<td>Cassette-Freewheel</td>
							<td>Shimano Tourney 7-Speed MF-TZ 21</td>
						</tr>
												<tr>
							<td>Head Set</td>
							<td>Threaded</td>
						</tr>
												<tr>
							<td>Tires</td>
							<td>24x1.75</td>
						</tr>
												<tr>
							<td>Hubs</td>
							<td>Steel Hubs 36H</td>
						</tr>
												<tr>
							<td>Seat Post</td>
							<td>Suncross Steel 25.4mm</td>
						</tr>
												<tr>
							<td>Shifters</td>
							<td>Shimano 7-Speed SL-RS35</td>
						</tr>
												<tr>
							<td>Crank Set</td>
							<td>Plastified Coated 48-38-28T</td>
						</tr>
												<tr>
							<td>Stem</td>
							<td>Suncross Quill Steel</td>
						</tr>
												<tr>
							<td>Seat Clamp</td>
							<td>Bolt</td>
						</tr>
												<tr>
							<td>Other Features</td>
							<td>Also available with Front Disc Brake</td>
						</tr>
											</tbody>
									</table>",http://rydercycles.com/image/cache/data/Suncross/SC-11-500x500.jpg
Product,Jasper 26T,Hero Cycle, Jasper 26T, In Stock,"Rs 4,475","<table class=""attribute"">
										<thead>
						<tr>
							<td colspan=""2"">Specifications</td>
						</tr>
					</thead>
					<tbody>
												<tr>
							<td>Frame Size</td>
							<td>Steel Frame - Rigid</td>
						</tr>
												<tr>
							<td>Fork</td>
							<td>N/A</td>
						</tr>
												<tr>
							<td>Mudguards</td>
							<td>Steel</td>
						</tr>
												<tr>
							<td>Saddle</td>
							<td>PU Saddle</td>
						</tr>
												<tr>
							<td>Front Suspension</td>
							<td>N/A</td>
						</tr>
												<tr>
							<td>Pedals</td>
							<td>Reflectorised</td>
						</tr>
												<tr>
							<td>Carrier</td>
							<td>Yes</td>
						</tr>
												<tr>
							<td>Handle Bar</td>
							<td>Double Bend</td>
						</tr>
												<tr>
							<td>Rear Suspension</td>
							<td>N/A</td>
						</tr>
												<tr>
							<td>Speed</td>
							<td>N/A</td>
						</tr>
												<tr>
							<td>Front Deraileur</td>
							<td>N/A</td>
						</tr>
												<tr>
							<td>Grips</td>
							<td>Rigid</td>
						</tr>
												<tr>
							<td>Fenders</td>
							<td>N/A</td>
						</tr>
												<tr>
							<td>Rear Deraileur</td>
							<td>N/A</td>
						</tr>
												<tr>
							<td>BB Set</td>
							<td>Cottered</td>
						</tr>
												<tr>
							<td>Chain Wheel &amp; Crank</td>
							<td>44T X 6.5"" Bent Crank</td>
						</tr>
												<tr>
							<td>Free Wheel</td>
							<td>18 Teeth</td>
						</tr>
												<tr>
							<td>Tyre Size</td>
							<td>26 x 1.75""</td>
						</tr>
												<tr>
							<td>Hubs</td>
							<td>36 Holes</td>
						</tr>
												<tr>
							<td>Stand</td>
							<td>Steel</td>
						</tr>
												<tr>
							<td>Brakeset</td>
							<td>Caliper Brakes</td>
						</tr>
												<tr>
							<td>Trainer Wheels</td>
							<td>N/A</td>
						</tr>
												<tr>
							<td>Basket</td>
							<td>Yes</td>
						</tr>
												<tr>
							<td>Chain Cover</td>
							<td>Plastic</td>
						</tr>
												<tr>
							<td>Dress Guard</td>
							<td>Yes</td>
						</tr>
											</tbody>
									</table>",http://rydercycles.com/image/cache/data/Herocycles/Product2/Jasper 26-500x500.jpg
