SKU,stock,Description,URL,SP,MRP,productname
2143355,Stock Available,,http://www.sportsjam.in/Products/Buy-Sports-Badminton-Badminton-Rackets/Yonex/YONEX-Nanoray-800-Badminton-Racket-Online-India/pid-2143355.aspx,"11,993","18,450",YONEX Nanoray 800 Badminton Racket (Unstrung)
3851115,Stock Available,,http://www.sportsjam.in/Products/Buy-Sports-Badminton-Badminton-Rackets/Yonex/YONEX-Nanoray-Z-Speed-Badminton-Racket-Online-India/pid-3851115.aspx,"13,825","19,750",YONEX Nanoray Z-Speed Badminton Racket
2143355,Stock Available,,http://www.sportsjam.in/Products/Buy-Sports-Badminton-Badminton-Rackets/Yonex/YONEX-Nanoray-800-Badminton-Racket-Online-India/pid-2143355.aspx,"11,993","18,450",YONEX Nanoray 800 Badminton Racket (Unstrung)
2838737,Stock Available,,http://www.sportsjam.in/Products/Buy-Sports-Badminton-Badminton-Rackets/Yonex/YONEX-ArcSaber 11-Badminton-Racket-Online-India/pid-2838737.aspx,"12,345","18,990",YONEX ArcSaber 11 Badminton Racket (Unstrung)
3022113,Stock Available,,http://www.sportsjam.in/Products/Buy-Sports-Badminton-Badminton-Rackets/Yonex/YONEX-ArcSaber FB-Badminton-Racket-Online-India/pid-3022113.aspx,"12,645","19,450",YONEX ArcSaber FB Badminton Racket
1030807,Stock Available,,http://www.sportsjam.in/Products/Buy-Sports-Badminton-Badminton-Rackets/Yonex/YONEX-NanoRay-700RP-Badminton-Racket-Online-India/pid-1030807.aspx,"11,025","15,750",YONEX NanoRay 700RP Badminton Racket
1005593,Stock Available,,http://www.sportsjam.in/Products/Buy-Sports-Badminton-Badminton-Rackets/Li-ning/Li-Ning-Woods-N90-II-Badminton-Racket-Online-India/pid-1005593.aspx,"12,600","21,000",Li-Ning Woods N90-II Badminton Racket (Unstrung)
2143353,Stock Available,,http://www.sportsjam.in/Products/Buy-Sports-Badminton-Badminton-Rackets/Yonex/YONEX-ArcSaber-I-Slash-Badminton-Racket-Online-India/pid-2143353.aspx,"7,445","11,450",YONEX ArcSaber i-Slash Badminton Racket (Unstrung)
984129,Stock Available,,http://www.sportsjam.in/Products/Buy-Sports-Badminton-Badminton-Rackets/Yonex/YONEX-Voltric-80-Badminton-Racket-Online-India/pid-984129.aspx,"11,725","16,750",YONEX Voltric 80 Badminton Racket (Unstrung)
1020667,Stock Available,,http://www.sportsjam.in/Products/Buy-Sports-Squash-Racquet/Prince/Prince-O3-Speedport-Silver-Squash-Racquet-Online-India/pid-1020667.aspx?Rfs=&pgctl=575313&cid=CU00037235,"7,198","11,199",Prince O3 Speedport Silver Squash Racket
3571447,Stock Available,,http://www.sportsjam.in/Products/Buy-Sports-Squash-Squash-Rackets/Dunlop/Dunlop-Biomimetic-Evolution-120-Squash-Racket-Online-India/pid-3571447.aspx,"6,742","8,990",Dunlop Biomimetic Evolution 120 Squash Racket
1033939,Out of Stock ,,http://www.sportsjam.in/Products/Buy-Sports-Squash-Squash-Rackets/Dunlop/Dunlop-Biomimetic-Evolution-130-Squash-Racket-Online-India/pid-1033939.aspx,"5,812","7,750",Dunlop Biomimetic Evolution 130 Squash Racket
3571457,Stock Available,,http://www.sportsjam.in/Products/Buy-Sports-Squash-Squash-Rackets/Karakal/Karakal-Tec-Gel-120-Squash-Racket-Online-India/pid-3571457.aspx,"6,524","8,699",Karakal Tec Gel 120 Squash Racquet
1022416,Stock Available,,http://www.sportsjam.in/Products/Buy-Sports-Squash-Squash-Rackets/Head/Head-Neon-130-Squash-Racket-Online-India/pid-1022416.aspx,"6,074","7,595",Head Neon 130 Squash Racket
3571459,Out of Stock ,,http://www.sportsjam.in/Products/Buy-Sports-Squash-Squash-Rackets/Karakal/Karakal-SX-100-Gel-Squash-Racket-Online-India/pid-3571459.aspx,"6,674","8,899",Karakal SX 100 Gel Squash Racquet
1033940,Stock Available,,http://www.sportsjam.in/Products/Buy-Sports-Squash-Squash-Rackets/Dunlop/Dunlop-Biomimetic-Ultimate-Squash-Racket-Online-India/pid-1033940.aspx,"6,689","9,599",Dunlop Biomimetic Ultimate Squash Racket
1005183,Stock Available,,http://www.sportsjam.in/Products/Buy-Sports-Squash-Squash-Rackets/Prince/Prince-Exo3-Rebel-Squash-Racket-Online-India/pid-1005183.aspx,"10,218","14,599",Prince Exo3 Rebel Squash Racket
1020666,Stock Available,,http://www.sportsjam.in/Products/Buy-Sports-Squash-Squash-Rackets/Prince/Prince-O3-Speedport-Black-Squash-Racket-Online-India/pid-1020666.aspx,"7,198","11,999",Prince O3 Speedport Black Squash Racket
5561366,Stock Available,,http://www.sportsjam.in/Products/Buy-Sports-Squash-Squash-Rackets/Tecnifibre/Tecnifibre-Suprem-Calibur-135-Squash-Racket-Online-India/pid-5561366.aspx,"7,464","12,439",Tecnifibre Suprem Calibur 135 Squash Racket
2152043,Stock Available,,http://www.sportsjam.in/Products/Buy-Sports-Table-Tennis-Table-Tennis-Blades/Butterfly/Butterfly-Amultart-ZL-Carbon-Table-Tennis-Blade-Online-India/pid-2152043.aspx,"14,349","20,500",Butterfly Amultart ZL Carbon Table Tennis Blade
2152041,Stock Available,,http://www.sportsjam.in/Products/Buy-Sports-Table-Tennis-Table-Tennis-Blades/Butterfly/Butterfly-Timo-Boll-ZLC-Table-Tennis-Blade-Online-India/pid-2152041.aspx,"15,359","19,200",Butterfly Timo Boll ZLC Table Tennis Blade
5779344,Stock Available,,http://www.sportsjam.in/Products/Buy-Sports-Table-Tennis-Table-Tennis-Blades/Donic/Donic-Waldner-Legend-Carbon-Table-Tennis-Blade-Online-India/pid-5779344.aspx,"6,836","8,545",DONIC Waldner Legend Carbon Table Tennis Blade
1058454,Stock Available,,http://www.sportsjam.in/Products/Buy-Sports-Squash-Squash-Rackets/Tecnifibre/Tecnifibre-Suprem-NG-130-Squash-Racket-Online-India/pid-1058454.aspx,"6,998","9,999",Tecnifibre Suprem NG 130 Squash Racket
3491789,Stock Available,,http://www.sportsjam.in/Products/Buy-Sports-Table-Tennis-Table-Tennis-Blades/Tibhar/Tibhar-H-3-9-Table-Tennis-Blade-Online-India/pid-3491789.aspx,"8,508","11,345",Tibhar H-3-9 Table Tennis Blade
2152095,Out of Stock ,,http://www.sportsjam.in/Products/Buy-Sports-Table-Tennis-Table-Tennis-Rubber/Butterfly/Butterfly-Spin-Art-Table-Tennis-Rubber-Online-India/pid-2152095.aspx,"4,874","6,500",Butterfly Spin Art 2.1 Table Tennis Rubber
2152043,Stock Available,,http://www.sportsjam.in/Products/Buy-Sports-Table-Tennis-Table-Tennis-Blades/Butterfly/Butterfly-Amultart-ZL-Carbon-Table-Tennis-Blade-Online-India/pid-2152043.aspx,"14,349","20,500",Butterfly Amultart ZL Carbon Table Tennis Blade
2436980,Stock Available,,http://www.sportsjam.in/Products/Buy-Sports-Table-Tennis-Table-Tennis-Rubber/Butterfly/Butterfly-Tenergy-05-FX-Table-Tennis-Rubber-India-Online-Butterfly-Rubber/pid-2436980.aspx,"5,924","8,464",Butterfly Tenergy 05 FX Table Tennis Rubber
1024057,Stock Available,,http://www.sportsjam.in/Products/Buy-Sports-Table-Tennis-Table-Tennis-Blades/Donic/Donic-Waldner-Black-Devil-Table-Tennis-Blade-Online-India/pid-1024057.aspx,"5,689","6,325",DONIC Waldner Black Devil Table Tennis Blade
3491787,Stock Available,,http://www.sportsjam.in/Products/Buy-Sports-Table-Tennis-Table-Tennis-Blades/Tibhar/Tibhar-Texo-C7-Table-Tennis-Blade-Online-India/pid-3491787.aspx,"6,674","8,900",Tibhar Texo C7 Table Tennis Blade
2436982,Stock Available,,http://www.sportsjam.in/Products/Buy-Sports-Table-Tennis-Table-Tennis-Rubber/Butterfly/Butterfly-Tenergy-64-Table-Tennis-Rubber-India-Online-Butterfly-Rubber/pid-2436982.aspx,"5,549","7,400",Butterfly Tenergy 64 Table Tennis Rubber
4955923,Stock Available,,http://www.sportsjam.in/Products/Buy-Sports-Table-Tennis-Table-Tennis-Rubber/Yasaka/Yasaka-Phantom-007-Table-Tennis-Rubber-India-Online-Yasaka-Rubber/pid-4955923.aspx,"1,474","2,099",Yasaka Phantom 007 Table Tennis Rubber
1100630,Stock Available,,http://www.sportsjam.in/Products/Buy-Sports-Table-Tennis-Table-Tennis-Tables/Stag/Stag-Sleek-Table-Tennis-Table-Online-India/pid-1100630.aspx,"16,200","18,000",STAG Sleek Table Tennis Table
1100628,Stock Available,,http://www.sportsjam.in/Products/Buy-Sports-Table-Tennis-Table-Tennis-Tables/Stag/Stag-Center-Fold-Table-Tennis-Table-Online-India/pid-1100628.aspx,"18,900","21,000",STAG Center Fold Table Tennis Table
3145731,Stock Available,,http://www.sportsjam.in/Products/Buy-Sports-Table-Tennis-Table-Tennis-Rubber/Tibhar/Tibhar-Evolution-FX--P-21-Table-Tennis-Rubber-Online-India/pid-3145731.aspx,"4,116","5,490",Tibhar Evolution FX-P 2.1 Table Tennis Rubber
1104609,Stock Available,,http://www.sportsjam.in/Products/Buy-Sports-Table-Tennis-Table-Tennis-Tables/Stiga/Stiga-Superior-Roller-Table-Tennis-Table-Online-India/pid-1104609.aspx,"22,950","27,000",Stiga Superior Roller Table Tennis Table
2217671,Stock Available,,http://www.sportsjam.in/Products/Buy-Sports-Tennis-Tennis-Racquets/Babolat/Babolat-Aeropro-Drive-GT-2013-Tennis-Racquet-Online-Shop-India/pid-2217671.aspx,"16,500","22,000",Babolat Aeropro Drive GT 2013 Tennis Racquet (Unstrung)
2217671,Stock Available,,http://www.sportsjam.in/Products/Buy-Sports-Tennis-Tennis-Racquets/Babolat/Babolat-Aeropro-Drive-GT-2013-Tennis-Racquet-Online-Shop-India/pid-2217671.aspx,"16,500","22,000",Babolat Aeropro Drive GT 2013 Tennis Racquet (Unstrung)
2492463,Stock Available,,http://www.sportsjam.in/Products/Buy-Sports-Tennis-Tennis-Racquets/Babolat/Babolat-Pure-Drive-Roddick-GT-Tennis-Racquet-Online-Shop-India/pid-2492463.aspx,"12,599","18,000",Babolat Pure Drive Roddick GT Tennis Racquet (Unstrung)
3145729,Stock Available,,http://www.sportsjam.in/Products/Buy-Sports-Table-Tennis-Table-Tennis-Rubber/Tibhar/Tibhar-Evolution-EL--P-21-Table-Tennis-Rubber-Online-India/pid-3145729.aspx,"4,116","5,490",Tibhar Evolution EL-P 2.1 Table Tennis Rubber
2492463,Stock Available,,http://www.sportsjam.in/Products/Buy-Sports-Tennis-Tennis-Racquets/Babolat/Babolat-Pure-Drive-Roddick-GT-Tennis-Racquet-Online-Shop-India/pid-2492463.aspx,"12,599","18,000",Babolat Pure Drive Roddick GT Tennis Racquet (Unstrung)
2217671,Stock Available,,http://www.sportsjam.in/Products/Buy-Sports-Tennis-Tennis-Racquets/Babolat/Babolat-Aeropro-Drive-GT-2013-Tennis-Racquet-Online-Shop-India/pid-2217671.aspx,"16,500","22,000",Babolat Aeropro Drive GT 2013 Tennis Racquet (Unstrung)
2631313,Stock Available,,http://www.sportsjam.in/Products/Buy-Sports-Tennis-Tennis-Racquets/Head/Head-YOUTEK-Graphene-Speed-Pro-Tennis-Racquet-Online-Shop-India/pid-2631313.aspx,"13,999","17,075",Head YOUTEK Graphene Speed Pro Tennis Racquet (Unstrung)
