SKU,stock,Description,URL,SP,MRP,productname
2838737,Stock Available,,http://www.sportsjam.in/Products/Buy-Sports-Badminton-Badminton-Rackets/Yonex/YONEX-ArcSaber 11-Badminton-Racket-Online-India/pid-2838737.aspx," 12,345"," 18,990",YONEX ArcSaber 11 Badminton Racket (Unstrung)
2143353,Stock Available,,http://www.sportsjam.in/Products/Buy-Sports-Badminton-Badminton-Rackets/Yonex/YONEX-ArcSaber-I-Slash-Badminton-Racket-Online-India/pid-2143353.aspx," 7,445"," 11,450",YONEX ArcSaber i-Slash Badminton Racket (Unstrung)
3022113,Stock Available,,http://www.sportsjam.in/Products/Buy-Sports-Badminton-Badminton-Rackets/Yonex/YONEX-ArcSaber FB-Badminton-Racket-Online-India/pid-3022113.aspx," 12,645"," 19,450",YONEX ArcSaber FB Badminton Racket
3851115,Stock Available,,http://www.sportsjam.in/Products/Buy-Sports-Badminton-Badminton-Rackets/Yonex/YONEX-Nanoray-Z-Speed-Badminton-Racket-Online-India/pid-3851115.aspx," 13,825"," 19,750",YONEX Nanoray Z-Speed Badminton Racket
2143355,Stock Available,,http://www.sportsjam.in/Products/Buy-Sports-Badminton-Badminton-Rackets/Yonex/YONEX-Nanoray-800-Badminton-Racket-Online-India/pid-2143355.aspx," 11,993"," 18,450",YONEX Nanoray 800 Badminton Racket (Unstrung)
984129,Stock Available,,http://www.sportsjam.in/Products/Buy-Sports-Badminton-Badminton-Rackets/Yonex/YONEX-Voltric-80-Badminton-Racket-Online-India/pid-984129.aspx," 11,725"," 16,750",YONEX Voltric 80 Badminton Racket (Unstrung)
2143355,Stock Available,,http://www.sportsjam.in/Products/Buy-Sports-Badminton-Badminton-Rackets/Yonex/YONEX-Nanoray-800-Badminton-Racket-Online-India/pid-2143355.aspx," 11,993"," 18,450",YONEX Nanoray 800 Badminton Racket (Unstrung)
1030807,Stock Available,,http://www.sportsjam.in/Products/Buy-Sports-Badminton-Badminton-Rackets/Yonex/YONEX-NanoRay-700RP-Badminton-Racket-Online-India/pid-1030807.aspx," 11,025"," 15,750",YONEX NanoRay 700RP Badminton Racket
1020667,Stock Available,,http://www.sportsjam.in/Products/Buy-Sports-Squash-Racquet/Prince/Prince-O3-Speedport-Silver-Squash-Racquet-Online-India/pid-1020667.aspx," 7,198"," 11,199",Prince O3 Speedport Silver Squash Racket
3571447,Stock Available,,http://www.sportsjam.in/Products/Buy-Sports-Squash-Squash-Rackets/Dunlop/Dunlop-Biomimetic-Evolution-120-Squash-Racket-Online-India/pid-3571447.aspx," 6,742"," 8,990",Dunlop Biomimetic Evolution 120 Squash Racket
1033939,Out of Stock ,,http://www.sportsjam.in/Products/Buy-Sports-Squash-Squash-Rackets/Dunlop/Dunlop-Biomimetic-Evolution-130-Squash-Racket-Online-India/pid-1033939.aspx," 5,812"," 7,750",Dunlop Biomimetic Evolution 130 Squash Racket
1033940,Stock Available,,http://www.sportsjam.in/Products/Buy-Sports-Squash-Squash-Rackets/Dunlop/Dunlop-Biomimetic-Ultimate-Squash-Racket-Online-India/pid-1033940.aspx," 6,689"," 9,599",Dunlop Biomimetic Ultimate Squash Racket
,Stock Available,,http://www.sportsjam.in/Products/Buy-Sports-Squash-Squash-Rackets/Tecnifibre/Tecnifibre-Suprem-Calibur-135-Squash-Racket-Online-India/pid-5561366.aspx," 7,464"," 12,439",Tecnifibre Suprem Calibur 135 Squash Racket
1020666,Stock Available,,http://www.sportsjam.in/Products/Buy-Sports-Squash-Squash-Rackets/Prince/Prince-O3-Speedport-Black-Squash-Racket-Online-India/pid-1020666.aspx," 7,198"," 11,999",Prince O3 Speedport Black Squash Racket
1058454,Stock Available,,http://www.sportsjam.in/Products/Buy-Sports-Squash-Squash-Rackets/Tecnifibre/Tecnifibre-Suprem-NG-130-Squash-Racket-Online-India/pid-1058454.aspx," 6,998"," 9,999",Tecnifibre Suprem NG 130 Squash Racket
1005183,Stock Available,,http://www.sportsjam.in/Products/Buy-Sports-Squash-Squash-Rackets/Prince/Prince-Exo3-Rebel-Squash-Racket-Online-India/pid-1005183.aspx," 10,218"," 14,599",Prince Exo3 Rebel Squash Racket
2217671,Stock Available,,http://www.sportsjam.in/Products/Buy-Sports-Tennis-Tennis-Racquets/Babolat/Babolat-Aeropro-Drive-GT-2013-Tennis-Racquet-Online-Shop-India/pid-2217671.aspx," 16,500"," 22,000",Babolat Aeropro Drive GT 2013 Tennis Racquet (Unstrung)
2217671,Stock Available,,http://www.sportsjam.in/Products/Buy-Sports-Tennis-Tennis-Racquets/Babolat/Babolat-Aeropro-Drive-GT-2013-Tennis-Racquet-Online-Shop-India/pid-2217671.aspx," 16,500"," 22,000",Babolat Aeropro Drive GT 2013 Tennis Racquet (Unstrung)
2217671,Stock Available,,http://www.sportsjam.in/Products/Buy-Sports-Tennis-Tennis-Racquets/Babolat/Babolat-Aeropro-Drive-GT-2013-Tennis-Racquet-Online-Shop-India/pid-2217671.aspx," 16,500"," 22,000",Babolat Aeropro Drive GT 2013 Tennis Racquet (Unstrung)
2492463,Stock Available,,http://www.sportsjam.in/Products/Buy-Sports-Tennis-Tennis-Racquets/Babolat/Babolat-Pure-Drive-Roddick-GT-Tennis-Racquet-Online-Shop-India/pid-2492463.aspx," 12,599"," 18,000",Babolat Pure Drive Roddick GT Tennis Racquet (Unstrung)
2492463,Stock Available,,http://www.sportsjam.in/Products/Buy-Sports-Tennis-Tennis-Racquets/Babolat/Babolat-Pure-Drive-Roddick-GT-Tennis-Racquet-Online-Shop-India/pid-2492463.aspx," 12,599"," 18,000",Babolat Pure Drive Roddick GT Tennis Racquet (Unstrung)
