Item Type,Product Name,Brand Name,Price,Retail Price,Sale Price,Product Description,Product Code/SKU,Bin Picking Number,Category,Option Set,Product Availability,Current Stock Level,Free Shipping,Sort Order, Meta Description,Page Title,Product Image Description - 1,Product Image Is Thumbnail - 1,Track Inventory,Product Image Sort - 1,Product Image Sort - 2,Product Image Sort - 3,Product Image Sort - 4,Product Image Sort-5,Product Image Sort-6,Product Image Sort-7,Product Image File - 1,Product Image File - 2,Product Image File - 3,Product Image File - 4,Product Image File - 5 ,Product Image File - 6,Product Image File - 7, 
Product,Standard Shots,Giant, 4390, 4390,,<span id="ctl00_ContentPlaceHolder1_TabContainer1_TabPanel1_lblOverView"></span>;<ul id="ctl00_ContentPlaceHolder1_TabContainer1_TabPanel2_blFeatures" style="line-height:30px">					<li>Ergo cutting and elastic fabrics provide comfort and muscle support</li><li>High Desity Foam Chamois</li><li>Club fit</li>				</ul>;<table class="PageNormalTextSmall" cellpadding="4" cellspacing="0" width="100%">                                                                                        <tr>                                                <td style="font-weight: bold; width: 25%" class="SpecContent">                                                    Sizes                                                </td>                                                <td class="SpecContent">                                                    <span id="ctl00_ContentPlaceHolder1_TabContainer1_TabPanel3_lblSizes">Asia L / Eu/Usa M; Asia Xl / Eu/Usa L; Asia 2Xl / Eu/Usa Xl</span>                                                </td>                                            </tr>                                            <tr>                                                <td style="font-weight: bold" class="SpecContent">                                                    Colors                                                </td>                                                <td class="SpecContent">                                                    <span id="ctl00_ContentPlaceHolder1_TabContainer1_TabPanel3_lblColors"></span>                                                </td>                                            </tr>                                                                                   </table>,STARKENNGIA087169,STARKENN,RIDER GEAR,Standard Shots,8-13 Working Days,100,N,-250,Get your hands on the Standard Shots. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Standard Shots Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Standard Shots Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Option,1,2,3,4,5,6,7,http://www.starkennbikes.com/Admin/ProductImage/s_Pic277201312435.jpg,
SKU,[S]Size= Asia L / Eu/Usa M,,,,,,STARKENNGIA087169AsiaL/Eu/UsaM,STARKENN,,,,100
SKU,[S]Size=  Asia Xl / Eu/Usa L,,,,,,STARKENNGIA087169AsiaXl/Eu/UsaL,STARKENN,,,,100
SKU,[S]Size=  Asia 2Xl / Eu/Usa Xl,,,,,,STARKENNGIA087169Asia2Xl/Eu/UsaXl,STARKENN,,,,100
Product,JOE'S NANO LUBE MTB DRY  30ml,JOE'S, 450, 450,,<span id="ctl00_ContentPlaceHolder1_TabContainer1_TabPanel1_lblOverView"></span>;<table class="PageNormalTextSmall" cellpadding="4" cellspacing="0" width="100%">                                                                                        <tr>                                                <td style="font-weight: bold; width: 25%" class="SpecContent">                                                    Sizes                                                </td>                                                <td class="SpecContent">                                                    <span id="ctl00_ContentPlaceHolder1_TabContainer1_TabPanel3_lblSizes"></span>                                                </td>                                            </tr>                                            <tr>                                                <td style="font-weight: bold" class="SpecContent">                                                    Colors                                                </td>                                                <td class="SpecContent">                                                    <span id="ctl00_ContentPlaceHolder1_TabContainer1_TabPanel3_lblColors"></span>                                                </td>                                            </tr>                                                                                   </table>,STARKENNJOE'S NANO LUBE MTB DRY  30ml,STARKENN,SERVICE GEAR,JOE'S NANO LUBE MTB DRY  30ml,8-13 Working Days,100,N,-250,Get your hands on the JOE'S NANO LUBE MTB DRY  30ml. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the JOE'S NANO LUBE MTB DRY  30ml Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy JOE'S NANO LUBE MTB DRY  30ml Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Option,1,2,3,4,5,6,7,http://www.starkennbikes.com/Admin/ProductImage/s_Pic872014114446.jpg,
Product,Control Tower PRO Floor PUMP,GIANT, 8630, 8630,,<span id="ctl00_ContentPlaceHolder1_TabContainer1_TabPanel1_lblOverView"></span>;<table class="PageNormalTextSmall" cellpadding="4" cellspacing="0" width="100%">                                                                                        <tr>                                                <td style="font-weight: bold; width: 25%" class="SpecContent">                                                    Sizes                                                </td>                                                <td class="SpecContent">                                                    <span id="ctl00_ContentPlaceHolder1_TabContainer1_TabPanel3_lblSizes"></span>                                                </td>                                            </tr>                                            <tr>                                                <td style="font-weight: bold" class="SpecContent">                                                    Colors                                                </td>                                                <td class="SpecContent">                                                    <span id="ctl00_ContentPlaceHolder1_TabContainer1_TabPanel3_lblColors"></span>                                                </td>                                            </tr>                                                                                   </table>,STARKENN610000011,STARKENN,SERVICE GEAR,Control Tower PRO Floor PUMP,8-13 Working Days,100,N,-250,Get your hands on the Control Tower PRO Floor PUMP. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Control Tower PRO Floor PUMP Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Control Tower PRO Floor PUMP Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Option,1,2,3,4,5,6,7,http://www.starkennbikes.com/Admin/ProductImage/s_Pic7720146039.jpg,
Product,VP-J308AM,VP Components, 2000, 2000,,<span id="ctl00_ContentPlaceHolder1_TabContainer1_TabPanel1_lblOverView"></span>;<ul id="ctl00_ContentPlaceHolder1_TabContainer1_TabPanel2_blFeatures" style="line-height:30px">					<li>Material  :  Aluminum.</li><li>Finish  :  Anodized black or silver.</li><li>Diameter  :  Ø31.8 / Ø44- Ø56 / Ø39.8</li><li>Stack height  :  7.3+3=10.3</li><li>Bearings  :  Sealed bearing / Semi-cartridge(MH-P27/P16M)</li><li>Set  :  7 pc.</li><li>Weight  :  120 g.</li><li>Option  :  VP-J308AC Sealed bearing (MH-P27/P16). TW</li>				</ul>;<table class="PageNormalTextSmall" cellpadding="4" cellspacing="0" width="100%">                                                                                        <tr>                                                <td style="font-weight: bold; width: 25%" class="SpecContent">                                                    Sizes                                                </td>                                                <td class="SpecContent">                                                    <span id="ctl00_ContentPlaceHolder1_TabContainer1_TabPanel3_lblSizes">1-1/4”upper + 1-1/2”lower.</span>                                                </td>                                            </tr>                                            <tr>                                                <td style="font-weight: bold" class="SpecContent">                                                    Colors                                                </td>                                                <td class="SpecContent">                                                    <span id="ctl00_ContentPlaceHolder1_TabContainer1_TabPanel3_lblColors"></span>                                                </td>                                            </tr>                                                                                   </table>,STARKENNSPVP-J308AM,STARKENN,SERVICE GEAR,VP-J308AM,8-13 Working Days,0,N,-250,Get your hands on the VP-J308AM. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the VP-J308AM Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy VP-J308AM Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Option,1,2,3,4,5,6,7,http://www.starkennbikes.com/Admin/ProductImage/s_Pic129201363113.jpg,
SKU,[S]Size= 1-1/4”upper + 1-1/2”lower.,,,,,,STARKENNSPVP-J308AM1-1/4”upper+1-1/2”lower.,STARKENN,,,,0
Product,Joe's Super Sealant 125 ml,JOE'S, 530, 530,,<span id="ctl00_ContentPlaceHolder1_TabContainer1_TabPanel1_lblOverView">The world's leading anti-puncture sealant.Scientifically developed to prevent punctures in bicycle wheels.  For use in tubeless tires and inner-tubes. Instantly seals punctures in the tread up to 3 mm. Easy to use spout- fits into all valves (125ml).Contains micro-sealing particles.</span>;<ul id="ctl00_ContentPlaceHolder1_TabContainer1_TabPanel2_blFeatures" style="line-height:30px">					<li>Recommended Amount for 1 mountain bike wheel tubeless or inner-tube:</li><li>60-120 ml for XC and CX wheels.</li><li>120-180 ml for AM; FR and DH tires.</li><li>For effective puncture resistance; add fresh sealant every 3-12 months depending on quantity and weather conditions.</li><li>125 ml bottle is good for 1-2 mountain bike wheels.</li><li>500 ml bottle is good for 3-8 mountain bike wheels.</li>				</ul>;<table class="PageNormalTextSmall" cellpadding="4" cellspacing="0" width="100%">                                                                                        <tr>                                                <td style="font-weight: bold; width: 25%" class="SpecContent">                                                    Sizes                                                </td>                                                <td class="SpecContent">                                                    <span id="ctl00_ContentPlaceHolder1_TabContainer1_TabPanel3_lblSizes">125ml</span>                                                </td>                                            </tr>                                            <tr>                                                <td style="font-weight: bold" class="SpecContent">                                                    Colors                                                </td>                                                <td class="SpecContent">                                                    <span id="ctl00_ContentPlaceHolder1_TabContainer1_TabPanel3_lblColors"></span>                                                </td>                                            </tr>                                                                                   </table>,STARKENNJSS0012,STARKENN,SERVICE GEAR,Joe's Super Sealant 125 ml,8-13 Working Days,100,N,-250,Get your hands on the Joe's Super Sealant 125 ml. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Joe's Super Sealant 125 ml Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Joe's Super Sealant 125 ml Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Option,1,2,3,4,5,6,7,http://www.starkennbikes.com/Admin/ProductImage/s_Pic1792013105213.jpg,
SKU,[S]Size= 125ml,,,,,,STARKENNJSS0012125ml,STARKENN,,,,100
Product,Fr. Derailleur Plate Tcr Black,GIANT, 180, 180,,<span id="ctl00_ContentPlaceHolder1_TabContainer1_TabPanel1_lblOverView"></span>;<table class="PageNormalTextSmall" cellpadding="4" cellspacing="0" width="100%">                                                                                        <tr>                                                <td style="font-weight: bold; width: 25%" class="SpecContent">                                                    Sizes                                                </td>                                                <td class="SpecContent">                                                    <span id="ctl00_ContentPlaceHolder1_TabContainer1_TabPanel3_lblSizes"></span>                                                </td>                                            </tr>                                            <tr>                                                <td style="font-weight: bold" class="SpecContent">                                                    Colors                                                </td>                                                <td class="SpecContent">                                                    <span id="ctl00_ContentPlaceHolder1_TabContainer1_TabPanel3_lblColors"></span>                                                </td>                                            </tr>                                                                                   </table>,STARKENNGIA023169,STARKENN,BIKE GEAR,Fr. Derailleur Plate Tcr Black,8-13 Working Days,100,N,-250,Get your hands on the Fr. Derailleur Plate Tcr Black. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Fr. Derailleur Plate Tcr Black Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Fr. Derailleur Plate Tcr Black Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Option,1,2,3,4,5,6,7,http://www.starkennbikes.com/Admin/ProductImage/,
Product,MTB Chainstay Protector- Small- 253x114x94mm,GIANT, 950, 950,,<span id="ctl00_ContentPlaceHolder1_TabContainer1_TabPanel1_lblOverView"></span>;<table class="PageNormalTextSmall" cellpadding="4" cellspacing="0" width="100%">                                                                                        <tr>                                                <td style="font-weight: bold; width: 25%" class="SpecContent">                                                    Sizes                                                </td>                                                <td class="SpecContent">                                                    <span id="ctl00_ContentPlaceHolder1_TabContainer1_TabPanel3_lblSizes"></span>                                                </td>                                            </tr>                                            <tr>                                                <td style="font-weight: bold" class="SpecContent">                                                    Colors                                                </td>                                                <td class="SpecContent">                                                    <span id="ctl00_ContentPlaceHolder1_TabContainer1_TabPanel3_lblColors"></span>                                                </td>                                            </tr>                                                                                   </table>,STARKENN471100,STARKENN,BIKE GEAR,MTB Chainstay Protector- Small- 253x114x94mm,8-13 Working Days,100,N,-250,Get your hands on the MTB Chainstay Protector- Small- 253x114x94mm. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the MTB Chainstay Protector- Small- 253x114x94mm Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy MTB Chainstay Protector- Small- 253x114x94mm Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Option,1,2,3,4,5,6,7,http://www.starkennbikes.com/Admin/ProductImage/s_Pic306201455841.jpg,
Product,SS Slick Derailleur Cable- - 1.1x2000mm,GIANT, 9760, 9760,,<span id="ctl00_ContentPlaceHolder1_TabContainer1_TabPanel1_lblOverView"></span>;<table class="PageNormalTextSmall" cellpadding="4" cellspacing="0" width="100%">                                                                                        <tr>                                                <td style="font-weight: bold; width: 25%" class="SpecContent">                                                    Sizes                                                </td>                                                <td class="SpecContent">                                                    <span id="ctl00_ContentPlaceHolder1_TabContainer1_TabPanel3_lblSizes"></span>                                                </td>                                            </tr>                                            <tr>                                                <td style="font-weight: bold" class="SpecContent">                                                    Colors                                                </td>                                                <td class="SpecContent">                                                    <span id="ctl00_ContentPlaceHolder1_TabContainer1_TabPanel3_lblColors"></span>                                                </td>                                            </tr>                                                                                   </table>,STARKENN210904,STARKENN,BIKE GEAR,SS Slick Derailleur Cable- - 1.1x2000mm,8-13 Working Days,100,N,-250,Get your hands on the SS Slick Derailleur Cable- - 1.1x2000mm. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the SS Slick Derailleur Cable- - 1.1x2000mm Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy SS Slick Derailleur Cable- - 1.1x2000mm Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Option,1,2,3,4,5,6,7,http://www.starkennbikes.com/Admin/ProductImage/s_Pic306201454014.jpg,
