Item Type,Product Name,Brand Name,Price,Retail Price,Sale Price,Product Description,Product Code/SKU,Bin Picking Number,Category,Option Set,Product Availability,Current Stock Level,Free Shipping,Sort Order, Meta Description,Page Title,Product Image Description - 1,Product Image Is Thumbnail - 1,Track Inventory,Product Image Sort - 1,Product Image Sort - 2,Product Image Sort - 3,Product Image Sort - 4,Product Image Sort-5,Product Image Sort-6,Product Image Sort-7,Product Image File - 1,Product Image File - 2,Product Image File - 3,Product Image File - 4,Product Image File - 5 ,Product Image File - 6,Product Image File - 7, 
Product,Pro Race 229 *,Lapierre, 85500.00, 85500.00,,<ul>							     <li><strong>Size:</strong> <br>S(41cm)</li> 							     <li><strong>Frames:</strong> <br>PRORACE 29" ALLOY SUPREME 6</li> 							        <li><strong>Fork:</strong> <br>ROCKSHOX XC32 29</li> 							       <li><strong>Bottom Bracket</strong><br>Shimano Press-Fit SMBB7141A </li> 							        <li><strong>Crank Set</strong><br>Shimano FCM625EX84X 38x24 170mm (S); 175mm (M;L;XL)</li> 							        <li><strong>Pedal</strong><br>WELLGO LU-C3 with MT3 Clip</li> 							       <li><strong>Front Derailleur</strong><br>Shimano Deore FDM616L6L 34.9mm</li> 							      <li><strong>Rear Derailleur</strong><br>Shimano SLX RDM670SGS-10 Speed</li> 							      <li><strong>Shifters</strong><br>Shimano SLX SLM670 2x10 Speed</li> 							      <li><strong>Cassette-Freewheel</strong><br>Cassette: SRAM PG 1030 10  Speed 11-36T</li> 							       <li><strong>Chain</strong><br>KMC X10 1/2"x11/128" 10 SPEED</li> 							        <li><strong>Rims</strong><br>MACH1 NEO DISC 29" D.WALL 32H</li> 							     <li><strong>Hubs</strong><br>(Front) Formula DC20LW 32H Black QR 9mm; (Rear) Formula DC22LW 32H Black QR 10mm</li> 							     <li><strong>Tires</strong><br>SCHWALBE RAPID ROB PERF 29x2.25 57-622</li> 							    <li><strong>Brake Set</strong><br>SRAM Hydraulic DB1 Black</li> 																					      <li><strong>Handle Bar</strong><br>LAPIERRE RIZER XC Alloy HB-RB11 W: 720mm; R: 15mm; Dia: 31.8mm</li> 							      <li><strong>Grips</strong><br> LAPIERRE Foam Grips Lock-On</li> 							       <li><strong>Stem</strong><br>LAPIERRE ProRace Alloy AS-DC1 7Digree Dia: 31.8mm E: 75mm (S;M); 90mm (L;XL)</li> 							      <li><strong>Saddle</strong><br>SELLE ITALIA X1</li> 							     <li><strong>Seat Post</strong><br>LAPIERRE ProRace DC1 L: 350mm Dia: 31.6mm</li> 																				</ul>,Lapierrehttp://suncrossbikes.com/bike_detail.php?BikeCatId=2,SUNCROSSBIKES, Mountain,Pro Race 229 ,8-13 Working Days,100,N,-200,Get your hands on the Pro Race 229 . Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Pro Race 229  Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Pro Race 229  Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://suncrossbikes.com/script/timthumb.php?src=http://suncrossbikes.com/bikes/images/6336-Pro-Race-229.jpg&w=1300&h=700,
Product,Shaper 300 *,Lapierre, 63500.00, 63500.00,,<ul>							     <li><strong>Size:</strong> <br>S(44cm); M(48cm)</li> 							     <li><strong>Frames:</strong> <br>SHAPER Alloy 7005 </li> 							        <li><strong>Fork:</strong> <br>LAPIERRE Carbon X-F07LAAA Alloy Steerer</li> 							       <li><strong>Bottom Bracket</strong><br>Shimano BBES25B21 </li> 							        <li><strong>Crank Set</strong><br>Shimano FCR453C090XL 50x39x30 170mm (S;M;L); 175mm(XL)</li> 							        <li><strong>Pedal</strong><br>Pedals VP856</li> 							       <li><strong>Front Derailleur</strong><br>Shimano Sora FD3503BL  34.9mm</li> 							      <li><strong>Rear Derailleur</strong><br>Shimano Sora RD3500GS 9 Speed</li> 							      <li><strong>Shifters</strong><br>Shimano Sora SL3503LB; SL3500RA 3x9 Speed / Shimano BLR550</li> 							      <li><strong>Cassette-Freewheel</strong><br>Shimano HG509325 9 Speed 13-25T</li> 							       <li><strong>Chain</strong><br>Shimano HG53110 9 Speed</li> 							        <li><strong>Rims</strong><br>MACH1 CFX 700C 32H</li> 							     <li><strong>Hubs</strong><br>(Front) Shimano Claris HB2400BAL 32H; (Rear) Shimano Claris FH2400BYBL 32H</li> 							     <li><strong>Tires</strong><br>Michelin Dynamic Sport 700x28</li> 							    <li><strong>Brake Set</strong><br>Promax RC459</li> 																					      <li><strong>Handle Bar</strong><br>LAPIERRE AL-110PP W: 620mm; B:10 degree Dia: 25.4mm</li> 							      <li><strong>Grips</strong><br>LAPIERRE DD30B by HERRMANS</li> 							       <li><strong>Stem</strong><br>LAPIERRE Adustable TDS-C217 E: 100mm</li> 							      <li><strong>Saddle</strong><br>SELLE ITALIA Q-BIK FLOW</li> 							     <li><strong>Seat Post</strong><br>LAPIERRE SP-65 Alloy L:350mm Dia: 31.6mm</li> 																				</ul>,Lapierrehttp://suncrossbikes.com/bike_detail.php?BikeCatId=5,SUNCROSSBIKES, City,Shaper 300 ,8-13 Working Days,100,N,-200,Get your hands on the Shaper 300 . Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Shaper 300  Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Shaper 300  Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://suncrossbikes.com/script/timthumb.php?src=http://suncrossbikes.com/bikes/images/9773-Shaper-300-c.jpg&w=1300&h=700,
Product,Audacio 400 TP*,Lapierre, 81500.00, 81500.00,,<ul>							     <li><strong>Size:</strong> <br>S(49cm); M(52cm)</li> 							     <li><strong>Frames:</strong> <br>AUDACIO Alloy 7005</li> 							        <li><strong>Fork:</strong> <br>LAPIERRE Carbon - Alloy Steerer </li> 							       <li><strong>Bottom Bracket</strong><br>Shimano SMBB4600 included with crankset </li> 							        <li><strong>Crank Set</strong><br>Shimano Tiagra FC4603CB090 50x39x30 170mm (XS;S); 172.5mm(M); 175mm (L;XL)</li> 														       <li><strong>Front Derailleur</strong><br>Shimano Tiagra FD4603BL 34.9mm</li> 							      <li><strong>Rear Derailleur</strong><br>Shimano Tiagra RD4601GS 10 Speed</li> 							      <li><strong>Shifters</strong><br>Shimano Tiagra ST4603L200IX; ST4600RIX 3x10 Speed </li> 							      <li><strong>Cassette-Freewheel</strong><br>Shimano Tiagra CS460010125 10 Speed 11-25T</li> 							       <li><strong>Chain</strong><br>KMC X10 1/2x11/128 Inch 10 Speed</li> 																					     <li><strong>Tires</strong><br>MICHELIN DYNAMIC SPORT 700x25</li> 							    <li><strong>Brake Set</strong><br>Shimano Tiagra BR4600</li> 																					      <li><strong>Handle Bar</strong><br>Ritchey Comp Curve W: 400mm(XS); 420mm(S;M;L); 440mm (XL)</li> 														       <li><strong>Stem</strong><br>Ritchey 4 Axis 6 degree  Dia: 31.8mm E:90mm(XS;S); 100mm(M); 110mm(L); 120mm(XL)</li> 							      <li><strong>Saddle</strong><br>SELLE ITALIA X1</li> 							     <li><strong>Seat Post</strong><br>Ritchey 2 Bolts L:300mm(XS;S;M) 400mm(L;XL) Dia: 31.6mm</li> 																				</ul>,Lapierrehttp://suncrossbikes.com/bike_detail.php?BikeCatId=4,SUNCROSSBIKES, Road,Audacio 400 TP,8-13 Working Days,100,N,-200,Get your hands on the Audacio 400 TP. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Audacio 400 TP Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Audacio 400 TP Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://suncrossbikes.com/script/timthumb.php?src=http://suncrossbikes.com/bikes/images/1733-Audacio-400-TP-c.jpg&w=1300&h=700,
Product,Sensium 100 CP *,Lapierre, 110000.00, 110000.00,,<ul>							     <li><strong>Size:</strong> <br>S(49cm); M(52cm); L(55cm)</li> 							     <li><strong>Frames:</strong> <br>SENSIUM Carbon</li> 							        <li><strong>Fork:</strong> <br>LAPIERRE Carbon - Carbon Steerer </li> 							       <li><strong>Bottom Bracket</strong><br>Shimano SMBB7141B Press-Fit</li> 							        <li><strong>Crank Set</strong><br>Shimano Tiagra FC4650CX04 50x34 170mm (XS;S); 172.5mm(M); 175mm(L;XL)</li> 														       <li><strong>Front Derailleur</strong><br>Shimano Tiagra FD4600BL 34.9mm</li> 							      <li><strong>Rear Derailleur</strong><br>Shimano Tiagra RD4601SS 10 Speed</li> 							      <li><strong>Shifters</strong><br>Shimano Tiagra ST4600L200ICX; ST4600RICX 2x10 Speed </li> 							      <li><strong>Cassette-Freewheel</strong><br>Shimano Tiagra CS460010228 10 Speed 12-28T</li> 							       <li><strong>Chain</strong><br>KMC X10 1/2x11/128 Inch 10 Speed</li> 							        <li><strong>Rims</strong><br>Shimano WHR 501</li> 														     <li><strong>Tires</strong><br>MICHELIN DYNAMIC SPORT 700x25</li> 							    <li><strong>Brake Set</strong><br>Shimano Tiagra BR4600</li> 																					      <li><strong>Handle Bar</strong><br>Ritchey Comp Curve W: 400mm(XS); 420mm(S;M;L); 440mm (XL)</li> 							      <li><strong>Grips</strong><br> Bartape: LAPIERRE DIGITAL NERO</li> 							       <li><strong>Stem</strong><br>Ritchey 4 Axis 6 degree Dia:31.8mm E:90mm(XS;S); 100mm(M); 110mm(L); 120mm(XL)</li> 							      <li><strong>Saddle</strong><br>SELLE ITALIA X1</li> 							     <li><strong>Seat Post</strong><br>Ritchey 2 Bolts L:300mm(XS;S;M;L) 400mm(XL) Dia: 27.2mm</li> 																				</ul>,Lapierrehttp://suncrossbikes.com/bike_detail.php?BikeCatId=4,SUNCROSSBIKES, Road,Sensium 100 CP ,8-13 Working Days,100,N,-200,Get your hands on the Sensium 100 CP . Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Sensium 100 CP  Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Sensium 100 CP  Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://suncrossbikes.com/script/timthumb.php?src=http://suncrossbikes.com/bikes/images/5824-Sensium-100-CP-c.jpg&w=1300&h=700,
Product,Audacio 200 FR*,Lapierre, 62250.00, 62250.00,,<ul>							     <li><strong>Size:</strong> <br>S(49cm); M(52cm); L(55cm)</li> 							     <li><strong>Frames:</strong> <br>AUDACIO Alloy 7005</li> 							        <li><strong>Fork:</strong> <br>LAPIERRE Carbon - Alloy Steerer </li> 							       <li><strong>Bottom Bracket</strong><br>Shimano BBES25B21</li> 							        <li><strong>Crank Set</strong><br>Shimano Claris FC2403C090XL 50x39x30 170mm (XS;S;M); 175mm (L;XL)</li> 														       <li><strong>Front Derailleur</strong><br>Shimano Claris FD2403BL 34.9mm</li> 							      <li><strong>Rear Derailleur</strong><br>Shimano Claris RD2400GS 8 Speed</li> 							      <li><strong>Shifters</strong><br>Shimano Claris ST2403LIX; ST2400RIX 3x8 Speed </li> 							      <li><strong>Cassette-Freewheel</strong><br>Shimano HG508326 8 Speed 13-26T</li> 							       <li><strong>Chain</strong><br>KMC X72 1/2 Inch x3/32 Inch  7.1mm 8 Speed</li> 							        <li><strong>Rims</strong><br>MACH1 CFX 700C 32H</li> 							     <li><strong>Hubs</strong><br>(Front) Shimano Claris HB2400BAL 32H; (Rear) Shimano Claris FH2400BYBL 32H</li> 							     <li><strong>Tires</strong><br>MICHELIN DYNAMIC SPORT 700x25</li> 							    <li><strong>Brake Set</strong><br>Promax RC841</li> 																					      <li><strong>Handle Bar</strong><br>Ritchey Comp Curve W: 400mm(XS); 420mm(S;M;L); 440mm (XL)</li> 														       <li><strong>Stem</strong><br>Ritchey 4 Axis 6 degree Dia:31.8mm E:90mm(XS;S); 100mm(M); 110mm(L); 120mm(XL)</li> 							      <li><strong>Saddle</strong><br>SELLE ITALIA X1</li> 							     <li><strong>Seat Post</strong><br>Ritchey 2 Bolts L:300mm(XS;S;M) 400mm(L;XL) Dia: 31.6mm</li> 														     <li><strong>Other Features</strong><br>Audacio 200 (Made in France) - 62;250.00</li> 						</ul>,Lapierrehttp://suncrossbikes.com/bike_detail.php?BikeCatId=4,SUNCROSSBIKES, Road,Audacio 200 FR,8-13 Working Days,100,N,-200,Get your hands on the Audacio 200 FR. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Audacio 200 FR Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Audacio 200 FR Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://suncrossbikes.com/script/timthumb.php?src=http://suncrossbikes.com/bikes/images/7003-Audacio-200-c.jpg&w=1300&h=700,
Product,Sensium 300 CP *,Lapierre, 143500.00, 143500.00,,<ul>							     <li><strong>Size:</strong> <br>S(49cm); M(52cm); L(55cm)</li> 							     <li><strong>Frames:</strong> <br>SENSIUM Carbon</li> 							        <li><strong>Fork:</strong> <br>LAPIERRE Carbon - Carbon Steerer </li> 							       <li><strong>Bottom Bracket</strong><br>Shimano SMBB7141B Press-Fit</li> 							        <li><strong>Crank Set</strong><br>Shimano 105 FC5750CX04L 50x34 170mm (XS;S); 172.5mm(M); 175mm(L;XL)</li> 														       <li><strong>Front Derailleur</strong><br>Shimano 105 FD5700BLL 34.9mm</li> 							      <li><strong>Rear Derailleur</strong><br>Shimano Ultegra RD6700ASSG 10 Speed</li> 							      <li><strong>Shifters</strong><br>Shimano 105 ST5700LIALW; ST5700RIALW 2x10 Speed </li> 							      <li><strong>Cassette-Freewheel</strong><br>Shimano Tiagra CS460010228 10 Speed 12-28T</li> 							       <li><strong>Chain</strong><br>Shimano Tiagra CN4601108 10 Speed</li> 							        <li><strong>Rims</strong><br>Mavic Aksium WTS 25C</li> 														     <li><strong>Tires</strong><br>Mavic Aksion 700x25</li> 							    <li><strong>Brake Set</strong><br>Shimano 105 BR5700</li> 																					      <li><strong>Handle Bar</strong><br>Ritchey Comp Curve W: 400mm(XS); 420mm(S;M;L); 440mm (XL)</li> 							      <li><strong>Grips</strong><br> Bartape: LAPIERRE DIGITAL NERO</li> 							       <li><strong>Stem</strong><br>Ritchey 4 Axis WTD 6 degree Dia:31.8mm E:90mm(XS;S); 100mm(M); 110mm(L); 120mm(XL)</li> 							      <li><strong>Saddle</strong><br>SELLE ITALIA X1</li> 							     <li><strong>Seat Post</strong><br>LAPIERRE Carbon SP-297N-ACF FDJ L: 350mm Dia: 27.2mm</li> 																				</ul>,Lapierrehttp://suncrossbikes.com/bike_detail.php?BikeCatId=4,SUNCROSSBIKES, Road,Sensium 300 CP ,8-13 Working Days,100,N,-200,Get your hands on the Sensium 300 CP . Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Sensium 300 CP  Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Sensium 300 CP  Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://suncrossbikes.com/script/timthumb.php?src=http://suncrossbikes.com/bikes/images/4465-Sensium-300-CP-c.jpg&w=1300&h=700,
Product,Sensium 200 CP *,Lapierre, 133500.00, 133500.00,,<ul>							     <li><strong>Size:</strong> <br>M(52cm)</li> 							     <li><strong>Frames:</strong> <br>SENSIUM Carbon</li> 							        <li><strong>Fork:</strong> <br>LAPIERRE Carbon - Carbon Steerer </li> 							       <li><strong>Bottom Bracket</strong><br>Shimano SMBB7141B Press-Fit</li> 							        <li><strong>Crank Set</strong><br>Shimano FCR565CX04L 50x34 170mm (XS;S); 172.5mm(M); 175mm(L;XL)</li> 														       <li><strong>Front Derailleur</strong><br>Shimano 105 FD5700BLL 34.9mm</li> 							      <li><strong>Rear Derailleur</strong><br>Shimano 105 RD5701SSL 10 Speed</li> 							      <li><strong>Shifters</strong><br>Shimano 105 ST5700LIAL; ST5700RIAL 2x10 Speed </li> 							      <li><strong>Cassette-Freewheel</strong><br>Shimano Tiagra CS460010228 10 Speed 12-28T</li> 							       <li><strong>Chain</strong><br>Shimano Tiagra CN4601108 10 Speed</li> 							        <li><strong>Rims</strong><br>Shimano WHR 501</li> 														     <li><strong>Tires</strong><br>MICHELIN DYNAMIC SPORT 700x25</li> 							    <li><strong>Brake Set</strong><br>Shimano BRR561</li> 																					      <li><strong>Handle Bar</strong><br>Ritchey Comp Curve W: 400mm(XS); 420mm(S;M;L); 440mm (XL)</li> 														       <li><strong>Stem</strong><br>Ritchey 4 Axis 6 degree Dia:31.8mm E:90mm(XS;S); 100mm(M); 110mm(L); 120mm(XL)</li> 							      <li><strong>Saddle</strong><br>SELLE ITALIA X1</li> 							     <li><strong>Seat Post</strong><br>Ritchey 2 WTD Bolts L:300mm(XS;S;M;L) 400mm(XL) Dia: 27.2mm</li> 																				</ul>,Lapierrehttp://suncrossbikes.com/bike_detail.php?BikeCatId=4,SUNCROSSBIKES, Road,Sensium 200 CP ,8-13 Working Days,100,N,-200,Get your hands on the Sensium 200 CP . Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Sensium 200 CP  Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Sensium 200 CP  Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://suncrossbikes.com/script/timthumb.php?src=http://suncrossbikes.com/bikes/images/9739-Sensium-200-CP-c.jpg&w=1300&h=700,
Product,Raid 329 *,Lapierre, 51500.00, 51500.00,,<ul>							     <li><strong>Size:</strong> <br>M(44.5cm)</li> 							     <li><strong>Frames:</strong> <br>RAID 29 Inch Alloy 6061 Disc</li> 							        <li><strong>Fork:</strong> <br>RST BLAZE RL PM Disc 100mm 1.1/8 Inch + Remote Lockout</li> 							       <li><strong>Bottom Bracket</strong><br>BSA CH 52-68mm L: 127mm</li> 							        <li><strong>Crank Set</strong><br>Shimano FCM371C422XL 44x32x22 170mm (M); 175mm(L;XL)</li> 							        <li><strong>Pedal</strong><br>WELLGO LU-C3 with MT3 Clip</li> 							       <li><strong>Front Derailleur</strong><br>Shimano Alivio FDM431L6 34.9mm 66-69 degree</li> 							      <li><strong>Rear Derailleur</strong><br>Shimano Deore RDM592SGS Shadow 9 Speed</li> 							      <li><strong>Shifters</strong><br>Shimano Altus SLM370 3x9 Speed</li> 							      <li><strong>Cassette-Freewheel</strong><br>Shimano CSHG20l9134 9 Speed 11-34T</li> 							       <li><strong>Chain</strong><br>KMC X9 1/2 Inch x11/128 Inch 6.6mm 9 Speed</li> 							        <li><strong>Rims</strong><br>MACH1 NEO DISC 29 Inch D.WALL 32H</li> 							     <li><strong>Hubs</strong><br>(Front) TD7F Alloy 32H QR 9mm Disc 6 Bolts; (Rear) KT-MD4R Alloy 32H QR 10x135mm Disc 6 Bolts 8/9 Speed</li> 							     <li><strong>Tires</strong><br>SCHWALBE RAPID ROB PERF 29x2.10 54-622</li> 							    <li><strong>Brake Set</strong><br>Shimano Hydraulic BRM395</li> 																					      <li><strong>Handle Bar</strong><br>LAPIERRE RAID Alloy LCH-N04M W: 700mm; R: 12mm; Dia: 31.8mm</li> 							      <li><strong>Grips</strong><br>HERRMANS DIAMOND Black/Grey with LP Logo</li> 							       <li><strong>Stem</strong><br>LAPIERRE RAID Alloy LCS-7126 Dia: 31.8mm E: 70mm (M); 90mm (L;XL)</li> 							      <li><strong>Saddle</strong><br>LAPIERRE RAID VL-1205 Steel Rail</li> 							     <li><strong>Seat Post</strong><br>LAPIERRE RAID Alloy LCSP-53 L: 350mm Dia: 31.6mm</li> 																				</ul>,Lapierrehttp://suncrossbikes.com/bike_detail.php?BikeCatId=2,SUNCROSSBIKES, Mountain,Raid 329 ,8-13 Working Days,100,N,-200,Get your hands on the Raid 329 . Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Raid 329  Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Raid 329  Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://suncrossbikes.com/script/timthumb.php?src=http://suncrossbikes.com/bikes/images/1688-Raid-329-c.jpg&w=1300&h=700,
Product,SPRINGS SL*,Haibike, 28500.00, 28500.00,,<ul>							     <li><strong>Size:</strong> <br>45 cm</li> 							     <li><strong>Frames:</strong> <br>Aluminum 6061 P.G. </li> 							        <li><strong>Fork:</strong> <br>Suntour M3030; Suspension Coil Spring 63mm </li> 							       <li><strong>Bottom Bracket</strong><br>VP-BC73T</li> 							        <li><strong>Crank Set</strong><br>Shimano FCM131 A; 42-34-24 T with chainguard</li> 							        <li><strong>Pedal</strong><br>VP-992A; MTB pedal</li> 							       <li><strong>Front Derailleur</strong><br>Shimano M190A; Top Pull; Top Swing; 31.8 mm</li> 							      <li><strong>Rear Derailleur</strong><br> Shimano RD-M280; 24-speed</li> 							      <li><strong>Shifters</strong><br>Shimano ST-EF 40; Rapidfire with Gear Display </li> 							      <li><strong>Cassette-Freewheel</strong><br>Shimano HG 30; 11-30 T; 8-speed</li> 							       <li><strong>Chain</strong><br>KMC Z8</li> 							        <li><strong>Rims</strong><br>Ryde Cyber 10; Alu</li> 							     <li><strong>Hubs</strong><br>XLC Alu</li> 							     <li><strong>Tires</strong><br>Kenda 26x2.1</li> 							    <li><strong>Brake Set</strong><br>XLC Aluminum V-Brakes</li> 							    <li><strong>Brake Lever</strong><br>Shimano ST-EF 40; Aluminium Lever </li> 							    <li><strong>Head Set</strong><br>XLC; A-Head</li> 							      <li><strong>Handle Bar</strong><br>Low Riser </li> 							      <li><strong>Grips</strong><br>XLC Sport</li> 							       <li><strong>Stem</strong><br>XLC Alu A-Head</li> 							      <li><strong>Saddle</strong><br>Haibike MTB</li> 							     <li><strong>Seat Post</strong><br>XLC 27.2mm; Aluminum; Clamp with QR</li> 														     <li><strong>Sprocket</strong><br>Shimano HG 31-8; 11-30 T</li>      <li><strong>Spokes</strong><br>Black 2.0 mm</li> 						</ul>,Haibikehttp://suncrossbikes.com/bike_detail.php?BikeCatId=2,SUNCROSSBIKES, Mountain,SPRINGS SL,8-13 Working Days,100,N,-200,Get your hands on the SPRINGS SL. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the SPRINGS SL Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy SPRINGS SL Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://suncrossbikes.com/script/timthumb.php?src=http://suncrossbikes.com/bikes/images/4414-SPRINGS.jpg&w=1300&h=700,
Product,Hawks*,Upland, 47675.00, 47675.00,,<ul>							     <li><strong>Size:</strong> <br>18.5 Inch</li> 							     <li><strong>Frames:</strong> <br>Aluminum Alloy 6061-T6; V-Brake Compatible;  Replaceable Derailleur Hanger</li> 							        <li><strong>Fork:</strong> <br>Upland Aluminum Alloy 6061-T6 Road; V-Brake Compatible</li> 							       <li><strong>Bottom Bracket</strong><br>Shimano SM-FC4500 </li> 							        <li><strong>Crank Set</strong><br>Shimano SORA FC-3450; 50-34T 170mm</li> 							        <li><strong>Pedal</strong><br>Wellgo M085 One Piece Plastic Body &amp; Steel Outer Cage; Cromoly Spindle</li> 							       <li><strong>Front Derailleur</strong><br>Shimano SORA FD-3500 </li> 							      <li><strong>Rear Derailleur</strong><br>Shimano SORA RD-3500 </li> 							      <li><strong>Shifters</strong><br>Shimano SORA SL-R440/441 3x9 speed Rapid Fire Plus </li> 							      <li><strong>Cassette-Freewheel</strong><br>Shimano 9 Speed CS-HG50-9 (12-23T) </li> 							       <li><strong>Chain</strong><br>KMC Super Narrow </li> 							        <li><strong>Rims</strong><br>Alex Rims DA16 700C 32H</li> 							     <li><strong>Hubs</strong><br>Quando Alloy Hubs W/QR 32H </li> 							     <li><strong>Tires</strong><br>Schwalbe Lugano 700x23C </li> 							    <li><strong>Brake Set</strong><br>Artek V-Brakes </li> 							    <li><strong>Brake Lever</strong><br>Artek  </li> 							    <li><strong>Head Set</strong><br>Threadless</li> 							      <li><strong>Handle Bar</strong><br>UPLAND Alloy</li> 							      <li><strong>Grips</strong><br>Vader Lock-on Grips with Alloy Clamps 130mm</li> 							       <li><strong>Stem</strong><br>FSA OS-190; Alloy 6061-T6; 90mm Rise +/-60</li> 							      <li><strong>Saddle</strong><br>Upland </li> 							     <li><strong>Seat Post</strong><br>Upland Alloy 31.6x300mm </li> 							     <li><strong>Seat Clamp</strong><br>Upland Alloy </li> 													</ul>,Uplandhttp://suncrossbikes.com/bike_detail.php?BikeCatId=5,SUNCROSSBIKES, City,Hawks,8-13 Working Days,100,N,-200,Get your hands on the Hawks. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Hawks Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Hawks Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://suncrossbikes.com/script/timthumb.php?src=http://suncrossbikes.com/bikes/images/8875-HAWKS.jpg&w=1300&h=700,
Product,Raid 529 *,Lapierre, 60500.00, 60500.00,,<ul>							     <li><strong>Size:</strong> <br>M(44.5cm)</li> 							     <li><strong>Frames:</strong> <br>RAID 29 Inch Alloy 6061 Disc</li> 							        <li><strong>Fork:</strong> <br>RST BLAZE RL PM Disc 100mm 1.1/8 Inch + Remote Lockout</li> 							       <li><strong>Bottom Bracket</strong><br>Shimano BSA BBES25B13 68mm - 113mm</li> 							        <li><strong>Crank Set</strong><br>Shimano FCM522E224XL 42x32x24 Octalink 175mm</li> 							        <li><strong>Pedal</strong><br>WELLGO LU-C3 with MT3 Clip</li> 							       <li><strong>Front Derailleur</strong><br>Shimano Deore FDM610L6 34.9mm 66-69 degree </li> 							      <li><strong>Rear Derailleur</strong><br>Shimano SLX RDM670SGS-10 Speed</li> 							      <li><strong>Shifters</strong><br>Shimano Deore SLM610 3x10 Speed</li> 							      <li><strong>Cassette-Freewheel</strong><br>SRAM PG 1030 Speed 11-36T</li> 							       <li><strong>Chain</strong><br>KMC X10 1/2 Inch x11/128 Inch 10 Speed</li> 							        <li><strong>Rims</strong><br>MACH1 NEO DISC 29 Inch D.WALL 32H</li> 							     <li><strong>Hubs</strong><br>(Front) TD7F Alloy 32H QR 9mm Disc 6 Bolt; (Rear) KT-MD4R Alloy 32H QR 10x135mm Disc 6 Bolts 8/9/10 Speed</li> 							     <li><strong>Tires</strong><br>SCHWALBE RAPID ROB PERF 29x2.10 54-622</li> 							    <li><strong>Brake Set</strong><br>SRAM Hydraulic DB1 Black</li> 																					      <li><strong>Handle Bar</strong><br>LAPIERRE RAID Alloy LCH-N04M W: 700mm; R: 12mm; Dia: 31.8mm</li> 							      <li><strong>Grips</strong><br>HERRMANS DIAMOND Black/Grey with LP Logo</li> 							       <li><strong>Stem</strong><br>LAPIERRE RAID Alloy LCS-7126 Dia: 31.8mm E: 70mm (M); 90mm (L;XL)</li> 							      <li><strong>Saddle</strong><br>LAPIERRE RAID VL-1205 Steel Rail</li> 							     <li><strong>Seat Post</strong><br>LAPIERRE RAID Alloy LCSP-53 L: 350mm Dia: 31.6mm</li> 																				</ul>,Lapierrehttp://suncrossbikes.com/bike_detail.php?BikeCatId=2,SUNCROSSBIKES, Mountain,Raid 529 ,8-13 Working Days,100,N,-200,Get your hands on the Raid 529 . Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Raid 529  Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Raid 529  Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://suncrossbikes.com/script/timthumb.php?src=http://suncrossbikes.com/bikes/images/5119-Raid-529-c.jpg&w=1300&h=700,
