SKU,Description,Size,imgurl1,productname
 L 27,"
                        	Walker Invalids
                            Code: L 27
                            Sizes Available: Universal
                            Tynor Walker Invalid  is a “state of art”    walking device to allow the patient  flexibility of  a reciprocal walk or a conventional  walker lift walk. It is  designed to provide full weight bearing when one or both legs are physically challenged because of a extreme old age , any nervous disorder, fracture, disease, injury etc.  It provides the patient confidence of side support and grip while walking.  It helps in early ambulation, the patient  becomes  self reliant earlier, which helps in strengthening of the muscles and quick recovery.

 Reciprocating action 
 Conventional function 
 Light weight 
 Strong and durable 
 Enhanced stability and confidence 

Salient feature

 Both Reciprocating &amp; Conventional Action.

 Lock pins – Easy to shift from one to the other action. 
 Reciprocating function – Two out of four always remains on ground gives More stability  and  confidence. 
 No need to lift the walker during walking –for weaker patients. 
 Natural walking action &amp; gait can be maintained by reciprocating action. 
 Conventional walker – stronger or  young patients. 


 Strong, anodized Aluminum Body.

 Rust proof.
 Strong and Durable.
 Pleasing aesthetics.
 Matt silver finish.


 Strong riveted joints.

 Strengthens the walker.
 Ensures no  play.


 Foldable depth 10 cm.

 Easy to carry.
 Easy to fold.
 Can be transported in a car boot.
 Can be stored under a bed.


 Ergonomic designing and materials.

 Foam Hand grip – Extra soft &amp; comfortable , creates less fatigue.
 Accurate ht. adjustment  with 1” increments.
 Smooth adjustments and movements.
 Well selected Pod material, provides cushioning effect during walking.
 High quality workmanship – Improved Aesthetics &amp; functioning.


 Specifications.

 Overall width		: 		56.5 cm
 Height			: 		From 75.8 – to 93.5 cm
 Folded depth		: 		10.0 cm 
 Weight			: 		2.6 Kg 
 Weight capacity	: 		              110 Kg 
 Carton Pack		:		6 Pcs 



						", Universal,http://www.tynorindia.com/wp-content/uploads/2013/05/Walker-Invalid.jpg,Walker Invalids
 C 19,"
                        	Cast Cover
                            Code: C 19
                            Sizes Available: Universal
                            Cast Cover is a generic cast/bandage/wound protector, which makes the fitting water tight and keeps your cast/bandage/wound dry during the shower or otherwise. It is reusable.All casts POP or synthetic and the cast padding underneath needs to be kept dry.

Easy pull on application
No knots, no ties
Free hand or foot movement possible

 
Salient feature

Rubber Diaphragm

Expandable to accommodate any arm /cast Size
Water tight seal
Easy pull on application, No need for tapes or straps


Rigid ring

Easy to wear and remove
Offers a self sealing mechanism without any need for tapes or straps
Easy to clean and maintain


Transparent flexible body

Non porous, water tight
Pleasing aesthetics
 Comfortably houses the arm/cast
Non Sticky, light weight
Soft and flexible film.
Anatomic Shape- hands remain functional.
Durable and long lasting material



						", Universal,http://www.tynorindia.com/wp-content/uploads/2012/07/cast-cover-11.jpg,Cast Cover
 C 06,"
                        	Pouch Arm Sling (Baggy)
                            Code: C 06
                            Sizes Available: CH / S /  M /  L  /  XL
                            Pouch Arm Sling (Baggy) holds supports and immobilizes the sprained, broken or surgically operated arm in the flexion position while it recuperates. A comfortable design ideally suitable for supporting the arm with a cast.

Adjustable
Wrinkle proof
Smart &amp; sleek
Convenaient application.
With thumb cradle

 
Salient feature

Standard design

Supports and covers the arm completely.
Can accommodate bulky casts or bandages


Made of 3 layered P.U. bonded fabric

Durable and non – tearable
Plush looks
Wrinkle free
Soft to feel


Ethafoam shoulder pad and thumb cradle

Improves patient comfort
Adjustable to ease the point of maximum pressure.
Reduces thumb fatigue


Adjustable sling

Angle of flexion can be customized
Offers flexibility in sizing.



						", CH ; S ;  M ;  L  ;  XL,,Pouch Arm Sling (Baggy)
 C 08,"
                        	Cast Shoe
                            Code: C 08
                            Sizes Available: S  /  M  /  L  /  XL
                            Cast shoe replaces the functions of the normal shoe when patient is on plaster cast of the foot. Prevents excessive wear &amp; tear of the cast and reduces impact on the injured foot. It improves gait of the patient on foot cast.

Wearing convenience.
Light weight
Smart and trendy
Sturdy construction
Tapered sole

 
Salient feature

Made from Light weight and water proof materials.

Protects the plaster cast of the foot.
Prevents soiling of the cast
Prevents wetting
Better patient compliance
Prevents wear and tear/ mechanical damage to foot cast.


Tapered sole

Restores normal gait
Improves balance of patient on foot cast



Hypoallergenic, Ensures no rash or allergy even to old age patients
Helps in early ambulation

Hook loop closure system

Ensures flexible sizing
Easy application and removal of the shoe.



						", S  ;  M  ;  L  ;  XL,http://www.tynorindia.com/wp-content/uploads/2012/01/C-08.jpg,Cast Shoe
 C 04,"
                        	Clavicle Brace with Buckle
                            Code: C 04
                            Sizes Available: S  /  M  /  L  /  XL  / CH
                            Clavicle Brace with Buckle is scientifically designed to immobilize, compress and ensure linear union of fractures involving the clavicle bone. It is used where neither neuro vascular disturbances are severe, nor surgery is required.

Linear union
No loosening with time
No abrasion, no rash
Comfortable auxiliary padding

 
Salient feature

Claw buckles

Easy to apply.
No loosening with time.


Ethafoam Buckle pad

Ensures protection from buckle injury.
Improves comfort of the patient.


Soft PU foam padding

Ensures No underarm rash.
Improves comfort of the patient.
Improves compliance of the product.


Figure of eight design with lateral vector

Ensures linear union of the clavicle bone.
Allows the required movement of the area with perfect immobilization of the clavicle bone.
Easy application and tightening of the product.



						", S  ;  M  ;  L  ;  XL  ; CH,http://www.tynorindia.com/wp-content/uploads/2012/01/C-04.jpg,Clavicle Brace with Buckle
 C 05,"
                        	Clavicle brace with Velcro
                            Code: C 05
                            Sizes Available: S  /  M  /  L
                            Clavicle Brace With Velcro Is A Smart, And A Comfortable Brace Designed To Immobilize, Compress &amp; Stabilize Fractures, Involving The Clavicle Bone.

Linear union
Better tightening, more grip
No under arm rash
No buckle biting

 
Salient feature

Reverse buckle fastening with hook loop tapes

Wide flexibility in positioning.
Better tightening
Better grip


Soft PU foam padding

Ensures No underarm rash.
Improves comfort of the patient
Improves compliance of the product .


Figure of eight design with lateral vector

Ensures linear union of the clavicle bone.
Allows the required movement of the area with perfect immobilization of the clavicle bone.
Easy application and tightening of the product



						", S  ;  M  ;  L,http://www.tynorindia.com/wp-content/uploads/2012/01/Clavicle-Brace-with-Velcro.jpg,Clavicle brace with Velcro
 L 21,"
                        	Auxiliary Crutch (Pair)
                            Code: L 21
                            Sizes Available: S / M/ L / XL
                            						", S ; M; L ; XL,http://www.tynorindia.com/wp-content/uploads/2012/04/L21.jpg,Auxiliary Crutch (Pair)
 K-10,"
                        	Medical Arch Orthosis
                            Code: K-10
                            Sizes Available: S/ M/ L
                            Medial Arch insole is designed to support &amp; maintain the arch of the foot. It is designed to distribute the pressure on the foot evenly and naturally. Placed inside the shoe for effective results.

Rigid support to the arch.
Anatomical fit.
Comfortable with feather feel.
Massage spots for the arch.

						", S; M; L,http://www.tynorindia.com/wp-content/uploads/2011/12/Media-Arch.jpg,Medical Arch Orthosis
 I 46,"
                        	Back Rest
                            Code: I 46
                            Sizes Available: Universal
                            Back Rest is a light weight and portable support, which maintains the spine in its neutral position. It is not worn but placed on car seat, chair, bed or floor etc.

Light weight &amp; Portable
Anatomical design
High density molded foam
Washable cover

 
Salient feature

Anatomic design

Maintains the natural low back curve.
Side supports—-hold the body—- enhances comfort.
Relives the anterior pressure on the vertebras.


PU foam 50 density Kg/m3

High resilience – better cushioning.
High density – longer functional life.
Opened cell foam – soft and comfortable.


Smart Cover

Removable and washable.
Plush looks.
Gels with car or office interiors.



						", Universal,http://www.tynorindia.com/wp-content/uploads/2012/02/I-46.jpg,Back Rest
 F 06,"
                        	Thumb Spica Splint
                            Code: F 06
                            Sizes Available: Universal
                            Thumb Spica Splint is a convenient device designed to keep the thumb in the functional i.e. abduction position. It supports the CMC joint and immobilize the MCP joint of the thumb without inhibiting hand movement. Helps reduce pain and inflammation and prevents further thumb injury.

Smart and sleek
Breathable matrix
Removable malleable splint
Allows free movement of the handc

Salient feature

Breathable 3 layered PUF fused fabric 

Durable


Excellent aesthetics
Better comfort


Removable malleable splint

Provides customized abduction of the thumb.
Ensures excellent Immobilization and stability to CMC &amp; MCP joints


Ethafoam lining

Allows full hand and finger movement
Sleek and trendy
Comfortable with better compliance.



						", Universal,http://www.tynorindia.com/wp-content/uploads/2011/12/thumb-spica-splint.jpg,Thumb Spica Splint
