Item Type,Product Name,Brand Name,Price,Retail Price,Sale Price,Product Description,Product Code/SKU,Category,Option Set,Product Availability,Current Stock Level,Free Shipping,Sort Order,Product Image Description-1,Product Image Is Thumbnail-1,Track Inventory,Product Image Sort - 1,Product Image Sort - 2,Product Image Sort - 3,Product Image Sort - 4,Product Image Sort - 5,Product Image File - 1,Product Image File - 2,Product Image File - 3,Product Image File - 4,Product Image File - 5
Product,Men's UA Mobtown Shoes BLACK *,Under Armour,10024,10024,9623,This is where innovation & style meet: unrivaled materials; the performance of UA & attention to detail that borders on obsessive. These shoes just raised bar on what you wear off-field; post-gameanytime.;MULTICAM/GRAPHITE: Durable canvas upper;BROWN/BLACK/WHITE/ALUMINUM/SOLDER: Rich leather upper;Ultra-soft collar lining for unmatched comfort;Full-length ; sockliner for incredible cushion;Non-marking rubber outsole ,UA1231374-013BLACK ,Shoes/Men's Shoes/Basketball Shoes; Team Sports/Basketball/Basketball Shoes,Men's UA Mobtown Shoes,12-17 Working Days,100,N,-300,Buy Men's UA Mobtown Shoes Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,http://origin-d4.scene7.com/is/image/Underarmour/1231374-013_DEFAULT,http://origin-d4.scene7.com/is/image/Underarmour/1231374-013_SOLE,http://origin-d4.scene7.com/is/image/Underarmour/1231374-013_A,http://origin-d4.scene7.com/is/image/Underarmour/1231374-013_TOE,http://origin-d4.scene7.com/is/image/Underarmour/1231374-013_HEEL
SKU,[S]Size= US 8,,,,,,UA1231374-013-8BLACK ,,,,100,,,,,,,,,,,,,,,
SKU,[S]Size= US 8.5,,,,,,UA1231374-013-8.5BLACK ,,,,100,,,,,,,,,,,,,,,
SKU,[S]Size= US 9,,,,,,UA1231374-013-9BLACK ,,,,100,,,,,,,,,,,,,,,
SKU,[S]Size= US 9.5,,,,,,UA1231374-013-9.5BLACK ,,,,100,,,,,,,,,,,,,,,
SKU,[S]Size= US 10,,,,,,UA1231374-013-10BLACK ,,,,100,,,,,,,,,,,,,,,
SKU,[S]Size= US 11,,,,,,UA1231374-013-11BLACK ,,,,100,,,,,,,,,,,,,,,
SKU,[S]Size= US 11.5,,,,,,UA1231374-013-11.5BLACK ,,,,100,,,,,,,,,,,,,,,
SKU,[S]Size= US 12,,,,,,UA1231374-013-12BLACK ,,,,100,,,,,,,,,,,,,,,
SKU,[S]Size= US 13,,,,,,UA1231374-013-13BLACK ,,,,100,,,,,,,,,,,,,,,
SKU,[S]Size= US 13.5,,,,,,UA1231374-013-13.5BLACK ,,,,100,,,,,,,,,,,,,,,
Product,Men's UA ClutchFit Drive Mid Basketball Shoes – Special Edition MIDNIGHT NAVY*,Under Armour,12380,12380,11885,The upper is engineered with UA ClutchFit Technology; a second skin of advantages that activates under pressure; locking you in with superior fit & feel.;UA ClutchFit technology wraps your foot with a lightweight “second skin” for powerful support & incredible feel;Full-length ; foam turns cushioned landings into explosive takeoffs;External heel counter for added support & comfort;Molded ; sockliner cushions & keeps your foot locked in;One-piece solid rubber outsole with herringbone traction pattern for exceptional lateral & linear movement;Imported,UA1259065-413MIDNIGHT NAVY,Shoes/Men's Shoes/Basketball Shoes; Team Sports/Basketball/Basketball Shoes,Men's UA ClutchFit Drive Mid Basketball Shoes – Special Edition,12-17 Working Days,100,N,-300,Buy Men's UA ClutchFit Drive Mid Basketball Shoes – Special Edition Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,http://origin-d4.scene7.com/is/image/Underarmour/1259065-413_DEFAULT,http://origin-d4.scene7.com/is/image/Underarmour/1259065-413_A,http://origin-d4.scene7.com/is/image/Underarmour/1259065-413_TOE,http://origin-d4.scene7.com/is/image/Underarmour/1259065-413_SOLE,http://origin-d4.scene7.com/is/image/Underarmour/1259065-413_HEEL
SKU,[S]Size= US 11,,,,,,UA1259065-413-11MIDNIGHT NAVY,,,,100,,,,,,,,,,,,,,,
SKU,[S]Size= US 11.5,,,,,,UA1259065-413-11.5MIDNIGHT NAVY,,,,100,,,,,,,,,,,,,,,
SKU,[S]Size= US 12,,,,,,UA1259065-413-12MIDNIGHT NAVY,,,,100,,,,,,,,,,,,,,,
