description,imgurl,productname
,"http://uniquegym.com/images/products/uniuqe_power/big/up01_flat_bench.png,http://uniquegym.com/images/products/uniuqe_power/big/up02_flat_batch_with_support.png,http://uniquegym.com/images/products/uniuqe_power/big/up09_multi_purpuse_bench.png,http://uniquegym.com/images/products/uniuqe_power/big/up10_multi_purpose_bench_leg_extension_curl.png,http://uniquegym.com/images/products/uniuqe_power/big/up12_udjustable_bench.png,http://uniquegym.com/images/products/uniuqe_power/big/up13_preacher_curl_bench.png,http://uniquegym.com/images/products/uniuqe_power/big/up16_pull_ups_with_vertical_dip_stand.png,http://uniquegym.com/images/products/uniuqe_power/big/up25toup28_dumbells_rack.png,http://uniquegym.com/images/products/uniuqe_power/big/up33_dumbbells_stand_plate_rod_stand.png,http://uniquegym.com/images/products/uniuqe_power/big/up34_plate_stand_with_road_stand.png,http://uniquegym.com/images/products/uniuqe_power/big/up35_squat_stand.png,http://uniquegym.com/images/products/uniuqe_power/big/03_flate_bench_with_support_olympic.png,http://uniquegym.com/images/products/uniuqe_power/big/04_incline_decline_bench.png,http://uniquegym.com/images/products/uniuqe_power/big/06_incline_benches.png,http://uniquegym.com/images/products/uniuqe_power/big/08_decline_bench.png,http://uniquegym.com/images/products/uniuqe_power/big/13_preacher_curl_bench.png,http://uniquegym.com/images/products/uniuqe_power/big/17to20_dumbbells_rack.png,http://uniquegym.com/images/products/uniuqe_power/big/21to24_dumbbells_rack.png,http://uniquegym.com/images/products/uniuqe_power/big/up11_seated_calf.png,http://uniquegym.com/images/products/uniuqe_power/big/up53_home_gym.png,http://uniquegym.com/images/products/uniuqe_power/big/up54_multi_gym_2stack.png,http://uniquegym.com/images/products/uniuqe_power/big/up55_multi_gym_4station.png,http://uniquegym.com/images/products/uniuqe_power/big/up56.png","UP01 FLAT BENCH,UP02 FLAT BENCH WITH SUPPORT,UP09 MULTI PURPOUSE BANCH,UP10 MULTI PURPOUSE BENCH LEG EXTENTION CURL,UP12 ADJUSTABLE BENCH,UP13 PREACHER CURL BENCH,UP16 PULL UPS WITH VIRTICLE DEEP STAND,UP25TOUP28 DUMBBELLS RACK,UP33 DUMBBELLS STAND PLATE WITH ROD STAND,UP34 PLATE STAND WITH ROD STAND,UP35 SQUAT STAND,UP35 SQUAT STAND,UP35 SQUAT STAND,UP35 SQUAT STAND,UP35 SQUAT STAND,UP35 SQUAT STAND,UP35 SQUAT STAND,UP35 SQUAT STAND,UP35 SQUAT STAND,UP35 SQUAT STAND,UP35 SQUAT STAND,UP35 SQUAT STAND,UP35 SQUAT STAND"
,"http://uniquegym.com/images/products/uniuqe_fit/big/uf01_twister_single.png,http://uniquegym.com/images/products/uniuqe_fit/big/uf02_abdominal_board_with_stand.png,http://uniquegym.com/images/products/uniuqe_fit/big/uf03_abdominal_knee_bent_board_with_stand.png,http://uniquegym.com/images/products/uniuqe_fit/big/uf04_sit-ups_bench.png,http://uniquegym.com/images/products/uniuqe_fit/big/uf05_ab_slimmer_heavy.png,http://uniquegym.com/images/products/uniuqe_fit/big/uf06_roman_chair_with_hipper_extension.png,http://uniquegym.com/images/products/uniuqe_fit/big/uf07_jumbow_walker.png,http://uniquegym.com/images/products/uniuqe_fit/big/uf08_twister_2in1.png,http://uniquegym.com/images/products/uniuqe_fit/big/uf09_hyper_extention.png","UF01 TWISTER SINGLE,UF02 ABDOMINAL BOARD WITH STAND,UF03 ABDOMINAL KNEE BENT BOARD WITH STAND,UF04 SEATUPS BENCH,UF05 AB SLIMMER HEAVY,UF06 ROMAN CHAIR WITH HIPPER EXTENSION,UF07 JUMBOW WALKER,UF08 TWISTER 2 IN 1,UF09 HYPER EXTENSION"
,"http://uniquegym.com/images/products/unique_upl/big/upl01_ab_machine.png,http://uniquegym.com/images/products/unique_upl/big/upl02_multi_adjustable_bench.png,http://uniquegym.com/images/products/unique_upl/big/upl03_multifunctional_flat_inline_decline_betch.png,http://uniquegym.com/images/products/unique_upl/big/upl01_ab_machine.png,http://uniquegym.com/images/products/unique_upl/big/upl05_07_dumbbell_rack_heavy.png,http://uniquegym.com/images/products/unique_upl/big/upl08_power_rack.png","UF01 TWISTER SINGLE,UF01 TWISTER SINGLE,UF01 TWISTER SINGLE,UF01 TWISTER SINGLE,UF01 TWISTER SINGLE,UF01 TWISTER SINGLE"
,"http://uniquegym.com/images/products/unique_accessories/big/ua01toua15_dumbbells_ci.png,http://uniquegym.com/images/products/unique_accessories/big/ua16toua26_plate_ci.png,http://uniquegym.com/images/products/unique_accessories/big/ua27toua39_dumbbells_ms_crome.png,http://uniquegym.com/images/products/unique_accessories/big/ua40toua52_plate_ms_chrome.png,http://uniquegym.com/images/products/unique_accessories/big/ua60_rod_1.png,http://uniquegym.com/images/products/unique_accessories/big/ua61toua73_rod.png,http://uniquegym.com/images/products/unique_accessories/big/ua74toua79_rod_olympic.png,http://uniquegym.com/images/products/unique_accessories/big/ua80_collar_light.png,http://uniquegym.com/images/products/unique_accessories/big/ua81_collar_light.png,http://uniquegym.com/images/products/unique_accessories/big/ua83toua86_spring_collar.png,http://uniquegym.com/images/products/unique_accessories/big/ua87_spring_collar_olympic.png,http://uniquegym.com/images/products/unique_accessories/big/ua88dip_stand.png,http://uniquegym.com/images/products/unique_accessories/big/ua92_d_handle.png,http://uniquegym.com/images/products/unique_accessories/big/ua93_lat_pulley_handle.png,http://uniquegym.com/images/products/unique_accessories/big/ua129toua131_ez_bar.png,http://uniquegym.com/images/products/unique_accessories/big/ua132toua134_ez_bar_olympic.png,http://uniquegym.com/images/products/unique_accessories/big/ua150_dumbbells_hex.png,http://uniquegym.com/images/products/unique_accessories/big/ua151_rubber_plate_imported.png,http://uniquegym.com/images/products/unique_accessories/big/dumbbells_rod.png,http://uniquegym.com/images/products/unique_accessories/big/standard_tricep_bar.png,http://uniquegym.com/images/products/unique_accessories/big/seated_row_chining_bar.png,http://uniquegym.com/images/products/unique_accessories/big/dual_purpose_bar.png,http://uniquegym.com/images/products/unique_accessories/big/tricep_press_down_bar.png,http://uniquegym.com/images/products/unique_accessories/big/strip_handle.png,http://uniquegym.com/images/products/unique_accessories/big/balance_bar_bar.png,http://uniquegym.com/images/products/unique_accessories/big/revolving_straight_bar.png,http://uniquegym.com/images/products/unique_accessories/big/revolving_curl_bar.png,http://uniquegym.com/images/products/unique_accessories/big/pro_style_lat_bar.png","UA01TOUA15 DUMBBELLS CI,UA16TOUA26 PLATE CI,UA27TOUA39 DUMBBELLS MS CROME,UA40TOUA52 PLATE MS CHROME,UA60 ROD,UA61TOUA73 ROD,UA74TOUA79 ROD OLYMPIC,UA80 COLLAR LIGHT,UA81 COLLAR LIGHT,UA83TOUA86 SPRING COLLAR,UA87 SPRING COLLAR OLYMPIC,UA88 DEEP STAND,UA92 D HANDLE,UA93 LAT PULLEY HANDLE,UA129TO131 EZ BAR,UA132TO134 EZ BAR OLYMPIC,UA150 DUMBBELLS HEX,UA151 RUBBER PLATE IMPORTED,UA132TO134 EZ BAR OLYMPIC,UA132TO134 EZ BAR OLYMPIC,UA132TO134 EZ BAR OLYMPIC,UA132TO134 EZ BAR OLYMPIC,UA132TO134 EZ BAR OLYMPIC,UA132TO134 EZ BAR OLYMPIC,UA132TO134 EZ BAR OLYMPIC,UA132TO134 EZ BAR OLYMPIC,UA132TO134 EZ BAR OLYMPIC,UA132TO134 EZ BAR OLYMPIC"
,"http://uniquegym.com/images/products/unique_strength/big/us02_flat_bench_with_suport_olympic.png,http://uniquegym.com/images/products/unique_strength/big/us03_incline_bench_olympic.png,http://uniquegym.com/images/products/unique_strength/big/us05_decline_bench_olympic.png,http://uniquegym.com/images/products/unique_strength/big/us10_preacher_curl_bench.png,http://uniquegym.com/images/products/unique_strength/big/us11_seated_calf.png,http://uniquegym.com/images/products/unique_strength/big/us13_plate_stand_olympic.png,http://uniquegym.com/images/products/unique_strength/big/us14_rod_stand_z.png,http://uniquegym.com/images/products/unique_strength/big/us18_smith_machine.png,http://uniquegym.com/images/products/unique_strength/big/us19_degree_leg_press_with_hex_squat.png,http://uniquegym.com/images/products/unique_strength/big/us21_let_pulley.png,http://uniquegym.com/images/products/unique_strength/big/us24_pack_fly.png,http://uniquegym.com/images/products/unique_strength/big/us27_supporting_pull_ups.png,http://uniquegym.com/images/products/unique_strength/big/us29_leg_extention_with_leg_curl.png,http://uniquegym.com/images/products/unique_strength/big/us35_seated_chest_press.png,http://uniquegym.com/images/products/unique_strength/big/us38_cable_cross_over.png,http://uniquegym.com/images/products/unique_strength/big/us39_functional_trainer.png,http://uniquegym.com/images/products/unique_strength/big/01_flat_bench.png,http://uniquegym.com/images/products/unique_strength/big/022_multi_press.png,http://uniquegym.com/images/products/unique_strength/big/025_shoulder_press_machine.png,http://uniquegym.com/images/products/unique_strength/big/026_preacher_curl_machine.png,http://uniquegym.com/images/products/unique_strength/big/028_seated_leg_machine.png,http://uniquegym.com/images/products/unique_strength/big/040_multi_gym_4_station.png,http://uniquegym.com/images/products/unique_strength/big/us37.png,http://uniquegym.com/images/products/unique_strength/big/us43.png,http://uniquegym.com/images/products/unique_strength/big/us45.png,http://uniquegym.com/images/products/unique_strength/big/us48.png,http://uniquegym.com/images/products/unique_strength/big/us48.png,http://uniquegym.com/images/products/unique_strength/big/us36.png,http://uniquegym.com/images/products/unique_strength/big/us31.png,http://uniquegym.com/images/products/unique_strength/big/us30.png,http://uniquegym.com/images/products/unique_strength/big/us33.png,http://uniquegym.com/images/products/unique_strength/big/us32.png,http://uniquegym.com/images/products/unique_strength/big/us20.png","US02 FLAT BENCH WITH SUPPORT OLYMPIC,US03 INCLINE BENCH OLYMPIC,US05 DECLINE BENCH OLYMPIC,US10 PREACHER CURL BENCH,US11 SEATED CALF,US13 PLATE STAND OLYMPIC,US14 ROAD STAND Z,US18 SMITH MACHINE,US19 DEGREE LEG PRESS WITH HEX SQUAT,US21 LET PULLEY,US24 PACK FLY,US27 SUPPORTING PULL UPS,US29 LEG EXTENSION WITH LEG CURL,US35 SEATED CHEST PRESS,US38 CABLE CROSS OVER,US39 FUNCTIONAL TRAINER,US39 FUNCTIONAL TRAINER,US39 FUNCTIONAL TRAINER,US39 FUNCTIONAL TRAINER,US39 FUNCTIONAL TRAINER,US39 FUNCTIONAL TRAINER,US39 FUNCTIONAL TRAINER,US39 FUNCTIONAL TRAINER,US39 FUNCTIONAL TRAINER,US39 FUNCTIONAL TRAINER,US39 FUNCTIONAL TRAINER,US39 FUNCTIONAL TRAINER,US39 FUNCTIONAL TRAINER,US39 FUNCTIONAL TRAINER,US39 FUNCTIONAL TRAINER,US39 FUNCTIONAL TRAINER,US39 FUNCTIONAL TRAINER,US39 FUNCTIONAL TRAINER"
"
                  Size : L 66” W 24” H-36”
                  Material :
                    
                      Pipe :
                        
                          2” x 2” C R C A Square Pipe Gauge – 14
                          2” x 2” C R C A Square Pipe Gauge – 14
                          Ø1” &amp; 2” C R C A Square Pipe Gauge – 12
                        
                      
                      Rods : Ø25mm. Bright Bar
                      Pata : 200mm X 50mm X 5mm Thick.
                      Hardware : ¼, 5/16, 3/8, ½, Bolt &amp; Nut - Standard Company
                      Colour Work : High Quality Powder Coating
                      Seat Work : 18mm Plywood (ISI Mark, Dunlop – 1” Thick. Slab, Rexene – Bhor Company Or Equal Quality
                    
                  
                ",http://uniquegym.com/images/products/uniuqe_fit/big/uf05_ab_slimmer_heavy.png,AB SLIMMER :
"
                  Size : L-84” W-30” H-60”
                  Material :
                    
                      Pipe :
                        
                          4”x2”CRCA SquarePipeGauge-14
                          2”x 2” C R C. A Square Pipe Gauge –14
                          Ø1” C R.C A Square Pipe Gauge –14
                        
                      
                      Rods : Ø18mm. Bright Bar M.S. Bar For Plates Stack Guide Rod &amp; Centre Rod of Ø1”
                      Pata : 100mmx50mmx5mm Thick.
                      Hardware : ¼, 5/16, 3/8, ½, Bolt &amp; Nut - Standard Company
                      Weight Stack : 5 Kg. C.I. (15 in Qty.)
                      High Quality Powder Coating
                      Seat Work : 18mm Plywood (ISI Mark), Dunlop – 1” Thick. Slab, Rexine – Bhor Company Or Equal Quality
                      Chrome Work : High Quality Nickle Chrome                  
                    
                  
                ",http://uniquegym.com/images/products/unique_strength/big/us29_leg_extention_with_leg_curl.png,LEG EXTENTION CURL MACHINE :
"
                  Size : L-48”, W-54 ”, H-42”
                  Pipe : 4” x 2” CRCA pipe, 14 Gauge,
                  Colour Work : High Quality Powder Coating
                  Seat Work : 18mm Plywood (ISI Mark), Dunlop – 1” Th Slab
                ,
                  Size : L-48”, W-54 ”, H-42”
                  Pipe : 4” x 2” CRCA pipe, 14 Gauge,
                  Colour Work : High Quality Powder Coating
                  Seat Work : 18mm Plywood (ISI Mark), Dunlop – 1” Th Slab
                  ","http://uniquegym.com/images/products/uniuqe_power/big/06_incline_benches.png,http://uniquegym.com/images/products/uniuqe_power/big/08_decline_bench.png","INLINE BENCH :,DECLINE BENCH :"
"
                  Size : L 48”, W-24”, H-30”
                  Material :
                    
                      Pipe :
                        
                          2”x 2” CRCA Square Pipe Gauge-14
                          40x20 CRCA Square Pipe Gauge-14
                        
                      
                      Rods : Ø25mm. Bright Bar
                      Pata : 200mmx50mmx5mm Thick.
                      Colour Work : High Quality Powder Coating                  
                    
                  
                ",http://uniquegym.com/images/products/uniuqe_power/big/21to24_dumbbells_rack.png,AB SLIMMER :
"
                  Size : L-26” W-30” H-54”
                  Material :
                    
                      Pipe :
                        
                          2” x 2” CRCA Square Pipe Gauge-14
                          Ø 1” C.R.C.A. Pipe Gauge – 14
                        
                      
                      Rods : Ø 30mm. For Bearing Pin
                      Plates : Ø 300mm x5mm Thick, Ø 200mm x5mm Thick.
                      Hardware : ¼ Bolt &amp; Nut – Standard Company
                      Colour Work : High Quality Powder Coating
                      Rubber Work : 18mm Plywood (ISI Mark), Dunlop – 1” Thick. Slab, Rexine – Bhor Company Or Equal Quality                  
                    
                  
                ",http://uniquegym.com/images/products/uniuqe_fit/big/uf01_twister_single.png,AB SLIMMER :
