description,imgurl,productname
"4 Molded Soccer Balls
Scorekeepers
1-Man Goalie
Pre-Assembled Telescopic Rods
4"" Square Legs",images/products/vs-25.jpg,VS-25
"4 Molded Soccer Balls
Scorekeepers
1-Man Goalie
Pre-Assembled Telescopic Rods
4"" Square Legs",images/products/vs-14.jpg,VS-14
"Table Mounted Electronic Scoring
Digital Voice and Authentic Game
Sound Effects 2-Color Authentic Playing
Surface Graphics
2 Pushers, 2 Pucks",images/products/vs-21.jpg,VS-21
"Post-Type Electronic Scoring
2-Color Authentic Playing Surface Graphics
Manual Scorekeepers
2 Pushers, 2 Pucks",images/products/vs-15.jpg,VS-15
"Rose Wood Legs
Mahgony Polish
S.B. Frame
Standard Accessories",images/products/vs-20b.jpg,VS-20B
"Rose Wood Legs
Mahgony Polish
S.B. Frame
Standard Accessories",images/products/vs-20c.jpg,VS-20C
"Rose Wood Legs
Mahgony Polish
S.A.L. Frame
Standard Accessories",images/products/vs-23b.jpg,VS-23B
"Rose Wood Legs
Mahgony Polish
S.A.L. Frame
Standard Accessories",images/products/vs-23c.jpg,VS-23C
"Auto Ball Return System
Pro Speed Cloth
American Pocket Size
Standard Accessories",images/products/vs-9.jpg,VS-9
"Solid oak for top/brand rails, Dark cherry finish
Rams head solid rubber wood with # 6 leather drop pocket.  Easy assembly",images/products/vs-7.jpg,VS-7
"Solid oak for top/brand rails, Light oak finish
Rams head solid rubber wood with # 6 leather drop pocket, Easy assembly",images/products/vs-8.jpg,VS-8/Light Oak
"Black laminate, pedestal legs, with drop pocket, Steel frame Easy assembly. Accessories included.",images/products/vs-12.jpg,VS-12
"Solid oak for top/brand rails, oak finish
Rams head solid rubber wood with # 6 leather drop pocket, Easy assembly",images/products/vs-10.jpg,VS-10
"Solid wood for top/brand rails
Mahogany finish
Rams head solid rubber with # 6 leather drop pocket",images/products/vs-11.jpg,VS-11
"Solid wood for top/brand rails,
Dark cherry finish
Rams head solid rubber wood


with # 6 leather drop pocket",images/products/vs-13.jpg,VS-13
"Rose Wood Legs
Mahgony Polish
S.B. Frame
Standard Accessories",images/products/vs-20.jpg,VS-20
"Rose Wood Legs
Mahgony Polish
S.B. Frame
Standard Accessories",images/products/vs-20a.jpg,VS-20A
"Rose Wood Legs
Mahgony Polish
S.A.L. Frame
Standard Accessories",images/products/vs-23.jpg,VS-23
"Rose Wood Legs
Mahgony Polish
S.A.L. Frame
Standard Accessories",images/products/vs-23a.jpg,VS-23A
