SKU,Description,MRP,SP,variant,imgurl,productname
,,,,,,
,,,,,,
"
			  VTD-250				","
,






","2405,3124,3377","Rs. 
			2022,Rs. 
			2627,Rs. 
			2840","
		,
		,
		2.5	kg.		,
		3.0	kg.		,
		3.5	kg.		",Admin/mm_bigger/1326222548_VINEX HEAVY TRAINING DISCUS.jpg,Vinex Heavy Training Discus
"
			  DSL-WL20				","
70% rim weight. STEEL rim with solid laminated wood sides.






","2310,2130,2009,1973,1731,1489,1390,1272","Rs. 
			1942,Rs. 
			1791,Rs. 
			1689,Rs. 
			1659,Rs. 
			1456,Rs. 
			1252,Rs. 
			1169,Rs. 
			1069","
		,
		,
		2.000 kg.		,
		1.750 kg.		,
		1.600 kg.		,
		1.500 kg.		,
		1.250 kg.		,
		1.000 kg.		,
		0.750 kg.		,
		0.600 kg.		",Admin/mm_bigger/1326222501_VINEX LAMINATED LOW SPIN.jpg,Vinex Laminated Low Spin
"
			  DSS-W20P				","
,






","1448,1254,1230,1021","Rs. 
			1217,Rs. 
			1054,Rs. 
			1034,Rs. 
			858","
		,
		,
		2.00 Kg.		,
		1.60 Kg.		,
		1.50 Kg.		,
		1.00 Kg.		",Admin/mm_bigger/1326222848_VINEX WOOD PRACTICE.jpg,Vinex Wood Practice
"
			  DRB-200				","
Black rubber Discus. Strong, durable and one piece solid construction.





","253,242,222,209,191,169,154,139","Rs. 
			213,Rs. 
			204,Rs. 
			187,Rs. 
			176,Rs. 
			161,Rs. 
			147,Rs. 
			130,Rs. 
			117","
		,
		,
		2.00	Kg.		,
		1.75	Kg.		,
		1.60	Kg.		,
		1.50	Kg.		,
		1.25	Kg.		,
		1.00	Kg.		,
		0.75	Kg.		,
		0.60	Kg.		",Admin/mm_bigger/1326222881_VINEX RUBBER BLACK.jpg,Vinex Rubber Black
,,,,,,
,,,,,,
"
			  DSB-P20				","
70% rim weight. Galvanized steel rim with strong blue ABS plastic side plates. Ideal for Schools and Training.





","1967,1756,1712,1646,1434,1305,1089,1148","Rs. 
			1654,Rs. 
			1476,Rs. 
			1439,Rs. 
			1384,Rs. 
			1206,Rs. 
			1097,Rs. 
			916,Rs. 
			966","
		,
		,
		 , 2.000 kg.		,
		 , 1.750 kg.		,
		1.616 kg.		,
		 , 1.500 kg.		,
		1.250 kg.		,
		 , 1.000 kg.		,
		0.750 kg.		,
		0.600 kg.		",Admin/mm_bigger/1326221996_VINEX LO SPIN.jpg,Vinex Lo Spin
,,,,,,
,,,,,,
"
			  DSG-P20				","
70% rim weight. GALVANIZED STEEL rim with extra strong plastic side plates. In economical price range. Suitable for Training.






","1852,1621,1593,1531,1368,1126,1056,1208","Rs. 
			1558,Rs. 
			1363,Rs. 
			1339,Rs. 
			1288,Rs. 
			1151,Rs. 
			947,Rs. 
			888,Rs. 
			1016","
		,
		,
		 , 2.000 kg.		,
		1.750 kg.		,
		1.600 kg.		,
		1.500 kg.		,
		1.250 kg.		,
		0.750 kg.		,
		0.600 kg.		,
		 , 1.000 kg.		",Admin/mm_bigger/1326222467_VINEX PRACTICE.jpg,Vinex Practice
