SKU,Description,MRP,SP,variant,imgurl,productname
"
			  VCHL-CL100				","
High impact injection moulded shell with foam liner. 4 Tier light weight powder coated faceguard with chin strap.
",616,"Rs. 
			518",,http://www.vinexshop.com/Admin/mm_bigger/1340605282_CRICKET HELMET CLASSIC.jpg,Cricket Helmet Classic
"
			  VAB-SWING				","
Get Real Results with ,also known as ,and,
,. A No. 1 Fitness Product for both men and women. AB Circle Pro is one of the most popular product to lose belly fat and get flat abs. Using this product get everything tighter, burns fat quickly! fun and easy to use. Guaranteed results within two weeks.,
,
Not only will your Ab Circle Pro help you to lose your love handles, it will also help you workout and slim down your buns, hips and thighs, too, when used as part of a complete system that includes a reduced-calorie diet and regular aerobic exercise!,
,
,
The Ab Circle Pro is supposed to give you an abs workout and a cardio workout at the same time. It does so because of the position you take with your hands and knees supporting you and the movement you do from side to side on the machine in a gliding motion. It's supposed to be better for the knees and back. The Ab Circle comes with a workout DVD and a nutritional guide. The suggestion of the infomercial is that you will lose belly fat and inches of your waist by doing very short workouts on this machine.,
,
,
,






",7372,"Rs. 
			6199",,http://www.vinexshop.com/Admin/mm_bigger/1328353921_VINEX_AB_SWING.jpg,Vinex AB - Swing (AB Circle Pro)
"
			  VAB-CLA				","
,(also known as , ). The AB King Pro Bench is an home abdominal exercise bench designed to improve the effectiveness of abdominal exercises. With the Ab King Pro you will be able to exercise your frontal rectus abdominals aswell as your side oblique muscles to get a toned and defined abdominal region to be proud of. By using the Ab King pro properly you will develop strenght stamina and shape in a safe and optimal manner. Don't put yourself at risk of back injury by doing sit - ups on the floor, use a professionally designed bench like the Ab King pro.,
,
The Ab king pro comes with complete owners manual and instruction video CD. The Video CD gives complete and easy to understand instruction on how to assemble the Ab King Pro, how to use the exercise bench safely and the 3 minute burn it up demonstration workout. The owners manual and workout Video CD demonstrates 6 way to use the abs exercise bench:,
,
,
,
,
,
,







",4599,"Rs. 
			3799",,http://www.vinexshop.com/Admin/mm_bigger/1331272944_AB_King_Pro.jpg,Vinex AB Classic - AB Exerciser (AB King Pro)
"
			  VAB-ROL				","
,
,
,
,
,






",1999,"Rs. 
			1799",,http://www.vinexshop.com/Admin/mm_bigger/1331272994_AB_Roller.jpg,Vinex AB Roller Sonic
"
			  VAB-STAR				","
, (also known as ,) is a great way to enhance your figure and health. Ab Star is the easiest total body toning solution. Resistance strength training, along with a solid cardio routine, boosts your metabolism to trigger dramatic total body results. The Ab Star is built with solid all steel construction, nylon rollers, 1.5 inche steel rails, steel bearings, and vinyl covered molded foam pads. Get the workout thats right for you in just 5 to 10 minutes a day! ,
,
,
,






",2999,"Rs. 
			2599",,http://www.vinexshop.com/Admin/mm_bigger/1328353052_VINEX_AB_STAR.jpg,Vinex AB Star (AB Rocket)
"
			  VABG-FS100				","
Abdominal Guard for ultimate protection. Abdominal Guards come in four variants.


","33,35,29,31,42,44","Rs. 
			28,Rs. 
			30,Rs. 
			24,Rs. 
			26,Rs. 
			35,Rs. 
			37","
		;
		;
		Small; With Foam		;
		Large; With Foam		;
		Small; Without Foam		;
		Large; Without Foam		;
		Small; With Cushion Belt		;
		Large; With Cushion Belt		",http://www.vinexshop.com/Admin/mm_bigger/1340604811_VINEX ABDOMINAL GUARDS.jpg,Vinex Abdominal Guards
"
			  VAB-ABSTAR				","
, also known as ,. Millions of people from around the world experienced the original AB-Doer, but now it's time for a quantum leap forward - the AB DOER TWIST, the 360-degree approach to total-body fitness.,
,
To get in great shape you have to do muscle toning and aerobic activity. With the AB DOER TWIST you do muscle toning and aerobic training at the same time - and from, a seated position, In just minutes a day, you'll experience a fun and exhilarating total-body workout. The core support column and contoured arm bars support you in the perfect position to achieve maximum results. Only the AB-Doer's patented torsion-flex technology fires up muscles that other exercises simply can't reach - your lower abs, upper abs, obliques, even your back. AB Doer Twist adds a twisting motion to the torso that helps you lose weight faster as you build the muscles in your abdominal region.
,
,
The AB Doer Twist is simple to use and feels great too. It has a comfortable seat and the foam roller gives you a revitalizing and therapeutic massage while you work out.,
,
,
,

",6299,"Rs. 
			4702.5","
		;
		;
				",http://www.vinexshop.com/Admin/mm_bigger/1310836918_VINEX ABSTAR AB-EXERCISING CHAIR.jpg,Vinex Abstar AB Exercising Chair Style
"
			  VBGL-BF100				",Vinex Batting Gloves Bend Finger,308,"Rs. 
			259","
		;
		;
		Pair		",http://www.vinexshop.com/Admin/mm_bigger/1275521353_VINEX BATTING GLOVES-BEND FINGER.jpg,Vinex Batting Gloves Bend Finger
"
			  VBGL-OF100				",Vinex Batting Gloves Over Flap,330,"Rs. 
			278","
		;
		;
		Pair		",http://www.vinexshop.com/Admin/mm_bigger/1275521390_VINEX BATTING GLOVES-OVER FLAP.jpg,Vinex Batting Gloves Over Flap
"
			  VCB-LM10				","
,
",143,"Rs. 
			120","
		;
		;
		Leather Ball MATCH: 1pc 
Weight : 140 gm		",http://www.vinexshop.com/Admin/mm_bigger/1316301080_Vinex Cricket Ball Match.jpg,Vinex Cricket Ball Match
