SKU,Description,MRP,SP,variant,imgurl,productname
,,,,,,
"
			  VBRK-SPPPK2				","
Joint less Frame all Steel.
","594,407,297","Rs. 
			499,Rs. 
			302,Rs. 
			252","
		,
		,
		Pack of 2 Pc Badminton Rackets. Comes with Cover.		,
		1 Pc Badminton Racket. Comes with Racket Cover		,
		1 Pc Badminton Racket. Without Racket Cover		",Admin/mm_bigger/1275520551_VINEX SP-2000 POWER.jpg,Vinex SP-2000 Power
"
			  VBRK-VYBPK2				","
Head made of Aluminium with tempered Steel shaft.
","399,310,200","Rs. 
			342,Rs. 
			279,Rs. 
			180","
		,
		,
		Pack of 2 Pc Badminton Rackets. Comes with Cover.		,
		1 Pc Badminton Racket. Comes with Racket Cover		,
		1 Pc Badminton Racket. Without Racket Cover
		",Admin/mm_bigger/1386831103_VYB-318.jpg,Vinex Badminton Racket VYB-318
"
			  VBRK-NAG				",Head made of Aluminium with wider borders. Shaft made of steel with good quality grip.,"308,418","Rs. 
			262,Rs. 
			312","
		,
		,
		1 Pc Badminton Racket. Without Racket Cover.		,
		1 Pc Badminton Racket. Comes with Racket Cover		",Admin/mm_bigger/1275520491_VINEX NAGASAKI.jpg,Vinex Nagasaki
,,,,,,
,,,,,,
"
			  VBRK-PACHTSS				","
Vinex Badminton Racket - Pacer. High Tempered Steel Shaft.","132,242,374","Rs. 
			112,Rs. 
			162,Rs. 
			269","
		,
		,
		1 Pc Badminton Racket. Without Racket Cover.		,
		1 Pc Badminton Racket. Comes with Racket Cover		,
		Pack of 2 Pc Badminton Rackets. Comes with Cover.
		",Admin/mm_bigger/1386831879_PACER-HTSS.jpg,Vinex Badminton Racket - Pacer
,,,,,,
"
			  VBRK-CARB				",Joint less frame with Head made of Aluminium & wider borders. Shaft made of carbon with good quality grip.,"557,667","Rs. 
			473,Rs. 
			523","
		,
		,
		1 Pc Badminton Racket. Without Racket Cover.		,
		1 Pc Badminton Racket. Comes with Racket Cover		",Admin/mm_bigger/1275518560_VINEX CARBON 321.jpg,Vinex Carbon - 321
,,,,,,
"
			  VBRK-ATT				","
Head made of Aluminium and gutted with Gosen Japanese HI-SHIP Gut. Shaft made of carbon with premium quality grip. Comes with a carry cover.

",1476,"Rs. 
			1241","
		,
		,
		1 Pc Badminton Racket. Comes with Racket Cover.		",Admin/mm_bigger/1275518079_VINEX ATTACKER.jpg,Vinex Attacker
,,,,,,
"
			  VBRK-SMAP				","
Head made of Aluminium, shaft made of carbon with good quality grip.
","354,464","Rs. 
			298,Rs. 
			348","
		,
		,
		1 Pc Badminton Racket. Without Racket Cover.		,
		1 Pc Badminton Racket. Comes with Racket Cover		",Admin/mm_bigger/1386830390_VINEXPOWER.jpg,Vinex Badminton Racket - Power
"
			  MBS-100				","
Consists of net, posts and bag. Easily foldable and can be packed in a bag for easy carrying. All the parts of the net frame are inter-linked.

",4024,"Rs. 
			3384","
		,
		,
		Length : 10 feet; Height : 5 feet		",Admin/mm_bigger/1275516451_MINI - BADMINTON SET.jpg,Mini - Badminton Set
,,,,,,
,"
	    ",,,"
		Cheques / Cash can be deposited into VINEXSHOP account at your nearest SBI Bank Branch or ATM against the account number mentioned above. (Alternately you can send  cheques to our postal address mentioned below. You also need to mention your Order No. and Invoice No. in your deposit slip while making payment via Cheque.) ,
	",,
,"
	    ",,,"
		Cheques / Cash can be deposited into VINEXSHOP account at your nearest SBI Bank Branch or ATM against the account number mentioned above. (Alternately you can send  cheques to our postal address mentioned below. You also need to mention your Order No. and Invoice No. in your deposit slip while making payment via Cheque.) ,
	",,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"
			  VBRB-HCS100				","
Half Cover bag made of polyester fabric.  Comes with heavy duty zipper & adjustable shoulder strap to carry 1pc racket only.
",73,"Rs. 
			61","
		,
		,
				",Admin/mm_bigger/1340601269_VINEX BADMINTON HALF COVER BAG-SUPER.jpg,Vinex Badminton Half Cover Bag - Super
,,,,,,
"
			  VBRB-CP100				","
Bag made of polyester fabric.  Comes with heavy duty zipper and adjustable shoulder strap to carry 1pc racket only.
",99,"Rs. 
			83","
		,
		,
				",Admin/mm_bigger/1340601221_VINEX BADMINTON RACKET KIT BAG-CLUB PLUS.jpg,Vinex Badminton Racket Bag - Club Plus
,,,,,,
"
			  VBRK-SMH418				","
,

","253,363","Rs. 
			215,Rs. 
			262","
		,
		,
		Joint Frame all Steel. 1 Pc Badminton Racket. Without Racket Cover.		,
		Joint Frame all Steel. 1 Pc Badminton Racket. Comes with Racket Cover.		",Admin/mm_bigger/1363248954_Badminton_Racquet.jpg,Badminton Racket Vinex - 418
"
			  VBRKB-S100				","
Bag made of Heavy Duty PVC coated fabric.  Comes with two heavy duty zipper pockets & 2 adjustable shoulder straps. Can carry 10 - 12 Badminton Rackets & 10 Hand Towels.
",1430,"Rs. 
			1202","
		,
		,
				",Admin/mm_bigger/1340601125_VINEX BADMINTON RACKET KIT BAG-SUPER.jpg,Vinex Badminton Racket Kit Bag - Super
"
			  VSC-Eco				","
Made of premium quality plastic.


",132,"Rs. 
			111","
		,
		,
		Pack of 6 Pcs		",Admin/mm_bigger/1340600311_VINEX SHUTTLE COCK-ECONOMY.jpg,Vinex Shuttlecock Economy
,,,,,,
,,,,,,
"
			  VBRK-300				","
,
,
,
,
,
,




","227,337","Rs. 
			191,Rs. 
			241","
		,
		,
		1 Pc Badminton Racket. Without Racket Cover.		,
		1 Pc Badminton Racket. Comes with Racket Cover		",Admin/mm_bigger/1386829706_VBR-300.jpg,Vinex VBR - 300
,,,,,,
,,,,,,
"
			  MBS-A300				","
Consists of net, posts and bag. Easy to assemble and dismantle and can be packed in a bag for easy storage & transportation.



",6525,"Rs. 
			5487","
		,
		,
		Width 3 m		",Admin/mm_bigger/1340599688_MINI BADMINTON SET - ALUMINIUM.jpg,Mini Badminton Set - Aluminium
"
			  VPCS-ELT				","
,



",1090,"Rs. 
			763","
		,
		,
		Includes in Set: 3 x Stumps, 1 x Stumps Base, 2 x Bails, 1 x Tennis Ball and 1 x Bat (Size#5).		",Admin/mm_bigger/1397191954_Vinex Plastic Cricket Set- Elite.jpg,Vinex Plastic Cricket Set - Elite
"
			  VBRS-GL100				","
,




",765,"Rs. 
			649","
		,
		,
		Includes in Set - Two Racquets (Vinex VYB-318) with Bag and one Pack of 10 Pcs Shuttlecock Gold		",Admin/mm_bigger/1316295099_Vinex Badminton Racquet Set Gold.jpg,Vinex Badminton Racquet Set - Gold
,,,,,,
"
			  VBRS-PGL100				","
,


",919,"Rs. 
			779","
		,
		,
		Includes in Set - Two Racquets (Vinex SP-2000 Power) with Bag and one Pack of 10 Pcs Shuttlecock Gold		",Admin/mm_bigger/1316294948_Vinex Badminton Racquet Set Power Gold.jpg,Vinex Badminton Racquet Set - Power Gold
,,,,,,
,,,,,,
"
			  VBRS-SGL100				","
,





",1033,"Rs. 
			849","
		,
		,
		Includes in Set - Two Racquets (Vinex Badminton Racket - Power) with Bag and one Pack of 10 Pcs Shuttlecock Gold		",Admin/mm_bigger/1316294799_Vinex Badminton Racquet Set Super Gold.jpg,Vinex Badminton Racquet Set - Super Gold
,,,,,,
"
			  VBPS-SUP				","
,




",1024,"Rs. 
			870","
		,
		,
		Two Racquets (Vinex VYB-318) with Bag, One Pack of 10 Pcs Shuttlecock Gold and Vinex Badminton Net Practice Made of Cotton		",Admin/mm_bigger/1316294510_Vinex Badminton Practice Set Super.jpg,Vinex Badminton Practice Set - Super
,,,,,,
"
			  VBMN-TOPP				","
Badminton net available in two materials, Nylon & cotton.

","506,616,363,308,528","Rs. 
			426,Rs. 
			518,Rs. 
			305,Rs. 
			259,Rs. 
			444","
		,
		,
		Tournament: Made of Nylon 		,
		Tournament: Made of Cotton (2 mm Net)		,
		Practice: Made of Nylon		,
		Practice: Made of cotton		,
		Pacer: Made of cotton  (2 mm Net)		",Admin/mm_bigger/1275526673_VINEX VOLLEYBALL NET.jpg,Vinex Badminton Net
,,,,,,
"
			  VSCO-P10				","Made of hen feather.
","187,864","Rs. 
			157,Rs. 
			685","
		,
		,
		Pack of 10 pcs		,
		6 * Pack of 10 Pcs		",Admin/mm_bigger/1302339021_VINEX PACER-SHUTTLE COCK.jpg,Vinex Shuttlecock - Pacer
"
			  VSCO-G10				","Made of selected hen feather. Perfect flight.
","255,1200","Rs. 
			215,Rs. 
			930","
		,
		,
		Pack of 10 pcs		,
		6 * Pack 0f 10 Pcs		",Admin/mm_bigger/1302338993_VINEX GOLD-SHUTTLE COCK.jpg,Vinex Shuttlecock - Gold
,,,,,,
,,,,,,
"
			  VSCO-D10				","Made of long last lasting hen feather.
","290,1320","Rs. 
			244,Rs. 
			1028","
		,
		,
		Pack of 10 pcs		,
		6 x Pack of 10 Pcs		",Admin/mm_bigger/1275521079_VINEX DURA - SHUTTLECOCK.jpg,Vinex Shuttlecock - Dura
"
			  VSCO-W10				","Made of premium quality hen feather. Perfect flight.
",315,"Rs. 
			265","
		,
		,
		Pack of 10 pcs		",Admin/mm_bigger/1275521026_VINEX WINCOCK - SHUTTLECOCK.jpg,Vinex Shuttlecock - Wincock
"
			  VCB-P100				","
Best quality cricket bat made of selected and fresh Kashmir Willow. Excellent bat for cricket practice with leather cricket balls.
",1573,"Rs. 
			1323","
		,
		,
		I Pc. Cricket Bat Kashmir Willow Pacer		",Admin/mm_bigger/1316300843_Vinex Cricket Bat Pacer.jpg,Vinex Cricket Bat - Pacer
"
			  VCKIT-SUP				","
,

,

,






",4279,"Rs. 
			3299","
		,
		,
		Includes in kit - 1 Pc Cricket Bat Kashmir Willow Pacer, 1 Pc Cricket ball Pacer, 1 Pair Wicket Keeping Gloves Tournament, 1 Pair Batting Gloves Over Flap, 4 Pc Stumps Wooden (Color), 2 Pc Bails, 2 Pc Batting Leg Guard (Match), 1 Pc Abdominal Guard, 1 Pc Kit Bag Personal, 1 Pc Thigh Guard PU (Moulded), 1 Pc Elbow Guard PU (Moulded)		",Admin/mm_bigger/1316294186_Vinex Cricket Kit Super.jpg,Vinex Cricket Kit - Super
"
			  V-100				","
Light weight and excellent cricket bats are good for playing cricket with tennis balls. Best suitable bats for playing cricket with tennis balls. These bats are highly durable and are made of the best quality wood.


","691,242,242,242,207,207,207,207","Rs. 
			581,Rs. 
			204,Rs. 
			204,Rs. 
			204,Rs. 
			174,Rs. 
			174,Rs. 
			174,Rs. 
			174","
		,
		,
		Full Size		,
		Size # 6, Length : 31 Inches		,
		Size # 5, Length : 30 Inches		,
		Size # 4, Length : 29.5 Inches		,
		Size # 3, Length : 28 Inches		,
		Size # 2, Length : 26.5 Inches		,
		Size # 1, Length : 25 Inches		,
		Size # 0, Length : 24 Inches		",Admin/mm_bigger/1275521203_VINEX CRICKET BATS.jpg,Vinex Cricket Bats - Pacer 1000
"
			  VSTS-P100				","
,


",836,"Rs. 
			703","
		,
		,
				",Admin/mm_bigger/1340603459_VINEX STUMP SET-PREMIUM.jpg,Vinex Stump Set - Premium
"
			  VCB-LP10				","
We offer good quality Cricket Leather Balls for practice purpose for the cricket lovers. These good quality cricket balls are handcrafted with premium alum tanned leather. These balls are designed to provide enhanced performance being of top quality cork core wound under wool. These balls are manufactured of four piece leather dyed in red colour.






",211,"Rs. 
			178","
		,
		,
		Leather Ball PACER: 1pc ; 
Weight: 160 gm		",Admin/mm_bigger/1316301166_Vinex Cricket Ball Pacer.jpg,Vinex Cricket Ball Pacer
"
			  VBGL-OF100				",Vinex Batting Gloves Over Flap,330,"Rs. 
			278","
		,
		,
		Pair		",Admin/mm_bigger/1275521390_VINEX BATTING GLOVES-OVER FLAP.jpg,Vinex Batting Gloves Over Flap
"
			  VTG-E100				","
Vinex Thigh Guard - EVA


",202,"Rs. 
			162","
		,
		,
		01 Pc.		",Admin/mm_bigger/1340604594_VINEX THEIGH GUARD-EVA.jpg,Vinex Thigh Guard - EVA
"
			  VST-DW100PK4				","
,
,
",280,"Rs. 
			244","
		,
		,
		DUCO WHITE STUMP: Pack of 4 Pcs.		",Admin/mm_bigger/1316302496_Vinex Cricket Stumps Duco White.jpg,Vinex Cricket Stumps Duco White
"
			  VST-TS100				","

",1188,"Rs. 
			1045","
		,
		,
		TARGET STUMP: 1pc		",Admin/mm_bigger/1316302643_Vinex Target Stumps.jpg,Vinex Target Stumps
"
			  VEG-M100				","
Vinex Elbow Guard - Moulded


",290,"Rs. 
			244","
		,
		,
				",Admin/mm_bigger/1340604748_VINEX ELBOW GUARD-MOULDED.jpg,Vinex Elbow Guard - Moulded
,"
Elite cricket leg guards are featherweight providing optimum comfort & protection. New comfort inner padding.
",,,"
		,
		,Sorry! We are not selling this product online right now. If you are interested to buy this product, please request for quote.",Admin/mm_bigger/1340604490_VINEX LEG GUARD-CLASSIC.jpg,Vinex Leg Guard - Classic
"
			  VCB-D100				","
High quality Kashmir Willow cricket bats. Perfect bat for club useage or individual practice. Unique shape for supreb pick-up. Superb pick-up and light weight.
",1632,"Rs. 
			1373","
		,
		,
		I Pc. Cricket Bat Kashmir Willow Dura		",Admin/mm_bigger/1316300794_Vinex Cricket Bat Dura.jpg,Vinex Cricket Bat - Dura
"
			  VCHL-CL100				","
High impact injection moulded shell with foam liner. 4 Tier light weight powder coated faceguard with chin strap.
",616,"Rs. 
			518","
		,
		,
				",Admin/mm_bigger/1340605282_CRICKET HELMET CLASSIC.jpg,Cricket Helmet Classic
"
			  VKGL-CH100				","
Vinex Keeping Gloves Champion. Made of good quality leather. Comes in a pair.
",895,"Rs. 
			762","
		,
		,
		Vinex Keeping Gloves Champion. Made of good quality leather. Comes in a pair.		",Admin/mm_bigger/1386060325_VINEX KEEPING GLOVES CHAMPION.jpg,Vinex Keeping Gloves Champion
"
			  VCBR-6210				","

",44,"Rs. 
			37","
		,
		,
		Sponge Rubber Ball: 1pc		",Admin/mm_bigger/1316301320_Vinex Cricket Ball Rubber.jpg,Vinex Cricket Ball Rubber
,,,,,,
"
			  VLG-TEST				","
Test cricket leg guards give comfort and protection. These leg guards are light weighted. New comfort inner padding.


",1870,"Rs. 
			1572","
		,
		,
		01 Pair		",Admin/mm_bigger/1340604530_VINEX LEG GUARD-TEST.jpg,Vinex Leg Guard - Test
"
			  VEG-E100				","
Vinex Elbow Guard - EVA


",97,"Rs. 
			77","
		,
		,
				",Admin/mm_bigger/1340604725_VINEX ELBOW GUARD-EVA.jpg,Vinex Elbow Guard - EVA
"
			  VCBP-F				","
Bats made of plastic available in different sizes.


","334,308,264,260","Rs. 
			275,Rs. 
			254,Rs. 
			218,Rs. 
			214","
		,
		,
		Full Size		,
		Size # 6		,
		Size # 5		,
		Size # 4		",Admin/mm_bigger/1340603538_VINEX CRICKET BAT-PLASTIC.jpg,Vinex Cricket Bat Plastic
"
			  VLG-MTCH				","
Match cricket leg guards are light in weight providing optimum comfort and protection. New comfort inner padding.


",920,"Rs. 
			773","
		,
		,
		01 Pair		",Admin/mm_bigger/1340604357_VINEX LEG GUARD-MATCH.jpg,Vinex Leg Guard - Match
,,,,,,
"
			  VIG-S100				","
Cricket Inner Gloves made of fine cotton.
",48,"Rs. 
			41","
		,
		,
		Pair		",Admin/mm_bigger/1340605143_VINEX INNER GLOVES.jpg,Vinex Inner Gloves
,,,,,,
"
			  VLG-ULT				","
Ultralite cricket leg guards are favourite because they are ultra light and durable for maximum protection and agility while playing. New comfort inner padding.


",1045,"Rs. 
			861","
		,
		,
		01 Pair		",Admin/mm_bigger/1340604411_VINEX LEG GUARD-ULTRA LITE.jpg,Vinex Leg Guard - Ultra Lite
,,,,,,
"
			  VCTS-S6NB				","
,
,




","2341,2253,2244,3441,3353,3344","Rs. 
			1928,Rs. 
			1856,Rs. 
			1849,Rs. 
			2835,Rs. 
			2762,Rs. 
			2755","
		,
		,
		Bat Size # 6		,
		Bat Size # 5		,
		Bat Size # 4		,
		Bat Size # 6 with 2 pcs Helmets		,
		Bat Size # 5 with 2 pcs Helmets		,
		Bat Size # 4 with 2 pcs Helmets		",Admin/mm_bigger/1340603386_VINEX CRICKET TRAINING SET-SUPER.jpg,Vinex Cricket Training Set - Super
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
