SKU,Description,MRP,SP,variant,imgurl,productname
"
			  VBKPK-ELT				","
Made of Polyester ribstop fabric. Features pocket in front, inside and one bottle holder in side.


",783,"Rs. 
			659","
		,
		,
				",Admin/mm_bigger/1329635947_VINEX BACKPACK-ELITE.jpg,Vinex Backpack - Elite
,,,,,,
"
			  VWB-S1308				","
Vinex waist bag with compartments that has zips, one mesh bottle holder and waist strap that can be adjusted. A must bag for sportsmen. Size: 13"" x 8"" x 2""
",449,"Rs. 
			377","
		,
		,
				",Admin/mm_bigger/1329636371_VINEX WAIST BAG - SUPER.jpg,Vinex Waist Bag - Super
"
			  VMPB-ST2514				","
A classic design sports bag with two end pockets. Made of heavy duty polyester fabric. The shoulder strap is adjustable / removable. The bag has strong carrying handle with wraparound Velcro closure. Size: 25"" x 14.5"" x 12""


",944,"Rs. 
			794","
		,
		,
				",Admin/mm_bigger/1329636318_VINEX MULTI-PURPOSE BAG - STYLO.jpg,Vinex Multi-Purpose Bag - Stylo
"
			  VPSB-CP100				","
,
,
,
,
,
",449,"Rs. 
			377","
		,
		,
				",Admin/mm_bigger/1275526928_VINEX PERSONAL SPORTS BAG-CLUB PLUS2.jpg,Vinex Personal Sports Bag - Club Plus 2
,,,,,,
,,,,,,
,,,,,,
"
			  VDFB-S100				","
Bag made of PVC coated fabric with one large pocket in front. Comes with cord lock and a shoulder strap.
Size : 14"" x 10"" x 27""
",629,"Rs. 
			529","
		,
		,
				",Admin/mm_bigger/1275526875_VINEX DUFFLE BAG SUPER.jpg,Vinex Duffle Bag - Super
,,,,,,
"
			  BCB-Z36				","
Made of heavy duty mesh fabric with 2"" web strap handle, and zipper. Also available with shoulder strap. Contains 12 to 14 balls.
","541,583,616,658","Rs. 
			455,Rs. 
			490,Rs. 
			518,Rs. 
			553","
		,
		,
		Size : 36""		,
		Size : 39""		,
		Size : 36"" With adjustable shoulder strap.		,
		Size : 39"" With adjustable shoulder strap		",Admin/mm_bigger/1275526825_BALL CARRYING BAG - HEAVY MESH.jpg,Ball Carrying Bag - Heavy Mesh
"
			  VCBP-100				","
Backpack made of PVC coated fabric. One pocket in front, one on side of the bag for cricket bat and the pocket on the other side for balls. Size: 30"" x 13""
",865,"Rs. 
			727","
		,
		,
				",Admin/mm_bigger/1275526750_VINEX CRICKET BACKPACK.jpg,Vinex Cricket Backpack
,,,,,,
,,,,,,
"
			  VDFB-100				","
Bag made of PVC coated fabric with one large pocket in front. Comes with cord lock and a shoulder strap. Size : 14"" x 10"" x 27""
",999,"Rs. 
			840","
		,
		,
				",Admin/mm_bigger/1275526697_VINEX DUFFLE BAG.jpg,Vinex Duffle Bag
,,,,,,
,,,,,,
,"
	    ",,,"
		Cheques / Cash can be deposited into VINEXSHOP account at your nearest SBI Bank Branch or ATM against the account number mentioned above. (Alternately you can send  cheques to our postal address mentioned below. You also need to mention your Order No. and Invoice No. in your deposit slip while making payment via Cheque.) ,
	",,
,"
	    ",,,"
		Cheques / Cash can be deposited into VINEXSHOP account at your nearest SBI Bank Branch or ATM against the account number mentioned above. (Alternately you can send  cheques to our postal address mentioned below. You also need to mention your Order No. and Invoice No. in your deposit slip while making payment via Cheque.) ,
	",,
,,,,,,
"
			  BCR-F10				","
,


",660,"Rs. 
			555","
		,
		,
		Folding		",Admin/mm_bigger/1340866864_BOTTLE CARRIER -PACER.jpg,Bottle Carrier -  Pacer
,,,,,,
"
			  BCR-010				","
Fixed sports water bottle carrier made of PVC coated steel wire, to carry 10 bottles. Other colours are also available on request.


",390,"Rs. 
			344","
		,
		,
		10 Bottles Carrier (Fixed)		",Admin/mm_bigger/1340866794_BOTTLE CARRIER -CLASSIC.jpg,Bottle Carrier -  Classic
"
			  BCR-100				","
Fixed sports water bottle carrier made of PVC coated steel wire. Available in 2 sizes to carry 6 and 9 Bottles.
",270,"Rs. 
			238","
		,
		,
		6 Bottle Carrier		",Admin/mm_bigger/1340866754_BOTTLE CARRIER -REGULAR.jpg,Bottle Carrier - Regular
,,,,,,
"
			  MWB-L100				","
Basket made of steel mesh wire, with lid cover. Options with and without wheels. Size : 86 cm x 61 cm x 46 cm.


","6963,7282","Rs. 
			5737,Rs. 
			6000","
		,
		,
		Without Wheels		,
		With Wheels		",Admin/mm_bigger/1340858217_STORAGE BASKET.jpg,Storage Basket
,,,,,,
,,,,,,
"
			  MWB-P10				","
Stackable baskets made of steel wire PVC coated available in four assorted colours red, blue, green, yellow.
",1034,"Rs. 
			870","
		,
		,
		Size: 51 cm x 31 cm x 25 cm		",Admin/mm_bigger/1340858175_MESH WIRE BASKET.jpg,Mesh Wire Basket
,,,,,,
"
			  MBC-B100				","
,
,


",4136,"Rs. 
			3478","
		,
		,
				",Admin/mm_bigger/1340858124_MOBILE BALL CARRYING CART.jpg,Mobile Ball Carrying Cart
,,,,,,
"
			  VPCS-ELT				","
,



",1090,"Rs. 
			763","
		,
		,
		Includes in Set: 3 x Stumps, 1 x Stumps Base, 2 x Bails, 1 x Tennis Ball and 1 x Bat (Size#5).		",Admin/mm_bigger/1397191954_Vinex Plastic Cricket Set- Elite.jpg,Vinex Plastic Cricket Set - Elite
"
			  VTBW-1B100				","
Portable ball carrying cart made of heavy duty steel tube, powder coated for durability. Can carry up to 4 baskets of tennis balls at a time. Can be folded and unfolded by a single person. Mesh basket made of steel & PVC coated for strength. Comes in different variants.


","5436,6281,5896,6741","Rs. 
			4571,Rs. 
			5282,Rs. 
			4958,Rs. 
			5668","
		,
		,
		1 Mesh Basket		,
		2 Mesh Baskets		,
		1 Mesh Basket with outdoor wheels		,
		2 Mesh Baskets with outdoor wheels		",Admin/mm_bigger/1340857914_VINEX TENNIS BALL WAGON.jpg,Vinex Tennis Ball - Wagon
,,,,,,
