Item Type,Product Name,Brand Name,Price,Retail Price,Sale Price,Product Description,Product Code/SKU,Bin Picking Number,Category,Option Set,Product Availability,Current Stock Level,Free Shipping,Sort Order, Meta Description,Page Title,Product Image Description - 1,Product Image Is Thumbnail - 1,Track Inventory,Product Image Sort - 1,Product Image Sort - 2,Product Image Sort - 3,Product Image Sort - 4,Product Image Sort-5,Product Image Sort-6,Product Image Sort-7,Product Image File - 1,Product Image File - 2,Product Image File - 3,Product Image File - 4,Product Image File - 5 ,Product Image File - 6,Product Image File - 7, 
Product,Christophe Toe-Straps 515XL,Zefal,,,,<div id="more_info_sheets" class="sheets align_justify">			<!-- product's features -->		<ul id="idTab2" class="bullet">					<li><span>Length :</span> 440 mm</li>					<li><span>Material :</span> Techno-polymer</li>				</ul>							                </div>,ZEFAL5151,ZEFAL,Run & Cycle/Cycling Spares/Other Parts,Christophe Toe-Straps 515XL,8-13 Working Days,100,N,-180,Get your hands on the Christophe Toe-Straps 515XL. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Christophe Toe-Straps 515XL Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Christophe Toe-Straps 515XL Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.zefal.com/77-258-thickbox/courroies-515xl-mt-christophe.jpg,
Product,Christophe Steel Toe-Clips,Zefal,,,,<div id="more_info_sheets" class="sheets align_justify">			<!-- product's features -->		<ul id="idTab2" class="bullet">					<li><span>Material :</span> Chromed steel </li>					<li><span>Pronged toe-clip :</span> Simple</li>				</ul>				<ul id="idTab9" class="bullet">					<li><a href="http://www.zefal.com/en/attachment.php?id_attachment=99">UG_Toe-Clips</a><br></li>					<li><a href="http://www.zefal.com/en/attachment.php?id_attachment=101">UG_Toe-Straps</a><br></li>					<li><a href="http://www.zefal.com/en/attachment.php?id_attachment=102">UG_Toe-Straps_FR</a><br></li>				</ul>						                </div>,ZEFAL0506-0507,ZEFAL,Run & Cycle/Cycling Spares/Other Parts,Christophe Steel Toe-Clips,8-13 Working Days,100,N,-180,Get your hands on the Christophe Steel Toe-Clips. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Christophe Steel Toe-Clips Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Christophe Steel Toe-Clips Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.zefal.com/75-255-thickbox/cale-pieds-christophe.jpg,http://www.zefal.com/75-256-thickbox/cale-pieds-christophe.jpg,
Product,Toe-Clips 45,Zefal,,,,<div id="more_info_sheets" class="sheets align_justify">			<!-- product's features -->		<ul id="idTab2" class="bullet">					<li><span>Material :</span> Techno-polymer</li>					<li><span>Pronged toe-clip :</span> No strap required</li>				</ul>				<ul id="idTab9" class="bullet">					<li><a href="http://www.zefal.com/en/attachment.php?id_attachment=99">UG_Toe-Clips</a><br></li>				</ul>						                </div>,ZEFAL0450-0451,ZEFAL,Run & Cycle/Cycling Spares/Other Parts,Toe-Clips 45,8-13 Working Days,100,N,-180,Get your hands on the Toe-Clips 45. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Toe-Clips 45 Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Toe-Clips 45 Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.zefal.com/219-561-thickbox/cale-pieds-40.jpg,
Product,Christophe Leather Toe-Straps,Zefal,,,,<div id="more_info_sheets" class="sheets align_justify">			<!-- product's features -->		<ul id="idTab2" class="bullet">					<li><span>Colours :</span> Black; white; brown</li>					<li><span>Length :</span> 370 mm</li>					<li><span>Material :</span> Top quality leather</li>				</ul>							                </div>,ZEFAL5161,ZEFAL,Run & Cycle/Cycling Spares/Other Parts,Christophe Leather Toe-Straps,8-13 Working Days,100,N,-180,Get your hands on the Christophe Leather Toe-Straps. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Christophe Leather Toe-Straps Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Christophe Leather Toe-Straps Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.zefal.com/76-257-thickbox/christophe-leather-toe-straps.jpg,
Product,Toe-Clips 40,Zefal,,,,<div id="more_info_sheets" class="sheets align_justify">			<!-- product's features -->		<ul id="idTab2" class="bullet">					<li><span>Material :</span> Techno-polymer</li>					<li><span>Pronged toe-clip :</span> one</li>				</ul>				<ul id="idTab9" class="bullet">					<li><a href="http://www.zefal.com/en/attachment.php?id_attachment=99">UG_Toe-Clips</a><br></li>					<li><a href="http://www.zefal.com/en/attachment.php?id_attachment=101">UG_Toe-Straps</a><br></li>					<li><a href="http://www.zefal.com/en/attachment.php?id_attachment=102">UG_Toe-Straps_FR</a><br></li>				</ul>						                </div>,ZEFAL0400-0401,ZEFAL,Run & Cycle/Cycling Spares/Other Parts,Toe-Clips 40,8-13 Working Days,100,N,-180,Get your hands on the Toe-Clips 40. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Toe-Clips 40 Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Toe-Clips 40 Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.zefal.com/115-252-thickbox/cale-pieds-40.jpg,
Product,Toe-Clips 43,Zefal,,,,<div id="more_info_sheets" class="sheets align_justify">			<!-- product's features -->		<ul id="idTab2" class="bullet">					<li><span>Material :</span> Techno-polymer</li>					<li><span>Pronged toe-clip :</span> two</li>				</ul>				<ul id="idTab9" class="bullet">					<li><a href="http://www.zefal.com/en/attachment.php?id_attachment=99">UG_Toe-Clips</a><br></li>					<li><a href="http://www.zefal.com/en/attachment.php?id_attachment=101">UG_Toe-Straps</a><br></li>					<li><a href="http://www.zefal.com/en/attachment.php?id_attachment=102">UG_Toe-Straps_FR</a><br></li>				</ul>						                </div>,ZEFAL0430-0431,ZEFAL,Run & Cycle/Cycling Spares/Other Parts,Toe-Clips 43,8-13 Working Days,100,N,-180,Get your hands on the Toe-Clips 43. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Toe-Clips 43 Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Toe-Clips 43 Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.zefal.com/218-557-thickbox/cale-pieds-40.jpg,
Product,DP20,Zefal,,,,<div id="more_info_sheets" class="sheets align_justify">			<!-- product's features -->		<ul id="idTab2" class="bullet">					<li><span>Colours :</span> Blue; white and red or black</li>					<li><span>Material :</span> Resin technopolymer </li>				</ul>							                </div>,ZEFAL2001,ZEFAL,Run & Cycle/Cycling Gear/Tools,DP20,8-13 Working Days,100,N,-180,Get your hands on the DP20. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the DP20 Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy DP20 Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.zefal.com/83-355-thickbox/dp20.jpg,
Product,Cotton Tapes,Zefal,,,,<div id="more_info_sheets" class="sheets align_justify">			<!-- product's features -->		<ul id="idTab2" class="bullet">					<li><span>Dimensions :</span> 4 sizes: 10; 13; 17 or 22 mm</li>					<li><span>Material :</span> Self-adhesive reinforced woven cotton</li>				</ul>							                </div>,ZEFAL91--,ZEFAL,Run & Cycle/Cycling Gear/Tools,Cotton Tapes,8-13 Working Days,100,N,-180,Get your hands on the Cotton Tapes. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Cotton Tapes Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Cotton Tapes Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.zefal.com/84-357-thickbox/fonds-de-jante-coton.jpg,
Product,Z Liner,Zefal,,,,<div id="more_info_sheets" class="sheets align_justify">			<!-- product's features -->		<ul id="idTab2" class="bullet">					<li><span>Dimensions :</span> Road 19 mm (grey); MTB 34 mm (green and blue); hybrid 27 mm (yellow)</li>					<li><span>Weight :</span> Road 35 g x2 (grey); MTB 26"24" 75 g x2 (green) - 29" 90g x2 (blue); hybrid 60 g x2 (yellow)</li>					<li><span>Wheels diameter :</span> Road 700c/28" (grey); MTB 26"/24" (green) - 29 " (blue); hybrid 700c/28" (yellow)</li>				</ul>							                </div>,ZEFAL9720/9720/9722/9738,ZEFAL,Run & Cycle/Cycling Gear/Tools,Z Liner,8-13 Working Days,100,N,-180,Get your hands on the Z Liner. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Z Liner Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Z Liner Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.zefal.com/114-361-thickbox/z-liner.jpg,http://www.zefal.com/114-362-thickbox/z-liner.jpg,http://www.zefal.com/114-363-thickbox/z-liner.jpg,http://www.zefal.com/114-365-thickbox/z-liner.jpg,http://www.zefal.com/114-513-thickbox/z-liner.jpg,
Product,Discovery,Zefal,,,,<div id="more_info_sheets" class="sheets align_justify">			<!-- product's features -->		<ul id="idTab2" class="bullet">					<li><span>Material :</span> High resistant hollow aluminium 6061 structure</li>					<li><span>Maximum load :</span> 25 kg (complying with EN 14872 standard)</li>					<li><span>Self size :</span> 370 x 125 mm / 14.5 x 4.9’’</li>					<li><span>Weight :</span> 900 g </li>				</ul>				<ul id="idTab9" class="bullet">					<li><a href="http://www.zefal.com/en/attachment.php?id_attachment=75">UG_Discovery_Zéfal</a><br></li>				</ul>						                </div>,ZEFAL7520,ZEFAL,Run & Cycle/Cycling Spares/Bike Rack,Discovery,8-13 Working Days,100,N,-180,Get your hands on the Discovery. Buy it Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy the Discovery Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Buy Discovery Online in India at LiveYourSport.com| Free Shipping and Massive Discounts,Y,By Product,1,2,3,4,5,6,7,http://www.zefal.com/116-287-thickbox/discovery.jpg,http://www.zefal.com/116-584-thickbox/discovery.jpg,
