SKU,category,category2,Description,Description1,imgurl,productname
2001,Bike Care,Repair,Tyre levers,"Colours : Blue, white and red or black,Material : Resin technopolymer ",http://www.zefal.com/83-355-thickbox/dp20.jpg,DP20
1190,Bike Care,Maintenance,"Brush with hard density bristles, perfect for cleaning the chain and freewheel,Five in one:",Length : 160 to 230 mm / 6.3'' to 9'',http://www.zefal.com/93-316-thickbox/zb-multi.jpg,ZB Multi
1990,Bike Care,Repair,"Tyre levers,Highly resistant, unbreakable,The thin shape provides an easy passage between the rim and tyre,Do not damage the rims,The hook end is reversible and allows dismantling and reassembling the tyre",Material : Resin technopolymer high performance,http://www.zefal.com/113-514-thickbox/z-levers.jpg,Z Levers
5151,Toe-clips & toe-straps,,,"Length : 440 mm,Material : Techno-polymer",http://www.zefal.com/77-258-thickbox/courroies-515xl-mt-christophe.jpg,Christophe Toe-Straps 515XL
7520,Racks,,"Universal for all types of bikes: 26’’ and 28’’,Adjustable and adaptable fixation,• Upper adjustment: multiple front adjustments to fit all frames,• Lower adjustment: multiple adjustments sliding system in height (3 positions).","Material : High resistant hollow aluminium 6061 structure,Maximum load : 25 kg (complying with EN 14872 standard),Self size : 370 x 125 mm / 14.5 x 4.9’’,Weight : 900 g ,UG_Discovery_Zéfal","http://www.zefal.com/116-287-thickbox/discovery.jpg,http://www.zefal.com/116-584-thickbox/discovery.jpg",Discovery
4740,Safety,Mirrors,"Retractable handle-bar-end-mirror,Ideal for sport use on road bikes﻿.","Handlebar diameter : From 16.5 mm to 21 mm,Material : Unbreakable chrome plated plastic,Mirror : Convex,Mirror surface : 15 cm²,Mounting : Universal bar end fitting (left and right),Weight : 45 g,UG_Spin_Zéfal","http://www.zefal.com/100-286-thickbox/spin.jpg,http://www.zefal.com/100-654-thickbox/spin.jpg",Spin
1060,Safety,Others accessories,"Small and discreet, the Piing is still effective and safe thanks to its powerful sound.﻿, ,QUICK MOUNTING﻿ -> Easy and quick installation.﻿","Material : Aluminium cap – black or shinny silver ,Mounting : Clip on handlebar from Ø 19 to 26,4 mm","http://www.zefal.com/143-303-thickbox/piing.jpg,http://www.zefal.com/143-518-thickbox/piing.jpg,http://www.zefal.com/143-519-thickbox/piing.jpg",Piing
2610,Protection,,"Minimalist and effective end-piece protection, the Crank Armor protects cranks against impact and stones.﻿,IMPACT RESIST﻿ -> Durability and high resistance.﻿,QUICK MOUNTING﻿ -> Easy mounting on the crank.﻿","Length : 69 mm / 2,7"",Material : Soft,Weight : 20 g","http://www.zefal.com/237-691-thickbox/crank-armor.jpg,http://www.zefal.com/237-694-thickbox/crank-armor.jpg,http://www.zefal.com/237-693-thickbox/crank-armor.jpg",Crank Armor
7069,Bags,,"Made of PEVA and BPA free the 2L Bladder is highly resistant and easy to open and clean. You will be able to carry 2 L in the bag for your long rides.﻿,SMART VALVE﻿ -> Automatic opening and closure. Anti-microbial material.﻿,BPA FREE﻿ -> Complying with the food standards.﻿","Capacity : 2 L,Dimensions : 340 x 165 mm,Hose length 1000 mm,Material : PEVA",http://www.zefal.com/238-695-thickbox/2l-bladder.jpg,2L Bladder
4941,Safety,Locks,"Hardened steel with a double protective coating,U-lock mechanism,The cable provides additional security for the wheels and the saddle﻿,Quick mounting on the bike with clips,Provided with 3 keys and mounting bracket, ","Diameter : 13 mm,Dimensions : 115 x 230 mm,Lenght : 1200 mm,Material : Hardened steel - double protective coating,Rod diameter : 10 mm,Weight : 1.6 kg",http://www.zefal.com/202-450-thickbox/k-traz-u13.jpg,K-Traz U13 Cable
137,Bottles,," ,﻿,﻿","Capacity : 700 ml / 23 oz ,Colours : Brushed aluminium,Material : Aluminium with a special linner coating,Opening : Screw-on",http://www.zefal.com/65-274-thickbox/alu-137.jpg,Alu 137
4942,Safety,Locks,"Hardened steel with a double protective coating,U-lock mechanism,Quick mounting on the bike with clips,Provided with 3 keys and mounting bracket, ","Diameter : 14 mm,Dimensions : 115 x 292 mm,Material : Hardened steel - double protective coating,Weight : 1.6 kg",http://www.zefal.com/203-451-thickbox/k-traz-u13.jpg,K-Traz U14
1720,Bottle cages,,Chromed steel bottle cage with leather cover﻿﻿,"Colours : Brown,Diameter : 4 mm,Material : Chromed steel with leather cover,Weight : 80 g",http://www.zefal.com/55-233-thickbox/porte-bidon-vintage.jpg,Vintage
4160,Inflation,CO2 pumps,"Available in several sizes, the 16g threaded C02 cartridges are designed to inflate quickly a tire to a high pressure. Good compromise between weight and capacity, it will serve you during your long rides. Fit with all inflators in the market.﻿, ","Size : 16 g,Type of cartridges : Threaded	,Weight : 60 g,UG_CO2Charts_Zéfal","http://www.zefal.com/220-563-thickbox/co2-cartridges-16g.jpg,http://www.zefal.com/220-564-thickbox/co2-cartridges-16g.jpg,http://www.zefal.com/220-565-thickbox/co2-cartridges-16g.jpg,http://www.zefal.com/220-566-thickbox/co2-cartridges-16g.jpg",CO2 cartridges 16G
2290,Mudguards,,Mudguard set for kids bike.,"Blade width : 55 mm / 2.2"",Material : Techno-polymer resin ,Mounting : Front: adjustable L shape steel bracket
Rear: adjustable L shape steel bracket and clip on frame,Weight : 165 g,Wheels diameter : 16'' and 20''","http://www.zefal.com/123-343-thickbox/kid.jpg,http://www.zefal.com/123-344-thickbox/kid.jpg",Kid
1071,Inflation,CO2 pumps,"Universal cartridges mounting system on seat post or frame for 2 threaded cartridges and 1 CO2 inflator (for instance our EZ Control)﻿﻿﻿,Works with all diameters,Rubber part ensures a good grip,Doesn’t scratch,Sold separately or with 2 cartridges and 1 EZ Control.","Material : Rubber,Mounting : Universal mounting system on seat post or frame for 2 threaded cartridges and 1 CO2 inflator (for instance our EZ Control),Weight : 15 g,UG_CO2Holder_Zéfal","http://www.zefal.com/129-237-thickbox/co2-holder.jpg,http://www.zefal.com/129-392-thickbox/co2-holder.jpg",CO2 Holder
2430,Mudguards,,Front and rear mudguard set for city or trekking bikes.,"Blade width : 45 mm / 1.8"",Diameter : 28"" / 700c ,Material : Techno-polymer resin ,Mounting : Front: adjustable L shape steel bracket
Rear: adjustable L shape steel bracket and clip on frame,Weight : 150 g","http://www.zefal.com/122-348-thickbox/trail.jpg,http://www.zefal.com/122-349-thickbox/trail.jpg",Trail
